日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM正数等权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2021-12-27,=25906.0700,=32071.4600,=7932775792592.4600,=7063005576616,=3404644288279.9707,=2.6032,=0.9789,=2.1538,=1.8253,=1.4431
2021-12-24,=25987.8900,=32172.7600,=8009053865721.9404,=7143764174044,=3446884490636.0098,=2.6025,=0.9786,=2.1536,=1.8251,=1.4431
2021-12-23,=25572.7500,=31658.8300,=7845315876339.9902,=6995966962565,=3372961419934.6011,=2.5785,=0.9756,=2.1532,=1.8249,=1.4431
2021-12-22,=25124.7100,=31104.1600,=7682228688943.9492,=6840153543171,=3297304459684.7700,=2.5466,=0.9690,=2.1528,=1.8248,=1.4431
2021-12-21,=24943.4800,=30879.7900,=7642046998598.7900,=6805955179118,=3276992078647.3989,=2.5150,=0.9621,=2.1528,=1.8247,=1.4419
2021-12-20,=24940.2700,=30875.8200,=7675749821532.4502,=6845159788558,=3289914791630.6802,=2.4918,=0.9555,=2.1528,=1.8245,=1.4419
2021-12-17,=24917.3400,=30847.4300,=7662440046951.1396,=6827894773001,=3283824523216.9102,=2.4787,=0.9521,=2.1524,=1.8243,=1.4419
2021-12-16,=25399.0200,=31443.7500,=7851312119478.1504,=7003706959605,=3363246100342.0098,=2.4937,=0.9568,=2.1515,=1.8242,=1.4419
2021-12-15,=25608.7700,=31703.4200,=7910780559728.3701,=7060766177261,=3387283948001.2510,=2.4966,=0.9571,=2.1512,=1.8240,=1.4419
2021-12-14,=26009.0200,=32198.9200,=8027767360147,=7159435617255,=3433222317346.3306,=2.5329,=0.9670,=2.1512,=1.8240,=1.4415
2021-12-13,=25985.7300,=32170.0900,=7989723906883.7393,=7118442225401,=3415397253417.0298,=2.5469,=0.9696,=2.1510,=1.8240,=1.4415
2021-12-10,=25883.1100,=32043.0400,=7611246201168.2900,=7139239645344,=3410536421732.9595,=1.9924,=0.6691,=2.1509,=1.8240,=1.4415
2021-12-09,=25914.6500,=32082.0800,=7632868662105.7695,=7159071964981,=3415870419956.2813,=1.9974,=0.6729,=2.1509,=1.8240,=1.4415
2021-12-08,=25522.3500,=31596.4300,=7483882299062.2188,=7027091724533,=3354329025508.6401,=1.9703,=0.6533,=2.1509,=1.8239,=1.4415
2021-12-07,=24846.9800,=30760.3300,=7241682068103.4805,=6797831706579,=3247543368458.4907,=1.9530,=0.6410,=2.1510,=1.8238,=1.4415
2021-12-06,=24751.8600,=30642.5700,=7229968420989.5781,=6787477714700,=3242476355797.1709,=1.9345,=0.6223,=2.1510,=1.8237,=1.4415
2021-12-03,=24991.9900,=30939.8500,=7278316813987.4463,=6828601313025,=3262310595725.5811,=1.9542,=0.6424,=2.1510,=1.8236,=1.4415
2021-12-02,=24362.3900,=30160.4100,=7117977227859.9922,=6677230810646,=3185278702934.9097,=1.9276,=0.6187,=2.1510,=1.8236,=1.4415
2021-12-01,=24261.1900,=30035.1200,=7097241973457.9297,=6658100945821,=3174002407672.4009,=1.9271,=0.6183,=2.1510,=1.8235,=1.4415
2021-11-30,=24207.7800,=29969,=7073771631848.3408,=6635325521636,=3165662045656.5801,=1.9242,=0.6172,=2.1512,=1.8235,=1.4404
2021-11-29,=24636.8000,=30500.1200,=7225282675007.3496,=6779375058351,=3234053070603.6494,=1.9372,=0.6253,=2.1512,=1.8235,=1.4404
2021-11-26,=24522.7900,=30358.9800,=7161056789012.6689,=6713596149126,=3201707123669.3506,=1.9457,=0.6335,=2.1512,=1.8231,=1.4404
2021-11-25,=24712.3400,=30593.6400,=7208950946116.0908,=6754900639612,=3224622145426.4907,=1.9553,=0.6427,=2.1512,=1.8227,=1.4404
2021-11-24,=24765.6700,=30659.6600,=7213347085602.0596,=6758380723308,=3223690399314.6411,=1.9633,=0.6479,=2.1512,=1.8226,=1.4404
2021-11-23,=24569.9800,=30417.4000,=7100318852984.3887,=6642278076777,=3176989042005.8701,=1.9768,=0.6554,=2.1515,=1.8226,=1.4404
2021-11-22,=24623.2900,=30483.4000,=7064055694840.6904,=6606472135730,=3163143536008.5703,=1.9857,=0.6626,=2.1515,=1.8224,=1.4404
2021-11-19,=24630.1200,=30491.8500,=7029928639060.1016,=6568605568257,=3147536107372.1001,=1.9884,=0.6648,=2.1515,=1.8222,=1.4404
2021-11-18,=24490.1700,=30318.6000,=6952845513348.3867,=6483831347324,=3114183859033.1396,=1.9932,=0.6690,=2.1515,=1.8221,=1.4404
2021-11-17,=24543.9300,=30385.1500,=6971175922913.8604,=6502482002141,=3122823355908.8506,=2.0052,=0.6802,=2.1515,=1.8220,=1.4404
2021-11-16,=24721.4900,=30604.9700,=7013958659357.5596,=6541907701405,=3144488630249.9712,=2.0115,=0.6884,=2.1524,=1.8219,=1.4400
2021-11-15,=24337.0900,=30129.0800,=6867900041089.1494,=6398706710260,=3083196575914.7402,=2.0072,=0.6833,=2.1524,=1.8218,=1.4400
2021-11-12,=24144.7700,=29891,=6830140162801.8291,=6367995273636,=3071540452436.7397,=1.9912,=0.6682,=2.1524,=1.8217,=1.4400
2021-11-11,=24268.8500,=30044.6100,=6856605631512.9785,=6397780296549,=3083206852468.0508,=1.9989,=0.6741,=2.1524,=1.8216,=1.4400
2021-11-10,=24129.2600,=29871.7900,=6820585211876.8193,=6363160453271,=3063092006885.2295,=1.9883,=0.6660,=2.1524,=1.8215,=1.4400
2021-11-09,=24576.1300,=30425.0100,=6946325861649.3428,=6482291064841,=3120882448623.1196,=2.0152,=0.6915,=2.1528,=1.8214,=1.4397
2021-11-08,=24704.0300,=30583.3500,=7009366044740.7119,=6544045846990,=3148416045733.4795,=2.0082,=0.6851,=2.1528,=1.8214,=1.4397
2021-11-05,=24883.9700,=30806.1200,=7043212549085.0918,=6573386648928,=3163707567471.5098,=2.0281,=0.7010,=2.1528,=1.8213,=1.4397
2021-11-04,=24992.6200,=30940.6200,=7041781837433.4395,=6565317535953,=3161941303418.2500,=2.0598,=0.7346,=2.1528,=1.8213,=1.4397
2021-11-03,=24312.6800,=30098.8600,=6844737170940.4922,=6376923997080,=3077479264155.6704,=2.0156,=0.6921,=2.1528,=1.8212,=1.4397
2021-11-02,=24354.3500,=30150.4500,=6901977293921.3906,=6439293622447,=3101932391198.1694,=1.9675,=0.6537,=2.1528,=1.8211,=1.4396
2021-11-01,=24272.7100,=30049.3800,=6885633635544.9707,=6426579735518,=3097349709120.9004,=1.9529,=0.6439,=2.1528,=1.8210,=1.4396
2021-10-29,=24473.5800,=30298.0600,=6985493654503.1299,=6521572359893,=3136181132871.2891,=1.9325,=0.6244,=2.1528,=1.8210,=1.4396
