日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM平均值,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2011-11-21,=6475.5510,,=1306080791225.7002,=1011544371205,=519715402000.7300,=4.3227,=0.0621,=5.7296,=5.1213,=4.5969
2011-11-18,=6453.4270,,=1299194210032.2000,=1007196765099,=517644357263.0699,=4.3115,=0.0570,=5.7296,=5.1232,=4.5999
2011-11-17,=6560.9190,,=1319421968754,=1023660802324,=525959779962.3498,=4.3865,=0.0900,=5.7296,=5.1251,=4.6031
2011-11-16,=6554.9090,,=1318457785395.1997,=1022651082155,=525540279450.3900,=4.3751,=0.0815,=5.7393,=5.1269,=4.6031
2011-11-15,=6683.7860,,=1341529993072.3999,=1040642111965,=535522366360.1600,=4.4610,=0.1215,=5.7393,=5.1287,=4.6054
2011-11-14,=6702.8590,,=1348176261776.2998,=1046405909851,=537776472945.2600,=4.4608,=0.1200,=5.7393,=5.1309,=4.6066
2011-11-11,=6586.3490,,=1325843605948.7998,=1027945718083,=528517917288.1999,=4.3632,=0.0749,=5.7393,=5.1331,=4.6163
2011-11-10,=6606.3730,,=1331243981251.3000,=1032348587799,=530465389667.9399,=4.3814,=0.0838,=5.7393,=5.1335,=4.6194
2011-11-09,=6673.8850,,=1342325764235,=1041604631581,=535214658436.2800,=4.4282,=0.1014,=5.7394,=5.1339,=4.6194
2011-11-08,=6585.5650,,=1328059422398.8000,=1030537505649,=528605205307.6599,=4.3523,=0.0718,=5.7394,=5.1343,=4.6197
2011-11-07,=6632.8930,,=1337436871932.3000,=1037701597114,=532381887435.8001,=4.4014,=0.0895,=5.7394,=5.1346,=4.6211
2011-11-04,=6659.9520,,=1341830408397.9006,=1042653467935,=534624488214.3801,=4.4133,=0.0949,=5.7394,=5.1356,=4.6243
2011-11-03,=6623.2640,,=1317443043666.2002,=1037788460909,=531693447261.4099,=4.3451,=0.0704,=5.7394,=5.1365,=4.6292
2011-11-02,=6604.0260,,=1315536683383.3999,=1031898676659,=530555138160.8600,=4.3007,=0.0511,=5.7398,=5.1373,=4.6292
2011-11-01,=6504.1720,,=1295553847611.1003,=1013303914395,=522863273404.5201,=4.2306,=0.0283,=5.7398,=5.1381,=4.6338
2011-10-31,=6468.9350,,=1289826604829,=1007949818927,=519639021608.0900,=4.2265,=0.0265,=5.7398,=5.1425,=4.6367
2011-10-28,=6455.9580,,=1290540002178.9998,=1008901916714,=516518140171.3801,=4.2549,=0.0319,=5.7398,=5.1468,=4.6394
2011-10-27,=6353.8720,,=1270772875885.8000,=992286913144,=508052534031.9600,=4.1947,=0.0195,=5.7398,=5.1501,=4.6424
2011-10-26,=6341.2920,,=1268556601034.6001,=990633320462,=507409896275.5800,=4.2359,=0.0267,=5.7427,=5.1533,=4.6424
2011-10-25,=6281.2650,,=1258649451492.3999,=981748811421,=502825160267.0100,=4.2366,=0.0267,=5.7427,=5.1538,=4.6436
2011-10-24,=6173.6300,,=1238342673924.7000,=967203999040,=487494060389.7300,=4.1937,=0.0179,=5.7427,=5.1542,=4.6441
2011-10-21,=6045.0290,,=1212558127779.3003,=946036564747,=476479550103.6102,=4.1197,=0.0072,=5.7427,=5.1545,=4.6452
2011-10-20,=6065.3410,,=1212165886538.7000,=946056350342,=477610414159.1699,=4.1474,=0.0108,=5.7427,=5.1548,=4.6467
2011-10-19,=6241.9120,,=1248027537129.8003,=974342520365,=491530689337.1398,=4.2873,=0.0341,=5.7474,=5.1560,=4.6467
2011-10-18,=6251.4880,,=1248743471576.1997,=974601964694,=491913974893.4199,=4.3047,=0.0342,=5.7474,=5.1571,=4.6475
2011-10-17,=6331.9020,,=1261906444479.2000,=985227315365,=498894768117.7609,=4.3792,=0.0595,=5.7474,=5.1589,=4.6477
2011-10-14,=6237.9730,,=1240392079735.7998,=968007205945,=491099768588.2866,=4.3349,=0.0433,=5.7474,=5.1606,=4.6485
2011-10-13,=6275.9030,,=1246653348556.8000,=973729693077,=493941476525.0376,=4.3723,=0.0542,=5.7474,=5.1606,=4.6501
2011-10-12,=6210.0880,,=1236226052173,=965680723004,=488972397180.9218,=4.3199,=0.0399,=5.7493,=5.1607,=4.6501
2011-10-11,=6039.0220,,=1202454988446.3999,=939682056553,=475491813977.3083,=4.1950,=0.0145,=5.7493,=5.1625,=4.6523
2011-10-10,=6098.5420,,=1215235323050,=949386217864,=480404567655.0560,=4.2340,=0.0182,=5.7493,=5.1643,=4.6557
2011-09-30,=6151.5120,,=1226477959697.5000,=960204191971,=485080408168.4532,=4.2733,=0.0237,=5.7493,=5.1645,=4.6575
2011-09-29,=6118.9880,,=1217957367570.8000,=953415530529,=482203204582.5811,=4.2718,=0.0219,=5.7493,=5.1646,=4.6585
2011-09-28,=6201.5990,,=1230291336849.2002,=964776793023,=488455209369.7970,=4.3711,=0.0439,=5.7541,=5.1674,=4.6585
2011-09-27,=6279.2800,,=1244432282318.3999,=975655984557,=494178298105.2564,=4.4402,=0.0641,=5.7541,=5.1701,=4.6598
2011-09-26,=6251.1930,,=1237291006739.8003,=971230479727,=492152469395.2689,=4.4326,=0.0606,=5.7541,=5.1707,=4.6598
2011-09-23,=6379.1080,,=1264097625484.2002,=992881959842,=502584926011.0874,=4.5289,=0.1011,=5.7541,=5.1713,=4.6599
2011-09-22,=6477.0370,,=1282668660997.7998,=1007863986393,=510432831863.2405,=4.5837,=0.1344,=5.7541,=5.1721,=4.6599
2011-09-21,=6638.0540,,=1315726219765.7002,=1034283230400,=523495067712.3473,=4.7003,=0.2306,=5.7812,=5.1729,=4.6599
2011-09-20,=6491.7010,,=1287636814003.7000,=1012553638902,=511960768569.1910,=4.5803,=0.1312,=5.7812,=5.1787,=4.6599
2011-09-19,=6507.5610,,=1291729905595.7000,=1016187572835,=513465460081.4523,=4.5877,=0.1370,=5.7812,=5.1844,=4.6612
2011-09-16,=6578.5880,,=1303989196099.3003,=1025667319244,=518823156554.1705,=4.6477,=0.1781,=5.7812,=5.1853,=4.6618
2011-09-15,=6557.9410,,=1296872267193.4004,=1019358672902,=516600690289.4802,=4.6452,=0.1729,=5.7812,=5.1862,=4.6646
2011-09-14,=6539.8950,,=1293392056077.2002,=1016993212703,=515259906134.7065,=4.6467,=0.1732,=5.7847,=5.1877,=4.6646
2011-09-13,=6545.3850,,=1299087235387.3003,=1021030608049,=516308068742.5731,=4.6436,=0.1698,=5.7847,=5.1892,=4.6669
2011-09-09,=6634.6340,,=1318938211138.8000,=1036897821974,=523775939315.3894,=4.7198,=0.2449,=5.7847,=5.1915,=4.6672
2011-09-08,=6686.0090,,=1327442404129.3999,=1042913455516,=527343313943.4971,=4.7286,=0.2547,=5.7847,=5.1938,=4.6672
2011-09-07,=6743.9410,,=1338351862632.8000,=1052135593517,=531728545959.7473,=4.7803,=0.2833,=5.7847,=5.1948,=4.6672
2011-09-06,=6595.2600,,=1309248554376.2998,=1028958690865,=519750363506.4581,=4.6618,=0.1955,=5.7927,=5.1958,=4.6669
2011-09-05,=6700.3690,,=1329580538008.6001,=1046095735360,=528022970665.7360,=4.7193,=0.2429,=5.7927,=5.1960,=4.6672
2011-09-02,=6799.4450,,=1341962356297.3999,=1061590558883,=536295250285.7670,=4.7993,=0.2906,=5.7927,=5.1963,=4.6672
2011-09-01,=6870.9020,,=1355234056784.7002,=1071427635971,=541411127797.3939,=4.8689,=0.3119,=5.7927,=5.1998,=4.6672
2011-08-31,=6974.5060,,=1377200617248.5000,=1088105193599,=549648904552.0158,=4.9387,=0.3523,=5.7927,=5.2033,=4.6672
2011-08-30,=6984.7880,,=1360632859340.0002,=1069839462803,=548196983338.6356,=4.9909,=0.3757,=5.8005,=5.2060,=4.6669
2011-08-29,=7033.2750,,=1369748838077.6001,=1077343881243,=552104009726.2119,=5.0467,=0.4049,=5.8005,=5.2087,=4.6669
2011-08-26,=6978.6580,,=1359064416033.2002,=1067498823039,=548209828911.8030,=4.9979,=0.3790,=5.8005,=5.2123,=4.6669
2011-08-25,=6962.3320,,=1352353172021.6001,=1061629584095,=541574210492.3948,=5,=0.3817,=5.8005,=5.2158,=4.6669
2011-08-24,=6869.2930,,=1335020573151.1001,=1048495513059,=534512047779.1436,=4.9231,=0.3499,=5.8005,=5.2162,=4.6669
2011-08-23,=6843.3150,,=1329490060090.1001,=1043840053672,=532167309192.8567,=4.9146,=0.3448,=5.8051,=5.2167,=4.6646
2011-08-22,=6782.9590,,=1317627028948.2000,=1035749831007,=534090758350.8427,=4.8855,=0.3186,=5.8051,=5.2167,=4.6646
2011-08-19,=6929.4470,,=1348681331060.8000,=1060773865914,=546156635509.7831,=4.9480,=0.3538,=5.8051,=5.2167,=4.6646
2011-08-18,=6927.1320,,=1346195447477.0002,=1058351655911,=548708520749.2082,=5.0114,=0.3834,=5.8051,=5.2188,=4.6646
2011-08-17,=7018.0270,,=1362967390363.8003,=1071082687540,=555671370459.3141,=5.0971,=0.4247,=5.8051,=5.2209,=4.6646
2011-08-16,=7025.9890,,=1365366596391.3999,=1072258926022,=556270325266.1750,=5.1006,=0.4275,=5.8093,=5.2261,=4.6612
2011-08-15,=7094.2020,,=1379427577195.7002,=1082339890150,=561550180919.9615,=5.1729,=0.4748,=5.8093,=5.2312,=4.6612
2011-08-12,=7081.2750,,=1381755749131.3003,=1084384847169,=562444911296.8674,=5.1533,=0.4563,=5.8093,=5.2316,=4.6612
2011-08-11,=7026.1370,,=1369287841171.7002,=1076194562730,=558161726497.5436,=5.1251,=0.4416,=5.8093,=5.2321,=4.6612
2011-08-10,=6814.7000,,=1328173005805.6001,=1042132162442,=541113852795.9902,=4.9776,=0.3723,=5.8093,=5.2355,=4.6612
2011-08-09,=6684.0160,,=1300770508430.2000,=1020516784730,=530595323833.6420,=4.8870,=0.3262,=5.8153,=5.2389,=4.6599
2011-08-08,=6650.0690,,=1294460588618.7998,=1015140222083,=527824788664.0577,=4.8862,=0.3249,=5.8153,=5.2425,=4.6599
2011-08-05,=6837.7980,,=1325978255453.2998,=1038677919854,=542786513863.1331,=5.0605,=0.4059,=5.8153,=5.2460,=4.6599
2011-08-04,=6911.5620,,=1337416928981.9998,=1048210376281,=548649678514.6346,=5.1040,=0.4283,=5.8153,=5.2463,=4.6599
2011-08-03,=6856.2940,,=1326302747289.2002,=1038680700628,=543945489667.1584,=5.0579,=0.4035,=5.8153,=5.2466,=4.6599
2011-08-02,=6781.9990,,=1310252708553.6997,=1027769733713,=538289577716.4263,=4.9749,=0.3688,=5.8157,=5.2512,=4.6599
2011-08-01,=6825.0580,,=1318070236609.4004,=1034474237385,=541734709260.5317,=5.0283,=0.3913,=5.8157,=5.2558,=4.6599
2011-07-29,=6873.2270,,=1329237577185.2000,=1044239391767,=546098840645.4766,=5.0513,=0.4000,=5.8157,=5.2567,=4.6599
2011-07-28,=6926.3650,,=1340668550548.6001,=1052713180566,=550349758833.1179,=5.1331,=0.4345,=5.8157,=5.2575,=4.6599
2011-07-27,=6909.6840,,=1333587431733.7000,=1046386162544,=548612197069.7698,=5.1213,=0.4314,=5.8157,=5.2593,=4.6599
2011-07-26,=6817.2950,,=1316158490880.3997,=1033402808457,=541507452227.9002,=5.0506,=0.4004,=5.8227,=5.2611,=4.6598
2011-07-25,=6834.4270,,=1320664618484.7000,=1036256291566,=542942035257.8044,=5.0360,=0.3972,=5.8227,=5.2612,=4.6598
2011-07-22,=7007.5130,,=1349789810002.6001,=1059328542972,=556467625848.3964,=5.1713,=0.4580,=5.8227,=5.2613,=4.6598
2011-07-21,=6962.2260,,=1339343400527.3999,=1051454134684,=552709255266.1962,=5.1381,=0.4389,=5.8227,=5.2661,=4.6598
2011-07-20,=6945.5470,,=1333181771447.6001,=1045965155920,=550747537665.8152,=5.1607,=0.4498,=5.8227,=5.2709,=4.6598
2011-07-19,=6883.1510,,=1319670097288.5996,=1035488065183,=545649650777.2911,=5.1339,=0.4346,=5.8260,=5.2724,=4.6598
2011-07-18,=6939.1490,,=1329790656301.5000,=1042970550105,=549795955939.6748,=5.1963,=0.4657,=5.8260,=5.2738,=4.6598
2011-07-15,=6886.8900,,=1317474212198.2002,=1031730305528,=545106957128.4202,=5.1606,=0.4485,=5.8260,=5.2741,=4.6598
2011-07-14,=6833.5730,,=1307227987281.6997,=1024126660362,=541026317484.5222,=5.1195,=0.4332,=5.8260,=5.2745,=4.6598
2011-07-13,=6847.7040,,=1311281948405.6003,=1028257215764,=542675065439.9659,=5.0933,=0.4219,=5.8260,=5.2787,=4.6598
2011-07-12,=6750.1340,,=1295695307608.8003,=1016389309151,=535380540055.9312,=5.0111,=0.3943,=5.8266,=5.2829,=4.6585
2011-07-11,=6804.8420,,=1305068744988.1001,=1022814409591,=539888633580.4640,=5.0588,=0.4053,=5.8266,=5.2914,=4.6585
