日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2022-10-13,=20920.6100,=26257,=6425312797200.6592,=5802796671379,=2781111952319.2705,=49.5377,=0.9287,=41.3522,=31.1859,=24.3574
2022-10-12,=21012.9900,=26372.9400,=6502564353638.1602,=5886588746309,=2818834272217.9702,=50.1333,=0.9398,=41.3414,=31.1829,=24.3574
2022-10-11,=21021.1500,=26383.1900,=6534167813357.3428,=5920577113879,=2830330062797.4697,=50.3769,=0.9439,=41.2907,=31.1799,=24.3574
2022-10-10,=20997.6700,=26353.7200,=6541348602018.6904,=5927251477535,=2831053109178.9902,=50.4323,=0.9454,=41.2419,=31.1750,=24.3574
2022-09-30,=21594.8800,=27103.2600,=6796488234986.4287,=6176419612976,=2932516897076.3999,=52.3994,=0.9612,=41.2419,=31.1702,=24.3512
2022-09-29,=21646.3900,=27167.9200,=6816125762521.2695,=6196266798660,=2940720494649.0996,=52.5508,=0.9627,=41.1949,=31.1681,=24.3512
2022-09-28,=21687.7300,=27219.8000,=6824492242083.0215,=6157596946785,=2946184259670.1211,=52.6153,=0.9637,=41.1836,=31.1659,=24.3512
2022-09-27,=21770.3100,=27323.4400,=6846561184817.4297,=6174532905121,=2956042105693.9004,=52.7854,=0.9646,=41.1786,=31.1647,=24.3512
2022-09-26,=21115.1800,=26501.2100,=6663429345828.8301,=6014364583724,=2880019998368.8701,=51.3735,=0.9537,=41.1704,=31.1634,=24.3512
2022-09-23,=20992.9300,=26347.7700,=6591041394897.9482,=5942271470970,=2853741513454.3608,=50.8154,=0.9500,=41.1704,=31.1590,=24.3304
2022-09-22,=20956.8600,=26302.5100,=6571196162821.9199,=5921586058454,=2843249147064.9692,=50.6624,=0.9487,=41.1591,=31.1546,=24.3304
2022-09-21,=21236.3100,=26653.2300,=6663497939950.3604,=6006107770479,=2884426378572.0288,=51.3741,=0.9540,=41.1524,=31.1488,=24.3304
2022-09-20,=21556.0900,=27054.5800,=6766877627381.8115,=6097573162749,=2928588714142.2197,=52.1711,=0.9596,=41.1213,=31.1430,=24.3304
2022-09-19,=21454.9400,=26927.6400,=6730142158419.3779,=6062212268399,=2914997976940.1201,=51.8879,=0.9583,=41.1193,=31.1371,=24.3304
2022-09-16,=21267.1700,=26691.9600,=6677950345870.3281,=6010012714367,=2891398536019.7290,=51.4855,=0.9552,=41.1193,=31.1312,=24.3204
2022-09-15,=21680.9300,=27211.2700,=6796720857730.8301,=6110220460388,=2940434504350.4404,=52.4012,=0.9623,=41.1075,=31.1304,=24.3204
2022-09-14,=21691.3800,=27210.6100,=6779471088853.8984,=6090076753539,=2935001932635.1792,=52.2682,=0.9601,=41.0880,=31.1296,=24.3204
2022-09-13,=21842.4400,=27400.1200,=6818882623660.8604,=6126416895479,=2954242013197.8096,=52.5720,=0.9635,=41.0576,=31.1283,=24.3204
2022-09-09,=21505.6000,=26977.5600,=6707590077074.5488,=6019625236403,=2907086733613.1699,=51.7140,=0.9579,=41.0388,=31.1271,=24.3204
2022-09-08,=21256.6600,=26665.2800,=6612381815942.3203,=5930997149876,=2868632308020.8706,=50.9800,=0.9535,=41.0388,=31.1228,=24.2996
2022-09-07,=21285.5000,=26701.4600,=6617295225559.0703,=5933103703073,=2873231595670.7095,=51.0178,=0.9545,=41.0207,=31.1185,=24.2996
