日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM等权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2021-03-04,=1324.1600,=1330.9600,=1886908756088.4399,=680810016194,=449239738018.0901,=10.6217,=0.1757,=11.3490,=10.9005,=10.6425
2021-03-03,=1359.4000,=1366.3800,=1927723454547.0100,=700479543667,=460928775591.9900,=10.7890,=0.3946,=11.3735,=10.9005,=10.6425
2021-03-02,=1352.0400,=1358.9800,=1918912376244.6201,=696564754310,=458510323744.7800,=10.7122,=0.2945,=11.3735,=10.9006,=10.6425
2021-03-01,=1358.1400,=1365.1100,=1922413223779.1299,=699461370470,=461024291182.4900,=10.7591,=0.3586,=11.3735,=10.9054,=10.6425
2021-02-26,=1325.5900,=1332.3900,=1875788786275.6101,=681653818666,=450463806486.8200,=10.6387,=0.1875,=11.3735,=10.9101,=10.6425
2021-02-25,=1349.7100,=1356.6400,=1915265111530.4497,=696825246573,=458074817561.5801,=10.7261,=0.3007,=11.3735,=10.9118,=10.6482
2021-02-24,=1365.6400,=1372.6500,=1931893977258.2800,=700573220410,=463260273436.6801,=10.7958,=0.4014,=11.3998,=10.9136,=10.6425
2021-02-23,=1390.5300,=1397.6600,=1970920433987.0205,=718556665541,=472164354821.8600,=10.9006,=0.4823,=11.3998,=10.9173,=10.6425
2021-02-22,=1389.9200,=1397.0500,=1961942550557.0696,=714524329678,=471775931355.2000,=10.8490,=0.4429,=11.3998,=10.9210,=10.6425
2021-02-19,=1427.9100,=1435.2400,=2024487747354.1604,=713589721615,=485603515588.9000,=10.7873,=0.3813,=11.3998,=10.9319,=10.6425
2021-02-18,=1429.7400,=1437.0800,=2029062481856.8096,=714252691377,=486386444839.2600,=10.5921,=0.1522,=11.3998,=10.9427,=10.6425
2021-02-10,=1437.0200,=1444.4000,=2022115524409.8296,=707290128887,=488472439136.6600,=10.4870,=0.0876,=11.4002,=10.9490,=10.6425
2021-02-09,=1427.6800,=1435.0100,=2004817685813.2305,=702080852363,=485136893148.2599,=10.3103,=0.0441,=11.4002,=10.9552,=10.6482
2021-02-08,=1382.4800,=1389.5800,=1927844249148.4504,=676327313921,=468795208011.2100,=10.0882,=0.0074,=11.4002,=10.9561,=10.6602
2021-02-05,=1368.8000,=1375.8300,=1920847542617.6899,=673098370617,=464150270680.9299,=10.0474,=0,=11.4002,=10.9569,=10.6602
2021-02-04,=1394.1000,=1401.2500,=1953430106107.8696,=679573417642,=472375504529.9500,=10.1729,=0.0075,=11.4002,=10.9597,=10.6609
2021-02-03,=1410.1500,=1417.3800,=1968927072655.0696,=687664116224,=476212845348.4900,=10.2991,=0.0152,=11.4122,=10.9624,=10.6609
2021-02-02,=1438.0600,=1445.4400,=2003064415090.9705,=695960596352,=486465179516.7600,=10.5064,=0.0534,=11.4122,=10.9640,=10.6663
2021-02-01,=1421.4800,=1428.7800,=1992956235496.8301,=686994564421,=481175363305.2101,=10.4460,=0.0462,=11.4122,=10.9655,=10.6720
2021-01-29,=1421.9600,=1429.2600,=1991291586344.6699,=689752802792,=482231163322.4000,=10.6609,=0.1783,=11.4122,=10.9705,=10.6802
2021-01-28,=1421.5900,=1428.8800,=1979236370495.9299,=684985358945,=480707972250.9800,=10.6942,=0.2188,=11.4122,=10.9755,=10.6843
2021-01-27,=1458.3700,=1465.8600,=2031955348882.8501,=704183923024,=493574534881.9100,=10.8223,=0.3780,=11.4176,=10.9913,=10.6802
2021-01-26,=1478.4500,=1486.0400,=2079290478122.3301,=715954881046,=500755338031.9599,=10.8981,=0.4127,=11.4176,=11.0071,=10.6802
2021-01-25,=1498.6000,=1506.2900,=2100705673593.6599,=730239695585,=506980481077.3500,=10.9569,=0.4640,=11.4176,=11.0097,=10.6802
2021-01-22,=1486.3100,=1493.9400,=2079601227238.3401,=717097229946,=501079138589.0300,=11.0246,=0.5161,=11.4176,=11.0123,=10.6802
2021-01-21,=1482.2800,=1489.8900,=2076769619873.6001,=712288919835,=501105102220.2799,=11.1585,=0.6341,=11.4176,=11.0097,=10.6802
2021-01-20,=1481.4500,=1489.0600,=2067367072120.4600,=703891542707,=500179402359.8101,=11.0862,=0.5902,=11.4228,=11.0071,=10.6720
2021-01-19,=1443.9200,=1451.3300,=2019469442899.5896,=669315392132,=487294740727.1500,=10.9655,=0.4876,=11.4228,=10.9913,=10.6720
2021-01-18,=1481.2500,=1488.8500,=2070547663034.3999,=688639338385,=499670051680.2900,=10.8925,=0.4250,=11.4228,=11.0071,=10.6720
2021-01-15,=1447.5800,=1455.0100,=2027036921169.2600,=660645227001,=485674910519.1000,=10.8105,=0.3782,=11.4228,=11.0097,=10.6720
2021-01-14,=1447.2700,=1454.7000,=2041169363817.6396,=659092558026,=486640026622.7200,=10.7387,=0.2881,=11.4228,=11.0123,=10.6720
2021-01-13,=1407.4100,=1414.6400,=1983265224491.3501,=639947187642,=472480034123.3700,=10.3685,=0.0256,=11.4303,=11.0166,=10.6663
2021-01-12,=1405.2200,=1412.4400,=1983669471453.4104,=641583038991,=471850709736.4200,=10.4195,=0.0345,=11.4303,=11.0210,=10.6720
2021-01-11,=1390.6600,=1397.7900,=1964656602864.5601,=637142908486,=467171464798.6000,=10.3720,=0.0261,=11.4303,=11.0249,=10.6802
2021-01-08,=1378.7400,=1385.8200,=1940489004478.6201,=631843873261,=462813945749.5900,=10.5420,=0.0439,=11.4303,=11.0288,=10.6843
2021-01-07,=1381.9400,=1389.0400,=1930475062178.1299,=634747199342,=463740240877.5800,=10.5810,=0.0531,=11.4303,=11.0322,=10.6905
2021-01-06,=1415.0200,=1422.2900,=1981016486874.6499,=650526565791,=475569112971.9900,=10.9005,=0.3929,=11.4362,=11.0356,=10.6905
2021-01-05,=1425.1600,=1432.4800,=1982024435334.8799,=656840342989,=478453693452.8800,=11.0415,=0.5045,=11.4362,=11.0385,=10.6905
2021-01-04,=1422.1200,=1429.4200,=1966645600537.5305,=656966997859,=477303166994.6201,=11.0123,=0.4727,=11.4362,=11.0356,=10.6905
2020-12-31,=1393.0300,=1400.1800,=1931431147474.4099,=640635223384,=466803401682.6201,=10.7900,=0.3303,=11.4362,=11.0436,=10.6905
2020-12-30,=1362.9100,=1369.9100,=1880993339269.9199,=621717432692,=456275634434.9300,=10.6391,=0.1204,=11.4362,=11.0516,=10.6905
2020-12-29,=1337.4700,=1344.3300,=1834800564988.8301,=609542857862,=446488695988.5102,=10.6152,=0.0935,=11.4534,=11.0592,=10.6905
2020-12-28,=1339.0100,=1345.8800,=1833003734936.5496,=610021673699,=447054373583.3900,=10.5879,=0.0566,=11.4534,=11.0669,=10.6977
