日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM市值加权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2022-09-22,=975.8700,=987.3600,=2466938795972.3901,=1083674450681,=789109347672.9192,=4.9350,=0.0095,=11.2803,=9.5698,=6.1397
2022-09-21,=970.3900,=981.8200,=2455573852028.7305,=1078568172502,=784708757368.7764,=4.9123,=0.0019,=11.3430,=9.5701,=6.1397
2022-09-20,=985.1500,=996.7500,=2488228368644.7397,=1095363499196,=796534122199.1760,=4.9776,=0.0114,=11.3430,=9.5703,=6.1541
2022-09-19,=975.5500,=987.0300,=2458784186157.3809,=1087358125089,=789093295354.7089,=4.9187,=0.0019,=11.3430,=9.5760,=6.1869
2022-09-16,=998.5200,=1010.2700,=2514999590211.8701,=1112811868182,=807680109906.0010,=5.0312,=0.0134,=11.3430,=9.5818,=6.1980
2022-09-15,=1000.0800,=1011.8500,=2525025641495.1504,=1114700825067,=808577133729.7231,=5.0512,=0.0153,=11.3430,=9.5862,=6.2314
2022-09-14,=1031.3000,=1043.4500,=2597854281298.6001,=1147827555804,=833607167030.7646,=5.1969,=0.0192,=11.3449,=9.5907,=6.2314
2022-09-13,=1031.1700,=1043.3100,=2601392284159.5098,=1146821159343,=833651028394.3473,=5.2040,=0.0192,=11.3449,=9.5908,=6.2339
2022-09-09,=1033.7800,=1045.9500,=2502166594088.1001,=1143161652778,=829011627398.5555,=4.9660,=0.0077,=11.3449,=9.5909,=6.2417
2022-09-08,=1040.7700,=1053.0300,=2513496603701.2192,=1150311601087,=834720833658.0336,=4.9884,=0.0096,=11.3449,=9.5939,=6.2759
2022-09-07,=1049.5800,=1061.9400,=2538099344757.8701,=1159341219392,=841810584941.2349,=5.0373,=0.0097,=11.3449,=9.5969,=6.3954
2022-09-06,=1035.7800,=1047.9800,=2510436232182.2402,=1141263026495,=831021765071.7922,=4.9824,=0.0077,=11.3839,=9.5979,=6.3954
2022-09-05,=1024.3900,=1036.4500,=2474809702925.5698,=1130318084050,=821616605089.6046,=4.9117,=0,=11.3839,=9.5989,=6.4625
2022-09-02,=1030.1200,=1042.2500,=2487497610237.2397,=1131192702562,=825225177378.8448,=4.9368,=0.0039,=11.3839,=9.6032,=6.5982
2022-09-01,=1025.6600,=1037.7300,=2479462794591.9404,=1125590361903,=822289248941.8237,=4.9209,=0,=11.3839,=9.6076,=6.7045
2022-08-31,=1029.6600,=1041.7800,=2484667929085.0298,=1129139309083,=825470167214.0229,=4.9312,=0,=11.3839,=9.6185,=6.7552
2022-08-30,=1050.2800,=1062.6500,=2536171831527.3604,=1149342090742,=839945047975.0762,=5.0701,=0,=11.3895,=9.6295,=6.7552
2022-08-29,=1054.2800,=1066.7000,=2544921097883.1401,=1154010982435,=843192420344.0885,=5.1398,=0,=11.3895,=9.6332,=6.7819
2022-08-26,=1045.9900,=1058.3100,=2514793515916.7603,=1144212427346,=835179026614.4409,=5.2249,=0,=11.3895,=9.6369,=6.9034
2022-08-25,=1055.8900,=1068.3200,=2533113923781.9399,=1156732777754,=833847813942.2605,=5.3697,=0.0079,=11.3895,=9.6397,=6.9562
2022-08-24,=1068.9800,=1081.5700,=2565689918875.5996,=1169111735006,=844489603494.0752,=5.4405,=0.0138,=11.3895,=9.6425,=6.9730
2022-08-23,=1107.3000,=1120.3400,=2651909437699.6211,=1212414126817,=874895418534.9044,=5.6303,=0.0651,=11.3964,=9.6531,=6.9730
2022-08-22,=1107.2800,=1120.2500,=2653488207106.0405,=1215891329454,=873985402911.3715,=5.6359,=0.0672,=11.3964,=9.6638,=7.0199
2022-08-19,=1108.4500,=1121.4300,=2661081816057.1699,=1214025426289,=874025241315.8333,=5.6596,=0.0733,=11.3964,=9.6647,=7.0241
2022-08-18,=1146.6300,=1160.0600,=2745467296365.4502,=1256078221009,=904931959571.1855,=5.8452,=0.1389,=11.3964,=9.6656,=7.0445
2022-08-17,=1132.3100,=1145.5100,=2713467921743.5303,=1228607975970,=889778744000.2413,=5.7833,=0.1193,=11.3964,=9.6797,=7.0841
2022-08-16,=1137.3000,=1150.5600,=2720652559978.2197,=1234396713638,=892827837845.0703,=5.8023,=0.1215,=11.4259,=9.6938,=7.0841
2022-08-15,=1143.7500,=1157.0800,=2729177091602.6812,=1242300088240,=897344990653.6931,=5.8200,=0.1257,=11.4259,=9.7006,=7.0987
2022-08-12,=1146.1900,=1159.5600,=2728590639838.2100,=1240695935325,=894220157143.5688,=5.8195,=0.1240,=11.4259,=9.7075,=7.1731
2022-08-11,=1173.1400,=1186.8200,=2793744370652.7900,=1272226004662,=916010790209.6696,=5.9668,=0.1403,=11.4259,=9.7099,=7.1921
2022-08-10,=1156.1600,=1169.6400,=2747577447495.3701,=1242631647362,=901943712170.2428,=5.8718,=0.1325,=11.4259,=9.7123,=7.1952
2022-08-09,=1162.3200,=1175.8700,=2762739426468.4395,=1248784693500,=907027502385.2860,=5.9118,=0.1348,=11.4340,=9.7229,=7.1952
2022-08-08,=1152.5800,=1166.0200,=2731588288593.6201,=1240352253912,=900071381522.7145,=5.8444,=0.1310,=11.4340,=9.7336,=7.1983
2022-08-05,=1157.3300,=1170.8300,=2748224941942.1704,=1196451619654,=903099952473.3414,=5.9088,=0.1313,=11.4340,=9.7412,=7.2064
2022-08-04,=1110.9200,=1123.7100,=2636835311913.5396,=1148428511581,=867068358127.6445,=5.6711,=0.0769,=11.4340,=9.7488,=7.2328
2022-08-03,=1100.3500,=1113.0100,=2614395292176.1499,=1136628408702,=858984107146.4122,=5.6885,=0.0811,=11.4340,=9.7506,=7.2463
2022-08-02,=1094.9100,=1107.5200,=2598196332671.3198,=1130829509688,=854378270072.5283,=5.6532,=0.0732,=11.4900,=9.7524,=7.2463
2022-08-01,=1100.1800,=1112.8500,=2622565723407.0293,=1135867182260,=858944446974.1066,=5.7062,=0.0916,=11.4900,=9.7528,=7.2506
2022-07-29,=1088.9100,=1101.4500,=2601382972973.7603,=1123351723749,=849866835925.5997,=5.6602,=0.0735,=11.4900,=9.7532,=7.2589
2022-07-28,=1108.7900,=1121.5500,=2644461994981.0908,=1143722287736,=865779810324.9150,=5.7539,=0.1043,=11.4900,=9.7583,=7.2594
2022-07-27,=1095.7000,=1107.9700,=2615052661110.0903,=1129577941073,=855905432944.4158,=5.6899,=0.0779,=11.4900,=9.7634,=7.3018
2022-07-26,=1084.6600,=1096.8100,=2581579669416.0293,=1118613709654,=847329150262.8198,=5.6171,=0.0534,=11.5202,=9.7672,=7.3018
2022-07-25,=1073.7600,=1085.7900,=2557757197036.6802,=1106357649124,=839380567801.1854,=5.5652,=0.0350,=11.5202,=9.7709,=7.3058
2022-07-22,=1084.9700,=1097.1300,=2593713351365.5298,=1116021998821,=848550760846.0277,=5.6435,=0.0680,=11.5202,=9.7724,=7.3511
2022-07-21,=1091.4100,=1103.5400,=2610242545772.2695,=1007956274978,=854051522948.3180,=5.6794,=0.0682,=11.5202,=9.7738,=7.3675
2022-07-20,=1079.5300,=1091.5300,=2586081798446.2397,=997973608164,=844772705392.8816,=5.6269,=0.0538,=11.5202,=9.7823,=7.3837
2022-07-19,=1061.8500,=1073.5900,=2530953260652.3701,=981416872649,=831201570110.8739,=5.5069,=0.0228,=11.5402,=9.7908,=7.3837
2022-07-18,=1069.3300,=1080.6100,=2550419580765.7900,=988119698720,=836593143133.7125,=5.5493,=0.0270,=11.5402,=9.7923,=7.4040
2022-07-15,=1072.2600,=1083.5700,=2552955112349.1201,=987570634992,=839388530172.2125,=5.5548,=0.0292,=11.5402,=9.7937,=7.4057
2022-07-14,=1076.8100,=1088.1600,=2569428228659.4702,=992086295760,=842692715125.4254,=5.5906,=0.0334,=11.5402,=9.7985,=7.4207
2022-07-13,=1052.7900,=1063.8900,=2521736740593.8604,=970025463862,=823948360032.2761,=5.4869,=0.0209,=11.5402,=9.8033,=7.4227
2022-07-12,=1049.2400,=1060.3100,=2516302033991.2500,=965765569537,=821029383045.5641,=5.4750,=0.0189,=11.5427,=9.8097,=7.4227
2022-07-11,=1081.1600,=1092.5600,=2586685924597.1499,=992597636814,=846534377249.1475,=5.6282,=0.0420,=11.5427,=9.8162,=7.4486
2022-07-08,=1104.0200,=1115.6600,=2638856847960.8901,=1012603752409,=864612658198.0779,=5.7417,=0.0737,=11.5427,=9.8201,=7.4684
2022-07-07,=1111.6700,=1123.3100,=2650752949136.2495,=1019869186161,=870965035668.2828,=5.7676,=0.0802,=11.5427,=9.8240,=7.4733
2022-07-06,=1101.7500,=1113.2800,=2636678868194.1401,=1010539172475,=862990793863.8739,=5.7370,=0.0698,=11.5427,=9.8260,=7.4815
2022-07-05,=1090.9300,=1102.3500,=2630259050994.9199,=1002499426332,=855834738008.8295,=5.7230,=0.0678,=11.5581,=9.8280,=7.4815
2022-07-04,=1095.0900,=1106.5400,=2640905031034.7002,=1007878253951,=859326179555.2888,=5.7462,=0.0722,=11.5581,=9.8299,=7.5205
2022-07-01,=1089.0300,=1100.4100,=2620611563214.6597,=1002506132422,=854365479394.5780,=5.7020,=0.0617,=11.5581,=9.8318,=7.5659
2022-06-30,=1105.6700,=1117.2300,=2657588328281.4800,=1017419653705,=866923827673.3500,=5.7825,=0.0725,=11.5581,=9.8336,=7.5693
2022-06-29,=1090.6800,=1102.0900,=2616357779863.4800,=1002486852740,=854205980753.4575,=5.6927,=0.0556,=11.5581,=9.8354,=7.5794
2022-06-28,=1117.2800,=1128.9600,=2678851904655.7896,=1025758247447,=875243179744.4058,=5.8287,=0.0771,=11.5587,=9.8368,=7.5794
2022-06-27,=1103.4000,=1114.9000,=2638040224577.0400,=1014003369184,=865257978153.0271,=5.7399,=0.0644,=11.5587,=9.8383,=7.5857
2022-06-24,=1101.4800,=1112.9600,=2641188395106.6797,=1006154654488,=863299196544.4895,=5.7197,=0.0624,=11.5587,=9.8402,=7.6086
2022-06-23,=1081.8400,=1093.0100,=2600500036716.1304,=987727635213,=848094928066.8396,=5.6315,=0.0496,=11.5587,=9.8421,=7.6124
2022-06-22,=1063.6900,=1074.2300,=2560634048175.1201,=962801384126,=833878138706.1946,=5.5452,=0.0216,=11.5587,=9.8427,=7.6565
2022-06-21,=1083.0200,=1093.7500,=2602833181768.2412,=980390551498,=848915489779.9194,=5.6366,=0.0476,=11.5689,=9.8433,=7.6565
2022-06-20,=1095.3300,=1106.0900,=2634487004815.7100,=990999838516,=858863367799.4480,=5.7052,=0.0542,=11.5689,=9.8436,=7.7960
2022-06-17,=1092.0900,=1102.7200,=2626541511632.0811,=987946881483,=856456016071.6747,=5.6879,=0.0478,=11.5689,=9.8439,=7.7993
2022-06-16,=1078.9500,=1089.4500,=2599220173183.4189,=976506883016,=845736749323.2626,=5.6288,=0.0414,=11.5689,=9.8479,=7.9065
2022-06-15,=1062.7100,=1073.0200,=2564359137999.4502,=961598464459,=832966853126.6001,=5.5533,=0.0218,=11.5689,=9.8520,=7.9842
2022-06-14,=1070.5400,=1080.9200,=2589571794376.5303,=968279264090,=838687605090.2175,=5.6079,=0.0306,=11.5802,=9.8609,=7.9842
2022-06-13,=1088.3800,=1098.8100,=2629342957912.6704,=985042794946,=852695579103.2848,=5.6940,=0.0417,=11.5802,=9.8697,=7.9995
2022-06-10,=1102.8500,=1113.3000,=2349988361715.9502,=983728570752,=845304780183.8829,=6.1980,=0.0791,=11.5802,=9.8704,=8.0095
2022-06-09,=1081.1700,=1091.3200,=2305516021926.9600,=966543153597,=830036955305.4952,=6.0807,=0.0683,=11.5802,=9.8711,=8.0211
2022-06-08,=1111.6700,=1121.8200,=2363609751134.9097,=991819130075,=852318483860.7762,=6.2339,=0.0795,=11.5802,=9.8785,=8.0599
2022-06-07,=1111.4000,=1121.4800,=2362664378574.0698,=991220366312,=851398552331.4651,=6.2314,=0.0774,=11.5862,=9.8860,=8.0599
2022-06-06,=1121.5400,=1131.7100,=2379527086218.8101,=1000760212509,=858872746592.1276,=6.2759,=0.0798,=11.5862,=9.8902,=8.0792
2022-06-02,=1079.8500,=1089.6500,=2292949887519.7100,=962382555546,=827096693896.5106,=6.0476,=0.0622,=11.5862,=9.8944,=8.1231
2022-06-01,=1031.5800,=1040.9100,=2196688839120.8804,=919192170813,=789564128354.0320,=5.7937,=0.0490,=11.5862,=9.8963,=8.1303
2022-05-31,=1035.3200,=1044.6100,=2200585121376.2197,=921259840627,=790981122520.7517,=5.8039,=0.0491,=11.5862,=9.8983,=8.1404
2022-05-30,=1001.5400,=1010.5300,=2129364142856.8501,=889820714324,=764443902067.6945,=5.6161,=0.0336,=11.6050,=9.9003,=8.1404
2022-05-27,=993.7000,=1002.6200,=2111226377193.1790,=871823166635,=756126887648.4611,=5.5683,=0.0247,=11.6050,=9.9024,=8.1589
2022-05-26,=1004.2600,=1013.1800,=2128776281461.5701,=883580927158,=765077458114.0754,=5.6146,=0.0292,=11.6050,=9.9044,=8.1617
2022-05-25,=1006.5200,=1015.1000,=2134729106963.4905,=885274792308,=766366056161.3400,=5.6303,=0.0338,=11.6050,=9.9065,=8.2012
