日期,="华夏上证科创板50成份ETF相对起始点分红再投入收益率",="科创50相对起始点全收益率",="绝对收益率差值(基金相对值 / 指数相对值 - 1)"
2022-06-09,=-0.2154,=-0.1891,=-0.0324
2022-06-08,=-0.1947,=-0.1664,=-0.0340
2022-06-07,=-0.1949,=-0.1667,=-0.0339
2022-06-06,=-0.1883,=-0.1591,=-0.0348
2022-06-02,=-0.2183,=-0.1903,=-0.0346
2022-06-01,=-0.2531,=-0.2265,=-0.0343
2022-05-31,=-0.2505,=-0.2238,=-0.0344
2022-05-30,=-0.2747,=-0.2491,=-0.0341
2022-05-27,=-0.2801,=-0.2550,=-0.0337
2022-05-26,=-0.2726,=-0.2471,=-0.0338
2022-05-25,=-0.2713,=-0.2457,=-0.0339
2022-05-24,=-0.2784,=-0.2531,=-0.0338
2022-05-23,=-0.2429,=-0.2162,=-0.0340
2022-05-20,=-0.2434,=-0.2168,=-0.0340
2022-05-19,=-0.2499,=-0.2236,=-0.0339
2022-05-18,=-0.2660,=-0.2403,=-0.0338
2022-05-17,=-0.2686,=-0.2431,=-0.0338
2022-05-16,=-0.2786,=-0.2534,=-0.0338
2022-05-13,=-0.2683,=-0.2428,=-0.0337
2022-05-12,=-0.2667,=-0.2411,=-0.0337
2022-05-11,=-0.2744,=-0.2491,=-0.0337
2022-05-10,=-0.2963,=-0.2718,=-0.0337
2022-05-09,=-0.3147,=-0.2908,=-0.0338
2022-05-06,=-0.3179,=-0.2942,=-0.0336
2022-05-05,=-0.3079,=-0.2839,=-0.0336
2022-04-29,=-0.3144,=-0.2906,=-0.0335
2022-04-28,=-0.3461,=-0.3237,=-0.0332
2022-04-27,=-0.3437,=-0.3211,=-0.0332
2022-04-26,=-0.3714,=-0.3499,=-0.0331
2022-04-25,=-0.3597,=-0.3377,=-0.0333
2022-04-22,=-0.3181,=-0.2944,=-0.0336
2022-04-21,=-0.3068,=-0.2827,=-0.0336
2022-04-20,=-0.2955,=-0.2709,=-0.0338
2022-04-19,=-0.2837,=-0.2586,=-0.0339
2022-04-18,=-0.2730,=-0.2476,=-0.0338
2022-04-15,=-0.2954,=-0.2710,=-0.0335
2022-04-14,=-0.2940,=-0.2694,=-0.0337
2022-04-13,=-0.3018,=-0.2774,=-0.0338
2022-04-12,=-0.2803,=-0.2552,=-0.0337
2022-04-11,=-0.2844,=-0.2595,=-0.0336
2022-04-08,=-0.2565,=-0.2307,=-0.0337
2022-04-07,=-0.2502,=-0.2240,=-0.0337
2022-04-06,=-0.2341,=-0.2072,=-0.0339
2022-04-01,=-0.2118,=-0.1843,=-0.0337
2022-03-31,=-0.2104,=-0.1829,=-0.0337
2022-03-30,=-0.1948,=-0.1668,=-0.0336
2022-03-29,=-0.2183,=-0.1912,=-0.0336
2022-03-28,=-0.2106,=-0.1831,=-0.0336
2022-03-25,=-0.1988,=-0.1710,=-0.0335
2022-03-24,=-0.1788,=-0.1503,=-0.0335
2022-03-23,=-0.1720,=-0.1431,=-0.0336
2022-03-22,=-0.1790,=-0.1505,=-0.0336
2022-03-21,=-0.1659,=-0.1370,=-0.0335
2022-03-18,=-0.1717,=-0.1430,=-0.0336
2022-03-17,=-0.1729,=-0.1442,=-0.0336
2022-03-16,=-0.1854,=-0.1571,=-0.0336
2022-03-15,=-0.2086,=-0.1811,=-0.0335
2022-03-14,=-0.1853,=-0.1565,=-0.0342
2022-03-11,=-0.1600,=-0.1303,=-0.0341
2022-03-10,=-0.1651,=-0.1362,=-0.0334
2022-03-09,=-0.1829,=-0.1540,=-0.0342
2022-03-08,=-0.1775,=-0.1484,=-0.0342
2022-03-07,=-0.1541,=-0.1238,=-0.0346
2022-03-04,=-0.1304,=-0.0990,=-0.0349
2022-03-03,=-0.1255,=-0.0939,=-0.0349
2022-03-02,=-0.1107,=-0.0786,=-0.0348
2022-03-01,=-0.1044,=-0.0720,=-0.0348
2022-02-28,=-0.0972,=-0.0641,=-0.0353
2022-02-25,=-0.1035,=-0.0707,=-0.0354
2022-02-24,=-0.1222,=-0.0900,=-0.0354
2022-02-23,=-0.1108,=-0.0780,=-0.0356
2022-02-22,=-0.1450,=-0.1133,=-0.0358
2022-02-21,=-0.1381,=-0.1061,=-0.0358
2022-02-18,=-0.1300,=-0.0980,=-0.0355
2022-02-17,=-0.1274,=-0.0954,=-0.0354
2022-02-16,=-0.1349,=-0.1031,=-0.0354
2022-02-15,=-0.1307,=-0.0989,=-0.0353
2022-02-14,=-0.1549,=-0.1242,=-0.0351
2022-02-11,=-0.1549,=-0.1240,=-0.0352
2022-02-10,=-0.1416,=-0.1101,=-0.0354
2022-02-09,=-0.1257,=-0.0936,=-0.0355
2022-02-08,=-0.1302,=-0.0982,=-0.0355
2022-02-07,=-0.1088,=-0.0761,=-0.0354
2022-01-28,=-0.1121,=-0.0794,=-0.0355
2022-01-27,=-0.1040,=-0.0709,=-0.0356
2022-01-26,=-0.0783,=-0.0441,=-0.0358
2022-01-25,=-0.0779,=-0.0436,=-0.0358
2022-01-24,=-0.0557,=-0.0206,=-0.0359
2022-01-21,=-0.0683,=-0.0336,=-0.0360
2022-01-20,=-0.0572,=-0.0219,=-0.0361
2022-01-19,=-0.0440,=-0.0083,=-0.0360
2022-01-18,=-0.0309,=0.0053,=-0.0361
2022-01-17,=-0.0338,=0.0023,=-0.0361
2022-01-14,=-0.0526,=-0.0172,=-0.0361
2022-01-13,=-0.0654,=-0.0304,=-0.0361
2022-01-12,=-0.0497,=-0.0141,=-0.0361
2022-01-11,=-0.0655,=-0.0306,=-0.0360
2022-01-10,=-0.0483,=-0.0127,=-0.0360
2022-01-07,=-0.0574,=-0.0223,=-0.0360
2022-01-06,=-0.0465,=-0.0107,=-0.0362
2022-01-05,=-0.0377,=-0.0014,=-0.0364
2022-01-04,=-0.0149,=0.0223,=-0.0364
2021-12-31,=0.0093,=0.0472,=-0.0362
2021-12-30,=-0.0069,=0.0302,=-0.0361
2021-12-29,=-0.0208,=0.0157,=-0.0360
2021-12-28,=-0.0112,=0.0258,=-0.0360
2021-12-27,=-0.0212,=0.0153,=-0.0359
2021-12-24,=-0.0192,=0.0176,=-0.0361
2021-12-23,=-0.0065,=0.0305,=-0.0359
2021-12-22,=-0.0074,=0.0298,=-0.0361
2021-12-21,=-0.0080,=0.0295,=-0.0364
2021-12-20,=-0.0160,=0.0215,=-0.0368
2021-12-17,=0.0077,=0.0478,=-0.0383
2021-12-16,=0.0269,=0.0679,=-0.0384
2021-12-15,=0.0259,=0.0672,=-0.0387
2021-12-14,=0.0367,=0.0781,=-0.0383
2021-12-13,=0.0401,=0.0827,=-0.0394
2021-12-10,=0.0382,=0.0753,=-0.0345
2021-12-09,=0.0353,=0.0744,=-0.0364
2021-12-08,=0.0216,=0.0600,=-0.0363
2021-12-07,=0.0030,=0.0406,=-0.0362
2021-12-06,=0.0141,=0.0528,=-0.0368
2021-12-03,=0.0418,=0.0821,=-0.0372
2021-12-02,=0.0308,=0.0706,=-0.0372
2021-12-01,=0.0502,=0.0908,=-0.0372
2021-11-30,=0.0644,=0.1052,=-0.0369
2021-11-29,=0.0613,=0.1018,=-0.0368
2021-11-26,=0.0533,=0.0934,=-0.0367
2021-11-25,=0.0590,=0.0995,=-0.0368
2021-11-24,=0.0620,=0.1026,=-0.0368
2021-11-23,=0.0650,=0.1056,=-0.0367
2021-11-22,=0.0678,=0.1084,=-0.0366
2021-11-19,=0.0424,=0.0820,=-0.0366
2021-11-18,=0.0274,=0.0664,=-0.0366
2021-11-17,=0.0360,=0.0756,=-0.0367
2021-11-16,=0.0253,=0.0644,=-0.0367
2021-11-15,=0.0335,=0.0729,=-0.0367
2021-11-12,=0.0389,=0.0785,=-0.0368
2021-11-11,=0.0366,=0.0763,=-0.0369
2021-11-10,=0.0247,=0.0638,=-0.0368
2021-11-09,=0.0247,=0.0638,=-0.0368
2021-11-08,=0.0106,=0.0491,=-0.0367
2021-11-05,=0.0076,=0.0460,=-0.0368
2021-11-04,=0.0176,=0.0565,=-0.0368
2021-11-03,=0.0096,=0.0481,=-0.0368
2021-11-02,=0.0140,=0.0527,=-0.0368
2021-11-01,=0.0130,=0.0516,=-0.0367
2021-10-29,=0.0072,=0.0456,=-0.0367
2021-10-28,=-0.0213,=0.0158,=-0.0365
2021-10-27,=-0.0174,=0.0199,=-0.0366
2021-10-26,=-0.0072,=0.0306,=-0.0367
2021-10-25,=-0.0042,=0.0337,=-0.0367
2021-10-22,=-0.0131,=0.0246,=-0.0368
2021-10-21,=-0.0172,=0.0203,=-0.0367
2021-10-20,=-0.0090,=0.0287,=-0.0367
2021-10-19,=-0.0140,=0.0236,=-0.0367
2021-10-18,=-0.0242,=0.0130,=-0.0367
2021-10-15,=-0.0167,=0.0209,=-0.0369
2021-10-14,=-0.0282,=0.0090,=-0.0368
2021-10-13,=-0.0300,=0.0071,=-0.0369
2021-10-12,=-0.0483,=-0.0119,=-0.0368
2021-10-11,=-0.0265,=0.0109,=-0.0369
2021-10-08,=-0.0159,=0.0219,=-0.0370
2021-09-30,=-0.0128,=0.0250,=-0.0369
2021-09-29,=-0.0293,=0.0079,=-0.0369
2021-09-28,=-0.0233,=0.0141,=-0.0368
2021-09-27,=-0.0128,=0.0250,=-0.0369
2021-09-24,=-0.0081,=0.0298,=-0.0368
2021-09-23,=-0.0160,=0.0214,=-0.0366
2021-09-22,=-0.0222,=0.0150,=-0.0366
2021-09-17,=-0.0261,=0.0108,=-0.0365
2021-09-16,=-0.0251,=0.0121,=-0.0367
2021-09-15,=-0.0014,=0.0369,=-0.0369
2021-09-14,=0.0074,=0.0460,=-0.0369
2021-09-13,=-0.0015,=0.0368,=-0.0369
2021-09-10,=0.0285,=0.0686,=-0.0374
2021-09-09,=0.0099,=0.0501,=-0.0383
2021-09-08,=0.0176,=0.0580,=-0.0382
2021-09-07,=0.0367,=0.0774,=-0.0377
2021-09-06,=0.0368,=0.0777,=-0.0379
2021-09-03,=0.0102,=0.0491,=-0.0371
2021-09-02,=0.0087,=0.0481,=-0.0376
2021-09-01,=0.0266,=0.0670,=-0.0378
2021-08-31,=0.0386,=0.0793,=-0.0377
2021-08-30,=0.0606,=0.1020,=-0.0375
2021-08-27,=0.0671,=0.1086,=-0.0375
2021-08-26,=0.0792,=0.1214,=-0.0376
2021-08-25,=0.1117,=0.1554,=-0.0378
2021-08-24,=0.1370,=0.1818,=-0.0379
2021-08-23,=0.1272,=0.1713,=-0.0377
2021-08-20,=0.1020,=0.1451,=-0.0377
2021-08-19,=0.1140,=0.1579,=-0.0379
2021-08-18,=0.0867,=0.1293,=-0.0378
2021-08-17,=0.0876,=0.1303,=-0.0378
2021-08-16,=0.1154,=0.1592,=-0.0378
2021-08-13,=0.1190,=0.1629,=-0.0377
2021-08-12,=0.1433,=0.1881,=-0.0377
2021-08-11,=0.1377,=0.1823,=-0.0377
2021-08-10,=0.1444,=0.1894,=-0.0378
2021-08-09,=0.1345,=0.1791,=-0.0378
2021-08-06,=0.1434,=0.1882,=-0.0377
2021-08-05,=0.1564,=0.2018,=-0.0378
2021-08-04,=0.1572,=0.2026,=-0.0378
2021-08-03,=0.1272,=0.1714,=-0.0378
2021-08-02,=0.1528,=0.1978,=-0.0376
2021-07-30,=0.1469,=0.1916,=-0.0376
2021-07-29,=0.1448,=0.1896,=-0.0376
2021-07-28,=0.0945,=0.1373,=-0.0376
2021-07-27,=0.1137,=0.1572,=-0.0376
2021-07-26,=0.1222,=0.1659,=-0.0375
2021-07-23,=0.1267,=0.1708,=-0.0376
2021-07-22,=0.1401,=0.1848,=-0.0377
2021-07-21,=0.1281,=0.1724,=-0.0378
2021-07-20,=0.0971,=0.1402,=-0.0378
2021-07-19,=0.0910,=0.1339,=-0.0378
2021-07-16,=0.0990,=0.1421,=-0.0377
2021-07-15,=0.1245,=0.1687,=-0.0378
2021-07-14,=0.1210,=0.1649,=-0.0377
2021-07-13,=0.1455,=0.1905,=-0.0378
2021-07-12,=0.1531,=0.1984,=-0.0378
2021-07-09,=0.1404,=0.1850,=-0.0377
2021-07-08,=0.1597,=0.2053,=-0.0378
2021-07-07,=0.1301,=0.1748,=-0.0380
2021-07-06,=0.1035,=0.1469,=-0.0379
2021-07-05,=0.1342,=0.1792,=-0.0381
2021-07-02,=0.1072,=0.1509,=-0.0380
2021-07-01,=0.1372,=0.1821,=-0.0380
2021-06-30,=0.1433,=0.1884,=-0.0380
2021-06-29,=0.1245,=0.1688,=-0.0379
2021-06-28,=0.1249,=0.1694,=-0.0380
2021-06-25,=0.1047,=0.1483,=-0.0380
2021-06-24,=0.0830,=0.1256,=-0.0379
2021-06-23,=0.1041,=0.1477,=-0.0380
2021-06-22,=0.0962,=0.1395,=-0.0380
2021-06-21,=0.0994,=0.1429,=-0.0381
2021-06-18,=0.0752,=0.1179,=-0.0382
2021-06-17,=0.0600,=0.1020,=-0.0381
2021-06-16,=0.0102,=0.0517,=-0.0395
2021-06-15,=0.0406,=0.0829,=-0.0391
2021-06-11,=0.0312,=0.0740,=-0.0399
2021-06-10,=0.0392,=0.0842,=-0.0415
2021-06-09,=0.0235,=0.0669,=-0.0406
2021-06-08,=0.0174,=0.0607,=-0.0409
2021-06-07,=0.0264,=0.0715,=-0.0421
2021-06-04,=0.0238,=0.0700,=-0.0432
2021-06-03,=0.0119,=0.0572,=-0.0429
2021-06-02,=0.0206,=0.0664,=-0.0430
2021-06-01,=0.0446,=0.0916,=-0.0431
2021-05-31,=0.0317,=0.0782,=-0.0431
2021-05-28,=-0.0087,=0.0358,=-0.0430
2021-05-27,=-0.0003,=0.0446,=-0.0429
2021-05-26,=-0.0244,=0.0193,=-0.0429
2021-05-25,=-0.0201,=0.0238,=-0.0429
2021-05-24,=-0.0481,=-0.0055,=-0.0429
2021-05-21,=-0.0593,=-0.0172,=-0.0428
2021-05-20,=-0.0488,=-0.0063,=-0.0427
2021-05-19,=-0.0517,=-0.0093,=-0.0428
2021-05-18,=-0.0549,=-0.0126,=-0.0428
2021-05-17,=-0.0496,=-0.0072,=-0.0427
2021-05-14,=-0.0700,=-0.0284,=-0.0428
2021-05-13,=-0.0879,=-0.0471,=-0.0427
2021-05-12,=-0.0910,=-0.0505,=-0.0427
2021-05-11,=-0.1003,=-0.0601,=-0.0428
2021-05-10,=-0.1029,=-0.0628,=-0.0427
2021-05-07,=-0.0960,=-0.0558,=-0.0426
2021-05-06,=-0.0628,=-0.0212,=-0.0424
2021-04-30,=-0.0540,=-0.0123,=-0.0423
2021-04-29,=-0.0528,=-0.0110,=-0.0423
2021-04-28,=-0.0527,=-0.0108,=-0.0423
2021-04-27,=-0.0615,=-0.0200,=-0.0423
2021-04-26,=-0.0594,=-0.0178,=-0.0424
2021-04-23,=-0.0617,=-0.0201,=-0.0425
2021-04-22,=-0.0665,=-0.0251,=-0.0425
2021-04-21,=-0.0797,=-0.0388,=-0.0425
2021-04-20,=-0.0770,=-0.0361,=-0.0425
2021-04-19,=-0.0710,=-0.0297,=-0.0425
2021-04-16,=-0.0884,=-0.0479,=-0.0425
2021-04-15,=-0.0960,=-0.0558,=-0.0426
2021-04-14,=-0.1028,=-0.0628,=-0.0426
2021-04-13,=-0.1122,=-0.0728,=-0.0426
2021-04-12,=-0.1107,=-0.0712,=-0.0425
2021-04-09,=-0.0909,=-0.0503,=-0.0427
2021-04-08,=-0.0763,=-0.0351,=-0.0427
2021-04-07,=-0.0713,=-0.0299,=-0.0427
2021-04-06,=-0.0729,=-0.0315,=-0.0427
2021-04-02,=-0.0706,=-0.0291,=-0.0428
2021-04-01,=-0.0943,=-0.0539,=-0.0428
2021-03-31,=-0.1074,=-0.0676,=-0.0427
2021-03-30,=-0.1074,=-0.0676,=-0.0427
2021-03-29,=-0.1057,=-0.0658,=-0.0427
2021-03-26,=-0.1016,=-0.0614,=-0.0428
2021-03-25,=-0.1280,=-0.0890,=-0.0428
2021-03-24,=-0.1268,=-0.0877,=-0.0429
2021-03-23,=-0.1162,=-0.0765,=-0.0430
2021-03-22,=-0.1117,=-0.0718,=-0.0430
2021-03-19,=-0.1199,=-0.0804,=-0.0430
2021-03-18,=-0.1128,=-0.0729,=-0.0430
2021-03-17,=-0.1162,=-0.0764,=-0.0430
2021-03-16,=-0.1277,=-0.0885,=-0.0430
2021-03-15,=-0.1256,=-0.0863,=-0.0430
2021-03-12,=-0.0985,=-0.0579,=-0.0431
2021-03-11,=-0.0926,=-0.0535,=-0.0413
2021-03-10,=-0.1170,=-0.0793,=-0.0410
2021-03-09,=-0.1192,=-0.0812,=-0.0414
2021-03-08,=-0.0874,=-0.0474,=-0.0420
2021-03-05,=-0.0486,=-0.0068,=-0.0421
2021-03-04,=-0.0522,=-0.0110,=-0.0417
2021-03-03,=-0.0273,=0.0153,=-0.0420
2021-03-02,=-0.0326,=0.0098,=-0.0420
2021-03-01,=-0.0282,=0.0144,=-0.0420
2021-02-26,=-0.0516,=-0.0099,=-0.0421
2021-02-25,=-0.0342,=0.0081,=-0.0420
2021-02-24,=-0.0228,=0.0200,=-0.0420
2021-02-23,=-0.0051,=0.0386,=-0.0420
2021-02-22,=-0.0055,=0.0381,=-0.0420
2021-02-19,=0.0216,=0.0665,=-0.0421
2021-02-18,=0.0229,=0.0678,=-0.0421
2021-02-10,=0.0282,=0.0733,=-0.0420
2021-02-09,=0.0215,=0.0663,=-0.0421
2021-02-08,=-0.0110,=0.0326,=-0.0422
2021-02-05,=-0.0208,=0.0223,=-0.0422
2021-02-04,=-0.0026,=0.0412,=-0.0421
2021-02-03,=0.0088,=0.0532,=-0.0422
2021-02-02,=0.0288,=0.0741,=-0.0422
2021-02-01,=0.0171,=0.0617,=-0.0420
2021-01-29,=0.0174,=0.0620,=-0.0420
2021-01-28,=0.0172,=0.0618,=-0.0419
2021-01-27,=0.0435,=0.0892,=-0.0420
2021-01-26,=0.0578,=0.1042,=-0.0421
2021-01-25,=0.0721,=0.1193,=-0.0422
2021-01-22,=0.0633,=0.1101,=-0.0421
2021-01-21,=0.0606,=0.1071,=-0.0420
2021-01-20,=0.0601,=0.1065,=-0.0419
2021-01-19,=0.0335,=0.0784,=-0.0417
2021-01-18,=0.0601,=0.1063,=-0.0417
2021-01-15,=0.0362,=0.0812,=-0.0416
2021-01-14,=0.0360,=0.0809,=-0.0415
2021-01-13,=0.0076,=0.0512,=-0.0414
2021-01-12,=0.0060,=0.0495,=-0.0414
2021-01-11,=-0.0043,=0.0387,=-0.0414
2021-01-08,=-0.0128,=0.0298,=-0.0413
2021-01-07,=-0.0106,=0.0322,=-0.0414
2021-01-06,=0.0131,=0.0569,=-0.0414
2021-01-05,=0.0202,=0.0644,=-0.0415
2021-01-04,=0.0180,=0.0622,=-0.0416
2020-12-31,=-0.0028,=0.0404,=-0.0415
2020-12-30,=-0.0242,=0.0179,=-0.0414
2020-12-29,=-0.0424,=-0.0011,=-0.0413
2020-12-28,=-0.0413,=0.0001,=-0.0414
2020-12-25,=-0.0336,=0.0081,=-0.0414
2020-12-24,=-0.0349,=0.0068,=-0.0414
2020-12-23,=-0.0144,=0.0282,=-0.0414
2020-12-22,=-0.0273,=0.0147,=-0.0414
2020-12-21,=-0.0058,=0.0372,=-0.0415
2020-12-18,=-0.0254,=0.0166,=-0.0413
2020-12-17,=-0.0238,=0.0183,=-0.0413
2020-12-16,=-0.0367,=0.0047,=-0.0412
2020-12-15,=-0.0243,=0.0181,=-0.0417
2020-12-14,=-0.0187,=0.0270,=-0.0445
2020-12-11,=-0.0288,=0.0180,=-0.0459
2020-12-10,=-0.0389,=0.0159,=-0.0539
2020-12-09,=-0.0436,=0.0195,=-0.0619
2020-12-08,=-0.0226,=0.0447,=-0.0644
2020-12-07,=-0.0190,=0.0503,=-0.0659
2020-12-04,=-0.0210,=0.0493,=-0.0669
2020-12-03,=-0.0173,=0.0537,=-0.0674
2020-12-02,=-0.0185,=0.0520,=-0.0670
2020-12-01,=-0.0223,=0.0488,=-0.0678
2020-11-30,=-0.0356,=0.0348,=-0.0681
2020-11-27,=-0.0340,=0.0365,=-0.0680
2020-11-26,=-0.0357,=0.0347,=-0.0680
2020-11-25,=-0.0336,=0.0369,=-0.0680
2020-11-24,=-0.0168,=0.0552,=-0.0682
2020-11-23,=-0.0131,=0.0592,=-0.0682
2020-11-20,=-0.0044,=0.0686,=-0.0683
2020-11-19,=-0.0008,=0.0725,=-0.0684
2020-11-18,=-0.0124,=0.0600,=-0.0683
2020-11-17,=-0.0044,=0.0686,=-0.0683
2020-11-16,=0.0067,=0.0807,=-0.0685
2020-11-13,=-0.0004,=0.0732,=-0.0686
2020-11-12,,=0.0556,
2020-11-11,,=0.0423,
2020-11-10,,=0.0770,
2020-11-09,=0.0315,=0.1092,=-0.0700
2020-11-06,=0.0033,=0.0766,=-0.0681
2020-11-05,,=0.1019,
2020-11-04,,=0.0896,
2020-11-03,,=0.0822,
2020-11-02,,=0.0463,
2020-10-30,=-0.0202,=0.0411,=-0.0589
2020-10-29,,=0.0546,
2020-10-28,,=0.0501,
2020-10-27,,=0.0350,
2020-10-26,,=0.0128,
2020-10-23,=-0.0444,=-0.0018,=-0.0426
2020-10-22,,=0.0281,
2020-10-21,,=0.0433,
2020-10-20,,=0.0652,
2020-10-19,,=0.0547,
2020-10-16,=-0.0048,=0.0744,=-0.0737
2020-10-15,,=0.0858,
2020-10-14,,=0.1118,
2020-10-13,,=0.1185,
2020-10-12,,=0.1132,
2020-10-09,=0.0081,=0.0949,=-0.0792
2020-09-30,=0.0027,=0.0596,=-0.0537
2020-09-29,,=0.0381,
2020-09-28,=0,=0,=0
2020-09-25,,=0.0187,
2020-09-24,,=0.0418,
2020-09-23,,=0.0635,
2020-09-22,,=0.0382,
2020-09-21,,=0.0439,
2020-09-18,,=0.0485,
2020-09-17,,=0.0333,
2020-09-16,,=0.0080,
2020-09-15,,=0.0192,
2020-09-14,,=0.0068,
2020-09-11,,=-0.0197,
2020-09-10,,=-0.0439,
2020-09-09,,=-0.0305,
2020-09-08,,=0.0042,
2020-09-07,,=0.0133,
2020-09-04,,=0.0383,
2020-09-03,,=0.0472,
2020-09-02,,=0.0627,
2020-09-01,,=0.0655,
2020-08-31,,=0.0630,
2020-08-28,,=0.0558,
2020-08-27,,=0.0587,
2020-08-26,,=0.0331,
2020-08-25,,=0.0663,
2020-08-24,,=0.0834,
2020-08-21,,=0.0812,
2020-08-20,,=0.0774,
2020-08-19,,=0.0994,
2020-08-18,,=0.1296,
2020-08-17,,=0.1176,
2020-08-14,,=0.1084,
2020-08-13,,=0.0966,
2020-08-12,,=0.0894,
2020-08-11,,=0.1142,
2020-08-10,,=0.1469,
2020-08-07,,=0.1403,
2020-08-06,,=0.1755,
2020-08-05,,=0.1865,
2020-08-04,,=0.1696,
2020-08-03,,=0.2120,
2020-07-31,,=0.1300,
2020-07-30,,=0.1000,
2020-07-29,,=0.1030,
2020-07-28,,=0.0460,
2020-07-27,,=0.0266,
2020-07-24,,=0.0376,
2020-07-23,,=0.1159,

数据来源于：理杏仁网站(lixinger.com)
