日期,="华夏上证科创板50成份ETF相对起始点分红再投入收益率",="科创50相对起始点全收益率",="绝对收益率差值(基金相对值 / 指数相对值 - 1)"
2025-09-17,=-0.0001,=0.0491,=-0.0469
2025-09-16,=-0.0093,=0.0397,=-0.0471
2025-09-15,=-0.0219,=0.0261,=-0.0469
2025-09-12,=-0.0233,=0.0243,=-0.0465
2025-09-11,=-0.0314,=0.0151,=-0.0458
2025-09-10,=-0.0802,=-0.0363,=-0.0456
2025-09-09,=-0.0899,=-0.0467,=-0.0453
2025-09-08,=-0.0677,=-0.0235,=-0.0453
2025-09-05,=-0.0731,=-0.0291,=-0.0454
2025-09-04,=-0.1038,=-0.0609,=-0.0457
2025-09-03,=-0.0461,=-0.0001,=-0.0461
2025-09-02,=-0.0308,=0.0166,=-0.0466
2025-09-01,=-0.0094,=0.0387,=-0.0464
2025-08-29,=-0.0211,=0.0266,=-0.0465
2025-08-28,=-0.0044,=0.0444,=-0.0467
2025-08-27,=-0.0710,=-0.0260,=-0.0461
2025-08-26,=-0.0721,=-0.0273,=-0.0460
2025-08-25,=-0.0599,=-0.0144,=-0.0461
2025-08-22,=-0.0891,=-0.0449,=-0.0462
2025-08-21,=-0.1607,=-0.1205,=-0.0457
2025-08-20,=-0.1616,=-0.1212,=-0.0459
2025-08-19,=-0.1878,=-0.1489,=-0.0457
2025-08-18,=-0.1787,=-0.1393,=-0.0458
2025-08-15,=-0.1960,=-0.1573,=-0.0460
2025-08-14,=-0.2072,=-0.1692,=-0.0457
2025-08-13,=-0.2129,=-0.1753,=-0.0456
2025-08-12,=-0.2188,=-0.1814,=-0.0457
2025-08-11,=-0.2334,=-0.1967,=-0.0457
2025-08-08,=-0.2381,=-0.2015,=-0.0459
2025-08-07,=-0.2276,=-0.1904,=-0.0460
2025-08-06,=-0.2262,=-0.1892,=-0.0457
2025-08-05,=-0.2302,=-0.1939,=-0.0451
2025-08-04,=-0.2332,=-0.1971,=-0.0450
2025-08-01,=-0.2422,=-0.2068,=-0.0447
2025-07-31,=-0.2345,=-0.1984,=-0.0450
2025-07-30,=-0.2267,=-0.1902,=-0.0451
2025-07-29,=-0.2181,=-0.1811,=-0.0451
2025-07-28,=-0.2293,=-0.1928,=-0.0451
2025-07-25,=-0.2297,=-0.1935,=-0.0448
2025-07-24,=-0.2454,=-0.2101,=-0.0446
2025-07-23,=-0.2542,=-0.2193,=-0.0447
2025-07-22,=-0.2575,=-0.2228,=-0.0447
2025-07-21,=-0.2637,=-0.2292,=-0.0448
2025-07-18,=-0.2641,=-0.2295,=-0.0450
2025-07-17,=-0.2654,=-0.2309,=-0.0449
2025-07-16,=-0.2713,=-0.2370,=-0.0450
2025-07-15,=-0.2723,=-0.2381,=-0.0449
2025-07-14,=-0.2747,=-0.2411,=-0.0444
2025-07-11,=-0.2733,=-0.2395,=-0.0444
2025-07-10,=-0.2837,=-0.2506,=-0.0441
2025-07-09,=-0.2815,=-0.2483,=-0.0442
2025-07-08,=-0.2752,=-0.2416,=-0.0443
2025-07-07,=-0.2851,=-0.2521,=-0.0441
2025-07-04,=-0.2804,=-0.2471,=-0.0443
2025-07-03,=-0.2804,=-0.2470,=-0.0443
2025-07-02,=-0.2819,=-0.2488,=-0.0440
2025-07-01,=-0.2732,=-0.2396,=-0.0442
2025-06-30,=-0.2670,=-0.2330,=-0.0444
2025-06-27,=-0.2779,=-0.2446,=-0.0441
2025-06-26,=-0.2768,=-0.2433,=-0.0442
2025-06-25,=-0.2727,=-0.2390,=-0.0443
2025-06-24,=-0.2850,=-0.2519,=-0.0442
2025-06-23,=-0.2977,=-0.2651,=-0.0443
2025-06-20,=-0.3008,=-0.2679,=-0.0449
2025-06-19,=-0.2970,=-0.2640,=-0.0449
2025-06-18,=-0.2931,=-0.2601,=-0.0446
2025-06-17,=-0.2970,=-0.2640,=-0.0447
2025-06-16,=-0.2912,=-0.2581,=-0.0447
2025-06-13,=-0.2898,=-0.2566,=-0.0447
2025-06-12,=-0.2868,=-0.2531,=-0.0452
2025-06-11,=-0.2844,=-0.2508,=-0.0448
2025-06-10,=-0.2829,=-0.2493,=-0.0448
2025-06-09,=-0.2722,=-0.2381,=-0.0448
2025-06-06,=-0.2766,=-0.2427,=-0.0447
2025-06-05,=-0.2734,=-0.2391,=-0.0450
2025-06-04,=-0.2811,=-0.2473,=-0.0449
2025-06-03,=-0.2843,=-0.2507,=-0.0448
2025-05-30,=-0.2875,=-0.2543,=-0.0444
2025-05-29,=-0.2812,=-0.2477,=-0.0445
2025-05-28,=-0.2925,=-0.2597,=-0.0444
2025-05-27,=-0.2909,=-0.2579,=-0.0443
2025-05-26,=-0.2839,=-0.2508,=-0.0442
2025-05-23,=-0.2852,=-0.2521,=-0.0443
2025-05-22,=-0.2778,=-0.2444,=-0.0442
2025-05-21,=-0.2743,=-0.2407,=-0.0441
2025-05-20,=-0.2725,=-0.2391,=-0.0440
2025-05-19,=-0.2743,=-0.2409,=-0.0439
2025-05-16,=-0.2745,=-0.2409,=-0.0442
2025-05-15,=-0.2704,=-0.2367,=-0.0442
2025-05-14,=-0.2611,=-0.2269,=-0.0442
2025-05-13,=-0.2640,=-0.2300,=-0.0442
2025-05-12,=-0.2629,=-0.2288,=-0.0441
2025-05-09,=-0.2664,=-0.2326,=-0.0441
2025-05-08,=-0.2518,=-0.2173,=-0.0441
2025-05-07,=-0.2492,=-0.2144,=-0.0442
2025-05-06,=-0.2518,=-0.2172,=-0.0442
2025-04-30,=-0.2620,=-0.2280,=-0.0441
2025-04-29,=-0.2682,=-0.2345,=-0.0440
2025-04-28,=-0.2691,=-0.2353,=-0.0442
2025-04-25,=-0.2680,=-0.2340,=-0.0444
2025-04-24,=-0.2689,=-0.2349,=-0.0444
2025-04-23,=-0.2621,=-0.2278,=-0.0444
2025-04-22,=-0.2595,=-0.2251,=-0.0445
2025-04-21,=-0.2572,=-0.2226,=-0.0445
2025-04-18,=-0.2652,=-0.2309,=-0.0445
2025-04-17,=-0.2592,=-0.2246,=-0.0446
2025-04-16,=-0.2609,=-0.2264,=-0.0446
2025-04-15,=-0.2668,=-0.2326,=-0.0445
2025-04-14,=-0.2609,=-0.2266,=-0.0444
2025-04-11,=-0.2627,=-0.2285,=-0.0443
2025-04-10,=-0.2777,=-0.2441,=-0.0443
2025-04-09,=-0.2854,=-0.2523,=-0.0444
2025-04-08,=-0.3147,=-0.2831,=-0.0441
2025-04-07,=-0.3262,=-0.2953,=-0.0439
2025-04-03,=-0.2579,=-0.2237,=-0.0440
2025-04-02,=-0.2544,=-0.2201,=-0.0440
2025-04-01,=-0.2532,=-0.2189,=-0.0440
2025-03-31,=-0.2545,=-0.2201,=-0.0440
2025-03-28,=-0.2497,=-0.2150,=-0.0442
2025-03-27,=-0.2414,=-0.2065,=-0.0440
2025-03-26,=-0.2495,=-0.2153,=-0.0435
2025-03-25,=-0.2476,=-0.2133,=-0.0436
2025-03-24,=-0.2368,=-0.2024,=-0.0431
2025-03-21,=-0.2392,=-0.2047,=-0.0433
2025-03-20,=-0.2229,=-0.1880,=-0.0429
2025-03-19,=-0.2140,=-0.1788,=-0.0429
2025-03-18,=-0.2040,=-0.1690,=-0.0422
2025-03-17,=-0.2083,=-0.1740,=-0.0415
2025-03-14,=-0.2047,=-0.1703,=-0.0416
2025-03-13,=-0.2183,=-0.1843,=-0.0417
2025-03-12,=-0.2013,=-0.1668,=-0.0415
2025-03-11,=-0.1954,=-0.1606,=-0.0414
2025-03-10,=-0.1920,=-0.1573,=-0.0413
2025-03-07,=-0.1899,=-0.1554,=-0.0409
2025-03-06,=-0.1796,=-0.1447,=-0.0408
2025-03-05,=-0.2070,=-0.1735,=-0.0405
2025-03-04,=-0.2096,=-0.1759,=-0.0408
2025-03-03,=-0.2224,=-0.1899,=-0.0402
2025-02-28,=-0.2108,=-0.1774,=-0.0406
2025-02-27,=-0.1766,=-0.1412,=-0.0413
2025-02-26,=-0.1758,=-0.1407,=-0.0409
2025-02-25,=-0.1929,=-0.1590,=-0.0403
2025-02-24,=-0.1942,=-0.1612,=-0.0395
2025-02-21,=-0.1980,=-0.1652,=-0.0393
2025-02-20,=-0.2425,=-0.2122,=-0.0385
2025-02-19,=-0.2413,=-0.2111,=-0.0383
2025-02-18,=-0.2588,=-0.2289,=-0.0388
2025-02-17,=-0.2402,=-0.2090,=-0.0395
2025-02-14,=-0.2509,=-0.2203,=-0.0392
2025-02-13,=-0.2542,=-0.2244,=-0.0384
2025-02-12,=-0.2365,=-0.2061,=-0.0384
2025-02-11,=-0.2492,=-0.2188,=-0.0389
2025-02-10,=-0.2401,=-0.2094,=-0.0388
2025-02-07,=-0.2531,=-0.2231,=-0.0386
2025-02-06,=-0.2584,=-0.2289,=-0.0383
2025-02-05,=-0.2793,=-0.2505,=-0.0384
2025-01-27,=-0.2998,=-0.2717,=-0.0386
2025-01-24,=-0.2855,=-0.2566,=-0.0388
2025-01-23,=-0.2920,=-0.2633,=-0.0390
2025-01-22,=-0.2852,=-0.2563,=-0.0389
2025-01-21,=-0.2842,=-0.2555,=-0.0385
2025-01-20,=-0.2897,=-0.2617,=-0.0379
2025-01-17,=-0.2912,=-0.2635,=-0.0376
2025-01-16,=-0.2987,=-0.2707,=-0.0384
2025-01-15,=-0.2828,=-0.2545,=-0.0379
2025-01-14,=-0.2799,=-0.2514,=-0.0382
2025-01-13,=-0.3015,=-0.2739,=-0.0380
2025-01-10,=-0.3029,=-0.2752,=-0.0382
2025-01-09,=-0.2954,=-0.2669,=-0.0390
2025-01-08,=-0.2932,=-0.2641,=-0.0396
2025-01-07,=-0.2931,=-0.2638,=-0.0398
2025-01-06,=-0.3129,=-0.2842,=-0.0400
2025-01-03,=-0.3106,=-0.2818,=-0.0401
2025-01-02,=-0.3006,=-0.2715,=-0.0399
2024-12-31,=-0.2757,=-0.2459,=-0.0395
2024-12-30,=-0.2524,=-0.2217,=-0.0395
2024-12-27,=-0.2547,=-0.2233,=-0.0404
2024-12-26,=-0.2492,=-0.2169,=-0.0413
2024-12-25,=-0.2552,=-0.2242,=-0.0399
2024-12-24,=-0.2577,=-0.2268,=-0.0399
2024-12-23,=-0.2689,=-0.2385,=-0.0399
2024-12-20,=-0.2598,=-0.2289,=-0.0401
2024-12-19,=-0.2740,=-0.2428,=-0.0412
2024-12-18,=-0.2825,=-0.2516,=-0.0413
2024-12-17,=-0.2931,=-0.2624,=-0.0416
2024-12-16,=-0.2879,=-0.2563,=-0.0424
2024-12-13,=-0.2769,=-0.2453,=-0.0419
2024-12-12,=-0.2617,=-0.2292,=-0.0422
2024-12-11,=-0.2644,=-0.2320,=-0.0422
2024-12-10,=-0.2622,=-0.2292,=-0.0429
2024-12-09,=-0.2677,=-0.2349,=-0.0428
2024-12-06,=-0.2597,=-0.2265,=-0.0430
2024-12-05,=-0.2684,=-0.2361,=-0.0424
2024-12-04,=-0.2704,=-0.2380,=-0.0425
2024-12-03,=-0.2659,=-0.2335,=-0.0424
2024-12-02,=-0.2583,=-0.2254,=-0.0424
2024-11-29,=-0.2642,=-0.2318,=-0.0421
2024-11-28,=-0.2811,=-0.2499,=-0.0415
2024-11-27,=-0.2795,=-0.2482,=-0.0417
2024-11-26,=-0.3041,=-0.2744,=-0.0410
2024-11-25,=-0.2993,=-0.2696,=-0.0407
2024-11-22,=-0.2910,=-0.2608,=-0.0408
2024-11-21,=-0.2606,=-0.2287,=-0.0413
2024-11-20,=-0.2674,=-0.2359,=-0.0412
2024-11-19,=-0.2707,=-0.2394,=-0.0412
2024-11-18,=-0.2920,=-0.2617,=-0.0410
2024-11-15,=-0.2785,=-0.2479,=-0.0407
2024-11-14,=-0.2499,=-0.2170,=-0.0420
2024-11-13,=-0.2253,=-0.1911,=-0.0423
2024-11-12,=-0.2330,=-0.1993,=-0.0420
2024-11-11,=-0.2155,=-0.1816,=-0.0415
2024-11-08,=-0.2490,=-0.2183,=-0.0393
2024-11-07,=-0.2467,=-0.2162,=-0.0389
2024-11-06,=-0.2691,=-0.2393,=-0.0392
2024-11-05,=-0.2711,=-0.2408,=-0.0400
2024-11-04,=-0.3023,=-0.2724,=-0.0411
2024-11-01,=-0.3129,=-0.2838,=-0.0407
2024-10-31,=-0.2918,=-0.2611,=-0.0414
2024-10-30,=-0.2998,=-0.2692,=-0.0418
2024-10-29,=-0.2870,=-0.2566,=-0.0409
2024-10-28,=-0.2790,=-0.2481,=-0.0411
2024-10-25,=-0.2757,=-0.2445,=-0.0413
2024-10-24,=-0.2853,=-0.2549,=-0.0408
2024-10-23,=-0.2838,=-0.2537,=-0.0403
2024-10-22,=-0.2795,=-0.2486,=-0.0410
2024-10-21,=-0.2690,=-0.2376,=-0.0413
2024-10-18,=-0.2850,=-0.2541,=-0.0414
2024-10-17,=-0.3567,=-0.3300,=-0.0398
2024-10-16,=-0.3595,=-0.3326,=-0.0402
2024-10-15,=-0.3432,=-0.3150,=-0.0412
2024-10-14,=-0.3238,=-0.2943,=-0.0417
2024-10-11,=-0.3436,=-0.3150,=-0.0418
2024-10-10,=-0.3040,=-0.2728,=-0.0428
2024-10-09,=-0.2731,=-0.2396,=-0.0441
2024-10-08,=-0.2554,=-0.2197,=-0.0457
2024-09-30,=-0.3648,=-0.3352,=-0.0445
2024-09-27,=-0.4608,=-0.4361,=-0.0439
2024-09-26,=-0.4951,=-0.4718,=-0.0442
2024-09-25,=-0.5140,=-0.4915,=-0.0443
2024-09-24,=-0.5146,=-0.4917,=-0.0452
2024-09-23,=-0.5323,=-0.5100,=-0.0455
2024-09-20,=-0.5285,=-0.5059,=-0.0457
2024-09-19,=-0.5264,=-0.5035,=-0.0460
2024-09-18,=-0.5295,=-0.5066,=-0.0463
2024-09-13,=-0.5238,=-0.5008,=-0.0460
2024-09-12,=-0.5206,=-0.4979,=-0.0452
2024-09-11,=-0.5166,=-0.4937,=-0.0452
2024-09-10,=-0.5192,=-0.4970,=-0.0441
2024-09-09,=-0.5228,=-0.5009,=-0.0439
2024-09-06,=-0.5175,=-0.4953,=-0.0440
2024-09-05,=-0.5111,=-0.4885,=-0.0442
