日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM平均值,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2022-06-29,=1090.6800,=1102.0900,=2616357779863.4800,=1002486852740,=854205980753.4575,=62.1099,=0.1282,=93.3266,=83.8552,=69.1586
2022-06-28,=1117.2800,=1128.9600,=2678851904655.7896,=1025758247447,=875243179744.4058,=62.9217,=0.1370,=93.3591,=83.9345,=69.1586
2022-06-27,=1103.4000,=1114.9000,=2638040224577.0400,=1014003369184,=865257978153.0271,=62.3807,=0.1309,=93.3591,=84.0138,=69.5410
2022-06-24,=1101.4800,=1112.9600,=2641188395106.6797,=1006154654488,=863299196544.4895,=61.9975,=0.1269,=93.3591,=84.0417,=69.6590
2022-06-23,=1081.8400,=1093.0100,=2600500036716.1304,=987727635213,=848094928066.8396,=60.9054,=0.1164,=93.3591,=84.0695,=69.8754
2022-06-22,=1063.6900,=1074.2300,=2560634048175.1201,=962801384126,=833878138706.1946,=59.6354,=0.0972,=93.3591,=84.1506,=69.9604
2022-06-21,=1083.0200,=1093.7500,=2602833181768.2412,=980390551498,=848915489779.9194,=60.1805,=0.1061,=93.3675,=84.2316,=69.9604
2022-06-20,=1095.3300,=1106.0900,=2634487004815.7100,=990999838516,=858863367799.4480,=60.8353,=0.1106,=93.3675,=84.2568,=71.8311
2022-06-17,=1092.0900,=1102.7200,=2626541511632.0811,=987946881483,=856456016071.6747,=60.3854,=0.1065,=93.3675,=84.2820,=71.8839
2022-06-16,=1078.9500,=1089.4500,=2599220173183.4189,=976506883016,=845736749323.2626,=59.6180,=0.0959,=93.3675,=84.2913,=71.8947
2022-06-15,=1062.7100,=1073.0200,=2564359137999.4502,=961598464459,=832966853126.6001,=58.6224,=0.0873,=93.3675,=84.3006,=72.1486
2022-06-14,=1070.5400,=1080.9200,=2589571794376.5303,=968279264090,=838687605090.2175,=58.8924,=0.0875,=93.3778,=84.3064,=72.1486
2022-06-13,=1088.3800,=1098.8100,=2629342957912.6704,=985042794946,=852695579103.2848,=59.4545,=0.0899,=93.3778,=84.3123,=72.4892
2022-06-10,=1102.8500,=1113.3000,=2349988361715.9502,=983728570752,=845304780183.8829,=59.1488,=0.0879,=93.3778,=84.3158,=72.5801
2022-06-09,=1081.1700,=1091.3200,=2305516021926.9600,=966543153597,=830036955305.4952,=58.2975,=0.0815,=93.3778,=84.3192,=72.7107
2022-06-08,=1111.6700,=1121.8200,=2363609751134.9097,=991819130075,=852318483860.7762,=60.0958,=0.0905,=93.3778,=84.3569,=73.0880
2022-06-07,=1111.4000,=1121.4800,=2362664378574.0698,=991220366312,=851398552331.4651,=60.0390,=0.0885,=93.3878,=84.3945,=73.0880
2022-06-06,=1121.5400,=1131.7100,=2379527086218.8101,=1000760212509,=858872746592.1276,=60.6945,=0.0909,=93.3878,=84.4349,=73.1924
2022-06-02,=1079.8500,=1089.6500,=2292949887519.7100,=962382555546,=827096693896.5106,=58.3779,=0.0822,=93.3878,=84.4753,=73.2803
2022-06-01,=1031.5800,=1040.9100,=2196688839120.8804,=919192170813,=789564128354.0320,=55.4063,=0.0757,=93.3878,=84.5251,=73.2810
2022-05-31,=1035.3200,=1044.6100,=2200585121376.2197,=921259840627,=790981122520.7517,=54.9696,=0.0714,=93.3878,=84.5749,=73.4086
2022-05-30,=1001.5400,=1010.5300,=2129364142856.8501,=889820714324,=764443902067.6945,=53.1360,=0.0559,=93.4036,=84.5864,=73.4086
