日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2020-11-02,=1400.9100,=1408.1000,=1170828672881.1699,=407602149639,=331422343133.1700,=83.2317,=0.0758,=95.8130,=91.7569,=86.6334
2020-10-30,=1393.9100,=1401.0600,=1163014167246.0400,=402523749270,=330257052096.7201,=81.4110,=0.0154,=95.8130,=91.7690,=87.2645
2020-10-29,=1412.0600,=1419.3000,=1177101621272.9500,=404819370227,=271180146917.6100,=85.1241,=0.1563,=95.8130,=91.7812,=87.5987
2020-10-28,=1406.0700,=1413.2400,=1170231385785.8098,=400077725310,=214405945795,=84.0498,=0.1429,=95.8130,=91.8587,=88.0586
2020-10-27,=1385.7500,=1392.8100,=1151903204752.3501,=387292688014,=178538817616.3800,=83.5722,=0.1129,=96.1593,=91.9363,=88.0586
2020-10-26,=1356.1100,=1363.0200,=1126704682503.9302,=381252435265,=173565337577.6700,=83.3976,=0.0820,=96.1593,=91.9484,=88.5165
2020-10-23,=1336.5300,=1343.3400,=1110865996069.6602,=369599252479,=170903622407.6500,=82.4768,=0.0500,=96.1593,=91.9605,=88.5169
2020-10-22,=1376.5800,=1383.5900,=1147571375610.1001,=381398088346,=173103995613.9700,=88.9914,=0.2203,=96.1593,=92.0356,=88.5171
2020-10-21,=1396.9800,=1404.1000,=1162595061293.5698,=385443684948,=172302180456.6200,=91.1450,=0.3621,=96.1593,=92.1108,=88.5171
2020-10-20,=1426.1800,=1433.4500,=1188391902949.8098,=395541621137,=175789309552.8100,=93.1594,=0.5789,=96.3580,=92.2204,=88.5169
2020-10-19,=1412.1500,=1419.3400,=1175213016654.7000,=391755651891,=173857352934.3000,=93.5157,=0.6250,=96.3580,=92.1108,=88.5169
2020-10-16,=1438.5300,=1445.8600,=1193841771710.7302,=398188413949,=177041595029.8300,=94.7832,=0.7091,=96.3580,=92.0356,=88.5169
2020-10-15,=1453.7900,=1461.2000,=1205795365672.9900,=402995482398,=169745998326.1200,=94.8269,=0.7222,=96.3580,=91.9605,=88.5169
2020-10-14,=1488.6700,=1496.2600,=1233986632130.2998,=411426268701,=173818816475.1000,=97.1611,=0.8679,=96.3580,=91.9484,=88.5169
2020-10-13,=1497.6000,=1505.2300,=1246085167291.2200,=415308934303,=174946048704.3800,=98.0862,=0.8846,=96.3580,=91.9363,=88.5165
2020-10-12,=1490.5800,=1498.1700,=1241214699457.0105,=414055810043,=174202012634.8100,=96.4249,=0.8627,=96.1593,=91.8587,=88.5165
2020-10-09,=1465.9600,=1473.4300,=1219332709066.5798,=406060672583,=171315011280.8401,=93.6608,=0.7000,=95.8130,=91.7812,=88.5165
2020-09-30,=1418.8000,=1426.0300,=1179092484155,=392701017582,=165626519853.2300,=93.2336,=0.6735,=95.8130,=91.7690,=88.5165
2020-09-29,=1389.9600,=1397.0500,=1157465469804.8999,=356316922954,=162331005705.3201,=92.3300,=0.6042,=95.8130,=91.7569,=88.5165
2020-09-28,=1338.9500,=1345.7700,=1115573336814.1001,=342370571889,=156431465306.3300,=89.9899,=0.3191,=96.1593,=91.5981,=88.0586
2020-09-25,=1364.0200,=1370.9800,=1133849732712,=348885073293,=159168036745.1400,=93.0288,=0.6522,=96.1593,=91.7569,=88.0586
2020-09-24,=1394.9300,=1402.0300,=1159680456596.1001,=351539835303,=162825578828,=94.7786,=0.7333,=96.1593,=91.5981,=88.0586
2020-09-23,=1423.9000,=1431.1600,=1185631003098.7000,=360385311818,=166277944929.4200,=95.8130,=0.7727,=96.1593,=91.4392,=88.0586
2020-09-22,=1390.0900,=1397.1700,=1159419556603.6001,=352013796365,=162502957655.6300,=89.9440,=0.3256,=96.1593,=91.3918,=88.0586
2020-09-21,=1397.7500,=1404.8700,=1167194930174.3000,=355554365948,=163408449588.0501,=90.2150,=0.3571,=96.3580,=91.4392,=87.5987
2020-09-18,=1403.9000,=1411.0500,=1171591993411.2000,=355354991014,=164223375665.1900,=91.9605,=0.5854,=96.3580,=91.5981,=87.5987
2020-09-17,=1383.5900,=1390.6400,=1154997855215,=349931068257,=161914804488.5800,=90.9460,=0.4250,=96.3580,=91.4392,=87.5987
2020-09-16,=1349.6700,=1356.5500,=1127462763108.2998,=340330451514,=157961729011.3000,=86.6334,=0.1538,=96.3580,=91.5981,=87.5987
2020-09-15,=1364.6000,=1371.5600,=1143649895729.7000,=344229546913,=159803691613.6500,=88.0586,=0.2105,=96.3580,=91.7569,=88.0586
2020-09-14,=1348.0700,=1354.9400,=1128170363146.1001,=337858085454,=157781913679.0600,=87.5987,=0.1892,=96.3756,=91.7690,=87.5987
2020-09-11,=1312.5100,=1319.2000,=1030320851047.4000,=324963777897,=147723590585.8500,=82.4549,=0.0556,=96.3756,=91.7812,=88.5165
2020-09-10,=1280.1900,=1286.7100,=1006940307569.1000,=316553238878,=144097672184.1600,=80.1832,=0,=96.3756,=91.8587,=88.5169
2020-09-09,=1298.0800,=1304.6900,=1016491875384.9000,=321921135769,=146074505205.3900,=82.3629,=0,=96.3756,=91.9363,=88.5171
2020-09-08,=1344.6100,=1351.4600,=1051751880650,=334798676499,=151231431221.2000,=87.2645,=0.0909,=96.3756,=92.0236,=89.8718
2020-09-07,=1356.7000,=1363.6100,=1060219391409.4000,=338427854049,=152610523090.7900,=88.5165,=0.0938,=97.0665,=92.1108,=89.8718
2020-09-04,=1390.2800,=1397.3700,=1088356495239.7000,=348199316155,=156112127133.7301,=90.7026,=0.2581,=97.0665,=92.2514,=90.1584
2020-09-03,=1402.1400,=1409.2900,=1094817091759.8000,=348586473580,=157543839462.1900,=92.1108,=0.4667,=97.0665,=92.3919,=90.1584
2020-09-02,=1422.9500,=1430.2000,=1111426386962.8000,=351962340139,=160234610894.2600,=90.6668,=0.2414,=97.0665,=92.4009,=90.1584
2020-09-01,=1426.6500,=1433.9200,=1115106465835.5000,=354175042408,=160398967234.7000,=91.4392,=0.3214,=97.0665,=92.4099,=90.1584
2020-08-31,=1423.2400,=1430.4900,=1117418142390.8999,=352446341587,=160085697777.2001,=91.2633,=0.2593,=98.1174,=92.9544,=89.8718
2020-08-28,=1413.6400,=1420.8400,=1106404195472.3000,=349161887008,=158684385952.4900,=92.3919,=0.4231,=98.1174,=93.4989,=89.8718
2020-08-27,=1417.5600,=1424.7800,=1108350174752.3999,=348427967931,=159247234500.2300,=89.8718,=0.2000,=98.1174,=93.9549,=89.8718
2020-08-26,=1383.3100,=1390.3500,=1080707647724.1000,=338183821083,=155362200015.1200,=88.5171,=0.1667,=98.1174,=94.4108,=90.1584
2020-08-25,=1427.7000,=1434.9800,=1112624262831,=349666937839,=159692432532.2601,=92.4099,=0.3913,=98.1174,=94.5897,=91.3444
2020-08-24,=1450.6700,=1458.0600,=1130440807456.2000,=354857328609,=162384581520.6700,=96.3756,=0.6818,=98.6273,=94.7686,=90.1584
2020-08-21,=1447.7100,=1455.0900,=1129408311751.8000,=355290986662,=161394786516.3000,=91.7569,=0.2857,=98.6273,=94.5897,=90.1584
2020-08-20,=1442.5800,=1449.9300,=1122032986668.3999,=354918040359,=160089083303,=94.4108,=0.4500,=98.6273,=94.7686,=90.1584
2020-08-19,=1472.0200,=1479.5200,=1144418760615.3000,=360781142891,=163316655404.0300,=97.0665,=0.6842,=98.6273,=94.9266,=90.1584
2020-08-18,=1512.5100,=1520.2200,=1172960706938.5000,=370667831022,=166139621277.8400,=99.4444,=0.8333,=98.6273,=94.7686,=90.1584
2020-08-17,=1496.4000,=1504.0300,=1159716334414.2000,=367847958045,=163719961591.3000,=95.0846,=0.5882,=98.6273,=94.1338,=88.5169
