日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM中位数,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2024-02-06,=720.8000,=734.4700,=2305418998929.3301,=1400248352581,=883318334440.2301,=7.8980,=0.0035,=16.5937,=10.7658,=9.2796
2024-02-05,=676.7900,=689.6300,=2163188211038.8201,=1314741356657,=830173994512.7399,=7.4039,=0,=16.5937,=10.7705,=9.2809
2024-02-02,=673.4100,=686.1800,=2154383506330.6597,=1309550384183,=825570482354.8998,=7.5647,=0,=16.5937,=10.7751,=9.2844
2024-02-01,=690.0100,=703.1000,=2203028755749.8105,=1340407174517,=845567528946.4696,=7.9055,=0.0012,=16.5937,=10.7793,=9.2907
2024-01-31,=684.8500,=697.8400,=2194884998511.4399,=1331242376885,=839063699134.2399,=7.8884,=0,=16.5937,=10.7835,=9.2911
2024-01-30,=697.8500,=711.0800,=2230449076281.9800,=1357397528193,=854727130206.7899,=8.3097,=0.0093,=16.5987,=10.7839,=9.2911
2024-01-29,=725.3100,=739.0700,=2317477215341.9297,=1407602467739,=888099215553.5201,=8.7456,=0.0748,=16.5987,=10.7843,=9.3111
2024-01-26,=746.1000,=760.2500,=2381007910190.7598,=1446969328495,=913925641149.0200,=9.2139,=0.1789,=16.5987,=10.7911,=9.3112
2024-01-25,=765.7900,=780.3200,=2437747391297.2705,=1480436569560,=938023840643.9696,=9.5057,=0.2553,=16.5987,=10.7978,=9.3125
2024-01-24,=750.2700,=764.5100,=2380472905591.2412,=1448844903320,=918992958101.0200,=9.4895,=0.2544,=16.5987,=10.7980,=9.3125
2024-01-23,=749.7400,=763.9700,=2372635516471.3003,=1442324161107,=918474195759.7600,=9.5716,=0.2817,=16.6022,=10.7982,=9.3112
2024-01-22,=742.2300,=756.3100,=2344618909055.9897,=1429677330076,=909893935871.3500,=9.4073,=0.2256,=16.6022,=10.8080,=9.3112
2024-01-19,=765.4700,=779.9900,=2418712656254.4697,=1473947656095,=938332238188.1300,=9.9545,=0.3729,=16.6022,=10.8179,=9.3112
2024-01-18,=768.2800,=782.8600,=2428520005643.1997,=1480615059531,=941101342750.9598,=9.8836,=0.3592,=16.6022,=10.8201,=9.3112
2024-01-17,=757.0400,=771.4100,=2394021226823.9292,=1439150142789,=927188630770.8900,=9.8934,=0.3608,=16.6022,=10.8223,=9.3112
2024-01-16,=777.4000,=792.1500,=2458618166693.9209,=1476649399058,=952233550793.5300,=10.1175,=0.3932,=16.6022,=10.8287,=9.3111
2024-01-15,=773.4100,=788.0800,=2446271474254.7397,=1467650807991,=946991690098.7800,=10.1271,=0.3948,=16.6022,=10.8350,=9.3111
2024-01-12,=778.3600,=793.1200,=2457799114774.8096,=1477539456922,=953146098238.8302,=10.1400,=0.3964,=16.6022,=10.8420,=9.3111
2024-01-11,=789.8600,=804.8500,=2493867448708.7705,=1496233325854,=967512971396.5000,=10.3653,=0.4372,=16.6022,=10.8490,=9.3111
2024-01-10,=777.1500,=791.9000,=2458548951897.3696,=1470768830522,=951986196476.7200,=10.3200,=0.4294,=16.6022,=10.8505,=9.3111
2024-01-09,=782.9300,=797.7800,=2478512771715.8003,=1481424477268,=959371679593.1500,=10.4820,=0.4513,=16.6091,=10.8519,=9.2911
2024-01-08,=784.4300,=799.3100,=2487310038815.0400,=1484907778506,=961137747802.1100,=10.5260,=0.4554,=16.6091,=10.8520,=9.2911
2024-01-05,=807.7300,=823.0500,=2557424247907.2402,=1520082913463,=989673095116.5398,=10.7396,=0.4857,=16.6091,=10.8522,=9.2911
2024-01-04,=823.8500,=839.4800,=2610373567792.1699,=1548471638962,=1009330745399.5601,=11.0576,=0.5077,=16.6091,=10.8533,=9.2911
2024-01-03,=829.7700,=845.5100,=2628919308632.3101,=1560415699579,=1016563017968.2900,=11.0678,=0.5084,=16.6091,=10.8522,=9.2911
2024-01-02,=839.8000,=855.7300,=2657005008599.6396,=1582380456209,=1029422306404.9800,=10.7157,=0.4839,=16.6513,=10.8520,=9.2907
