日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB正数等权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-06-24,=1989.4300,=2052.2700,=8201145991288.2998,=5948946602446,=3545480526498.8828,=4.8726,=0.6127,=5.8678,=4.5479,=3.6522
2026-06-23,=1916.2100,=1976.7500,=7896420091228.4463,=5743957270361,=3414231096208.1812,=4.8709,=0.6124,=5.8698,=4.5473,=3.6494
2026-06-22,=1948.9300,=2010.4200,=7902005895276.8594,=5835130943447,=3480600352165.6396,=4.9647,=0.6415,=5.8698,=4.5466,=3.6494
2026-06-18,=1911.5100,=1971.8300,=7807399390545.9307,=5769305135176,=3420985150739.2124,=4.8655,=0.6105,=5.8698,=4.5459,=3.6494
2026-06-17,=1840.8200,=1898.9100,=7462724105579.4199,=5522413616600,=3279971786430.8965,=4.8766,=0.6137,=5.8698,=4.5438,=3.6494
2026-06-16,=1758.4200,=1813.9100,=7171262175670.4111,=5296504529725,=3136523942118.7451,=4.8363,=0.6001,=5.8698,=4.5416,=3.6494
2026-06-15,=1748.3300,=1803.4500,=7156404206399.4189,=5292464931140,=3123898096817.2212,=4.8054,=0.5922,=5.8777,=4.5408,=3.6464
2026-06-12,=1663.2200,=1715.6600,=5814874523530.6270,=4860137774949,=2778299966901.3330,=4.3111,=0.3920,=5.8777,=4.5400,=3.6464
2026-06-11,=1662.4400,=1714.8500,=5819550753371.2891,=4845761064664,=2777982495046.8003,=4.2603,=0.3811,=5.8777,=4.5408,=3.6464
2026-06-10,=1652.2200,=1704.3100,=5772333195552.3623,=4808660169406,=2757949924486.8628,=4.2600,=0.3806,=5.8777,=4.5416,=3.6464
2026-06-09,=1663.1100,=1715.4800,=5804079809074.8184,=4826166317268,=2773242116821.2212,=4.3136,=0.3914,=5.8777,=4.5438,=3.6464
2026-06-08,=1596.5700,=1646.8400,=5576431952393.6904,=4616596595096,=2661080926272.7539,=4.2245,=0.3720,=5.8796,=4.5459,=3.6421
2026-06-05,=1668.3300,=1720.7400,=5823110824687.7705,=4819237862148,=2781735101099.2231,=4.3620,=0.4089,=5.8796,=4.5466,=3.6421
2026-06-04,=1738.0600,=1792.5700,=6074179475301.4893,=5016549219514,=2902514940247.6978,=4.4345,=0.4458,=5.8796,=4.5473,=3.6421
2026-06-03,=1726.1800,=1780.2800,=6037167213785.6504,=4987209534900,=2882242761844.4805,=4.3733,=0.4137,=5.8796,=4.5479,=3.6421
2026-06-02,=1690.5600,=1743.5400,=5917715601795.6406,=4882203925662,=2820327271912.0615,=4.3739,=0.4140,=5.8796,=4.5485,=3.6421
2026-06-01,=1663.6900,=1715.8400,=5827548630788.1504,=4792736441184,=2773166772542.9004,=4.4159,=0.4354,=5.8805,=4.5499,=3.6403
2026-05-29,=1751.3200,=1806.1100,=6138443981639.8496,=5046018418862,=2924587583121.8105,=4.4808,=0.4689,=5.8805,=4.5512,=3.6403
2026-05-28,=1844.2500,=1901.7800,=6491291311938.1797,=5300228062880,=3080012134352.6245,=4.6409,=0.5314,=5.8805,=4.5513,=3.6403
2026-05-27,=1815.4500,=1872.0800,=6366175245764.2803,=5226940240662,=3035135062887.1587,=4.6194,=0.5226,=5.8805,=4.5512,=3.6403
2026-05-26,=1867.7100,=1925.9700,=6551261902723.9316,=5394258553732,=3126023568186.7129,=4.6488,=0.5343,=5.8805,=4.5499,=3.6403
2026-05-25,=1896.0400,=1955.1800,=6637976591169.9883,=5431740877114,=3172964873089.5142,=4.7014,=0.5567,=5.8809,=4.5485,=3.6379
2026-05-22,=1790.7700,=1846.6300,=6195453699357.6611,=5143681805829,=2993576411055.2397,=4.6672,=0.5422,=5.8809,=4.5479,=3.6379
2026-05-21,=1764.1700,=1818.8200,=6092268091753.1719,=5074609977030,=2947791803290.0024,=4.5776,=0.5099,=5.8809,=4.5473,=3.6379
2026-05-20,=1832.0200,=1888.5800,=6339632717685.6807,=5271320792213,=3060427926375.5845,=4.7316,=0.5692,=5.8809,=4.5466,=3.6379
2026-05-19,=1775.1300,=1829.9300,=6103603249135.4805,=5127590190018,=2962348991021.6440,=4.6937,=0.5518,=5.8809,=4.5459,=3.6379
2026-05-18,=1709.9600,=1762.7500,=5895007378337.3291,=4921601115439,=2854000788502.3936,=4.6152,=0.5231,=5.8834,=4.5438,=3.6370
2026-05-15,=1696.2600,=1748.6200,=5864970397101.4111,=4882509573468,=2831803697462.8003,=4.6028,=0.5178,=5.8834,=4.5416,=3.6370
2026-05-14,=1725.0900,=1778.3500,=5970981049421.7705,=4987701093593,=2880533253519.2085,=4.6735,=0.5452,=5.8834,=4.5408,=3.6370
2026-05-13,=1770.1500,=1824.7400,=6154793757569.3408,=5145651861154,=2957352468341.5605,=4.7539,=0.5712,=5.8834,=4.5400,=3.6370
2026-05-12,=1723.7800,=1776.9400,=6021771086040.9785,=5022023946891,=2878672320654.3428,=4.6251,=0.5253,=5.8834,=4.5389,=3.6370
2026-05-11,=1716.6900,=1769.6300,=5999012285864.7100,=4992549283827,=2865789926416.5005,=4.6583,=0.5385,=5.8849,=4.5377,=3.6262
2026-05-08,=1640.4600,=1691.0500,=5769449484746.6602,=4776757438293,=2734229573699.7852,=4.5684,=0.5103,=5.8849,=4.5375,=3.6262
2026-05-07,=1678.8900,=1730.4800,=5923482866287.1992,=4899256462636,=2802258061235.7598,=4.5671,=0.5100,=5.8849,=4.5372,=3.6262
2026-05-06,=1656.9500,=1707.8600,=5852482521752.1406,=4841534482925,=2766102110343.8608,=4.5216,=0.4918,=5.8849,=4.5371,=3.6262
2026-04-30,=1571.0700,=1619.3400,=5558542259325.9902,=4550643368921,=2616232529267.8789,=4.4606,=0.4592,=5.8849,=4.5372,=3.6262
2026-04-29,=1493.5000,=1539.4000,=5282973057187.9990,=4313292904532,=2474250187888.0693,=4.4147,=0.4402,=5.8878,=4.5375,=3.6242
2026-04-28,=1488.6600,=1534.4000,=5270235865935.9883,=4302220169730,=2463455183758.5098,=4.3583,=0.4148,=5.8878,=4.5377,=3.6242
2026-04-27,=1508.3800,=1554.7300,=5355202284178.8486,=4367945127408,=2476039124610.4600,=4.4479,=0.4523,=5.8878,=4.5389,=3.6242
2026-04-24,=1453.6900,=1498.3500,=5173387265130.5801,=4225530488318,=2383675719221.3599,=4.3693,=0.4189,=5.8878,=4.5400,=3.6242
2026-04-23,=1432.5900,=1476.6100,=5074026349051.2402,=4158820146906,=2345396563056.1899,=4.4135,=0.4393,=5.8878,=4.5408,=3.6242
2026-04-22,=1451.1400,=1495.7300,=5123906426222.5293,=4200544960356,=2366119444269.8501,=4.4800,=0.4698,=5.8904,=4.5416,=3.6237
2026-04-21,=1426.6800,=1470.5200,=5051364344322.6592,=4134063042892,=2324886437256.3003,=4.4436,=0.4515,=5.8904,=4.5438,=3.6237
2026-04-20,=1450.5200,=1495.0900,=5134655295268.2900,=4207932776032,=2363826654583.0303,=4.4807,=0.4712,=5.8904,=4.5459,=3.6237
2026-04-17,=1423.3500,=1467.0900,=5040762688269.5293,=4135946379590,=2320785349183.6396,=4.3995,=0.4348,=5.8904,=4.5466,=3.6237
2026-04-16,=1422.2300,=1465.9300,=5021064781481.3301,=4122222571932,=2319306748973.7388,=4.3926,=0.4316,=5.8904,=4.5473,=3.6237
2026-04-15,=1406.3200,=1449.5400,=4968197275598.9199,=4073023071383,=2291779460640.3604,=4.3470,=0.4102,=5.8943,=4.5479,=3.6188
2026-04-14,=1405.0700,=1448.2500,=4943538319083.8213,=4061340054365,=2288867802572.8403,=4.3631,=0.4177,=5.8943,=4.5485,=3.6188
2026-04-13,=1375.2900,=1417.5500,=4852046509759.7197,=3977718864018,=2239983636023.3398,=4.3277,=0.4065,=5.8943,=4.5499,=3.6188
2026-04-10,=1364.4900,=1406.4200,=4808788446825.8701,=3933141220919,=2220514758030.2104,=4.3208,=0.4032,=5.8943,=4.5512,=3.6188
2026-04-09,=1343.9500,=1385.2400,=4742783812466.8008,=3875243132294,=2184453589468.6504,=4.2742,=0.3926,=5.8943,=4.5513,=3.6188
2026-04-08,=1352.6900,=1394.2500,=4779203709370.9697,=3900473445056,=2197337512791.7100,=4.3577,=0.4153,=5.8959,=4.5514,=3.6179
2026-04-07,=1274.0100,=1313.1600,=4506261958094.2695,=3679797663994,=2070184619475.0496,=4.1309,=0.3635,=5.8959,=4.5541,=3.6179
2026-04-03,=1256.2100,=1294.8100,=4427611486989.6201,=3627997877380,=2039444979943.9304,=4.1371,=0.3638,=5.8959,=4.5569,=3.6179
2026-04-02,=1262.1800,=1300.9700,=4451249320747.7910,=3642972348032,=2048152159026.0601,=4.2047,=0.3764,=5.8959,=4.5571,=3.6179
2026-04-01,=1298.2000,=1338.0900,=4580507617119.3496,=3745747860963,=2107803520596.2190,=4.2997,=0.3955,=5.8959,=4.5573,=3.6179
2026-03-31,=1256.3300,=1294.9300,=4431333813583.9893,=3617998360237,=2038339318549.6003,=4.2292,=0.3834,=5.8961,=4.5580,=3.6160
2026-03-30,=1289.7800,=1329.4100,=4534324269964.3906,=3705210833802,=2079769706122.7209,=4.3027,=0.3968,=5.8961,=4.5586,=3.6160
2026-03-27,=1300.7600,=1340.7300,=4579780902493.0293,=3738200832693,=2094225818196.6704,=4.3645,=0.4138,=5.8961,=4.5611,=3.6160
2026-03-26,=1288.8100,=1328.4100,=4530806819127.3291,=3695303895456,=2075770398451.9199,=4.3093,=0.3981,=5.8961,=4.5636,=3.6160
2026-03-25,=1315.4100,=1355.8300,=4625431271788.5098,=3759714460672,=2118463891486.6699,=4.4187,=0.4348,=5.8961,=4.5650,=3.6160
2026-03-24,=1290.7900,=1330.4500,=4553176857007.2402,=3691469054523,=2077881657566.0801,=4.3744,=0.4162,=5.9003,=4.5663,=3.6148
2026-03-23,=1261.4400,=1300.2000,=4448549633247.7891,=3598082232128,=2030333966237.7605,=4.3065,=0.3982,=5.9003,=4.5675,=3.6148
2026-03-20,=1318.3100,=1358.8200,=4646396362249.2793,=3759098788702,=2122053138902.3701,=4.4764,=0.4584,=5.9003,=4.5687,=3.6148
2026-03-19,=1339.0300,=1380.1800,=4727101916454.5508,=3813505269348,=2140516848408.2903,=4.5279,=0.4850,=5.9003,=4.5689,=3.6148
2026-03-18,=1372.5800,=1414.7500,=4832539530372.2002,=3907072832863,=2193679094921.3796,=4.6144,=0.5124,=5.9003,=4.5691,=3.6148
2026-03-17,=1354.1500,=1395.7600,=4781543805899.0703,=3864392271551,=2164440428935.8401,=4.6176,=0.5128,=5.9008,=4.5689,=3.6094
2026-03-16,=1384.9900,=1427.5400,=4891573130805.1387,=3949816296177,=2211616683164.6499,=4.7211,=0.5549,=5.9008,=4.5687,=3.6094
2026-03-13,=1373.6400,=1415.8400,=4769400208537.2695,=3860339698329,=2122649392845.2104,=4.4286,=0.4403,=5.9008,=4.5675,=3.6094
2026-03-12,=1383.6500,=1426.1700,=4799699192072.3994,=3893792028028,=2138281269237.1101,=4.4547,=0.4487,=5.9008,=4.5687,=3.6094
2026-03-11,=1401.0800,=1444.1400,=4854167987477.3594,=3937429774583,=2163643552048.3501,=4.4480,=0.4461,=5.9008,=4.5689,=3.6094
2026-03-10,=1420.5400,=1464.1900,=4910582299224.8896,=3995047431202,=2196795112451.6997,=4.4341,=0.4442,=5.9044,=4.5691,=3.6093
2026-03-09,=1390.4800,=1433.2100,=4796964176910.1201,=3901184112854,=2149277814100.4399,=4.3546,=0.4137,=5.9044,=4.5726,=3.6093
2026-03-06,=1414.3900,=1457.8600,=4874844721291.7207,=3967387968985,=2187769172956.9199,=4.3870,=0.4235,=5.9044,=4.5762,=3.6093
2026-03-05,=1405.3500,=1448.5400,=4853157937083.1113,=3947848623113,=2178368245995.5400,=4.3322,=0.4069,=5.9044,=4.5781,=3.6093
2026-03-04,=1381.5600,=1424.0100,=4774814404887.0811,=3874937161467,=2139525186811.8301,=4.3023,=0.4013,=5.9044,=4.5800,=3.6093
2026-03-03,=1388.4100,=1431.0700,=4818343196328.2793,=3905585429403,=2152551888521.4500,=4.3619,=0.4149,=5.9093,=4.5814,=3.6091
2026-03-02,=1464.7700,=1509.7800,=5067923507461.3203,=4116617248634,=2271667151348.5405,=4.5310,=0.4838,=5.9093,=4.5827,=3.6091
2026-02-27,=1488.0200,=1533.7500,=5135855465398.1699,=4165304159787,=2305344565949.5908,=4.6041,=0.5055,=5.9093,=4.5836,=3.6091
2026-02-26,=1485.8600,=1531.5200,=5138564262704.1396,=4159952518047,=2301650967225.1099,=4.6260,=0.5103,=5.9093,=4.5827,=3.6091
2026-02-25,=1473.2800,=1518.5600,=5081987488958.0195,=4103659447297,=2276447678483.0010,=4.6581,=0.5225,=5.9093,=4.5814,=3.6091
2026-02-24,=1465.3700,=1510.3900,=5052837077620.5596,=4077626095054,=2264355982564.6499,=4.6087,=0.5081,=5.9112,=4.5800,=3.6065
2026-02-13,=1470.3300,=1515.5100,=5088155530519.8203,=4111789846928,=2275957635251.3398,=4.5691,=0.4989,=5.9112,=4.5781,=3.6065
2026-02-12,=1480.9900,=1526.5000,=5117248241962.6289,=4145444244760,=2291869880327.7305,=4.6430,=0.5170,=5.9112,=4.5800,=3.6065
2026-02-11,=1455.1100,=1499.8300,=5030926712444.6895,=4071917124621,=2251837173453.3301,=4.6112,=0.5085,=5.9112,=4.5781,=3.6065
2026-02-10,=1471.5000,=1516.7100,=5082597499353.1592,=4115179618710,=2279110907769.1602,=4.6298,=0.5126,=5.9112,=4.5762,=3.6065
2026-02-09,=1458.1600,=1502.9700,=5033334952863.8203,=4073834680040,=2256487354740.2988,=4.6577,=0.5204,=5.9158,=4.5724,=3.6060
2026-02-06,=1422.4100,=1466.1100,=4907902080624.0195,=3979797176291,=2198970925373.6399,=4.5966,=0.5059,=5.9158,=4.5687,=3.6060
2026-02-05,=1432.5200,=1476.5400,=4922660724633.1602,=3999579278552,=2214575529949.9702,=4.5927,=0.5041,=5.9158,=4.5675,=3.6060
2026-02-04,=1453.4800,=1498.1400,=5004696358909.3203,=4057072486298,=2246514726084.9502,=4.6710,=0.5246,=5.9158,=4.5663,=3.6060
2026-02-03,=1471.0700,=1516.2700,=5058636856897.0703,=4107276191621,=2278511366372.7095,=4.5962,=0.5056,=5.9158,=4.5650,=3.6060
2026-02-02,=1450.9000,=1495.4800,=5028461393339.6484,=4076845301619,=2256609885739.5405,=4.4589,=0.4508,=5.9169,=4.5636,=3.6022
2026-01-30,=1509.4000,=1555.7800,=5233180562621.7998,=4233154400409,=2345084068270.6997,=4.6024,=0.5063,=5.9169,=4.5650,=3.6022
2026-01-29,=1507.6400,=1553.9700,=5241255718198.9902,=4239199810460,=2337264026977.7808,=4.7131,=0.5418,=5.9169,=4.5636,=3.6022
2026-01-28,=1554.8000,=1602.5300,=5407343038347.3691,=4359905168290,=2413172986464.0103,=4.8012,=0.5624,=5.9169,=4.5611,=3.6022
2026-01-27,=1555.9800,=1603.7400,=5396761044928.3604,=4373769920497,=2413133526538.0098,=4.8360,=0.5732,=5.9169,=4.5586,=3.6022
2026-01-26,=1532.8000,=1579.8500,=5328017948159.6094,=4328811037169,=2380445167264.0801,=4.7940,=0.5617,=5.9169,=4.5580,=3.6000
2026-01-23,=1553.7100,=1601.4000,=5422205043151.9404,=4402548931292,=2414560492814.7397,=4.8816,=0.5898,=5.9169,=4.5573,=3.6000
2026-01-22,=1541.6400,=1588.9600,=5403503776741.7402,=4291465851126,=2401651092270.2700,=4.6945,=0.5356,=5.9169,=4.5571,=3.6000
2026-01-21,=1535.3900,=1582.5200,=5394489371909.4707,=4275194948772,=2392593192242.7705,=4.6649,=0.5232,=5.9169,=4.5569,=3.6000
2026-01-20,=1482.9900,=1528.5200,=5208720685076.0381,=4122872927454,=2306396274118.0103,=4.6139,=0.5109,=5.9169,=4.5541,=3.6000
2026-01-19,=1506.8600,=1553.1100,=5314091514972.2500,=4203228284657,=2347430831011.3101,=4.7035,=0.5368,=5.9198,=4.5514,=3.5945
2026-01-16,=1514.0700,=1560.5400,=5328026889794.8203,=4208228923032,=2355761566892.1997,=4.7056,=0.5372,=5.9198,=4.5513,=3.5945
2026-01-15,=1493.9500,=1539.8000,=5266041833670.2900,=4166603316487,=2326829961590.9497,=4.6714,=0.5263,=5.9198,=4.5512,=3.5945
2026-01-14,=1500.9100,=1546.9800,=5304336909748.7500,=4196059901038,=2336492758552.0200,=4.7103,=0.5395,=5.9198,=4.5499,=3.5945
2026-01-13,=1469.5700,=1514.6800,=5200169538465.8896,=4097571228196,=2285649737412.6499,=4.6939,=0.5346,=5.9198,=4.5485,=3.5945
2026-01-12,=1511.8400,=1558.2400,=5362961404578.7197,=4233669728131,=2356437454285.3389,=4.7707,=0.5531,=5.9277,=4.5479,=3.5938
2026-01-09,=1475.9700,=1521.2700,=5266011385499.2002,=4131619333352,=2304032635765.6499,=4.6637,=0.5249,=5.9277,=4.5473,=3.5938
2026-01-08,=1455.1700,=1499.8400,=5201328313498.6406,=4064282650007,=2272216178635.9995,=4.6305,=0.5170,=5.9277,=4.5466,=3.5938
2026-01-07,=1443.3900,=1487.6900,=5143889489324.5801,=4005366640087,=2248604092767.7002,=4.6054,=0.5128,=5.9277,=4.5459,=3.5938
2026-01-06,=1429.3000,=1473.1800,=5112943238435.8408,=3966648493916,=2226879673802.0698,=4.5800,=0.5094,=5.9277,=4.5438,=3.5938
2026-01-05,=1403.4100,=1446.4900,=5034827969830.7412,=3906135209301,=2188237795605.8604,=4.4668,=0.4614,=5.9287,=4.5416,=3.5936
2025-12-31,=1344.2000,=1385.4600,=4841677758938.4600,=3760130218349,=2092443760108.1096,=4.3473,=0.4209,=5.9287,=4.5438,=3.5936
2025-12-30,=1359.8700,=1401.6200,=4900947411295.3398,=3803758234469,=2119844775256.8999,=4.3648,=0.4258,=5.9287,=4.5459,=3.5936
2025-12-29,=1346.3200,=1387.6500,=4842602142837.7588,=3742956750294,=2094249404241.2800,=4.3813,=0.4299,=5.9287,=4.5466,=3.5936
2025-12-26,=1345.8300,=1387.1400,=4831371318796.4697,=3717697259529,=2089068616771.5403,=4.4123,=0.4439,=5.9287,=4.5473,=3.5936
2025-12-25,=1349.0600,=1390.4700,=4846221243179.7813,=3731774673226,=2095887543133.1597,=4.4001,=0.4396,=5.9320,=4.5479,=3.5912
2025-12-24,=1352.1300,=1393.6300,=4854652417646.2295,=3735786626322,=2100218467484.3401,=4.3870,=0.4331,=5.9320,=4.5485,=3.5912
2025-12-23,=1340.0200,=1381.1500,=4806661417800,=3708915589645,=2082340307291.3003,=4.3372,=0.4205,=5.9320,=4.5499,=3.5912
2025-12-22,=1335.2500,=1376.2300,=4785365583100.2100,=3661505080839,=2071081294836.7500,=4.3516,=0.4231,=5.9320,=4.5512,=3.5912
2025-12-19,=1308.5900,=1348.7600,=4669615549955.0391,=3587881010745,=2027341763394.4597,=4.3268,=0.4196,=5.9320,=4.5513,=3.5912
2025-12-18,=1305.9700,=1346.0500,=4660473449369.4805,=3587107994141,=2024367610040.7000,=4.3019,=0.4146,=5.9323,=4.5514,=3.5896
2025-12-17,=1325.3300,=1366.0200,=4728654084633.6416,=3647901011205,=2055146203106.5190,=4.3535,=0.4233,=5.9323,=4.5541,=3.5896
2025-12-16,=1293.3800,=1333.0800,=4609890569664.3516,=3551594976607,=2004050465241.7695,=4.2774,=0.4122,=5.9323,=4.5569,=3.5896
2025-12-15,=1318.9100,=1359.3900,=4704416204174.1494,=3625584386996,=2046206805449.7705,=4.3559,=0.4232,=5.9323,=4.5571,=3.5896
2025-12-12,=1348.8800,=1390.2900,=4758227049596.9482,=3663386579779,=2070660797746.3503,=4.1902,=0.3937,=5.9323,=4.5573,=3.5896
2025-12-11,=1325.8300,=1366.5300,=4679700318926.6387,=3609500702818,=2036288726454.6599,=4.0925,=0.3718,=5.9343,=4.5580,=3.5895
2025-12-10,=1346.7000,=1388.0400,=4758892226746.4717,=3669689042030,=2069509975515.6304,=4.1262,=0.3821,=5.9343,=4.5586,=3.5895
2025-12-09,=1347.1100,=1388.4600,=4758513205768.5313,=3671887429944,=2071233055715.7000,=4.1121,=0.3801,=5.9343,=4.5611,=3.5895
2025-12-08,=1350.8000,=1392.2600,=4766072138989.5488,=3672232084550,=2075886717486.6697,=4.1261,=0.3811,=5.9343,=4.5636,=3.5895
2025-12-05,=1326.1000,=1366.8100,=4673088661801.4287,=3599902755355,=2035335874340.1001,=4.1052,=0.3761,=5.9343,=4.5650,=3.5895
2025-12-04,=1326.1600,=1366.8700,=4677418216350.5215,=3602252455537,=2036559935585.6699,=4.0768,=0.3687,=5.9365,=4.5663,=3.5879
2025-12-03,=1308.3700,=1348.5300,=4607576259151.9404,=3552196185168,=2006319197720.7100,=4.0815,=0.3697,=5.9365,=4.5675,=3.5879
2025-12-02,=1320.1600,=1360.6600,=4650426506870.5195,=3582579172666,=2024090180457.6609,=4.1061,=0.3754,=5.9365,=4.5687,=3.5879
2025-12-01,=1336.7600,=1377.7600,=4710630924193.8398,=3631730560106,=2051223057055.0601,=4.1430,=0.3826,=5.9365,=4.5724,=3.5879
2025-11-28,=1327.1500,=1367.8600,=4678021451228.6709,=3597015189411,=2036365322054.9299,=4.1300,=0.3798,=5.9365,=4.5762,=3.5879
2025-11-27,=1310.7000,=1350.9100,=4625762450748.2998,=3555466094869,=2011501887112.3101,=4.0744,=0.3693,=5.9381,=4.5795,=3.5825
2025-11-26,=1315.0400,=1355.3800,=4636150051002.1504,=3564694902958,=2017398062719.2500,=4.0834,=0.3704,=5.9381,=4.5827,=3.5825
2025-11-25,=1302.1700,=1342.1100,=4586375486962.7607,=3520383108283,=1994786843459.5305,=4.1042,=0.3745,=5.9381,=4.5836,=3.5825
2025-11-24,=1296.6000,=1336.3800,=4563680687943.2090,=3509299897878,=1986725377644.4304,=4.1117,=0.3771,=5.9381,=4.5845,=3.5825
2025-11-21,=1285.8300,=1325.2800,=4532770441676.5293,=3476705871243,=1970936339837.2896,=4.0743,=0.3697,=5.9381,=4.5898,=3.5825
2025-11-20,=1328.1900,=1368.9300,=4682944567863.3408,=3591597439696,=2038367045741.5696,=4.1729,=0.3839,=5.9401,=4.5950,=3.5820
2025-11-19,=1344.8000,=1386.0500,=4723930645436.2500,=3633886433061,=2062621387236.4600,=4.2380,=0.3974,=5.9401,=4.5979,=3.5820
2025-11-18,=1357.9300,=1399.5800,=4769010005128.5078,=3663735388798,=2081969109789.4199,=4.2737,=0.4031,=5.9401,=4.6007,=3.5820
2025-11-17,=1354.0400,=1395.5800,=4752846879084.8496,=3648802536795,=2073816498123.7395,=4.2911,=0.4050,=5.9401,=4.6047,=3.5820
2025-11-14,=1361.2300,=1402.9900,=4780293557459.6797,=3671557250561,=2085491023541.7000,=4.3248,=0.4099,=5.9401,=4.6087,=3.5820
2025-11-13,=1399.2900,=1442.2200,=4915212474856.4492,=3773801068035,=2144003118854.8110,=4.3573,=0.4141,=5.9426,=4.6161,=3.5753
2025-11-12,=1379.4500,=1421.7700,=4840719037985.3604,=3728351999149,=2113674074606.4895,=4.3095,=0.4067,=5.9426,=4.6234,=3.5753
2025-11-11,=1387.5300,=1430.1000,=4849431255837.3594,=3740892943637,=2122198538843.3391,=4.3812,=0.4171,=5.9426,=4.6251,=3.5753
2025-11-10,=1407.5600,=1450.7400,=4925222549846.0703,=3804894374760,=2155589849842.8904,=4.3984,=0.4245,=5.9426,=4.6268,=3.5753
2025-11-07,=1415.6900,=1459.1200,=4967446052204.1104,=3836348992998,=2171141064035.4900,=4.3801,=0.4170,=5.9426,=4.6273,=3.5753
2025-11-06,=1436.8600,=1480.9400,=5047798125311.3398,=3898294176472,=2205375482202.9902,=4.3813,=0.4173,=5.9446,=4.6279,=3.5729
2025-11-05,=1390.3900,=1433.0500,=4871599332303.3291,=3755882067348,=2127610283190.5400,=4.3357,=0.4114,=5.9446,=4.6281,=3.5729
2025-11-04,=1387.2400,=1429.8000,=4857589060404.6895,=3751095883485,=2123413840410.3799,=4.2904,=0.4070,=5.9446,=4.6284,=3.5729
2025-11-03,=1400.8600,=1443.8300,=4904400778865.8291,=3785928381893,=2142773305020.1211,=4.3533,=0.4136,=5.9446,=4.6303,=3.5729
2025-10-31,=1415.5300,=1458.9500,=4963216373351.7900,=3825464859087,=2167163218684.2505,=4.3445,=0.4116,=5.9446,=4.6322,=3.5729
2025-10-30,=1461.3000,=1505.9500,=5100290547698.8896,=3939103721444,=2231778472863.5498,=4.4106,=0.4260,=5.9467,=4.6327,=3.5729
2025-10-29,=1489.1200,=1534.6300,=5203983759832.1807,=4014629700134,=2269468869309.1904,=4.4672,=0.4428,=5.9467,=4.6331,=3.5729
2025-10-28,=1471.7300,=1516.7000,=5153548334171.7305,=3971893325244,=2242854145481.6387,=4.3660,=0.4141,=5.9467,=4.6348,=3.5729
2025-10-27,=1484.2100,=1529.5000,=5203216856569.7012,=4004877225785,=2258476950415.8779,=4.3831,=0.4160,=5.9467,=4.6364,=3.5729
