日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM平均值,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2021-12-22,=1375.0300,=1385.9000,=2755210853070.4204,=1139495219227,=898734189948.6801,=19.8709,=0.2406,=22.4651,=20.7716,=19.6752
2021-12-21,=1374.6500,=1385.5100,=2754845677655.7598,=1138153034547,=898639060113.0201,=19.8601,=0.2355,=22.4651,=20.7727,=19.6752
2021-12-20,=1363.9600,=1374.7300,=2731532650089.5000,=1126593759391,=891210735802.3699,=19.7595,=0.2128,=22.4651,=20.7740,=19.6752
2021-12-17,=1399.0600,=1410.1100,=2796405243296.5000,=1156553725219,=914408979102.4200,=20.2297,=0.3333,=22.4744,=20.7753,=19.6740
2021-12-16,=1425.9300,=1437.2000,=2844674002182.9902,=1179146765292,=931859991797.8600,=20.6664,=0.4633,=22.4744,=20.7758,=19.6740
2021-12-15,=1424.9000,=1436.1600,=2843673704063.9800,=1162110230506,=931077403936.0204,=20.6083,=0.4500,=22.4744,=20.7762,=19.6740
2021-12-14,=1439.4700,=1450.8400,=2870169993066.2397,=1172515463143,=940629447037.3898,=20.8432,=0.5133,=22.4744,=20.7809,=19.6740
2021-12-13,=1445.7100,=1457.1300,=2881434285893,=1176600945337,=945395826070.0900,=20.8613,=0.5207,=22.4744,=20.7762,=19.6740
2021-12-10,=1435.7000,=1447.0500,=2689702308005.9702,=1152334127614,=918305736306.8602,=18.4409,=0.0297,=22.4990,=20.7758,=19.6609
2021-12-09,=1434.5200,=1445.8600,=2673188520146.0996,=1143621277257,=911734149922.1896,=19.6435,=0.1875,=22.4990,=20.7762,=19.6740
2021-12-08,=1415.3700,=1426.5600,=2628021713737.1602,=1127435065034,=899080968250.7802,=19.3790,=0.1463,=22.4990,=20.7809,=19.6752
2021-12-07,=1389.4400,=1400.4200,=2583218897444.0698,=1106445453552,=882376854820.7100,=18.9887,=0.0838,=22.4990,=20.7856,=19.6955
2021-12-06,=1405.7700,=1416.8800,=2602198500305.5503,=1113735845369,=889353392223.7198,=19.2301,=0.1201,=22.4990,=20.7918,=19.7570
2021-12-03,=1444.8300,=1456.2500,=2667847557966.2598,=1132860211724,=911984058365.1300,=19.7639,=0.2048,=22.5732,=20.7979,=19.7570
2021-12-02,=1429.5000,=1440.7400,=2637473033875.5400,=1119187460830,=900801701589.0200,=19.6065,=0.1722,=22.5732,=20.8058,=19.7570
2021-12-01,=1456.4800,=1467.9400,=2687388537597.6997,=1143729797454,=918871825982.3101,=20.0547,=0.2697,=22.5732,=20.8137,=19.7583
2021-11-30,=1475.7100,=1487.3200,=2721062934318.2490,=1161097360291,=931881669954.1200,=20.2652,=0.3343,=22.5732,=20.8178,=19.7583
2021-11-29,=1471.2300,=1482.8000,=2708881140357.1401,=1155676880567,=928954740464.9902,=20.2024,=0.3110,=22.5732,=20.8219,=19.7583
2021-11-26,=1459.9300,=1471.4100,=2698394899291.9097,=1149369272292,=921710263934.5500,=20.0117,=0.2630,=22.5995,=20.8331,=19.7570
2021-11-25,=1468.0700,=1479.6200,=2715712183121.7197,=1155046752261,=926260367960.6500,=20.2118,=0.3129,=22.5995,=20.8444,=19.7570
2021-11-24,=1472.2200,=1483.8000,=2719381995925.5811,=1158059115512,=928854864691.6700,=20.1476,=0.2892,=22.5995,=20.8502,=19.7570
2021-11-23,=1476.2500,=1487.8600,=2728296264829.5811,=1141722696720,=931707249863.2400,=19.9665,=0.2500,=22.5995,=20.8560,=19.7570
2021-11-22,=1479.9900,=1491.6300,=2733004182971.4995,=1145614656975,=935247804099.1396,=19.9313,=0.2415,=22.5995,=20.8668,=19.7570
2021-11-19,=1444.7800,=1456.1500,=2676716290145.2798,=1122371951055,=915315424838.8000,=19.4484,=0.1553,=22.6359,=20.8776,=19.6955
2021-11-18,=1423.9700,=1435.1700,=2637823200029.5698,=1102942241268,=899726451761.2301,=19.2079,=0.1153,=22.6359,=20.8798,=19.7570
2021-11-17,=1436.1600,=1447.4500,=2662383773370.8096,=1110838619382,=906587061115.9702,=19.3538,=0.1344,=22.6359,=20.8821,=19.7583
2021-11-16,=1421.2700,=1432.4500,=2635205479243.1001,=1097278558083,=896393642596.9199,=19.2297,=0.1191,=22.6359,=20.8853,=19.7820
2021-11-15,=1432.6000,=1443.8700,=2659229174560.6899,=1106687863741,=904483407465.1600,=19.3742,=0.1352,=22.6359,=20.8886,=19.8046
2021-11-12,=1440.1600,=1451.4800,=2660949872017.9102,=1110186175146,=907295898186.3400,=19.3830,=0.1356,=22.6500,=20.8966,=19.8046
2021-11-11,=1437.1500,=1448.4500,=2662185044182.1704,=1105598857017,=859892408867.1101,=19.3365,=0.1297,=22.6500,=20.9047,=19.8070
2021-11-10,=1420.4500,=1431.6200,=2639921592666.4497,=1093603291955,=849779557647.6801,=19.0065,=0.0921,=22.6500,=20.9058,=19.8103
2021-11-09,=1420.5100,=1431.6800,=2633973363800.1602,=1094802731843,=850285624626.5699,=18.9328,=0.0828,=22.6500,=20.9068,=19.8417
2021-11-08,=1400.8000,=1411.8100,=2593550553735.5195,=1082065131608,=840307279887.9399,=18.5700,=0.0383,=22.6500,=20.9091,=19.8586
2021-11-05,=1396.7400,=1407.7200,=2604352244317.2900,=1080915537706,=839020148592.5901,=18.6701,=0.0545,=22.6647,=20.9113,=19.8586
2021-11-04,=1410.7400,=1421.8400,=2624172507297.2202,=1090307517171,=846437662680.4500,=18.8261,=0.0547,=22.6647,=20.9141,=19.8655
2021-11-03,=1399.5500,=1410.5600,=2599860478129.1104,=1081114144778,=839003937659.7599,=18.5967,=0.0452,=22.6647,=20.9170,=19.8881
2021-11-02,=1405.6400,=1416.6900,=2602540022360.9600,=1087762152405,=843565326963.3601,=18.5808,=0.0388,=22.6647,=20.9281,=19.8995
2021-11-01,=1404.2100,=1415.2500,=2598602921657.6211,=1085993279073,=843544156608.4901,=18.5835,=0.0390,=22.6647,=20.9393,=19.9005
2021-10-29,=1396.2000,=1407.1800,=2592600171984.9902,=1085679821372,=786489080975.6699,=18.6570,=0.0423,=22.6702,=20.9416,=19.9005
2021-10-28,=1356.3700,=1367.0400,=2519241912873.0498,=1027267789659,=732098608996.8098,=19.4836,=0.1176,=22.6702,=20.9440,=19.9279
2021-10-27,=1361.8200,=1372.5300,=2529188920493.4102,=1029315421138,=732714981137.4601,=19.7583,=0.1607,=22.6702,=20.9505,=19.9426
2021-10-26,=1376.1300,=1386.9500,=2571030626188.9600,=1032685489079,=737887185078.0901,=20.3021,=0.2895,=22.6702,=20.9569,=19.9431
2021-10-25,=1380.3100,=1391.1600,=2577675242181.3198,=1034218638024,=734894383150.7102,=20.3272,=0.3036,=22.6702,=20.9674,=19.9431
2021-10-22,=1368.1400,=1378.9000,=2561628608833.1011,=1023032486683,=726350243609.8402,=20.3099,=0.2980,=22.7046,=20.9779,=19.9426
