日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB中位数,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-04-16,=1014.5100,=1041.1100,=3525502872718.6909,=2201330625667,=1377442588032.8899,=4.7972,=0.2976,=8.0079,=5.6121,=4.5056
2025-04-15,=1006.3400,=1032.7200,=3489260399218.7700,=2182048315654,=1367949988358.9402,=4.7911,=0.2952,=8.0079,=5.6125,=4.5056
2025-04-14,=1014.2800,=1040.8700,=3514619842361.4604,=2200411203830,=1378357805536.4700,=4.8212,=0.3059,=8.0079,=5.6128,=4.5056
2025-04-11,=1011.7100,=1038.2300,=3510408971460.5303,=2195366694795,=1373871768093.5503,=4.8725,=0.3185,=8.0079,=5.6129,=4.5056
2025-04-10,=991.2200,=1017.2100,=3441601949557.2808,=2156949779037,=1345648453444.0500,=4.7058,=0.2723,=8.0147,=5.6130,=4.5036
2025-04-09,=980.5700,=1006.2800,=3410635769915.2896,=2134845307527,=1329794968429.7705,=4.6084,=0.2428,=8.0147,=5.6159,=4.5036
2025-04-08,=940.0900,=964.7400,=3263332681867.2495,=2047523755828,=1276224757936.5298,=4.4420,=0.1825,=8.0147,=5.6188,=4.5036
2025-04-07,=924.1700,=948.4000,=3203385580163.5898,=2005011909726,=1254685416207.3999,=4.3404,=0.1712,=8.0147,=5.6190,=4.5056
2025-04-03,=1018.0700,=1044.7600,=3504288742003.6699,=2207454871970,=1378231383017.5703,=4.9890,=0.3339,=8.0147,=5.6193,=4.5087
2025-04-02,=1022.7500,=1049.5600,=3505551371148.1104,=2215078130987,=1384556246074.6599,=5.1291,=0.3641,=8.0306,=5.6209,=4.5056
2025-04-01,=1024.3800,=1051.2300,=3508157269247.4502,=2218393314963,=1386243506772.3899,=5.1424,=0.3680,=8.0306,=5.6225,=4.5056
2025-03-31,=1022.7100,=1049.5300,=3509920825536.8101,=2212790155453,=1384724477979.8601,=5.0386,=0.3419,=8.0306,=5.6230,=4.5056
2025-03-28,=1029.4800,=1056.4700,=3532893835311.0698,=2230167736720,=1393790142062.7305,=5.0957,=0.3545,=8.0306,=5.6236,=4.5056
2025-03-27,=1040.5700,=1067.8500,=3571860328933.7490,=2253085670503,=1408888336878.2100,=5.1057,=0.3548,=8.0306,=5.6244,=4.5056
2025-03-26,=1029.0500,=1056.0300,=3531398478704.6411,=2233430700842,=1391642121786.2000,=5.0392,=0.3428,=8.0320,=5.6253,=4.5036
2025-03-25,=1031.7000,=1058.7400,=3539241637647.4102,=2239141746339,=1395341153473.6997,=5.1237,=0.3607,=8.0320,=5.6286,=4.5036
2025-03-24,=1045.9400,=1073.3600,=3588724321008.6299,=2265109492197,=1412329959949.0701,=5.1078,=0.3549,=8.0320,=5.6318,=4.5036
