日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-06-05,=996.4100,=1023.9900,=3425405049250.0811,=2237987413305,=1434804743058.1399,=40.3067,=0.4576,=65.1013,=40.7558,=32.9233
2025-06-04,=986.1100,=1012.9100,=3396486340389.2104,=2216714872652,=1419999496611.2400,=40.1265,=0.4401,=65.1996,=40.7604,=32.9097
2025-06-03,=981.7100,=1008.3900,=3377964307215.3203,=2205128515854,=1413830963639.1699,=39.9993,=0.4294,=65.1996,=40.7650,=32.9097
2025-05-30,=977.0300,=1003.5100,=3369535777478.0195,=2196944803707,=1406634189352.0503,=40.0167,=0.4306,=65.1996,=40.7657,=32.9097
2025-05-29,=986.3000,=1012.4100,=3397258183850.7397,=2219401176928,=1420457792932.7805,=40.4636,=0.4719,=65.1996,=40.7664,=32.9097
2025-05-28,=970.6400,=996.3300,=3342190851618.6802,=2182864186389,=1397803224749.7900,=39.9322,=0.4263,=65.1996,=40.7738,=32.9097
2025-05-27,=972.9200,=998.6300,=3356142068918.8901,=2187857478646,=1401292989438.6602,=39.8677,=0.4215,=65.2109,=40.7813,=32.9020
2025-05-26,=982.2600,=1008.2200,=3386320358371.6309,=2212008368357,=1414977127167.3401,=40.0874,=0.4364,=65.2109,=40.7825,=32.9020
2025-05-23,=980.5800,=1006.4900,=3373162023540.2412,=2207732681161,=1412516080082.3904,=40.0197,=0.4308,=65.2109,=40.7837,=32.9020
2025-05-22,=990.7100,=1016.8900,=3408165160490.1904,=2229291042377,=1426949786119.3403,=40.3912,=0.4636,=65.2109,=40.7841,=32.9020
2025-05-21,=995.4900,=1021.7900,=3425677391795.4600,=2241479428042,=1433985911243.7402,=40.6015,=0.4829,=65.2109,=40.7846,=32.9020
2025-05-20,=997.6800,=1024.0400,=3435632718631.4502,=2247227929674,=1437113293604.7195,=40.5322,=0.4773,=65.2411,=40.7931,=32.8529
2025-05-19,=995.2500,=1021.5600,=3434290953891.8496,=2243877262807,=1433734706524.3301,=40.5085,=0.4760,=65.2411,=40.8016,=32.8529
2025-05-16,=995.2400,=1021.5400,=3430516607449.0498,=2244718821869,=1433228025683.4695,=40.4696,=0.4721,=65.2411,=40.8054,=32.8529
2025-05-15,=1000.9700,=1027.2800,=3445525299736.3906,=2256673838474,=1441325288062.2300,=40.6440,=0.4863,=65.2411,=40.8093,=32.8529
