date,consume_pe,zz500_pb_quantile,consume_rsi14,gold_macd_bar,bond10_std20,zz500_ma20,hs300_ma20_amt,hs300_obv,gold_ma20_amt,consume_macd_dea,bond10_atr14,yield_2y,gold_atr14,hs300_rsi14,bond10_ma5,yield_1y,consume_atr14,zz500_rsi14,consume_ma20_amt,hs300_macd_dea,hs300_pe,pmi_生产经营活动预期指数,pmi_制造业采购经理指数,bond_10y_2y_spread,margin_5d_chg,north_net,hs300_ma5,zz500_ma5,north_20d_sum,margin_total,m1_m2_spread,yield_10y,社融存量增速(近似),hs300_pe_quantile,score_valuation,score_macro,score_sentiment,score_trend,score_total
2017-06-30,28.6956,0.0749588138385502,74.1362407125396,-0.004237504,0.32265276661113024,6.306899999999059,446662269.4779487,36945243640.0,710804784.1505504,0.034709873511012,0.40355486282341435,3.4973,0.015904982492893,70.45093607693325,103.77039999999968,3.46,0.0327432533890065,60.97902493200114,265403.7198999866,0.0489222498972635,12.47,56.8,51.2,0.0743,0.9949693736389652,,3.685200000003834,6.42159999999919,,879862000000.0,10.95,3.5683,14.4787935342103,0.519434628975265,15.5,20.0,15.5,21.0,72.0
2017-07-03,28.3178,0.0822368421052631,75.5061793795667,-0.005456557,0.32265276661113024,6.327149999999059,445275370.1543487,36848724749.0,700617565.4420503,0.0354396612349512,0.40355486282341435,3.5259,0.0154831980291149,66.39836014754906,103.77039999999968,3.4596,0.0328330210040775,63.7348624451397,280105.5513999866,0.0501570662768292,12.91,58.7,51.7,0.1061,0.5792523759173385,,3.680600000003834,6.434399999999189,,881645000000.0,8.6574,3.6033,16.5615103532278,0.6749146757679181,14.0,21.0,15.5,21.0,71.5
2017-07-04,27.88,0.0804597701149425,62.56846228678147,-0.007001932,0.32265276661113024,6.344649999999059,453125730.2477487,36713509253.0,701527947.9628503,0.0354862284971509,0.40355486282341435,3.5132,0.0162343981698924,59.488583976054045,103.77039999999968,3.4546,0.0327735195037862,60.82982299285676,292814.1241999866,0.0502737681333829,12.91,58.7,51.7,0.1196,0.5296458637298551,,3.669600000003834,6.44519999999919,,883362000000.0,8.6574,3.6009,16.5615103532278,0.6749146757679181,14.0,21.0,14.0,23.0,72.0
2017-07-05,28.195,0.0852459016393442,66.02716773326705,-0.00756997,0.32265276661113024,6.3574999999990585,448182384.1472486,36846843059.0,707523990.3067504,0.0352765156396785,0.40355486282341435,3.4921,0.0158605125863287,65.53912503566343,103.77039999999968,3.4648,0.0320039823963729,63.48519218184332,284003.1341999866,0.0503188132271734,12.91,58.7,51.7,0.1002,0.3893922524134119,,3.673000000003834,6.467999999999191,,885238000000.0,8.6574,3.576,16.5615103532278,0.6749146757679181,14.0,21.0,13.0,23.0,71.0
2017-07-06,28.0375,0.085924713584288,67.4444729341269,-0.007031676,0.32265276661113024,6.370499999999058,451934426.5121487,36685010980.0,697633680.2247503,0.0349484434595221,0.40355486282341435,3.4667,0.0156561902587338,64.87310156968987,103.77039999999968,3.4464,0.0322179836537749,63.48519218184332,271475.18919998663,0.0501540339103786,12.91,58.7,51.7,0.1112,0.3524130159371585,,3.671400000003834,6.483199999999191,,885894000000.0,8.6574,3.566,16.5615103532278,0.6749146757679181,14.0,21.0,13.0,17.0,65.0
2017-07-07,27.6708,0.0890522875816993,61.88384784846106,-0.006705595,0.32265276661113024,6.384449999999059,440017302.8235487,36602368285.0,690284562.2277503,0.0342603676393564,0.40355486282341435,3.4757,0.0151807480973956,64.4032184030787,103.77039999999968,3.4575,0.0313452705356481,66.20834533943545,258599.37919998664,0.0497201587017661,12.91,58.7,51.7,0.1242,0.5111289345495207,,3.6706000000038337,6.502599999999191,,884359000000.0,8.6574,3.5897,16.5615103532278,0.6749146757679181,14.0,21.0,14.0,19.0,68.0
2017-07-10,27.9507,0.0864600326264274,56.83728957765677,-0.007790688,0.32265276661113024,6.401149999999059,435324015.7625488,36697460390.0,695256039.9608504,0.0330812704521752,0.40355486282341435,3.485,0.0164535518047245,64.9500174017909,103.77039999999968,3.4579,0.0329634654973875,63.4729793650876,251539.4591999866,0.0490908592215785,12.91,58.7,51.7,0.1222,0.6450552166323842,,3.673800000003834,6.50899999999919,,887332000000.0,8.6574,3.5911,16.5615103532278,0.6749146757679181,14.0,21.0,14.0,19.0,68.0
2017-07-11,28.2139,0.0749185667752443,55.10880453915114,-0.007324385,0.32265276661113024,6.409849999999059,436121638.8450487,36828880078.0,707729833.4296004,0.0315010498209454,0.40355486282341435,3.4823,0.0162068695329584,68.81865277761672,103.77039999999968,3.4579,0.0310375036761455,55.405301845249966,264465.23919998656,0.0487388049929912,12.91,58.7,51.7,0.1159,0.4646086782551295,,3.6890000000038334,6.506399999999191,,887466000000.0,8.6574,3.5836,16.5615103532278,0.6749146757679181,15.5,21.0,13.0,19.0,68.5
2017-07-12,27.9047,0.0756097560975609,52.36485070044633,-0.005893448,0.32265276661113024,6.41914999999906,432493320.4798487,36711404001.0,722588308.9046004,0.0295528179705339,0.40355486282341435,3.4821,0.0162635217091757,63.3008561954628,103.77039999999968,3.456,0.0305348248421351,54.47325515059946,273249.4313999866,0.0481168952349555,12.91,58.7,51.7,0.1,0.4142377647336381,,3.6904000000038337,6.493999999999192,,888905000000.0,8.6574,3.5749,16.5615103532278,0.6749146757679181,15.5,20.0,13.0,19.0,67.5
2017-07-13,27.8155,0.0762987012987013,49.69986022270305,-0.003983294,0.32265276661113024,6.42599999999906,431856216.9341987,36822641939.0,717218682.0700003,0.0272810611726898,0.40355486282341435,3.4775,0.015887555872806,68.06392311947597,103.77039999999968,3.4525,0.0299251944962683,55.10583658605716,278688.6736499866,0.0478550464651857,12.91,58.7,51.7,0.0949,0.4155842268410037,,3.7000000000038336,6.482999999999191,,889576000000.0,8.6574,3.5643,16.5615103532278,0.6749146757679181,15.5,20.0,13.0,19.0,67.5
