date,year,month,上交所融资余额(元),上交所融券余额(元),上交所融资融券余额(元),深交所融资余额(元),深交所融券余额(元),深交所融资融券余额(元),沪深融资余额合计(元),沪深融券余额合计(元),沪深融资融券余额合计(元),沪深融资余额合计(亿元),沪深融资融券余额合计(亿元),融资买入额_x,融券卖出量_x,融券余量_x,融资买入额_y,融券卖出量_y,融券余量_y
2015-05-19,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-20,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-21,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-22,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-25,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-26,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-27,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-28,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-29,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-01,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-02,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-03,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-04,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-05,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-08,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-09,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-10,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-11,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-12,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-06-15,2015,6,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
