date,market_state,hs300,zz500,kc50,consume,chip,gold,bond10
2017-08-01,震荡偏强,,,0.0,,0.0,0.55,0.0
2017-09-01,震荡偏强,,,0.0,,0.0,0.06164709850803285,0.4883529014919672
2017-10-09,震荡,,,0.0,,0.0,0.10214503662361611,0.547854963376384
2017-11-01,震荡偏强,,,0.0,,0.0,0.10548083367101298,0.4445191663289871
2017-12-01,震荡,,,0.0,,0.0,0.2418144180255885,0.40818558197441157
2018-01-02,震荡偏强,,,0.0,,0.0,0.2542759926582631,0.29572400734173704
2018-02-01,震荡,,,0.0,,0.0,0.29203361506577535,0.3579663849342246
2018-03-01,震荡,,,0.0,,0.0,0.24270729135442218,0.4072927086455778
2018-04-02,震荡,,,0.0,,0.0,0.22046032594468978,0.4295396740553103
2018-05-02,震荡,,,0.0,,0.0,0.21422666503307894,0.43577333496692106
2018-06-01,震荡偏强,,,0.0,,0.0,0.18216939333767473,0.36783060666232525
2018-07-02,震荡,,,0.0,,0.0,0.23734936523597663,0.41265063476402336
2018-08-01,震荡偏强,,,0.0,,0.0,0.20537615816935936,0.34462384183064065
2018-09-03,震荡偏强,,,0.0,,0.0,0.22837886049589567,0.32162113950410437
2018-10-08,震荡偏强,,,0.0,,0.0,0.2039398662290058,0.34606013377099426
2018-11-01,震荡,,,0.0,,0.0,0.21310966536481382,0.4368903346351862
2018-12-03,震荡偏强,,,0.0,,0.0,0.1291067378596896,0.4208932621403104
2019-01-02,震荡,,,0.0,,0.0,0.1674917251512691,0.48250827484873093
2019-02-01,上行,,,0.0,,0.0,0.12345675292006554,0.3265432470799344
2019-03-01,上行,,,0.0,,0.0,0.11623108897710706,0.33376891102289286
2019-04-01,震荡,,,0.0,,0.0,0.1273223591274128,0.5226776408725872
2019-05-06,震荡,,,0.0,,0.0,0.1599393376846077,0.49006066231539236
2019-06-03,震荡,,,0.0,,0.0,0.1665551844489433,0.48344481555105673
2019-07-01,震荡偏强,,,0.0,,0.0,0.1018630322633284,0.4481369677366716
2019-08-01,震荡,,,0.0,,0.0,0.07290529187815313,0.5770947081218469
2019-09-02,震荡偏强,,,0.0,,0.0,0.048193481725304486,0.5018065182746956
2019-10-08,震荡,,,0.0,,0.0,0.060606105991842664,0.5893938940081573
2019-11-01,震荡偏强,,,0.0,,0.0,0.05590084332424065,0.49409915667575943
2019-12-02,震荡偏强,,,0.0,,0.0,0.0642858401442847,0.4857141598557153
2020-01-02,震荡偏强,,,0.0,,0.0,0.07669207268858692,0.47330792731141313
2020-02-03,震荡,,,0.0,,0.0,0.10360470238039378,0.5463952976196063
2020-03-02,震荡,,,0.0,,,0.09882606842597029,0.5511739315740298
2020-04-01,震荡,,,0.0,,,0.10271798345949572,0.5472820165405043
2020-05-06,震荡偏强,,,0.0,,,0.08573135729764303,0.46426864270235696
2020-06-01,震荡,,,0.0,,,0.11537802779847108,0.5346219722015289
2020-07-01,震荡偏强,,,0.0,,,0.12761771889160514,0.42238228110839493
2020-08-03,震荡,,,0.0,,,0.177841657549262,0.472158342450738
2020-09-01,震荡,,,0.0,,,0.1160763515648858,0.5339236484351143
2020-10-09,下行,,,0.0,,,0.12359114449338861,0.7264088555066114
2020-11-02,震荡,,,0.0,,,0.0866214444868724,0.5633785555131277
2020-12-01,震荡偏强,,,,,,0.0936987536854173,0.45630124631458274
2021-01-04,震荡,,,,,,0.0849751532791151,0.5650248467208849
2021-02-01,下行,,,,,,0.11596839247492327,0.7340316075250767
2021-03-01,震荡,,,,,,0.0881377190392553,0.5618622809607448
2021-04-01,震荡,,,,,,0.08551604324940826,0.5644839567505917
2021-05-06,震荡,,,,,,0.08493798105509677,0.5650620189449033
2021-06-01,震荡偏强,,,,,,0.07902713819126489,0.47097286180873515
2021-07-01,震荡,,,,,,0.09138763487547678,0.5586123651245233
2021-08-02,下行,,,,,,0.13891178935593831,0.7110882106440617
2021-09-01,震荡,,,,,,0.11207504988149639,0.5379249501185036
2021-10-08,震荡,,,,,,0.1175783985998618,0.5324216014001382
2021-11-01,震荡,,,,,,0.10348362097049588,0.5465163790295041
2021-12-01,震荡,,,,,,0.09514297106145977,0.5548570289385403
2022-01-04,震荡,0.1019104309823124,0.22581117686992158,0.011090082740350013,0.0007540823780976537,0.010434227029318309,0.09868723783792822,0.5513127621620719
2022-02-07,震荡,0.12331765976165117,0.1736157170132919,0.019066243426055764,0.0006304447612022092,0.03336993503779896,0.107269960740884,0.542730039259116
2022-03-01,震荡,0.0024126221257110376,0.010069354058972059,0.14999359120851016,0.001641906397793121,0.18588252620901358,0.10440485701993057,0.5455951429800694
2022-04-01,下行,0.0006394066845035074,0.0027460387359089576,0.02710439618571562,0.0009963778189527855,0.11851378057491914,0.11971630387348134,0.7302836961265187
2022-05-05,震荡,0.00084391688356725,0.011933511514040346,0.0031626980230855996,0.027170518779370878,0.3068893547999359,0.08112983231520517,0.5688701676847949
2022-06-01,上行,0.0013991901410200839,0.00869625675504672,0.2910166961871165,0.13970421768529062,0.10918363923152608,0.05725448547493975,0.3927455145250602
2022-07-01,震荡偏强,0.03648278169069275,0.23156349876189777,0.008488607026200122,0.0010543338198125756,0.17241077870139687,0.07148586160055624,0.47851413839944373
2022-08-01,震荡,0.0013419768918777406,0.013507168290825537,0.005080312847123338,0.0016136675035281272,0.32845687446664523,0.07886598276009239,0.5711340172399076
2022-09-01,震荡,0.0058846932338668815,0.029257321451196867,0.001782998793945937,0.3116455195108725,0.0014294670101177521,0.09494732241575722,0.5550526775842428
2022-10-10,震荡,0.019920055989552113,0.1846683927845349,0.0015359997839849608,0.14158930218439758,0.0022862492575304394,0.13509473552389456,0.5149052644761054
2022-11-01,震荡,0.0008674277473571618,0.0051977212370638345,0.06892973091246246,0.009840346088791602,0.265164774014325,0.1503191118519836,0.4996808881480164
2022-12-01,震荡偏强,0.00714757360969525,0.033518308329245114,0.0020452593864436226,0.4052840150994046,0.0020048435752114224,0.12768079305719443,0.4223192069428056
2023-01-03,震荡,0.004461899700991419,0.0075072963377085045,0.012303629069271352,0.0006956518466850424,0.32503152304534366,0.14252836919944556,0.5074716308005545
2023-02-01,震荡偏强,0.004254169236184379,0.06366844511652717,0.002100231691496523,0.3764206030566791,0.0035565508991128513,0.11414278669711156,0.4358572133028884
2023-03-01,震荡,0.018512331014868197,0.0006700768610693653,0.30141665182116095,0.024166161818882502,0.00523477848401901,0.1018289297654341,0.5481710702345659
2023-04-03,震荡偏强,0.010881637821528631,0.0008552418018796558,0.023109244142278943,0.34291282529795836,0.0722410509363544,0.04469280182699107,0.505307198173009
2023-05-04,震荡,0.018093790819138058,0.0010130325185523474,0.004346352073221078,0.17855007287118393,0.14799675171790455,0.04291357985231792,0.6070864201476822
2023-06-01,震荡,0.0055646014682324005,0.000902220902053462,0.004705497847334848,0.3356897133537546,0.0031379664286246955,0.05655535096732344,0.5934446490326766
2023-07-03,震荡,0.04079416542958905,0.01098902957123239,0.002463161819036429,0.2946664728457846,0.0010871703343575333,0.09188282923416086,0.5581171707658392
2023-08-01,震荡偏强,0.2234484418522364,0.0020681879271306153,0.0076658555040605095,0.2127254219422494,0.004092092774323105,0.10665442988262662,0.44334557011737347
2023-09-01,下行,0.002478005453023306,0.0006622530217888919,0.0010078169626583826,0.14495464725102064,0.0008972773115087862,0.20564818732200094,0.6443518126779991
2023-10-09,震荡,0.0078053322314873864,0.005308557831548395,0.0009045039858526561,0.33327009180176426,0.0027115141493472884,0.1176454192626976,0.5323545807373025
2023-11-01,震荡,0.0021378524597306845,0.0015175238892500263,0.005264002634569704,0.33866728394805296,0.002413337068396612,0.10414911240423556,0.5458508875957645
2023-12-01,震荡,0.023200527862447216,0.005499132815739749,0.002910639074735857,0.31742298094723126,0.0009667192998459148,0.0854612739815878,0.5645387260184122
2024-01-02,震荡,0.05772372954679851,0.0011041829290978742,0.0048896824758490505,0.28207377395084376,0.00420863109741082,0.07462988851595027,0.5753701114840497
2024-02-01,震荡,0.05306309761864243,0.01822908138190258,0.008365058931382832,0.000659746641371871,0.2696830154267003,0.10265867518090636,0.5473413248190937
2024-03-01,震荡偏强,0.017136439864610227,0.13465390157243934,0.015760535219184725,0.0009142305220593212,0.2815348928217064,0.11209368355431623,0.4379063164456838
2024-04-01,震荡,0.06731941925181409,0.243047465166171,0.0027218541996549433,0.0011753877907080786,0.035735873591651854,0.12792541808708532,0.5220745819129147
2024-05-06,震荡,0.006994756464421398,0.208817846587328,0.009527265020540599,0.0008984386984199336,0.12376169322929007,0.10228230105019033,0.5477176989498097
2024-06-03,下行,0.0036568703980539817,0.095794320874789,0.009663460062933895,0.00031008999073795917,0.04057525867348516,0.10967450697081353,0.7403254930291865
2024-07-01,下行,0.01662092654874448,0.0719975931531861,0.0015562722568782938,0.00047407221845122745,0.05935113582273989,0.09804504457092181,0.7519549554290782
2024-08-01,震荡,0.007612201044289274,0.32910649845673806,0.0017570319254707233,0.001122785405872621,0.010401483167629242,0.06443604465475251,0.5855639553452475
2024-09-02,震荡,0.010565836226647512,0.28423602057938024,0.0012033630645524908,0.0023803038617595407,0.05161447626766014,0.10456545863033105,0.545434541369669
2024-10-08,震荡,0.010574016370112575,0.3044297757470237,0.001476850433145577,0.0015533820872938953,0.03196597536242426,0.13803533897798215,0.5119646610220179
2024-11-01,震荡,0.022336815754236874,0.3088880685304972,0.0006050493478452786,0.008655492606211672,0.009514573761208981,0.15163574139259353,0.4983642586074066
