训练设备：cpu

========== 开始 PPO 滚动训练（随机种子42，复现锁定）==========

PPO 第1轮
训练区间: 0 ~ 300
验证区间: 300 ~ 500
预测区间: 500 ~ 600
轮次2 迭代40 | 夏普:0.68 | 累计收益:0.0271 | 年化波动:0.0499 | 最大回撤:-0.0369
轮次2 迭代41 | 夏普:0.66 | 累计收益:0.0259 | 年化波动:0.0493 | 最大回撤:-0.0367
轮次2 迭代42 | 夏普:0.67 | 累计收益:0.0256 | 年化波动:0.0480 | 最大回撤:-0.0359
轮次2 迭代43 | 夏普:0.68 | 累计收益:0.0256 | 年化波动:0.0474 | 最大回撤:-0.0355
轮次2 迭代44 | 夏普:0.63 | 累计收益:0.0240 | 年化波动:0.0478 | 最大回撤:-0.0362
轮次2 迭代45 | 夏普:0.66 | 累计收益:0.0258 | 年化波动:0.0491 | 最大回撤:-0.0368
轮次2 迭代46 | 夏普:0.70 | 累计收益:0.0262 | 年化波动:0.0471 | 最大回撤:-0.0353
轮次2 迭代47 | 夏普:0.66 | 累计收益:0.0237 | 年化波动:0.0451 | 最大回撤:-0.0341
轮次2 迭代48 | 夏普:0.62 | 累计收益:0.0216 | 年化波动:0.0436 | 最大回撤:-0.0331
轮次2 迭代49 | 夏普:0.59 | 累计收益:0.0209 | 年化波动:0.0446 | 最大回撤:-0.0340

PPO 第3轮
训练区间: 200 ~ 500
验证区间: 500 ~ 700
预测区间: 700 ~ 800
  加载上一轮模型：/home/lx/农行杯/fund-platform/models/multi_model/PPO_round2_best.zip
轮次3 迭代0 | 夏普:3.33 | 累计收益:0.1302 | 年化波动:0.0498 | 最大回撤:-0.0308
轮次3 迭代1 | 夏普:3.40 | 累计收益:0.1278 | 年化波动:0.0478 | 最大回撤:-0.0300
轮次3 迭代2 | 夏普:3.36 | 累计收益:0.1261 | 年化波动:0.0478 | 最大回撤:-0.0302
轮次3 迭代3 | 夏普:3.44 | 累计收益:0.1367 | 年化波动:0.0507 | 最大回撤:-0.0313
轮次3 迭代4 | 夏普:3.45 | 累计收益:0.1378 | 年化波动:0.0509 | 最大回撤:-0.0323
轮次3 迭代5 | 夏普:3.30 | 累计收益:0.1326 | 年化波动:0.0512 | 最大回撤:-0.0344
轮次3 迭代6 | 夏普:3.27 | 累计收益:0.1294 | 年化波动:0.0505 | 最大回撤:-0.0348
轮次3 迭代7 | 夏普:3.26 | 累计收益:0.1315 | 年化波动:0.0514 | 最大回撤:-0.0351
轮次3 迭代8 | 夏普:3.20 | 累计收益:0.1314 | 年化波动:0.0523 | 最大回撤:-0.0356
轮次3 迭代9 | 夏普:3.16 | 累计收益:0.1353 | 年化波动:0.0545 | 最大回撤:-0.0365
