date,保守型C2_动态评分,平衡型C3_动态评分,进取型C4_动态评分,保守型C2_LGB融合,平衡型C3_LGB融合,进取型C4_LGB融合
2024-09-09,1999385.1295346764,3316814.464161387,4279472.953898726,1802244.5613465314,2678098.174813164,3134198.2246229337
2024-09-10,2001333.7338714944,3319242.864310831,4281922.3133093985,1804240.1964628717,2681465.917071759,3139405.334132833
2024-09-11,2003118.6143253897,3319966.8489823733,4280962.189501043,1806781.966298003,2685179.5298916646,3143084.9936239053
2024-09-12,1998012.326793056,3302881.8293405264,4251378.412588511,1803599.434948415,2676070.01311996,3127940.6325950483
2024-09-13,1997283.4453050413,3290319.4472262217,4225349.164221658,1802576.900611095,2664527.8075086316,3106616.411781915
2024-09-18,1998411.745365754,3286936.492328324,4216361.73828356,1805320.9821365732,2667375.484249671,3107551.656050654
2024-09-19,2003215.3239589215,3309660.5333241764,4258327.674844636,1809382.5659492493,2684712.3887986774,3136412.29925669
2024-09-20,2005018.3048586575,3309265.58867695,4254819.92430023,1809209.4973025133,2677770.45616177,3123208.1723260507
2024-09-23,2005901.812272547,3310510.3451988567,4256180.210073787,1809294.3166114101,2675611.320619304,3117943.007362399
2024-09-24,2020820.5655476798,3389789.748062302,4405129.897761692,1820448.2343652956,2730702.4355841004,3211265.331530815
2024-09-25,2029192.932334543,3408800.4175820965,4434002.169031703,1827803.0071852703,2745472.2306776247,3231856.688428368
2024-09-26,2052011.729575198,3518659.462244939,4639395.119143518,1842252.835151423,2810655.4225544,3342014.995253233
2024-09-27,2068934.2994578946,3634775.3146341057,4869341.660227768,1861165.927884476,2917220.3749763644,3529624.1308956197
2024-09-30,2104737.0965765985,3812838.4828183306,5210942.155551966,1890133.7527126228,3048109.7273026253,3758221.006188687
2024-10-08,2124512.7017331133,3894787.7609085995,5364890.002374448,1910119.4920939445,3125824.80449398,3896681.1334722615
2024-10-09,2095551.128399755,3750600.533827916,5086886.935640879,1894976.5499607737,3062679.86316395,3799294.1367356568
2024-10-10,2104034.5750061153,3764071.691590206,5099353.369806959,1896186.6656666468,3046675.383716832,3763111.3627882637
2024-10-11,2089000.272154537,3700816.763417699,4978791.839271822,1879099.259234503,2980151.7342797974,3646953.935991588
2024-10-14,2097413.4039281406,3737708.2158794007,5049429.578784797,1888753.3340868044,3018556.983270555,3713484.103303816
2024-10-15,2088726.1466003882,3691510.193581825,4959655.865097894,1881565.4340456866,2984107.146036339,3652795.7409269926
2024-10-16,2087055.0875880993,3684308.704595659,4946969.296294803,1880191.0665128608,2977365.9462109185,3638487.1181829423
2024-10-17,2085617.3833266273,3669445.262998112,4916424.97758996,1879890.371372237,2969829.754054986,3624397.2977027497
2024-10-18,2101959.76316008,3743859.863679845,5057361.2776107965,1897284.8380037947,3043542.7878115205,3756767.579193066
2024-10-21,2103959.98898664,3752350.6713056946,5074716.57243911,1902168.5087407122,3064377.293047433,3795778.6770259617
2024-10-22,2105999.108733759,3765064.1235725614,5100566.135397506,1903764.1197633564,3072418.933079706,3808054.083533668
2024-10-23,2104419.2683125054,3768670.2923146333,5111292.268740828,1901740.5666349176,3072003.624050362,3808324.693732337
2024-10-24,2099694.1945863687,3749431.858290974,5075779.94393862,1898130.9010754724,3059308.9398055426,3787441.526335098
2024-10-25,2103245.767184892,3768743.802859636,5114829.337056268,1902603.4248123856,3079558.903281244,3822303.259760603
2024-10-28,2105072.995864836,3779366.703781534,5137399.143634851,1905801.4546042916,3093710.5076538906,3846009.946260774
2024-10-29,2103725.6932862317,3765165.7360170404,5107159.404947119,1904565.499616335,3082528.072703462,3825340.0948749785
2024-10-30,2101789.1779054203,3756945.9358376283,5093733.879785524,1904756.138145929,3082401.153328968,3822745.8163471315
2024-10-31,2104296.157145924,3766911.2448644587,5113863.1330989115,1909536.102417426,3101040.64972595,3855398.582517819
2024-11-01,2100680.89508637,3742013.117087606,5063385.231725157,1908563.956239547,3090098.1296163863,3834322.301610402
2024-11-04,2107144.184529444,3770037.3800097806,5116199.576797848,1914326.7668490508,3112757.6423506974,3873401.7883917233
2024-11-05,2122773.054604125,3837581.639200428,5243671.710135032,1926578.0757588407,3160612.501893543,3956128.4760864084
2024-11-06,2124616.6749102604,3842279.7805092987,5251334.871670879,1927855.5415373081,3162655.7532073706,3958314.7395995273
2024-11-07,2137002.964332733,3897106.021339978,5355812.260865947,1936500.6415436552,3198598.31965788,4023800.3675939986
2024-11-08,2137219.6620939104,3890215.4215540737,5339667.222355808,1937136.9576763457,3194093.1218942567,4012392.566205211
2024-11-11,2149876.873673279,3946092.7428558436,5446412.891001717,1944066.9554722582,3221223.595721185,4059586.088392127
2024-11-12,2146758.8865274135,3919403.7335265963,5390285.086439928,1943482.9002414779,3208360.5066343686,4032834.0804665964
2024-11-13,2147478.538096187,3923282.871657534,5397971.954546843,1942481.0809546267,3205229.731243834,4028499.1543417475
2024-11-14,2135838.6436770353,3871340.990888559,5298367.786284383,1931909.1017567066,3163058.666828788,3955494.901845537
2024-11-15,2124321.0298224776,3816426.858011506,5192155.25929502,1922793.4654370246,3123788.151669689,3886518.614002888
2024-11-18,2115447.4740494615,3785980.203632583,5137577.569906718,1914723.520334083,3099047.9536072486,3846630.074838016
2024-11-19,2123800.772304336,3820947.637763286,5203137.735969703,1921170.4352020177,3122840.3219489986,3886697.211383087
2024-11-20,2125825.5124772163,3827277.581186483,5214197.001017603,1925387.2972707564,3137043.1653888756,3909406.429073294
2024-11-21,2128736.307946537,3833845.1971248887,5224349.914357938,1926949.747977107,3138260.0939362063,3910153.152627706
2024-11-22,2113631.364818904,3762442.36702637,5086896.872862659,1912894.4879090642,3078659.900630711,3806049.470602285
2024-11-25,2112297.7700998364,3749539.087852392,5059960.7730875285,1913588.661247105,3075419.8461320023,3797925.1752163204
2024-11-26,2112158.1297099325,3741557.1755725318,5042231.275430772,1913181.387322149,3068094.109226589,3783942.0201511234
2024-11-27,2120424.286552865,3783531.0030440567,5123350.985579723,1919104.150715473,3096315.867979825,3834264.2272814345
2024-11-28,2120416.652866426,3775425.721072658,5105070.755512784,1918769.7729464613,3088297.9680569707,3818059.5087786308
2024-11-29,2128840.2767169555,3806764.6431851843,5162177.050567716,1926036.6257174178,3112451.190707563,3858106.3782131462
2024-12-02,2134627.6340468954,3819918.817596388,5182550.9053739915,1931281.551448959,3123281.250959137,3873539.07680112
2024-12-03,2135298.0660941843,3818178.6855508303,5177530.987933771,1932715.037789604,3125201.717940809,3875591.9824841684
2024-12-04,2138826.2178897243,3821622.1516152923,5179610.121495911,1935546.9233599305,3126558.6954841902,3874610.8763019056
2024-12-05,2140549.9052415006,3823861.863064059,5181886.574491055,1937136.5229785498,3128511.1389880995,3876522.117836824
2024-12-06,2140513.9337468226,3830608.446048525,5197182.289749623,1937081.506165969,3133940.1906258934,3887807.3662693477
2024-12-09,2141499.567595471,3827902.010966578,5189466.941285179,1938841.297171274,3135236.058961406,3888132.0288549843
2024-12-10,2154191.0259971446,3851508.7831777693,5222302.8797571305,1950418.2070566006,3154920.8028151267,3913340.954050121
2024-12-11,2157323.081355352,3856030.922856727,5227460.315575458,1953512.1048922013,3159668.855777096,3919018.284127777
2024-12-12,2163110.384818781,3870090.1655152505,5249877.296393968,1958879.3377709342,3171701.371427314,3936713.7340311655
2024-12-13,2166653.921101634,3865524.3810994425,5233821.171321612,1961590.4783600725,3165944.37281047,3921172.085315331
2024-12-16,2171975.326980173,3867048.157241365,5228690.084107303,1966916.7209751653,3169244.0627686246,3920885.435458294
2024-12-17,2166865.9771821545,3856702.067175158,5213574.900552694,1962857.8641075604,3163053.380028269,3913514.580484209
2024-12-18,2165016.2793095317,3860775.0206117444,5225718.383992051,1959894.4432938467,3161205.4354915507,3913642.8860845547
2024-12-19,2164654.1303336527,3864973.860068213,5235773.302978986,1958417.7996968294,3160011.041041933,3913144.1788473343
2024-12-20,2175649.8932223795,3886866.6850856487,5267471.922671607,1966658.5284742864,3171023.1371676773,3924894.622191996
2024-12-23,2176653.5100890663,3883694.74275066,5258687.669226843,1968296.4330911888,3171380.7844187785,3923453.2148030913
2024-12-24,2174811.5708406814,3887402.470504583,5270021.727044559,1966558.28711297,3174116.3412011983,3931403.467893588
2024-12-25,2172406.834131856,3883182.673381482,5264372.115786064,1964199.2131955116,3169925.907809836,3925897.203918917
2024-12-26,2173237.2342760935,3888762.487237142,5275638.031102874,1964055.8654438853,3170873.223627365,3928043.6023859717
2024-12-27,2179773.490151151,3897540.7718021204,5284908.219328024,1970300.9046325302,3179394.871496597,3937311.2372366753
2024-12-30,2177280.445378626,3895212.850719602,5283676.901539633,1968065.3304675743,3177568.0679516415,3936519.040400524
2024-12-31,2175689.8247640627,3877317.669990897,5245793.593899038,1968049.991318112,3168711.399268573,3918252.739799973
2025-01-02,2180247.152633112,3867903.277733139,5217239.58651324,1972334.1401136108,3161668.6484912694,3898051.983695024
2025-01-03,2181964.52769862,3861908.521517068,5201023.09037902,1974256.900295144,3158247.8730653906,3888489.4211172415
2025-01-06,2182098.161669755,3858951.8402343895,5194174.218607683,1974726.6858873554,3157225.156860014,3885773.919278393
2025-01-07,2182320.2473099553,3867488.553403721,5212972.575299109,1973912.9251320083,3160153.5604662914,3892848.3566267984
2025-01-08,2181615.001131886,3865016.62630122,5208542.502165993,1973320.6159924662,3158316.1894229697,3889854.815485139
2025-01-09,2178537.272948631,3859217.2586421054,5200415.664937736,1970619.3003226581,3153907.553460468,3884355.116737051
2025-01-10,2173979.0734447343,3845501.9770626444,5176866.67480521,1966563.3450521098,3142967.8042057673,3867229.33134435
2025-01-13,2173150.7149915416,3844946.9280042304,5176936.356359881,1965231.3197210939,3140185.977758633,3863270.8302961546
2025-01-14,2180812.153490361,3873000.352848954,5227721.93628193,1971874.5420209947,3161958.070728802,3899207.144308561
2025-01-15,2183016.8762802808,3872310.753461238,5222647.224074507,1974019.2498286108,3162001.262420346,3896468.601837418
2025-01-16,2177932.3971192515,3857015.253677792,5196374.485197857,1970988.8709597664,3155787.838959427,3887695.207757894
2025-01-17,2178294.736128756,3862412.909447375,5207918.154860955,1970716.7668143702,3157802.4342299886,3892189.4024684355
2025-01-20,2176786.7630123133,3861826.7404370154,5209004.409694119,1969606.3480295504,3158340.1132549327,3894756.001295942
2025-01-21,2179018.9253413784,3866887.6900847014,5216820.789970194,1971466.1989101158,3161838.282552341,3899493.889065288
2025-01-22,2178697.7368755043,3862964.2986158007,5208511.681150863,1970991.9103597915,3157893.723713788,3892011.2688783435
2025-01-23,2176945.7481744615,3858148.3908265666,5200481.639324247,1970097.9823938145,3156724.733749083,3890786.8200614285
2025-01-24,2176340.921318825,3861731.8669899465,5209495.290459731,1969721.05491802,3160339.4316326887,3898708.5156796696
2025-01-27,2181653.787924557,3863678.555964495,5205393.85909152,1975069.026291849,3164096.5808565244,3899376.541724424
2025-02-05,2185272.853349423,3877042.303959758,5229644.655403521,1977777.3114239366,3173474.9975769836,3921553.2362405024
2025-02-06,2195971.252832834,3921102.884156578,5311629.883346474,1985574.612734982,3202357.9776044823,3974216.8256049496
2025-02-07,2199720.643356385,3940222.514491029,5348750.446103845,1989783.406155314,3221140.6344125494,4006227.092444785
2025-02-10,2200637.2939872565,3950053.8252281165,5369507.437363384,1990714.7342163,3229938.3830765677,4026412.458222956
2025-02-11,2197598.9520220235,3934828.570005925,5339955.66733592,1988347.764483858,3218836.349369364,4004690.534825627
2025-02-12,2205301.1505942657,3969450.804747884,5405788.317725047,1993199.088224232,3238771.5853657024,4041197.4735591505
2025-02-13,2203219.844514673,3961627.194801129,5391431.934806365,1989141.561365238,3223103.0939933094,4009994.712416389
2025-02-14,2201573.351908608,3963602.711222692,5398598.83424005,1989174.3396006082,3230792.3847928816,4025227.7267867243
2025-02-17,2199105.747314678,3968830.105292175,5414499.362480779,1987085.3803290513,3235891.6961062383,4041104.0057349927
2025-02-18,2190302.2649922874,3934776.644513313,5351520.231009683,1980345.8347617774,3212675.8743580463,3998235.194839535
2025-02-19,2201329.4949060124,3978360.4633863852,5432352.620393631,1986622.4399290327,3233718.5698249717,4037465.9010393135
2025-02-20,2198362.819398864,3970943.892525735,5420354.742745842,1984121.5444180828,3228455.1156669245,4030336.194171608
2025-02-21,2206142.603568417,4018287.814641022,5515274.431081414,1992332.27993289,3272814.714863704,4121046.6277575647
2025-02-24,2199555.646827048,4014912.590166178,5518531.458797965,1984975.2026204604,3264443.4855139353,4115136.803278708
2025-02-25,2195852.9658960346,3993298.631704365,5475210.35482477,1983586.8916242155,3255133.8557769256,4099681.1633372204
2025-02-26,2205805.65387403,4023121.5812178636,5526816.512832717,1992573.3236739882,3279705.959214523,4141481.3190381015
2025-02-27,2203761.4774523904,4024472.3494221857,5533323.800314583,1990559.7264688825,3280040.2195875314,4144230.3210596414
2025-02-28,2195348.354749046,3976873.59020795,5438332.480074438,1982478.6489386116,3238690.5270098154,4063033.423604151
2025-03-03,2197297.3332254253,3977956.2284712805,5437581.291807211,1981044.683947883,3226799.745463878,4042944.718899773
2025-03-04,2197500.9027663562,3981006.6065897467,5444194.861197699,1985412.0427942357,3245992.077404403,4073755.763335063
2025-03-05,2197774.469262011,3981290.808941025,5444390.794519417,1986822.0480925129,3250993.7284637587,4082466.7532202154
2025-03-06,2199647.4582096133,4004776.788839057,5494825.802164688,1993592.0785988877,3290520.575806704,4151545.117864109
2025-03-07,2195391.391165003,4002312.8778940667,5496279.287810591,1985645.1756093784,3271812.9765680754,4125252.783747792
2025-03-10,2190992.84231722,3995468.508034646,5487955.276584303,1980884.2567435796,3263008.7160232416,4113499.4588084053
2025-03-11,2189669.4174485956,4012583.863300231,5529346.382838113,1974263.3663295514,3254829.768521551,4107385.0300235143
2025-03-12,2194577.2065325724,4012253.9666498476,5520326.630276158,1978316.8698656396,3253151.282607394,4099494.8230874436
2025-03-13,2190626.9070972265,4000435.7268713005,5499850.585993375,1970487.6602997063,3226333.594411478,4057248.023923636
2025-03-14,2200790.425664075,4056144.1993925855,5610487.24878234,1975749.2115716103,3255483.864369246,4112233.318337074
2025-03-17,2195819.809518923,4051540.8527091523,5608322.6923662415,1969450.7908356448,3244305.323452137,4098273.9347098446
2025-03-18,2194690.2301257714,4047163.37073552,5600146.882991422,1970953.0004843199,3251106.111148599,4109953.2749221455
2025-03-19,2194007.6202129293,4038854.283344501,5582145.646491766,1968869.299078098,3238628.539531591,4089314.7742646984
2025-03-20,2197109.142282017,4028103.1053741174,5552119.370060074,1971615.7018042426,3229919.3387096967,4067849.748956171
2025-03-21,2191322.3921251064,4001729.929513086,5501282.560592476,1963933.2973845622,3198698.408399999,4014164.3846610766
2025-03-24,2189928.636229256,4001994.21715772,5504220.7682151,1963862.77284981,3203636.6962493793,4023837.4789660084
2025-03-25,2193078.4120465396,4002130.0240515904,5499254.25971365,1963331.3607324718,3190380.909192487,4000180.7542767073
2025-03-26,2195561.5387594146,4008609.2979730302,5509941.637667954,1963823.074505617,3188505.618247858,3995519.7455431437
2025-03-27,2198399.665565341,4019211.6881426163,5529482.082030672,1967432.1668681658,3201136.248489985,4015460.8684434984
2025-03-28,2192707.226741401,4001265.9772823513,5497878.875997775,1961923.6440305708,3185242.8039904716,3990606.6823401772
2025-03-31,2188002.612816213,3980666.1833342053,5458568.219353734,1959021.17705067,3174129.3983379,3971132.8404849432
2025-04-01,2188400.111848147,3981645.405857795,5460145.070473787,1959849.314184647,3176859.0250413017,3975570.677317363
2025-04-02,2190368.249775468,3982087.3045577295,5457881.329717265,1961376.6605348075,3176313.566711462,3972448.4407208795
2025-04-03,2200211.873639178,3990701.6765023638,5461207.550318302,1968718.7803217229,3177326.2850404545,3964795.959534125
2025-04-07,2177023.5327443383,3846743.6085664667,5171238.214128054,1943046.3578896401,3043378.286664773,3721468.911225444
2025-04-08,2174663.3610139694,3853507.8728521974,5190131.2484613415,1944646.2905476096,3062878.806504725,3758646.976651134
2025-04-09,2189560.8053574907,3915353.0633019432,5305255.962746018,1961974.5924476439,3127075.669535042,3866562.448059728
2025-04-10,2195233.0225845375,3940121.5251393756,5352028.4701399915,1967489.4805292962,3148616.7695560628,3903762.064079677
2025-04-11,2204879.162309069,3984462.4057375193,5436733.520994954,1974309.7838781278,3176601.216882419,3952353.7418856528
2025-04-14,2205136.748192158,3985685.4143370586,5439091.380544595,1975398.9040846585,3181012.783937992,3960024.22500177
2025-04-15,2203310.9453783594,3973408.849466752,5414171.519993715,1972840.9647848525,3167704.2201786465,3936125.001805373
2025-04-16,2209020.0558508323,3991241.5625007544,5445317.023351969,1977467.3759823013,3179793.292177984,3954747.7136841714
2025-04-17,2209257.1195059763,3993864.543346449,5450891.736581569,1978846.2071202255,3186421.561591931,3966428.7024542554
2025-04-18,2207037.9138121717,3987278.1142585156,5439559.917983021,1975441.1449874758,3175691.172777939,3949051.8496599128
2025-04-21,2207435.1177226766,3995320.956817275,5457194.404198419,1977809.900484857,3190017.304296667,3975338.1031674924
2025-04-22,2208940.6484671272,3996380.5602086415,5457125.281646695,1977909.1582583964,3185959.484293209,3966974.1023928234
2025-04-23,2206633.2450181004,3992119.7913464936,5451228.611570487,1975214.9151974837,3180146.5691399546,3958678.562449408
2025-04-24,2203064.8940447373,3979647.903179056,5428721.524862409,1970280.840859328,3163476.190346632,3931075.8646417516
2025-04-25,2203692.585152113,3979118.5849839854,5426486.943897331,1971877.797747069,3167134.3937612576,3936414.911336397
2025-04-28,2205388.2713917084,3982885.3040438094,5432264.62841185,1971822.123869768,3163908.4439402656,3929940.384157829
2025-04-29,2211022.7441256926,3994521.356681753,5449462.877105653,1976212.942630378,3170556.0529843117,3937867.0878949347
2025-04-30,2213170.515137171,4002350.031014236,5463734.074887271,1979972.7019018382,3183919.4384976444,3960199.658770331
2025-05-06,2217651.604220152,4024691.3435207484,5507190.372632871,1985199.3607320827,3206194.020545785,3998832.0311916578
2025-05-07,2216349.713757406,4023886.336082243,5507509.845446505,1984928.5013149362,3209101.497612739,4005147.2087425627
2025-05-08,2217776.384469137,4025642.0903687617,5509151.559021781,1984804.2748525038,3205062.8980177683,3997246.5006197155
2025-05-09,2214959.597797753,4008584.128708617,5474909.529062244,1978517.004918971,3176983.6171104736,3948354.8146794117
2025-05-12,2215597.310166484,4017603.93140676,5494390.691917042,1979448.26696563,3185429.66210272,3964385.7365068602
2025-05-13,2212292.979146607,4010192.0740071507,5482959.729579291,1976378.247948782,3179162.9710472976,3955609.018650303
2025-05-14,2213868.196599851,4022201.215205557,5507722.997576323,1977079.479623013,3186100.1371935625,3969432.2137118
2025-05-15,2208222.8932190575,3997771.7545995507,5461332.681796462,1971327.95182045,3164183.656273581,3932053.7719021067
2025-05-16,2204365.881450795,3984822.914428794,5438209.84627631,1967840.8863337454,3153664.6765629696,3914767.2420024923
2025-05-19,2205761.935216249,3987852.2729377784,5442804.217152285,1969008.7052314582,3155602.272386994,3917015.224767504
2025-05-20,2208962.6111243917,3998818.6399306967,5462484.691648475,1971123.4972310401,3161445.8928588554,3926503.834439824
2025-05-21,2208479.5590996007,3994754.3273539287,5454027.790920115,1970542.819012837,3157755.0041234135,3919812.958417014
2025-05-22,2205718.476910186,3984043.174357034,5434200.426208226,1967851.7785059738,3148466.7169039813,3904295.8674734803
2025-05-23,2201676.365901044,3966157.084658067,5400178.638323898,1964373.1483827978,3134907.3703079224,3880967.7215707516
2025-05-26,2203202.0958562368,3971995.349389814,5410932.430948774,1966439.4358196962,3142104.1895100023,3892760.818259709
2025-05-27,2199705.570798754,3958132.258560869,5385181.800301963,1963318.9075372252,3131230.896014677,3874561.542257973
2025-05-28,2198244.1915772967,3953404.620811243,5376846.702205338,1961034.3702313867,3123829.5261482126,3862661.209245169
2025-05-29,2201277.5134310024,3973068.898499765,5416474.576136845,1965717.005411542,3146742.852288177,3903013.988185697
