date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合,PPO月度,PPO原生日频
2016-10-31,916775.345337408,1906147.6527042333,1972472.919798945,2156144.5011241008,1895710.1807372023,1889667.8935031844,1889667.8935031844,1733557.8931914791,1703723.3835886824
2016-11-01,922435.3558362718,1917906.5126081563,1984119.5014417786,2167300.0153357647,1907401.5491913348,1898149.2627275311,1898149.2627275311,1739928.389521346,1710080.0238238017
2016-11-02,916217.2456095642,1912190.1791377466,1978505.2565232574,2152690.3082116432,1904107.4310618974,1902407.8605859114,1902407.8605859114,1734955.958110011,1705216.6546980154
2016-11-03,923226.9093601428,1918312.9008125926,1984633.7956649158,2169159.803074353,1907380.6617865127,1906652.426553525,1906652.426553525,1738579.2347075955,1708749.680348493
2016-11-04,920248.3070873062,1911696.2677022377,1977988.0214858642,2162161.4538558917,1900660.0183582343,1897487.8811699646,1897487.8811699646,1735749.748272147,1705964.9107461297
2016-11-07,921049.0177457883,1910065.1537092447,1976246.0299939325,2164042.7566609373,1897946.4984043804,1893308.5463566445,1893308.5463566445,1735472.911648542,1705686.412089166
2016-11-08,925898.8728281929,1918707.5798457167,1985025.0984452355,2175437.691740093,1906065.3610729368,1899680.3883127319,1899680.3883127319,1740302.3935494456,1710403.0517574414
2016-11-09,922380.4496130745,1920318.7537997344,1986609.4405672639,2167171.0108937467,1910613.7930770244,1920416.8042193858,1920416.8042193858,1737156.816786922,1707407.5125234304
2016-11-10,931819.1526090614,1923276.2961333806,1988793.0742854443,2189347.6339151035,1908020.1611407725,1907049.5624816131,1907049.5624816131,1742027.5377645446,1711979.5668033175
2016-11-11,939907.9890719787,1924680.3523003713,1990053.5312528666,2208352.6896940377,1904356.4066387785,1896247.4568122695,1896247.4568122695,1745418.952040366,1715051.4799854474
2016-11-14,941248.3314303955,1911697.8523759423,1976818.2911993864,2211501.8794942466,1886323.967484939,1864836.904977899,1864836.904977899,1742843.488864191,1712215.909733655
2016-11-15,940159.2708716635,1916169.1749686985,1980866.1059315647,2208943.086674015,1892934.1171926854,1873350.8174799741,1873350.8174799741,1744044.6924486044,1713457.614918605
2016-11-16,940419.8719082272,1920038.9190524186,1984894.1590275755,2209555.379586432,1897856.311397829,1878972.778825598,1878972.778825598,1745574.2035318902,1714979.6309995463
2016-11-17,942569.9450369547,1918805.4768641968,1983470.2409290504,2214607.065317449,1894784.3717391759,1877242.1210913055,1877242.1210913055,1745140.2369532406,1714512.3784105426
2016-11-18,939321.5221685708,1911435.0468292169,1976488.7348172043,2206974.7614514697,1887256.8514112982,1865122.5348649665,1865122.5348649665,1742464.770715391,1711830.7008944761
2016-11-21,943630.9231448306,1917114.9568716898,1982324.9105234973,2217099.8772580605,1891848.1626920009,1875929.4487694027,1875929.4487694027,1744374.086956908,1713701.0824545121
2016-11-22,953068.6676508752,1927238.3615779066,1992236.6286266935,2239274.2482676604,1898861.0194493984,1883934.5175983135,1883934.5175983135,1750021.0150152314,1719066.0604034287
2016-11-23,954678.7005699909,1925407.7087891854,1990843.7793473431,2243057.087193134,1895386.8313566253,1885640.0485841106,1885640.0485841106,1748582.8405691718,1717608.9367325562
2016-11-24,957368.3494283485,1920972.3242003536,1986700.6049429607,2249376.52841477,1887785.2143644667,1875193.3031995783,1875193.3031995783,1747815.264432873,1716777.659339117
2016-11-25,967885.3151117822,1929555.3609641246,1996164.799178493,2274086.5742112338,1892118.9331282638,1875773.3088485433,1875773.3088485433,1754118.0162234206,1722663.7729790988
2016-11-28,972194.2197792729,1937519.2260824197,2004446.7522480115,2284210.523919847,1899723.5786942628,1885409.218888613,1885409.218888613,1757813.1218913328,1726132.1790046983
