date,bond10_rsi14,bond10_macd_bar,consume_obv,gold_rsi14,gold_macd_dif,consume_rsi14,gold_macd_bar,zz500_pb_quantile,zz500_macd_dea,gold_obv,bond10_std20,gold_ma5,kc50_pb_p50,hs300_atr14,hs300_ma20_amt,ma20_streak,consume_std20,consume_ma20_amt,zz500_pb,bond10_macd_dif,kc50_rsi14,consume_ma20_vol,kc50_pb,hs300_macd_dea,gold_ma20_vol,hs300_pe,pmi_生产经营活动预期指数,pmi_制造业采购经理指数,bond_10y_2y_spread,margin_5d_chg,north_net,hs300_ma5,zz500_ma5,north_20d_sum,margin_total,m1_m2_spread,yield_10y,社融存量增速(近似),hs300_pe_quantile,score_valuation,score_macro,score_sentiment,score_trend,score_total
2019-12-09,67.91866563692113,0.0403142680902832,878458576.0,44.30158795096232,-0.010511595,44.73423805630741,0.0063741247909069,0.1945147679324894,-0.013267538,23594515024.0,0.2446597383786663,3.301400000000002,5.9667,0.0401905846249641,920859908.6811996,2.0,0.0479553157122346,25386060.53,1.86,0.1655427350749789,40.13248521785561,8467327.1,5.8508,-0.011297863,288599032.9,11.48,54.4,50.2,0.4858,0.985165858250414,33.90780000000001,3.937000000003824,5.374399999999186,627.076,975974000000.0,-5.1,3.1903,33.3106592447971,0.2240506329113924,20.5,14.0,14.0,11.5,60.0
2019-12-10,60.20825745354015,0.0251512595890847,869785276.0,45.50702674454171,-0.010465997,42.609079548836846,0.0051357782057635,0.2042194092827004,-0.007986094,23795858662.0,0.2069587581790894,3.302000000000002,5.9667,0.0387484000088952,892463780.7429997,3.0,0.047620502991207,25694478.31,1.87,0.1566675414710516,40.13248521785561,8582402.1,5.8508,-0.010436217,286396684.8,11.48,54.4,50.2,0.4728,1.0144700621410152,29.5471,3.946000000003824,5.399999999999186,656.7312,978479000000.0,-5.1,3.1776,33.3106592447971,0.2240506329113924,20.5,10.5,14.0,13.0,58.0
2019-12-11,61.32091164353233,0.0149167947779042,854109926.0,46.01036210261661,-0.010151458,37.71151135106256,0.0043602543138057,0.2046413502109704,-0.002837119,24059022666.0,0.1785176394224486,3.2910000000000017,5.9667,0.0411949428654027,885721902.2100496,-1.0,0.0477200409183159,27153737.93,1.87,0.1501622753543472,40.13248521785561,9095004.6,5.8508,-0.010297903,282862011.7,11.48,54.4,50.2,0.4609,1.1166676987116375,23.6794,3.943400000003824,5.423599999999186,698.0409999999999,980281000000.0,-5.1,3.1702,33.3106592447971,0.2240506329113924,20.5,10.5,17.0,11.0,59.0
2019-12-12,63.18193865495896,0.0094864904468074,839712039.0,50.44662586023328,-0.00835344,35.702690151099645,0.0049266176829924,0.1949367088607595,0.0017898773421393,24336929244.0,0.1581671270633722,3.2868000000000017,5.9667,0.0396095898035882,865126863.2197497,-2.0,0.0474382736339581,28133232.08,1.86,0.1471035936349523,40.13248521785561,9452283.95,5.8508,-0.010772237,283283817.1,11.48,54.4,50.2,0.4732,0.979149339145846,65.2177,3.932800000003824,5.434999999999187,751.1485,981563000000.0,-5.1,3.1652,33.3106592447971,0.2240506329113924,20.5,10.5,17.0,5.0,53.0
2019-12-13,58.53555061345771,-0.000263917,853901939.0,42.330682610735664,-0.009960652,42.90796029929883,0.0026555246912458,0.2151898734177215,0.0070236995747893,24073608654.0,0.1305086590329243,3.279600000000001,5.9667,0.0429231905319034,914622623.4896498,1.0,0.0469381753526602,28373192.22,1.88,0.1372872066053929,40.13248521785561,9553088.95,5.8508,-0.010320752,287147651.6,11.48,54.4,50.2,0.489,0.925854967521933,52.7059,3.933200000003824,5.4507999999991865,787.0115000000001,981347000000.0,-5.1,3.1828,33.3106592447971,0.2240506329113924,19.0,10.5,17.0,14.0,60.5
2019-12-16,56.786595826037576,-0.009402371,835612339.0,49.70416899016269,-0.008473873,41.10413303111473,0.003313842787504,0.1649789029535865,0.0137355288548947,24321852393.0,0.1206860703709868,3.283400000000001,5.9667,0.0425001054939103,927063650.1339496,2.0,0.045711183593539,30148139.38,1.84,0.1257981602818887,40.13248521785561,10170628.95,5.8508,-0.009097672,282101921.0,11.48,54.4,50.2,0.479,1.514131953865916,7.000099999999979,3.938600000003824,5.481599999999187,779.4211,990751000000.0,-5.1,3.1854,33.3106592447971,0.2240506329113924,20.5,10.5,17.0,13.0,61.0
2019-12-17,46.39091227210109,-0.028314331,856980939.0,49.29281808409882,-0.007371993,49.65195789774537,0.0035325777275228,0.2067510548523206,0.0223945816922715,23936858556.0,0.1232213864502176,3.285800000000001,5.9667,0.0461786693872023,985584929.3544496,3.0,0.0399806178741466,32453272.23,1.87,0.0998076178884588,40.13248521785561,10954733.95,5.8508,-0.006445179,285954887.2,11.48,54.4,50.2,0.5129,2.136733901330845,88.06530000000001,3.955800000003824,5.524999999999187,842.2429,999387000000.0,-5.1,3.2133,33.3106592447971,0.2240506329113924,17.0,11.5,18.5,13.0,60.0
2019-12-18,46.39091227210109,-0.03985176,837760739.0,49.96177398332219,-0.00618537,47.50688113713936,0.0037753608742341,0.2071729957805907,0.0316893808118085,24320817852.0,0.1280577997499014,3.288400000000001,5.9667,0.0453801930024022,1015701532.0658495,4.0,0.0332920757189657,34183135.16,1.87,0.0783072485729405,40.13248521785561,11551658.95,5.8508,-0.00326043,281787907.0,11.48,54.4,50.2,0.5291,2.710007250375801,44.831,3.981200000003823,5.5715999999991865,885.1751,1006846347533.0,-5.1,3.2139,33.3106592447971,0.2240506329113924,17.0,11.5,18.5,15.0,62.0
2019-12-19,48.08658798607344,-0.044156805,827068439.0,49.26189363632512,-0.005424507,44.48214749190782,0.0036289790832625,0.2075949367088607,0.0410465399701669,23960856552.0,0.1307155311091424,3.286800000000001,5.9667,0.0436387506450878,1020448088.7783496,5.0,0.0267826866792668,34812000.49,1.87,0.0629630019744809,40.13248521785561,11776903.95,5.8508,-1.33e-05,284409861.9,11.48,54.4,50.2,0.5523,2.967984703426829,35.3637,4.007400000003823,5.623199999999186,914.2475,1010695167611.0,-5.1,3.2139,33.3106592447971,0.2240506329113924,17.0,11.5,18.5,15.0,62.0
2019-12-20,56.69203835299822,-0.034348851,817333282.0,51.69116452238676,-0.003968851,44.16339459279056,0.0040677082763289,0.1814345991561181,0.0489652667867895,24271936872.0,0.1290989933279819,3.295000000000001,5.9667,0.0428074113132958,1017157299.2199496,6.0,0.0258640639845651,33712517.55,1.85,0.0641837432209939,40.13248521785561,11418291.8,5.8508,0.0030389875137056,288251882.2,11.48,54.4,50.2,0.5571,2.7318164799837508,37.1532,4.017000000003823,5.648799999999186,941.9531,1008155775449.0,-5.1,3.1808,33.3106592447971,0.2240506329113924,18.5,11.5,18.5,17.0,65.5
2019-12-23,69.789507841064,-0.000176588,803354082.0,54.28406962253058,-0.001905657,39.5815804236906,0.004904721323283,0.1388185654008439,0.0533975779280926,24616064772.0,0.1539361152385161,3.298800000000001,5.9667,0.0447497390766318,1056097728.2807496,7.0,0.0272798424820722,34635490.94,1.82,0.0983118596594891,40.13248521785561,11743822.45,5.8508,0.0049725340663416,286898489.7,11.48,54.4,50.2,0.6094,1.9130465422709355,17.491500000000002,4.013800000003823,5.631199999999186,903.0806,1009704850686.0,-5.1,3.1661,33.3106592447971,0.2240506329113924,20.5,11.5,17.0,17.0,66.0
2019-12-24,71.53461634098038,0.0254586946189565,811034782.0,58.23448196255412,0.0011684188793124,41.750919917312,0.0063830381614987,0.1662447257383966,0.0566148348360259,24998206840.0,0.1817535146093335,3.306600000000001,5.9667,0.0436247577140153,1062086133.0079496,8.0,0.0255801154397098,34489659.29,1.84,0.1303118157334069,40.13248521785561,11705887.45,5.8508,0.0064272407923382,292090684.5,11.48,54.4,50.2,0.6159,1.0396021805619382,17.491500000000002,4.002400000003823,5.612599999999186,903.0806,1009776288734.0,-5.1,3.1535,33.3106592447971,0.2240506329113924,20.5,11.5,13.0,17.0,62.0
2019-12-25,73.58839713505097,0.0456176466521881,795688704.0,62.32484102441555,0.0052387816388423,39.31838808068737,0.0083627207368229,0.1835443037974683,0.0591716891048821,25301109924.0,0.2157506143049514,3.3180000000000005,5.9667,0.0422229893058713,1082505718.5751493,9.0,0.0243513820138039,35663233.96,1.85,0.1618751794296855,40.13248521785561,12121611.35,5.8508,0.0076025937911186,299193239.6,11.48,54.4,50.2,0.6153,0.4990696625470248,17.491500000000002,3.995400000003823,5.599999999999186,903.0806,1011871212202.0,-5.1,3.1463,33.3106592447971,0.2240506329113924,19.0,11.5,12.0,17.0,59.5
2019-12-26,76.16288164452345,0.0636722923616491,783328820.0,62.51311414156716,0.0084478831554104,38.86120026308298,0.0092574578027128,0.1994097807757167,0.0617158024893284,25636328448.0,0.2567010860413396,3.3302000000000005,5.9667,0.0419927757840233,1116002768.637149,10.0,0.0233936381533494,36577204.97,1.86,0.1958478982295588,40.13248521785561,12445770.55,5.8508,0.0089865895528676,308270662.8,11.48,54.4,50.2,0.6078,0.4276290796181525,17.491500000000002,3.995600000003823,5.5929999999991855,903.0806,1015017194054.0,-5.1,3.1137,33.3106592447971,0.2240506329113924,17.0,11.5,12.0,17.0,57.5
2019-12-27,76.19883121348782,0.0705734032956947,807693419.0,64.42751176850405,0.0116635851053668,46.8481868971362,0.0099785278021353,0.1838111298482293,0.0632599519910527,26078924524.0,0.2859002274760611,3.3424000000000005,5.9667,0.0427075775137359,1144864724.1140494,11.0,0.0232053831263707,37600966.39,1.85,0.2203923599875281,40.13248521785561,12790957.05,5.8508,0.0103445072923789,311787497.4,11.48,54.4,50.2,0.6365,0.5156862990428834,46.809000000000005,3.995800000003823,5.588199999999185,735.5881,1013354696656.0,-5.1,3.1292,33.3106592447971,0.2240506329113924,18.5,11.5,17.0,17.0,64.0
2019-12-30,75.76812690769216,0.0693867170376717,837550919.0,63.72656031568168,0.0138905472017101,57.21473462043014,0.0097643919187829,0.2129005059021922,0.0651966588528243,25694239624.0,0.3096788458571881,3.3520000000000003,5.9667,0.0459427505484691,1221419171.5780492,12.0,0.0265448640230428,40817086.66,1.87,0.236552352988923,40.13248521785561,13855574.0,5.8508,0.0125166744417673,321408282.3,11.48,54.4,50.2,0.6579,0.9651020499088724,44.2797,4.018000000003823,5.624799999999186,755.6510999999999,1019449532898.0,-5.1,3.1322,33.3106592447971,0.2240506329113924,17.0,11.5,17.0,19.0,64.5
2019-12-31,76.30388416066378,0.0651408007832615,855208363.0,68.03372201947052,0.0173117790754639,59.673793546757445,0.0105484990340294,0.2247048903878583,0.0674962428823212,26096872318.0,0.3287771700932751,3.3626000000000005,5.9667,0.0453039826521498,1254720020.8770492,13.0,0.0311436960868346,42372660.54,1.88,0.2485916369303282,40.13248521785561,14362281.2,5.8508,0.0153918434574542,327540428.0,11.48,54.4,50.2,0.6581,0.941648422931496,-1.6225,4.040200000003823,5.6493999999991855,736.6485,1019284831232.0,-5.1,3.1365,33.3106592447971,0.2240506329113924,15.5,12.5,17.0,19.0,64.0
2020-01-02,68.80558035685105,0.0497979660651538,874708649.0,63.12059068015623,0.018678137049767,60.62164971772236,0.009531885606666,0.2428330522765598,0.0714719626282025,25715028504.0,0.3394948417470542,3.3662000000000005,5.9667,0.0476394124627106,1353824004.9048493,14.0,0.035497743673264,44253850.23,1.91,0.245698293728509,40.13248521785561,14974815.5,5.8508,0.0193674222336286,328211594.9,12.45,57.9,50.0,0.6169,1.3049150494424788,101.4705,4.071600000003824,5.690599999999185,831.4089999999999,1025075271931.0,-5.1,3.1485,24.8808622028746,0.5413153456998314,15.5,12.5,17.0,19.0,64.0
2020-01-03,69.025945124108,0.0362954382528847,854804539.0,71.38612317244146,0.0236839373196651,57.11082557913378,0.0116301487012512,0.2478920741989882,0.0763024374857014,26082943487.0,0.3493723086869248,3.3800000000000003,5.9667,0.0463080258582312,1407817411.2109492,15.0,0.0376317659146339,45846981.29,1.92,0.241269625479461,40.13248521785561,15495936.0,5.8508,0.0236206236879759,337500774.1,12.45,57.9,50.0,0.6062,1.098429297583592,33.6085,4.095200000003823,5.725599999999186,837.9129999999999,1026166440289.0,-5.1,3.1428,24.8808622028746,0.5413153456998314,15.5,12.5,17.0,19.0,64.0
2020-01-06,72.6880573543744,0.033059228618486,879794839.0,78.77498430078346,0.0333188641713557,57.883400122784735,0.0170120604423535,0.2531592249368155,0.082294517577358,26543723980.0,0.3647291427491537,3.4068000000000005,5.9667,0.0485003097255004,1502964212.446499,16.0,0.0391434835679268,48063353.87,1.93,0.2462982229996839,40.13248521785561,16227239.45,5.8508,0.0275157669756213,345104908.7,12.45,57.9,50.0,0.6304,2.350843791972568,43.55210000000001,4.116400000003823,5.782799999999186,846.8991,1037177082633.0,-5.1,3.1352,24.8808622028746,0.5413153456998314,15.5,12.5,18.5,21.0,67.5
