date,net_value
2017-12-29,1.3463619
2018-01-02,1.3502014
2018-01-03,1.3517274
2018-01-04,1.3553523
2018-01-05,1.3618411
2018-01-08,1.362903
2018-01-09,1.3614563
2018-01-10,1.3669711
2018-01-11,1.363739
2018-01-12,1.3692732
2018-01-15,1.3658963
2018-01-16,1.3657241
2018-01-17,1.3603731
2018-01-18,1.3715056
2018-01-19,1.3726511
2018-01-22,1.372308
2018-01-23,1.3683095
2018-01-24,1.3698286
2018-01-25,1.3589033
2018-01-26,1.35256
2018-01-29,1.3548193
2018-01-30,1.3465048
2018-01-31,1.3471583
2018-02-01,1.3397037
2018-02-02,1.3206123
2018-02-05,1.3109409
2018-02-06,1.3116039
2018-02-07,1.2930539
2018-02-08,1.3089787
2018-02-09,1.3145363
2018-02-12,1.320949
2018-02-13,1.3322338
2018-02-14,1.3335809
2018-02-22,1.3422145
2018-02-23,1.33648
2018-02-26,1.3314332
2018-02-27,1.3346715
2018-02-28,1.3315152
2018-03-01,1.3284651
2018-03-02,1.3330251
2018-03-05,1.3291712
2018-03-06,1.3355554
2018-03-07,1.3402827
2018-03-08,1.341204
2018-03-09,1.3362546
2018-03-12,1.335163
2018-03-13,1.3385956
2018-03-14,1.3321315
2018-03-15,1.3342694
2018-03-16,1.3331106
2018-03-19,1.3293211
2018-03-20,1.3268383
2018-03-21,1.3128501
2018-03-22,1.3142202
2018-03-23,1.3190435
2018-03-26,1.3082408
2018-03-27,1.3144621
2018-03-28,1.3168913
2018-03-29,1.314713
2018-03-30,1.315335
2018-04-02,1.3179595
2018-04-03,1.3175184
2018-04-04,1.3232324
2018-04-09,1.3257153
2018-04-10,1.3227959
2018-04-11,1.3183656
2018-04-12,1.315072
2018-04-13,1.3088897
2018-04-16,1.310957
2018-04-17,1.319183
2018-04-18,1.3113223
2018-04-19,1.3083594
2018-04-20,1.319554
2018-04-23,1.3186523
2018-04-24,1.308697
2018-04-25,1.3074336
2018-04-26,1.3059896
2018-04-27,1.3115191
2018-05-02,1.3104932
2018-05-03,1.3248107
2018-05-04,1.3290272
2018-05-07,1.3264453
2018-05-08,1.330322
2018-05-09,1.3266962
2018-05-10,1.3291241
2018-05-11,1.3319398
2018-05-14,1.3286474
2018-05-15,1.3251631
2018-05-16,1.3282924
2018-05-17,1.331935
2018-05-18,1.334178
2018-05-21,1.3259194
2018-05-22,1.323202
2018-05-23,1.321978
2018-05-24,1.3277347
2018-05-25,1.3227793
2018-05-28,1.3180568
2018-05-29,1.333011
2018-05-30,1.3267477
2018-05-31,1.3288122
2018-06-01,1.3331529
2018-06-04,1.3323859
2018-06-05,1.3289891
2018-06-06,1.3214873
2018-06-07,1.3203174
2018-06-08,1.3295331
2018-06-11,1.3225031
2018-06-12,1.321397
2018-06-13,1.3172671
2018-06-14,1.2888384
2018-06-15,1.295148
2018-06-19,1.2891877
2018-06-20,1.2941974
2018-06-21,1.290876
2018-06-22,1.2886212
2018-06-25,1.275414
2018-06-26,1.269503
2018-06-27,1.2872623
2018-06-28,1.2759672
2018-06-29,1.2742918
2018-07-02,1.2681001
2018-07-03,1.2597531
2018-07-04,1.2641023
