日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2024-08-07,=6137.8497,=6667.5040,=1916939086380.3296,=1388182729580,=932471676310.1760,=96.3525,=0.6857,=104.1132,=81.5867,=49.7210
2024-08-06,=6210.0289,=6745.6747,=1937614516500.4399,=1403693237681,=943204241679.6440,=96.6762,=0.6929,=104.1132,=81.5702,=49.7210
2024-08-05,=6181.0191,=6714.1626,=1927631912350.8103,=1397328015074,=938804955960.1479,=96.7236,=0.6944,=104.1132,=81.5537,=49.7210
2024-08-02,=6468.1868,=7025.3704,=2009864617949.6001,=1461526927164,=981978852948.7004,=100.8927,=0.7531,=104.1132,=81.5164,=49.7210
2024-08-01,=6641.2120,=7213.3003,=2058309339120.7200,=1500163421552,=1007668518593.6802,=103.9479,=0.7970,=104.2132,=81.4791,=49.6154
2024-07-31,=6612.0147,=7181.5878,=2050473590478.8601,=1493445153582,=1002968268312.6218,=104.2340,=0.8010,=104.2132,=81.4754,=49.6154
2024-07-30,=6376.6882,=6925.5497,=1976251160516.4097,=1440994455637,=967945424499.9960,=101.6520,=0.7608,=104.1132,=81.4716,=49.6154
2024-07-29,=6311.6124,=6854.8726,=1953707292895.0903,=1426822936258,=957801382305.7338,=100.2847,=0.7440,=104.1132,=81.4635,=49.6154
2024-07-26,=6422.0064,=6974.7686,=1998508530260.0200,=1449892656069,=975013603664.0060,=103.6813,=0.7938,=104.1132,=81.4554,=49.6154
2024-07-25,=6368.0351,=6916.1518,=1979958612705.0503,=1438145225204,=966137174040.8242,=102.5384,=0.7744,=104.2132,=81.4037,=48.7033
2024-07-24,=6432.6074,=6986.2820,=1994599094953.9900,=1451244091799,=975432766873.0800,=103.3780,=0.7893,=104.2132,=81.3519,=48.7033
2024-07-23,=6489.7158,=7048.3059,=2010765945405.8201,=1464335692809,=985541632791.6680,=103.6784,=0.7933,=104.2132,=81.3192,=48.7033
2024-07-22,=6814.0659,=7400.5739,=2107153880041.5305,=1537213710110,=1034388916548.3656,=109.9592,=0.8903,=104.2132,=81.2865,=48.7033
2024-07-19,=6806.9093,=7392.8013,=2105802791396.6797,=1535743564654,=1033328997752.9301,=109.3911,=0.8826,=104.1132,=81.2033,=48.7033
2024-07-18,=6632.0543,=7202.5555,=2045117623592,=1497269312008,=1007595787319.8500,=106.7766,=0.8465,=104.1132,=81.1201,=48.6965
2024-07-17,=6618.9083,=7188.2786,=2037956116118.0696,=1492761370107,=1006073047528.2900,=106.5450,=0.8413,=104.0860,=81.1054,=48.6965
2024-07-16,=6688.3503,=7263.6942,=2058976169757.5200,=1506595564378,=1016793111652.8502,=109.0252,=0.8790,=103.9860,=81.0907,=48.6965
2024-07-15,=6477.1833,=7034.3623,=1994306048080.4399,=1458445201564,=987856312841.1021,=108.1122,=0.8688,=103.9455,=81.0826,=48.6965
2024-07-12,=6423.5317,=6976.0955,=1976544651287.0295,=1447090066912,=980338484322.6479,=107.2351,=0.8544,=103.8758,=81.0745,=48.6965
2024-07-11,=6379.2678,=6928.0239,=1965747759994.1597,=1434591954464,=973283045718.4100,=105.5861,=0.8231,=103.8758,=81.0506,=46.8011
2024-07-10,=6326.4292,=6870.6400,=1951370697082.6001,=1423463326587,=964157721873.5780,=103.8758,=0.8010,=103.8726,=81.0266,=46.8011
2024-07-09,=6326.5951,=6870.8202,=1953862686867.9600,=1423994304245,=964517694288.3600,=103.3417,=0.7958,=103.6977,=81.0038,=46.8011
2024-07-08,=6090.5971,=6614.5212,=1883900470301.8401,=1370871679128,=929450275281.8600,=101.5709,=0.7694,=103.6977,=80.9810,=46.8011
2024-07-05,=6086.8670,=6610.4703,=1884964995671.5205,=1369439271726,=928730156039.4680,=99.5716,=0.7405,=103.6977,=80.9497,=46.8011
2024-07-04,=6076.7226,=6599.4533,=1877280754393.4600,=1368315740525,=926994969952.8280,=97.9712,=0.7200,=103.8726,=80.9185,=46.5364
2024-07-03,=6162.6665,=6691.2880,=1903921046978.3604,=1388113308945,=940096002501.8101,=98.0767,=0.7214,=103.8726,=80.8921,=46.5364
2024-07-02,=6090.1902,=6612.5948,=1882084931670.3999,=1372847616012,=929007952558.7560,=96.7812,=0.7085,=103.8726,=80.8658,=46.5364
2024-07-01,=6201.1631,=6733.0867,=1911038322769.3601,=1398398967939,=945515838150.9578,=97.9643,=0.7201,=103.8726,=80.7975,=46.5364
2024-06-28,=6218.0724,=6751.4464,=1915067508153.7505,=1400847920577,=948667907483.8304,=98.8656,=0.7309,=103.8726,=80.7292,=46.5364
2024-06-27,=6201.5648,=6733.5228,=1910389028411.2100,=1397363877844,=945959746381.4840,=97.4830,=0.7188,=103.9455,=80.6512,=46.4790
2024-06-26,=6280.5647,=6818.3507,=1937755376012.1196,=1415858218539,=957888814214.4480,=98.5092,=0.7262,=103.9455,=80.5733,=46.4790
2024-06-25,=6145.1461,=6671.3367,=1898151754461.5601,=1386654882123,=937437408368.2758,=96.3518,=0.7030,=103.9455,=80.5725,=46.4790
2024-06-24,=6384.0488,=6930.6062,=1972442967569.9104,=1440869665557,=973816086292.3298,=100.0731,=0.7513,=103.9455,=80.5717,=46.4790
2024-06-21,=6547.6511,=7105.1750,=2026964931903.0300,=1476237136686,=998443127155.2262,=101.3788,=0.7656,=103.9455,=80.5544,=46.4790
2024-06-20,=6535.0208,=7091.4692,=2023234670405.9500,=1474255205203,=996538258392.3816,=100.7955,=0.7619,=103.9860,=80.5370,=46.4713
2024-06-19,=6534.7936,=7090.8318,=2015669534810.3401,=1474041204066,=995989600291.3120,=98.6514,=0.7319,=103.9860,=80.5248,=46.4713
2024-06-18,=6537.0792,=7093.1019,=2020062381509.5696,=1476040852990,=997072522759.4622,=98.6001,=0.6855,=103.9860,=80.5126,=46.4713
2024-06-17,=6535.3897,=7090.2155,=2017864234582.3701,=1476567506235,=996526345867.2778,=97.7377,=0.7237,=103.9860,=80.4357,=46.4713
2024-06-14,=6376.1988,=6917.5100,=1971713893301.0400,=1441280749322,=973033366479.0480,=95.6527,=0.6961,=103.9860,=80.3588,=46.4713
2024-06-13,=6403.5680,=6947.2027,=1983686368474.5801,=1448065855623,=977748422895.8260,=96.1462,=0.7018,=104.0860,=80.3439,=46.4188
2024-06-12,=6351.9033,=6890.4715,=1971063764996.6399,=1435324927789,=970412966997.4882,=95.9316,=0.6990,=104.0860,=80.3290,=46.4188
2024-06-11,=6377.2094,=6917.9232,=1982586930019.0703,=1439667705902,=974269486741.3700,=96.6105,=0.7124,=104.0860,=80.2673,=46.4188
2024-06-07,=6166.8932,=6689.5460,=1913944270951.8000,=1392898218730,=942530691744.4580,=94.3259,=0.6778,=104.0860,=80.2055,=46.4188
2024-06-06,=6169.3123,=6691.6433,=1913783955975.9399,=1394312003100,=943615147960.6000,=94.4217,=0.6810,=104.0860,=80.1980,=46.4188
2024-06-05,=6200.7361,=6723.8653,=1920070356319.5400,=1400639810995,=947922590497.0702,=94.4483,=0.6816,=104.1132,=80.1906,=46.3560
2024-06-04,=6166.7485,=6686.8135,=1908787373442.8003,=1392639012500,=942782988991.0861,=95.2023,=0.6908,=104.1132,=80.0968,=46.3560
2024-06-03,=6162.1414,=6681.8179,=1906310222146.3000,=1391371430375,=941988924389.6200,=95.7305,=0.6974,=104.1132,=80.0031,=46.3560
2024-05-31,=6050.9066,=6561.2022,=1876802286339.7300,=1362117244618,=925505840604.4420,=93.9085,=0.6756,=104.1132,=80.0009,=46.3560
2024-05-30,=6079.6602,=6591.4577,=1885606578595.9800,=1370135626456,=930212498277.7040,=94.3520,=0.6805,=104.1132,=79.9986,=46.3560
2024-05-29,=5965.3076,=6467.2943,=1845031094388.5105,=1346179469664,=912468645912.0724,=91.6940,=0.6603,=104.2132,=79.9652,=46.3347
2024-05-28,=5995.0202,=6499.5072,=1854322599661.5295,=1352357035158,=916864103507.6400,=91.6743,=0.6600,=104.2132,=79.9317,=46.3347
2024-05-27,=5995.4523,=6499.5861,=1855893482973.1003,=1352389381601,=916503388809.1238,=91.7393,=0.6606,=104.2132,=79.9152,=46.3347
2024-05-24,=5821.9970,=6311.5457,=1795364889270.0996,=1313775198468,=889620551065.1157,=87.0040,=0.6057,=104.2132,=79.8987,=46.3347
2024-05-23,=5979.2144,=6481.9829,=1840190455597.9399,=1348413295235,=912836656824.7760,=88.0683,=0.6201,=104.2132,=79.8356,=46.3347
2024-05-22,=6077.2486,=6587.3628,=1872761858077.5896,=1370360337400,=927579876632.3000,=89.6478,=0.6363,=104.3167,=79.7725,=46.2928
2024-05-21,=6038.6320,=6542.5129,=1861859847306.5603,=1361822619946,=921902355599.1602,=88.2832,=0.6238,=104.3167,=79.6902,=46.2928
2024-05-20,=6076.5707,=6583.6174,=1876083504573.9299,=1369121741207,=926948014418.2100,=88.9728,=0.6330,=104.3167,=79.6079,=46.2928
2024-05-17,=6064.8867,=6570.9584,=1871226180639.7900,=1366292679766,=925523326478.4700,=88.1016,=0.6223,=104.3167,=79.5265,=46.2928
2024-05-16,=5998.6641,=6499.2099,=1848304315003.5801,=1351531702061,=915933679347.4900,=87.3732,=0.6124,=104.3167,=79.4451,=46.2928
2024-05-15,=5992.9274,=6492.9945,=1842879759704.7700,=1350061360597,=915856313168.4200,=87.6128,=0.6164,=104.3709,=79.4216,=46.2295
2024-05-14,=6068.8372,=6575.2384,=1869732313691.4705,=1366861804443,=928289829202.0400,=89.6850,=0.6361,=104.3709,=79.3980,=46.2295
2024-05-13,=6064.2868,=6570.3083,=1868760255273.9500,=1365405559335,=927898634572.8900,=90.1303,=0.6437,=104.3709,=79.3425,=46.2295
2024-05-10,=6116.5457,=6626.9278,=1886468280174.6196,=1378947963651,=935768438747.2200,=90.0646,=0.6434,=104.3709,=79.2870,=46.2295
2024-05-09,=6243.9448,=6764.9574,=1929931668695.1504,=1408416560561,=954797119919.8700,=80.5733,=0.5144,=104.3709,=79.2690,=46.2295
2024-05-08,=6102.4890,=6611.6981,=1881959407884.2495,=1375651224601,=934612502037.2300,=79.1211,=0.4991,=104.4631,=79.2510,=46.0714
2024-05-07,=6191.5994,=6708.2441,=1907934602304.9900,=1395604662517,=948258780762.2698,=79.2870,=0.5004,=104.4631,=79.2690,=46.0714
2024-05-06,=6237.7924,=6758.2916,=1923762612289.9900,=1405952842279,=954961831467.5598,=79.6079,=0.5026,=104.4631,=79.2510,=46.0714
2024-04-30,=6177.9081,=6693.4103,=1907065820255.8501,=1393378262567,=945209425650.2300,=78.9498,=0.4996,=104.4631,=79.1004,=46.0714
2024-04-29,=6267.0107,=6789.9479,=1938161734092.7800,=1413582342286,=970504820108.3500,=89.8952,=0.6406,=104.4631,=79.2510,=46.0714
2024-04-26,=6050.9764,=6555.8871,=1875568705374.5601,=1362330555124,=928034362499.8199,=97.3624,=0.7133,=104.5843,=78.9948,=46.0511
2024-04-25,=5877.7787,=6368.2373,=1820222732385.7000,=1323705419659,=901273428219.8098,=115.0094,=0.9296,=104.5843,=78.7387,=46.0511
