date,bond_10y_2y_spread,zz500_std20,hs300_pb,consume_rsi14,hs300_pe,margin_5d_chg,zz500_atr14,zz500_pb,zz500_ma5,zz500_pb_quantile,hs300_atr14,hs300_erp,hs300_ma5,bond10_macd_bar,consume_pe,consume_pe_quantile,margin_total,north_net,m0环比增长,m1环比增长,kc50_pe_p80,chip_ma5,pmi_生产经营活动预期指数,gold_rsi14,社融增量(亿元),kc50_pe_quantile,chip_macd_dif,gold_ma5,chip_std20,north_20d_sum,chip_ma20_vol,gold_std20,chip_obv,chip_macd_bar,社融存量增速(近似),chip_pb,kc50_ma20_vol
2015-12-18,0.4053,0.192914477728835,1.77,60.31259755829719,13.17,1.7303459750111827,0.2108906601900629,3.97,7.7897999999991985,,0.0822987087264165,4.652214426727412,3.775600000003839,,28.3652,0.6543513957307061,1174133662406.0,,0.0479,0.0344,,,46.41184482276304,,18114.0,,,,,,,,,,,,
2015-12-21,0.4059,0.1965985203846119,1.8,69.82605631626014,13.44,1.3337773630952343,0.2079698987479155,4.02,7.863399999999197,,0.0870630866745296,4.559376190476191,3.8054000000038384,,29.6181,0.6978653530377669,1183899417549.0,,0.0479,0.0344,,,46.41184482276304,,18114.0,,,,,,,,,,,,
2015-12-22,0.4097,0.1996323012876989,1.8,70.4225706772586,13.45,1.8842695624304184,0.2021863345516358,4.05,7.946599999999196,,0.0844157233406346,4.573944237918216,3.843400000003839,,29.6801,0.6986863711001642,1193618429378.0,,0.0479,0.0344,,,46.41184482276304,,18114.0,,,,,,,,,,,,
2015-12-23,0.3855,0.1849850756613171,1.8,65.40936046938833,13.44,2.6430061822795503,0.1976730249408046,4.0,7.996199999999196,,0.0832431716734464,4.594476190476191,3.880200000003839,,29.4046,0.6888341543513957,1205669080368.0,,0.0479,0.0344,,,46.41184482276304,,18114.0,,,,,,,,,,,,
2015-12-24,0.3558,0.1769461167062588,1.79,66.27128117663675,13.33,3.182452040654016,0.1939820945878899,3.99,8.001399999999197,,0.082940087982486,4.700875468867217,3.893600000003839,,29.3002,0.6863711001642037,1211116685963.0,,0.0479,0.0344,,,46.41184482276304,,18114.0,,,,,,,,,,,,
2015-12-25,0.3706,0.1830705211591073,1.78,63.982046732858144,13.31,3.111145334011267,0.1859833735458978,4.01,8.023999999999196,,0.0797300816980227,4.707048009015777,3.908200000003839,,29.2399,0.6839080459770115,1210662667059.0,,0.0479,0.0344,,,46.41184482276304,,18114.0,,,,,,,,,,,,
2015-12-28,0.3693,0.1790307465702215,1.74,55.247312852612986,12.97,0.4662886345893069,0.1904845611497622,3.91,7.985799999999197,,0.0829636472910211,4.914000231303006,3.879400000003839,,28.5546,0.6617405582922824,1189419805978.0,,0.0479,0.0344,,,46.41184482276304,,18114.0,,,,,,,,,,,,
2015-12-29,0.3933,0.1783511374158619,1.75,55.00944563972916,13.07,-0.323335997,0.1873070924962077,3.94,7.949999999999197,,0.080466243913091,4.845009410864575,3.85660000000384,,28.8623,0.6724137931034483,1189759031325.0,,0.0479,0.0344,,,46.41184482276304,,18114.0,,,,,,,,,,,,
2015-12-30,0.4057,0.1790853378072933,1.75,59.17399203438265,13.05,-1.189978257,0.1801423001750501,3.97,7.947599999999197,,0.077361512205013,4.836735249042146,3.834600000003839,,28.929,0.6756978653530378,1191321880462.0,,0.0479,0.0344,,,46.41184482276304,,18114.0,,,,,,,,,,,,
2015-12-31,0.3977,0.1790330017554588,1.74,58.38040111091131,13.01,-3.042602758,0.1789178501625465,3.9,7.917199999999196,,0.0756214041903693,4.865195080707148,3.815200000003839,,28.8145,0.6715927750410509,1174267216268.0,,0.0479,0.0344,,,46.41184482276304,,18114.0,,,,,,,,,,,,
