date,year,month,volatility_20d
2021-08-02,2021,8,23.850249151706738
2021-08-03,2021,8,23.83919992644635
2021-08-04,2021,8,23.747115559304653
2021-08-05,2021,8,23.661599957621025
2021-08-06,2021,8,23.63816702343689
2021-08-09,2021,8,23.46708009127581
2021-08-10,2021,8,23.842850044992907
2021-08-11,2021,8,23.604755509648744
2021-08-12,2021,8,23.11178976188282
2021-08-13,2021,8,22.95272370412317
2021-08-16,2021,8,22.86254918854889
2021-08-17,2021,8,24.032375798561407
2021-08-18,2021,8,24.239563960384007
2021-08-19,2021,8,24.25824951324176
2021-08-20,2021,8,24.76197301296192
2021-08-23,2021,8,22.682484157042293
2021-08-24,2021,8,19.07970257413373
2021-08-25,2021,8,19.08409271260293
2021-08-26,2021,8,19.149092510156905
2021-08-27,2021,8,18.99974390088889
2021-08-30,2021,8,16.678904748977143
2021-08-31,2021,8,16.671836240520445
2021-09-01,2021,9,17.216390203460566
2021-09-02,2021,9,17.11043302986135
2021-09-03,2021,9,17.174999147527345
2021-09-06,2021,9,17.845535058983742
2021-09-07,2021,9,17.964366624548926
2021-09-08,2021,9,17.927086269968008
2021-09-09,2021,9,17.785782361163506
2021-09-10,2021,9,17.985467955284445
2021-09-13,2021,9,18.11018882890786
2021-09-14,2021,9,16.807220278505465
2021-09-15,2021,9,16.868968983627173
2021-09-16,2021,9,17.179044524482627
2021-09-17,2021,9,16.021397559710834
2021-09-22,2021,9,15.36096079788992
2021-09-23,2021,9,15.0163676571701
2021-09-24,2021,9,14.98599027374289
2021-09-27,2021,9,13.782561613350088
2021-09-28,2021,9,13.79471430287959
2021-09-29,2021,9,13.957093765164306
2021-09-30,2021,9,13.97846248608391
2021-10-08,2021,10,13.98366102314734
2021-10-11,2021,10,13.97714516767702
2021-10-12,2021,10,14.366592968135294
2021-10-13,2021,10,13.603031315550776
2021-10-14,2021,10,12.892290333102055
2021-10-15,2021,10,12.975567541286834
2021-10-18,2021,10,13.575361078878132
2021-10-19,2021,10,13.552774205038212
2021-10-20,2021,10,13.474262377874124
2021-10-21,2021,10,12.777296402510926
2021-10-22,2021,10,12.320103006724963
2021-10-25,2021,10,11.453614065587669
2021-10-26,2021,10,11.332924750593683
2021-10-27,2021,10,12.119437339272825
2021-10-28,2021,10,12.084396349368356
2021-10-29,2021,10,12.27865152330622
2021-11-01,2021,11,12.13653953521581
2021-11-02,2021,11,12.689387048832575
2021-11-03,2021,11,12.552026345803055
2021-11-04,2021,11,12.995098573386407
2021-11-05,2021,11,11.885808435569317
2021-11-08,2021,11,11.88363294194877
2021-11-09,2021,11,11.335268640229208
2021-11-10,2021,11,10.56885280121856
2021-11-11,2021,11,12.119058761083872
2021-11-12,2021,11,11.980551982338817
2021-11-15,2021,11,11.230643646554556
2021-11-16,2021,11,10.679348877381576
2021-11-17,2021,11,10.63930656009592
2021-11-18,2021,11,10.916625649810731
2021-11-19,2021,11,11.442205376183948
2021-11-22,2021,11,11.410010089889118
2021-11-23,2021,11,11.37271724646863
2021-11-24,2021,11,10.371886352575142
2021-11-25,2021,11,10.348512734896923
2021-11-26,2021,11,10.52376544647699
2021-11-29,2021,11,10.480100542042535
2021-11-30,2021,11,9.86738336687876
2021-12-01,2021,12,9.787805701745036
2021-12-02,2021,12,9.186996721042274
2021-12-03,2021,12,9.641886363120284
2021-12-06,2021,12,9.64580615204525
2021-12-07,2021,12,9.8011545805091
2021-12-08,2021,12,10.633688097298885
2021-12-09,2021,12,10.670364606293557
2021-12-10,2021,12,10.777346877779436
2021-12-13,2021,12,10.723561575334523
