日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2012-11-16,=5470.9180,=5829.1400,=1179239983047.2000,=946110633409,=483193585163.7999,=4.0720,=0,=6.6998,=5.9562,=5.0331
2012-11-15,=5557.0230,=5920.8800,=1198590607025.5002,=962979896665,=490850632137.3099,=4.1388,=0,=6.6998,=5.9586,=5.0367
2012-11-14,=5625.5100,=5993.8500,=1213962109388.3999,=975941884209,=497058578639.7800,=4.1919,=0.0012,=6.6998,=5.9632,=5.0374
2012-11-13,=5578.6540,=5943.9300,=1204436752880.9998,=967442743214,=492695321303.4799,=4.1590,=0,=6.6998,=5.9678,=5.0446
2012-11-12,=5666.0100,=6037,=1222123103323.3000,=982068756503,=500458690145.5400,=4.2201,=0.0012,=6.7000,=5.9697,=5.0446
2012-11-09,=5728.3610,=6103.4400,=1236784675554.5000,=993209129425,=506198752242.9701,=4.2707,=0.0074,=6.7000,=5.9716,=5.0467
2012-11-08,=5751.9230,=6127.5400,=1241201095451.7000,=995966539290,=507804406170.4797,=4.2860,=0.0074,=6.7000,=5.9752,=5.0472
2012-11-07,=5828.4790,=6209.0900,=1258358262341.1997,=1009638655555,=514440710086.3098,=4.3452,=0.0160,=6.7000,=5.9787,=5.0549
2012-11-06,=5832.3780,=6213.2500,=1258358896020.4998,=1004952092342,=514587148681.3300,=4.3452,=0.0160,=6.7000,=5.9818,=5.0577
2012-11-05,=5915.1650,=6301.4400,=1278840542130.8003,=1021696219967,=522689676946.1401,=4.4159,=0.0234,=6.7055,=5.9849,=5.0577
2012-11-02,=5972.4060,=6362.4200,=1290598733668.6001,=1034045329253,=528525932081.6201,=4.4565,=0.0321,=6.7055,=5.9853,=5.0579
2012-11-01,=5950.7970,=6339.4000,=1289662044485.1001,=1032244259389,=527011688932.5500,=4.4533,=0.0309,=6.7055,=5.9858,=5.0586
2012-10-31,=5847.2600,=6229.1000,=1268473104504.8999,=1015668599378,=518262869509.1699,=4.3801,=0.0198,=6.7055,=5.9895,=5.0596
2012-10-30,=5833.2040,=6214.1300,=1264392243318.7002,=1011542919735,=516603091594.9199,=4.4059,=0.0210,=6.7055,=5.9933,=5.0653
2012-10-29,=5831.2040,=6212,=1264013843447.8000,=1009309306774,=515842978086.6700,=4.4639,=0.0285,=6.7064,=5.9941,=5.0653
2012-10-26,=5832.0330,=6212.8800,=1262702217342.3003,=1007521679637,=508737104432.5200,=4.4898,=0.0347,=6.7064,=5.9949,=5.0716
2012-10-25,=5937.0010,=6324.7000,=1286806174844.5996,=1026767397671,=518027619005.2064,=4.6476,=0.0571,=6.7064,=6.0043,=5.0768
2012-10-24,=5970.7010,=6360.6000,=1292333957340.0002,=1031770973709,=520724395866.7692,=4.6747,=0.0647,=6.7064,=6.0137,=5.0827
2012-10-23,=5980.7080,=6371.2600,=1294027722947.5000,=1032348191609,=521091015434.2295,=4.6829,=0.0648,=6.7064,=6.0159,=5.1037
2012-10-22,=6100.7110,=6499.1000,=1321952245310.0002,=1054347771021,=532023176176.5400,=4.7887,=0.0773,=6.7082,=6.0182,=5.1037
2012-10-19,=6094.4970,=6492.4800,=1322072758082.7000,=1049484464569,=531778969454.6552,=4.5151,=0.0424,=6.7082,=6.0277,=5.1049
2012-10-18,=6099.9000,=6498.2400,=1322012213630.7000,=1049648365156,=531975082867.5056,=4.5603,=0.0488,=6.7082,=6.0373,=5.1077
2012-10-17,=6028.4990,=6422.1700,=1308403844033.9998,=1037945198471,=525786745509.4228,=4.5134,=0.0413,=6.7082,=6.0402,=5.1118
2012-10-16,=6034.1250,=6428.1700,=1310273726395.3999,=1039200832590,=526132918489.3722,=4.5198,=0.0414,=6.7082,=6.0432,=5.1141
2012-10-15,=5941.2740,=6329.2500,=1290427286974.6001,=1022985787177,=517971044848.1001,=4.4514,=0.0276,=6.7087,=6.0435,=5.1141
2012-10-12,=5907.7900,=6293.5800,=1282802756375.8003,=1013989717893,=514702735711.7498,=4.4251,=0.0226,=6.7087,=6.0438,=5.1157
2012-10-11,=5923.3590,=6310.1700,=1283475301805.6001,=1014841699014,=515705351854.5974,=4.4274,=0.0226,=6.7087,=6.0441,=5.1213
2012-10-10,=5980.7160,=6371.2700,=1294842115830.7000,=1023531218545,=520653438063.6156,=4.4666,=0.0252,=6.7087,=6.0445,=5.1269
2012-10-09,=5955.0150,=6343.8900,=1289118587305.9998,=1020093560035,=518900332558.5042,=4.4468,=0.0240,=6.7087,=6.0448,=5.1331
2012-10-08,=5839.8450,=6221.2000,=1263736848886.8000,=1000492265233,=508950154332.1185,=4.3593,=0.0189,=6.7123,=6.0450,=5.1331
2012-09-28,=5907.2470,=6293,=1281499844988.3999,=1014521776804,=514023398201.8917,=4.4206,=0.0202,=6.7123,=6.0473,=5.1350
