日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB等权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-08-12,=22295.6700,=27935.6100,=6997192318455.1396,=6272999170387,=2998471621169.7378,=3.8107,=0.6703,=4.2394,=3.4261,=3.0373
2022-08-11,=22148.2300,=27750.8700,=6943689230760.5908,=6217239025691,=2974899753894.7358,=3.8028,=0.6680,=4.2414,=3.4261,=3.0361
2022-08-10,=21789.2600,=27301.0900,=6827895529661.9785,=6115307625335,=2926123622330.8379,=3.7401,=0.6494,=4.2414,=3.4261,=3.0361
2022-08-09,=22125.4500,=27722.3300,=6946024117502.6406,=6220253229570,=2974245007581.2480,=3.6383,=0.6110,=4.2414,=3.4258,=3.0361
2022-08-08,=22281.8600,=27918.3000,=6974619135282.9395,=6204718555412,=2989572908029.0859,=3.6516,=0.6165,=4.2414,=3.4254,=3.0361
2022-08-05,=22433.5400,=28108.3600,=7023791532433.4102,=6244026839787,=3009932748841.5371,=3.7894,=0.6648,=4.2414,=3.4251,=3.0361
2022-08-04,=22229.7500,=27852.3800,=6964229906790.2090,=6201875520975,=2986500717914.8540,=3.7327,=0.6458,=4.2429,=3.4249,=3.0357
2022-08-03,=21910.4300,=27452.2900,=6862545122211.5586,=6106288871614,=2942096259207.3232,=3.6752,=0.6218,=4.2429,=3.4246,=3.0357
2022-08-02,=22088,=27674.7800,=6890620139719.5898,=6130157357277,=2955870912510.7925,=3.7028,=0.6318,=4.2429,=3.4242,=3.0357
2022-08-01,=22378.0500,=28038.1900,=6965646089532.2227,=6190478770116,=2987873223670.8477,=3.7978,=0.6669,=4.2429,=3.4242,=3.0357
2022-07-29,=22266.2300,=27898.0800,=6942082120636.0215,=6177518488275,=2981944494775.0298,=3.7708,=0.6573,=4.2429,=3.4241,=3.0357
