日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB等权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2017-10-18,=11501.0881,=13399.7800,=2245009130101.2002,=2042510282384,=985877924349.2566,=3.3514,=0.3965,=4.5772,=3.4768,=3.0724
2017-10-17,=11299.5551,=13164.9700,=2215610308447.3999,=2014034568219,=970068736291.4731,=3.3690,=0.4141,=4.5772,=3.4773,=3.0724
2017-10-16,=11283.2078,=13145.9300,=2216717920626.1001,=2015377030758,=969925572730.9200,=3.3743,=0.4213,=4.5772,=3.4775,=3.0724
2017-10-13,=11369.6114,=13246.5900,=2229112934626.6001,=2026588747804,=974827903170.0420,=3.4136,=0.4602,=4.5796,=3.4776,=3.0711
2017-10-12,=11350.3661,=13224.1700,=2213706010982.7998,=2012332204531,=970762119997.8691,=3.3920,=0.4396,=4.5796,=3.4777,=3.0711
2017-10-11,=11386.7661,=13266.5800,=2221174712951.6001,=2019435566240,=973434552467.2892,=3.4057,=0.4517,=4.5796,=3.4778,=3.0711
2017-10-10,=11146.4848,=12986.6300,=2179307569973.8997,=1981147006931,=954590266493.8055,=3.3692,=0.4151,=4.5796,=3.4788,=3.0711
2017-10-09,=11028.5691,=12849.2500,=2146005926961.6001,=1951463950743,=943083938550.2422,=3.3357,=0.3790,=4.5796,=3.4798,=3.0711
2017-09-29,=10899.4361,=12698.8000,=2118693780283.0996,=1925947351197,=931395912062.9264,=3.2932,=0.3388,=4.5807,=3.4801,=3.0704
2017-09-28,=10812.4439,=12597.4400,=2111761637008.5000,=1920458535426,=924843987714.2260,=3.2782,=0.3260,=4.5807,=3.4805,=3.0704
2017-09-27,=10636.5133,=12392.4700,=2078476898436,=1888693604126,=909244638360.4296,=3.2576,=0.3037,=4.5807,=3.4809,=3.0704
2017-09-26,=10660.3528,=12420.2500,=2080507218476.5000,=1890850394926,=911332678242.4069,=3.2583,=0.3044,=4.5807,=3.4814,=3.0704
2017-09-25,=10673.4151,=12435.4600,=2082556162884.8000,=1892374552448,=911779544553.2966,=3.2614,=0.3100,=4.5807,=3.4818,=3.0704
2017-09-22,=10563.1289,=12306.9700,=2059694725731.8000,=1870558576775,=902014194886.0128,=3.2835,=0.3277,=4.5830,=3.4822,=3.0699
2017-09-21,=10553.4018,=12295.6400,=2057864093440.5000,=1862286601023,=901194719076.6852,=3.2960,=0.3428,=4.5830,=3.4826,=3.0699
2017-09-20,=10571.4347,=12316.6500,=2059482242479.3000,=1863240879569,=901727750110.3282,=3.3229,=0.3645,=4.5830,=3.4830,=3.0699
2017-09-19,=10474.6593,=12203.9000,=2045036570547.1001,=1850556448194,=894908915760.0145,=3.3115,=0.3552,=4.5830,=3.4834,=3.0699
2017-09-18,=10496.8584,=12229.7600,=2049692114557.9009,=1855348155365,=896840336210.7695,=3.3200,=0.3609,=4.5830,=3.4838,=3.0699
2017-09-15,=10328.8139,=12033.9700,=2014668393244.6001,=1822060584824,=882176039987.2830,=3.2765,=0.3245,=4.5856,=3.4840,=3.0698
2017-09-14,=10264.0250,=11958.4900,=2008747821330.8000,=1816956427999,=877407902155.2129,=3.2753,=0.3226,=4.5856,=3.4842,=3.0698
2017-09-13,=10264.7206,=11959.3000,=2008248494712.2000,=1805245282961,=877691088028.0330,=3.2870,=0.3318,=4.5856,=3.4844,=3.0698
2017-09-12,=10116.3516,=11786.4400,=1979671362757,=1778132771620,=865303816208.0731,=3.2513,=0.3024,=4.5856,=3.4846,=3.0698
2017-09-11,=10045.2087,=11703.5500,=1962136504798.7000,=1760658847178,=858332676084.7595,=3.2496,=0.3016,=4.5856,=3.4848,=3.0698
2017-09-08,=10012.5888,=11665.5400,=1951459242173.1001,=1750929880015,=855051125092.0267,=3.2302,=0.2927,=4.5857,=3.4850,=3.0687
2017-09-07,=10073.1103,=11736.0600,=1968666447211.1001,=1768260641860,=861058951656.4500,=3.2319,=0.2933,=4.5857,=3.4851,=3.0687
2017-09-06,=10178.0132,=11858.2800,=1986756619468.7000,=1784551921573,=869865001285.8835,=3.2502,=0.3010,=4.5857,=3.4853,=3.0687
2017-09-05,=10239.6755,=11930.1200,=2000584013464.5000,=1797742320911,=875711886865.2833,=3.2626,=0.3102,=4.5857,=3.4854,=3.0687
2017-09-04,=10190.7174,=11873.0800,=1996978389462.1003,=1794862966935,=872625986785.5432,=3.2600,=0.3058,=4.5857,=3.4855,=3.0687
2017-09-01,=10247.7560,=11939.5300,=2008977563442.9004,=1805766460571,=877386715861.3729,=3.2680,=0.3130,=4.5867,=3.4863,=3.0685
2017-08-31,=10219.6723,=11906.8100,=2000609546274.1001,=1797921003631,=873970045078.3564,=3.2604,=0.3066,=4.5867,=3.4871,=3.0685
2017-08-30,=10212.9167,=11898.9400,=2006105665229.8999,=1802902157009,=867929984956.5123,=3.2753,=0.3199,=4.5867,=3.4874,=3.0685
2017-08-29,=10155.9055,=11832.5200,=1992215078803.8999,=1791016156477,=862992656284.3015,=3.2727,=0.3180,=4.5867,=3.4877,=3.0685
2017-08-28,=10158.5839,=11835.6400,=1994381323939,=1792921286081,=864029935203.4620,=3.2862,=0.3273,=4.5867,=3.4877,=3.0685
2017-08-25,=10100.8610,=11768.3900,=1982561785199.7000,=1783589084836,=860281395813.3387,=3.2685,=0.3133,=4.5895,=3.4877,=3.0683
2017-08-24,=10029.8392,=11685.6400,=1970896570055.1001,=1774387554576,=855056117995.2045,=3.2376,=0.2958,=4.5895,=3.4884,=3.0683
2017-08-23,=10124.1567,=11795.5300,=1983958092847.3000,=1786868710487,=862407814736.6978,=3.2613,=0.3091,=4.5895,=3.4890,=3.0683
2017-08-22,=10095.0539,=11761.6200,=1972597278125.6997,=1775255257425,=858728878688.2994,=3.2763,=0.3188,=4.5895,=3.4892,=3.0683
2017-08-21,=10159.8981,=11837.1700,=1984606940530,=1787975761254,=863990500987.0311,=3.2967,=0.3377,=4.5895,=3.4895,=3.0683
2017-08-18,=10134.6104,=11807.7100,=1982188035082.3999,=1785347370100,=861475388220.6478,=3.2860,=0.3257,=4.5923,=3.4898,=3.0658
2017-08-17,=10128.8016,=11800.9400,=1985904526352.2000,=1789042780626,=861943650133.4299,=3.2928,=0.3310,=4.5923,=3.4902,=3.0658
2017-08-16,=10170.1217,=11849.0800,=1996373205636.3003,=1799320578721,=865858452335.6393,=3.2847,=0.3246,=4.5923,=3.4906,=3.0658
2017-08-15,=10219.0996,=11906.1500,=2003759344389.8997,=1806780613891,=869306753570.2494,=3.2893,=0.3267,=4.5923,=3.4910,=3.0658
2017-08-14,=10199.8761,=11883.7500,=2003509201509.3997,=1799381394195,=868826377473.4003,=3.2923,=0.3300,=4.5923,=3.4912,=3.0658
2017-08-11,=10008.8454,=11661.1800,=1963679830575.5000,=1761725302698,=850452718903.0360,=3.2464,=0.3002,=4.5961,=3.4914,=3.0627
2017-08-10,=10228.9325,=11917.6000,=2001912064381.6001,=1797305121195,=868241317652.4630,=3.3129,=0.3470,=4.5961,=3.4914,=3.0627
2017-08-09,=10235.2280,=11924.9400,=2000973332845.6001,=1795051948862,=868506012471.9464,=3.3289,=0.3604,=4.5961,=3.4915,=3.0627
2017-08-08,=9987.6467,=11636.4800,=1959875659194.4995,=1756515441321,=848180770104.7101,=3.3022,=0.3398,=4.5961,=3.4925,=3.0627
2017-08-07,=9929.6830,=11553.3600,=1950400256231.1001,=1750154844230,=843657152705.1570,=3.2467,=0.3008,=4.5961,=3.4934,=3.0627
2017-08-04,=9699.2250,=11285.2100,=1908422590745.2000,=1711129181073,=824799993664.5547,=3.2030,=0.2755,=4.5991,=3.4938,=3.0620
2017-08-03,=9799.5095,=11401.9000,=1925106598104.3999,=1726563003206,=833201546975.2061,=3.2302,=0.2955,=4.5991,=3.4942,=3.0620
2017-08-02,=9866.1528,=11477.3000,=1940518742547.1001,=1741992168236,=839404876319.3156,=3.2331,=0.2962,=4.5991,=3.4948,=3.0620
2017-08-01,=9912.2280,=11530.9000,=1949807992473.6001,=1749177080234,=841743722499.1187,=3.2609,=0.3086,=4.5991,=3.4953,=3.0620
2017-07-31,=9888.6329,=11503.4600,=1947501884629.8003,=1745634235230,=840319158410.9286,=3.2656,=0.3107,=4.5991,=3.4953,=3.0620
2017-07-28,=9833.2929,=11439.0800,=1940512746853.8997,=1740619445767,=836636747594.0752,=3.2405,=0.2971,=4.5992,=3.4954,=3.0616
2017-07-27,=9651.0771,=11225.3100,=1900869045266.2000,=1704250951380,=821016349432.2185,=3.2100,=0.2830,=4.5992,=3.4955,=3.0616
2017-07-26,=9620.7851,=11190.0700,=1891933115955.8000,=1696769059336,=818215242042.8962,=3.1819,=0.2643,=4.5992,=3.4956,=3.0616
2017-07-25,=9770.1787,=11363.8400,=1919617133813.9995,=1722456503463,=830510224540.7853,=3.2064,=0.2797,=4.5992,=3.4959,=3.0616
2017-07-24,=9814.4612,=11415.3400,=1927496387341.6001,=1729370787889,=833690763697.9431,=3.2253,=0.2932,=4.5992,=3.4963,=3.0616
2017-07-21,=9690.6831,=11269.7100,=1904939824627.1001,=1707962437798,=823765206289.5001,=3.1938,=0.2693,=4.5997,=3.4963,=3.0615
2017-07-20,=9623.9153,=11192.0600,=1887873823511.5000,=1692950191967,=817109381063.4003,=3.1736,=0.2587,=4.5997,=3.4964,=3.0615
2017-07-19,=9508.8342,=11058.2300,=1864404284647.8003,=1669735207064,=806142650342.1101,=3.1523,=0.2476,=4.5997,=3.4974,=3.0615
2017-07-18,=9383.6653,=10912.6600,=1839857751613,=1647644527277,=796125079167.5203,=3.1027,=0.2216,=4.5997,=3.4984,=3.0615
2017-07-17,=9345.4223,=10868.1900,=1829920051509.5000,=1638589376297,=792976144900.3698,=3.0791,=0.2089,=4.5997,=3.4987,=3.0615
2017-07-14,=9572.5236,=11132.2900,=1871979665129.1001,=1673818780548,=810925922272.2198,=3.2034,=0.2751,=4.6005,=3.4989,=3.0615
2017-07-13,=9540.1145,=11090.8200,=1868666415397.7000,=1671055416872,=808370473842.4999,=3.1971,=0.2706,=4.6005,=3.4996,=3.0615
2017-07-12,=9561.6471,=11114.7000,=1872966054394.3997,=1675275625918,=810404829441.3501,=3.1817,=0.2626,=4.6005,=3.5003,=3.0615
2017-07-11,=9656.4408,=11224.8900,=1893718387188.3999,=1694610499176,=818560950473.0201,=3.2018,=0.2735,=4.6005,=3.5005,=3.0615
2017-07-10,=9580.1725,=11131.8700,=1876047568750.3000,=1676601122212,=810616370317.7301,=3.2076,=0.2782,=4.6005,=3.5007,=3.0615
2017-07-07,=9502.3276,=11041.4100,=1857266623098.8999,=1659014620582,=802809324431.4701,=3.1931,=0.2676,=4.6018,=3.5008,=3.0612
2017-07-06,=9617.7467,=11151.5900,=1881876007163.1011,=1683306980897,=813900989858.4098,=3.1946,=0.2677,=4.6018,=3.5008,=3.0612
2017-07-05,=9670.7458,=11213.0400,=1892451250438,=1693367936038,=818928663407.2399,=3.2079,=0.2776,=4.6018,=3.5014,=3.0612
2017-07-04,=9572.1947,=11098.7700,=1871303423263.8997,=1672894097933,=809664488651.5701,=3.1908,=0.2670,=4.6018,=3.5021,=3.0612
2017-07-03,=9721.5968,=11270.0100,=1900692442265.8999,=1700741947751,=822613360204.0200,=3.2131,=0.2795,=4.6018,=3.5023,=3.0612
2017-06-30,=9827.4282,=11392.7000,=1926046126724.1001,=1719033508998,=833113090643.7699,=3.2040,=0.2739,=4.6045,=3.5026,=3.0611
2017-06-29,=9784.7604,=11340.4400,=1920441458118.8000,=1715714075584,=830304245163.8199,=3.1821,=0.2643,=4.6045,=3.5026,=3.0611
2017-06-28,=9724.5718,=11269.6700,=1915843403096.6001,=1712393032806,=826244105391.9100,=3.1617,=0.2531,=4.6045,=3.5026,=3.0611
2017-06-27,=9859.5536,=11424.1300,=1942616782841.8999,=1737932466247,=838254142865.1403,=3.1778,=0.2615,=4.6045,=3.5027,=3.0611
2017-06-26,=9822.2395,=11380.8300,=1939115430744.8000,=1734125341511,=835617244785.6100,=3.1690,=0.2559,=4.6045,=3.5028,=3.0611
2017-06-23,=9639.1159,=11168.6500,=1898878058280.1001,=1697267880324,=819522165387.2401,=3.1150,=0.2303,=4.6084,=3.5038,=3.0600
2017-06-22,=9574.6008,=11093.1000,=1890205774148,=1688934114239,=814760337474.9498,=3.1105,=0.2273,=4.6084,=3.5047,=3.0600
2017-06-21,=9632.9788,=11160.7400,=1900605322370.6001,=1697721871963,=819016782025.5901,=3.1375,=0.2439,=4.6084,=3.5053,=3.0600
2017-06-20,=9408.5044,=10900.6600,=1860160963816.8000,=1660639240679,=800975332272.4901,=3.1071,=0.2270,=4.6084,=3.5059,=3.0600
2017-06-19,=9465.2905,=10966.4600,=1871510130861.7000,=1671287442049,=806121949755.7999,=3.1184,=0.2312,=4.6084,=3.5061,=3.0600
2017-06-16,=9367.3938,=10843.1300,=1852327188182,=1652728420229,=797035997050.4600,=3.0812,=0.2112,=4.6090,=3.5063,=3.0598
2017-06-15,=9421.9345,=10887.3100,=1863111917560.9004,=1662052411221,=801208302505.1099,=3.0951,=0.2175,=4.6090,=3.5065,=3.0598
2017-06-14,=9530.7808,=11012.6400,=1889780605050.8997,=1687529361832,=811512624552.7200,=3.0932,=0.2171,=4.6090,=3.5066,=3.0598
2017-06-13,=9617.5874,=11112.9400,=1900319914292.8999,=1697372544755,=817526116937.2600,=3.1011,=0.2214,=4.6090,=3.5072,=3.0598
2017-06-12,=9611.4202,=11105.8100,=1899867573433.1997,=1696991959855,=817018803989.3198,=3.0893,=0.2152,=4.6090,=3.5078,=3.0598
2017-06-09,=9508.7049,=10983.6800,=1915499278943,=1697273678696,=812554467228.2700,=3.1745,=0.2548,=4.6093,=3.5079,=3.0592
2017-06-08,=9455.6859,=10922.4400,=1903990519042.8000,=1687702111242,=808268775866.7201,=3.1529,=0.2451,=4.6093,=3.5079,=3.0592
2017-06-07,=9303.1164,=10746.2000,=1879454542653.5000,=1664131625538,=795511804643.0901,=3.1319,=0.2369,=4.6093,=3.5080,=3.0592
2017-06-06,=9111.8625,=10525.2800,=1838564197173.1001,=1626777953731,=779166999106.1699,=3.0724,=0.2095,=4.6093,=3.5082,=3.0592
2017-06-05,=8999.0258,=10394.2700,=1817823606266.3999,=1607204586133,=769803422260.0699,=3.0504,=0.1934,=4.6093,=3.5086,=3.0592
2017-06-02,=9042.8789,=10444.9200,=1825158126033.1001,=1615003320588,=773573518413.8301,=3.0403,=0.1868,=4.6096,=3.5091,=3.0592
2017-06-01,=9084.2494,=10492.7100,=1832210074010.3999,=1622270248763,=776978707738.0103,=3.0313,=0.1817,=4.6096,=3.5093,=3.0598
2017-05-31,=9083.1383,=10491.4300,=1829074839791.8000,=1616982098153,=775853710633.4901,=3.0687,=0.2057,=4.6096,=3.5094,=3.0600
2017-05-26,=9107.2000,=10518.9300,=1837926225007.7000,=1626638339378,=779469074084.5498,=3.0534,=0.1949,=4.6096,=3.5094,=3.0600
2017-05-25,=9106.4867,=10518.1000,=1837257161914.9004,=1620544598176,=778774856676.6801,=3.0615,=0.2018,=4.6096,=3.5094,=3.0611
2017-05-24,=9054.3019,=10454.7600,=1828976797367.8000,=1614411591424,=774578340259.0900,=3.0258,=0.1794,=4.6134,=3.5097,=3.0600
2017-05-23,=9131.2323,=10543.0300,=1841930956527.8003,=1627320120399,=781240430799.8899,=3.0375,=0.1842,=4.6134,=3.5100,=3.0611
2017-05-22,=9037.0130,=10434.2500,=1815741410251,=1600638498870,=771808167418.1000,=3.0704,=0.2052,=4.6134,=3.5104,=3.0612
2017-05-19,=9026.1527,=10421.7100,=1815960645935.2000,=1599635951720,=770691423178.0499,=3.0992,=0.2158,=4.6134,=3.5108,=3.0612
2017-05-18,=8926.3399,=10305.1900,=1795316121780.3003,=1578791972658,=761032199545.6600,=3.0925,=0.2128,=4.6134,=3.5110,=3.0612
2017-05-17,=8922.3219,=10300.5500,=1792772877491.3000,=1576057520260,=759930416981.5802,=3.1153,=0.2238,=4.6141,=3.5112,=3.0611
2017-05-16,=9003.2216,=10393.9400,=1808648916825,=1591070188949,=766775557728.5300,=3.1215,=0.2271,=4.6141,=3.5115,=3.0611
2017-05-15,=8808.5836,=10169.2400,=1768462702597.8000,=1553833782511,=750044835179.6100,=3.0711,=0.2058,=4.6141,=3.5119,=3.0611
2017-05-12,=8707.8459,=10052.7600,=1750338287829.1001,=1536537367121,=740999246722.9000,=3.0620,=0.2022,=4.6141,=3.5128,=3.0611
2017-05-11,=8694.1198,=10010.6100,=1747554351313.9998,=1534567441998,=739624308822.2402,=3.0517,=0.1929,=4.6141,=3.5138,=3.0611
2017-05-10,=8653.0015,=9946.9000,=1742344583544.6001,=1529093906285,=736104407636.3400,=3.0465,=0.1893,=4.6143,=3.5143,=3.0611
2017-05-09,=8720.4845,=10018.1500,=1753415036235.6001,=1537022397263,=740901117848.3900,=3.1022,=0.2151,=4.6143,=3.5148,=3.0612
2017-05-08,=8735.8397,=9988.8500,=1748621059669,=1531974073758,=741820723725.1300,=3.0884,=0.2100,=4.6143,=3.5152,=3.0612
2017-05-05,=8879.9884,=10153.6800,=1781718743525.2002,=1561781472120,=754793586383.4700,=3.1343,=0.2306,=4.6143,=3.5157,=3.0612
2017-05-04,=8922.4975,=10200.5900,=1789204144588.8999,=1568470171882,=757993728277.7799,=3.1643,=0.2417,=4.6143,=3.5163,=3.0612
2017-05-03,=8938.5028,=10218.8900,=1792115666240.6001,=1571333669138,=759544775366.3801,=3.1754,=0.2461,=4.6159,=3.5170,=3.0611
2017-05-02,=8925.4096,=10203.9200,=1785574556557.7002,=1563704760658,=757802086171.9998,=3.1869,=0.2504,=4.6159,=3.5174,=3.0611
2017-04-28,=8973.6700,=10259.1000,=1796840236653.3999,=1573976064294,=761010984485.6698,=3.2176,=0.2663,=4.6159,=3.5177,=3.0611
2017-04-27,=9159.7418,=10471.8200,=1835170510746,=1609100257663,=772932083706.9700,=3.3173,=0.3270,=4.6159,=3.5180,=3.0611
2017-04-26,=9142.5247,=10450.1700,=1830754389952.7000,=1603067858025,=771045617204.7100,=3.3229,=0.3319,=4.6159,=3.5183,=3.0611
2017-04-25,=9159.9439,=10470.0800,=1836308942710.3003,=1607563619631,=772524593662.3000,=3.3375,=0.3448,=4.6256,=3.5184,=3.0600
2017-04-24,=8967.6725,=10250.3100,=1790027179779.3000,=1563123437321,=754214729793.0699,=3.3303,=0.3376,=4.6256,=3.5185,=3.0600
2017-04-21,=9107.7482,=10410.4200,=1814039772605.3000,=1586003579450,=765050356717.7201,=3.4283,=0.4433,=4.6256,=3.5193,=3.0600
2017-04-20,=9194.3665,=10509.4200,=1838542348031.3999,=1609815184191,=774542621789.0504,=3.4495,=0.4541,=4.6256,=3.5201,=3.0600
2017-04-19,=9003.8204,=10291.6200,=1799457462412.3000,=1574221109600,=758547216404.3099,=3.4166,=0.4311,=4.6256,=3.5204,=3.0600
2017-04-18,=9046.9427,=10340.9100,=1805087232144.7000,=1578134259713,=761309064090.3601,=3.4666,=0.4630,=4.6315,=3.5206,=3.0598
2017-04-17,=8952.5295,=10233,=1781013351249.1001,=1555533027387,=752467498140.9701,=3.4696,=0.4632,=4.6315,=3.5207,=3.0598
2017-04-14,=8923.0374,=10199.2900,=1775921806974.3000,=1550696634489,=750092738650.2399,=3.4732,=0.4651,=4.6315,=3.5208,=3.0598
2017-04-13,=9019.5489,=10309.6000,=1795467679372.8999,=1567503863735,=757997732989.1700,=3.5185,=0.4981,=4.6315,=3.5209,=3.0598
2017-04-12,=8936.5413,=10214.7200,=1774282452706.1001,=1547935240280,=750113514142.2798,=3.4956,=0.4815,=4.6315,=3.5210,=3.0598
2017-04-11,=8883.5674,=10154.1700,=1762056812158.2998,=1535474542032,=745169882663.2201,=3.4954,=0.4812,=4.6337,=3.5213,=3.0592
2017-04-10,=8906.0483,=10172.2300,=1766569699602.8003,=1542074803369,=747128565886.2402,=3.4778,=0.4687,=4.6337,=3.5215,=3.0592
2017-04-07,=9000.3815,=10279.9800,=1787212390263.1001,=1560181546979,=754626828538.4598,=3.5063,=0.4881,=4.6337,=3.5223,=3.0592
2017-04-06,=9025.8110,=10306.4400,=1791048939408.7002,=1562629885574,=756424104160.7000,=3.5091,=0.4904,=4.6337,=3.5231,=3.0592
2017-04-05,=9035.5083,=10317.5100,=1790360192904.6001,=1562602775013,=756437153653.3099,=3.5066,=0.4886,=4.6337,=3.5238,=3.0592
2017-03-31,=8943.5100,=10212.4600,=1772450140716.7000,=1547527545373,=748569019991.4900,=3.4483,=0.4554,=4.6408,=3.5244,=3.0574
2017-03-30,=8909.4344,=10173.5500,=1768655611706.9004,=1542921623541,=747075522106.7900,=3.4570,=0.4625,=4.6408,=3.5250,=3.0574
2017-03-29,=8969.3571,=10241.9700,=1779560115942.8999,=1551287680517,=750643171965.6699,=3.5003,=0.4835,=4.6408,=3.5256,=3.0574
2017-03-28,=8949.6301,=10219.4500,=1774671967285.2000,=1545465507612,=748536274992.5101,=3.5112,=0.4918,=4.6408,=3.5257,=3.0574
2017-03-27,=8976.4371,=10250.0600,=1777745409601.7996,=1547166169741,=750500484438.9401,=3.5267,=0.5016,=4.6408,=3.5257,=3.0574
2017-03-24,=9083.2968,=10372.0800,=1800649665626.8999,=1569188601470,=759947876100.5299,=3.5549,=0.5173,=4.6421,=3.5257,=3.0565
2017-03-23,=9062.2487,=10348.0500,=1799880191421.8997,=1570363532283,=758716566270.6002,=3.5341,=0.5059,=4.6421,=3.5256,=3.0565
2017-03-22,=9082.0185,=10370.6200,=1806370201783.3000,=1576913643687,=761112779226.7699,=3.5264,=0.5013,=4.6421,=3.5250,=3.0565
2017-03-21,=9057.2794,=10342.3700,=1801825485603.9009,=1572487930581,=759037695734.1896,=3.5378,=0.5075,=4.6421,=3.5244,=3.0565
2017-03-20,=8862.0249,=10119.4100,=1762296948175.8000,=1536359719148,=742747037556.2101,=3.4984,=0.4842,=4.6421,=3.5238,=3.0565
2017-03-17,=8782.7889,=10028.9400,=1744147143743.2996,=1519372718110,=735485351814.8000,=3.4822,=0.4728,=4.6426,=3.5244,=3.0558
2017-03-16,=8808.3326,=10058.1000,=1745890037384.5996,=1519827345503,=736802249922.1600,=3.5026,=0.4864,=4.6426,=3.5250,=3.0558
2017-03-15,=8817.6985,=10068.8000,=1747012885907.7002,=1521486749616,=737680470310.2599,=3.4842,=0.4743,=4.6426,=3.5256,=3.0558
2017-03-14,=8797.7723,=10046.0400,=1740102574720.1001,=1514398718409,=735380447638.5699,=3.4846,=0.4746,=4.6426,=3.5257,=3.0558
2017-03-13,=8842.2143,=10096.7900,=1750435212691.3999,=1522965697985,=739303637213.9500,=3.5082,=0.4893,=4.6426,=3.5257,=3.0558
2017-03-10,=8743.2721,=9983.8100,=1733033874933,=1507097551352,=731441770147.7900,=3.4838,=0.4746,=4.6461,=3.5261,=3.0548
2017-03-09,=8731.0929,=9969.9000,=1729587553560.2998,=1504504975119,=730497902700.0803,=3.4853,=0.4753,=4.6461,=3.5265,=3.0548
2017-03-08,=8784.4784,=10030.8600,=1737029231331.8997,=1509951212607,=734150402084.2802,=3.5100,=0.4901,=4.6461,=3.5268,=3.0548
2017-03-07,=8818.1913,=10069.3600,=1742791026135.1001,=1515205575934,=736579764138.3999,=3.5307,=0.5021,=4.6461,=3.5270,=3.0548
2017-03-06,=8697.6541,=9931.7200,=1716325621295.6001,=1490682372153,=725927248380.6300,=3.5079,=0.4890,=4.6461,=3.5268,=3.0548
2017-03-03,=8651.0492,=9878.5000,=1706942885533,=1482430774427,=722006050658.2299,=3.4890,=0.4785,=4.6494,=3.5270,=3.0546
2017-03-02,=8652.9497,=9880.6700,=1707717884248.8000,=1482912735694,=722096450040.3300,=3.4877,=0.4777,=4.6494,=3.5271,=3.0546
2017-03-01,=8679.1039,=9910.5400,=1711844175677.1001,=1486124192328,=724110378087.7500,=3.5148,=0.4914,=4.6494,=3.5272,=3.0546
2017-02-28,=8643.5515,=9869.9400,=1703271271012.7004,=1478538986545,=721107670471.3600,=3.5094,=0.4895,=4.6494,=3.5274,=3.0546
2017-02-27,=8649.1835,=9876.3700,=1704086463148.1997,=1480219397397,=721874386247.4899,=3.5094,=0.4892,=4.6494,=3.5275,=3.0546
2017-02-24,=8773.3616,=10018.1700,=1730590523800.1001,=1503758168223,=732170942371.1100,=3.5514,=0.5116,=4.6547,=3.5291,=3.0545
2017-02-23,=8779.9145,=10025.6500,=1731753705259,=1504602031838,=732466467910.3702,=3.5558,=0.5129,=4.6547,=3.5275,=3.0545
2017-02-22,=8862.7032,=10120.1900,=1744443100978.0002,=1516107392995,=738656129614.9701,=3.5877,=0.5278,=4.6547,=3.5274,=3.0545
2017-02-21,=8760.0106,=10002.9200,=1726301657657.8999,=1500007896093,=730190881760.5699,=3.5560,=0.5135,=4.6547,=3.5272,=3.0545
2017-02-20,=8721.3824,=9958.8200,=1719132527748.1001,=1496435613519,=727627915892.4999,=3.5206,=0.4949,=4.6547,=3.5271,=3.0545
2017-02-17,=8497.2880,=9702.9300,=1672072821916.4995,=1454039598713,=708965633626.9099,=3.4424,=0.4590,=4.6571,=3.5272,=3.0535
2017-02-16,=8483.2857,=9686.9400,=1667757573716.3000,=1449096018973,=707446372172.7599,=3.4551,=0.4679,=4.6571,=3.5274,=3.0535
2017-02-15,=8461.1007,=9661.6000,=1664246821231,=1446469242502,=705859223510.4999,=3.4372,=0.4573,=4.6571,=3.5275,=3.0535
2017-02-14,=8525.2763,=9734.8900,=1675925287413.9998,=1456238402042,=711046154385.8400,=3.4519,=0.4657,=4.6571,=3.5291,=3.0535
2017-02-13,=8533.5975,=9744.3900,=1674345376770.0002,=1455205228606,=711532243765.0300,=3.4495,=0.4632,=4.6571,=3.5307,=3.0535
2017-02-10,=8389.3840,=9579.7100,=1646546370738.8000,=1430108312859,=699934697792.7300,=3.4144,=0.4396,=4.6686,=3.5309,=3.0530
2017-02-09,=8358.0084,=9543.8800,=1642007259682.3999,=1426747164760,=698142804670.9901,=3.4041,=0.4280,=4.6686,=3.5312,=3.0530
2017-02-08,=8303.5435,=9481.6900,=1630179687130.3999,=1416006334615,=693378377874.8101,=3.3806,=0.4043,=4.6686,=3.5316,=3.0530
2017-02-07,=8266.5829,=9439.4900,=1622929806102.2002,=1409632520103,=690448005193.4901,=3.3652,=0.3850,=4.6686,=3.5321,=3.0530
2017-02-06,=8282.3838,=9457.5300,=1628121329117.7002,=1413923279236,=692452165468.0699,=3.3705,=0.3923,=4.6686,=3.5337,=3.0530
2017-02-03,=8246.6056,=9416.6800,=1620798538647.5000,=1401557546067,=689931027602.5698,=3.3416,=0.3605,=4.6697,=3.5353,=3.0528
2017-01-26,=8277.6210,=9452.0900,=1624207564784.1001,=1404461353294,=691823336692.6500,=3.3497,=0.3694,=4.6697,=3.5357,=3.0528
2017-01-25,=8290.7877,=9467.1300,=1628239905814.5002,=1409438169625,=693216234519.1899,=3.3425,=0.3620,=4.6697,=3.5361,=3.0528
2017-01-24,=8292.0454,=9468.5600,=1630032103077.8999,=1411983012687,=693727140964.5900,=3.3405,=0.3583,=4.6697,=3.5368,=3.0528
2017-01-23,=8286.0956,=9461.7700,=1629102347522.0002,=1411357888002,=693487259193.3800,=3.3345,=0.3520,=4.6697,=3.5375,=3.0528
2017-01-20,=8261.7864,=9434.0100,=1626590764095.3994,=1410164816892,=692430628485.5699,=3.3167,=0.3370,=4.6793,=3.5377,=3.0521
2017-01-19,=8203.7276,=9367.7100,=1615653939785.3003,=1401811970042,=688018706731.0898,=3.2819,=0.3088,=4.6793,=3.5379,=3.0521
2017-01-18,=8233.1675,=9401.3300,=1622645116779.4004,=1407319774952,=690337311175.8601,=3.3008,=0.3243,=4.6793,=3.5381,=3.0521
