date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合
2021-03-09,1330061.2758429425,2786622.0376235233,2703235.4151556315,5638580.3956324775,3223220.5479251253,4236361.785997693,2514191.842015783
2021-03-10,1335657.899387249,2796750.729201776,2709603.950104045,5642563.485532669,3237042.067169957,4254828.886357052,2523411.514854242
2021-03-11,1370104.622617041,2854592.816034276,2743124.021686466,5756696.285383044,3323273.1879888624,4279828.434168167,2537867.011275921
2021-03-12,1373563.7072626834,2840195.243019143,2733885.9467989095,5722855.836112352,3324069.8095374126,4259761.595978789,2526551.9202023726
2021-03-15,1346303.1926298921,2789276.278647754,2708198.1720563453,5671797.604597653,3254157.4769882257,4247350.532826061,2521429.3718615035
2021-03-16,1355104.9168753594,2795971.506296148,2711351.2993659,5672728.121512902,3279994.7018213025,4251281.651569342,2522821.0748796095
2021-03-17,1361235.2567544742,2823486.6352259135,2725641.966910745,5711178.822947948,3310593.4016998094,4265319.859602904,2529902.2241233964
2021-03-18,1371906.4875758109,2841815.0011161244,2735551.832559336,5748529.830536698,3346059.614829865,4275635.628595995,2535551.0362252826
2021-03-19,1334763.788262138,2809365.0287719686,2717666.59582837,5708236.89448506,3275019.1951756696,4260813.996775607,2528523.1357029886
2021-03-22,1349975.9890095487,2824169.2389706783,2727554.508109038,5743700.285857724,3309149.7887616563,4260581.8786550835,2529321.473600827
2021-03-23,1337942.62814656,2813611.5056833094,2721233.8496673126,5719237.2780197635,3282459.092559711,4263033.22293605,2530180.964018655
2021-03-24,1317629.1672960715,2787165.383479069,2706852.5217258316,5672236.355084341,3249063.987751903,4254651.817368916,2525625.2254208555
2021-03-25,1316547.6754141073,2793571.8532943497,2710921.6365618957,5683899.664907321,3250905.5770500186,4261097.729134373,2529206.902599496
2021-03-26,1344313.2628819626,2832184.7171260403,2732089.1247233255,5754355.83022832,3310551.192573087,4268844.593479235,2533787.635270864
2021-03-29,1346970.9243802263,2834569.227375464,2732647.1397745805,5743884.050888877,3319334.1926501575,4270802.91042031,2533951.993056068
2021-03-30,1358709.836146653,2841045.1427047187,2735081.187975908,5727702.344201774,3344569.6271249307,4264191.990523492,2529102.961943794
2021-03-31,1348813.8595485296,2827170.4199141567,2727705.260373848,5699762.429641322,3324110.7834721725,4251115.927564625,2522200.9929363932
2021-04-01,1365360.173367962,2871744.6240596045,2751859.9523043144,5787268.436823352,3363365.181549774,4300419.489074912,2546604.7162040295
2021-04-02,1378434.0006819475,2925930.304811061,2779368.6786812227,5882921.326062027,3409593.6398303206,4351657.882286928,2574486.790611824
2021-04-06,1370941.9006263523,2914871.9244969254,2773111.000228809,5856395.143502343,3395570.9059590073,4343230.835123849,2567534.1850802326
2021-04-07,1361580.3618626539,2906364.5942475386,2771167.381845031,5857542.174279126,3362802.650280423,4349433.997023037,2565619.891272718
2021-04-08,1364504.74819325,2908332.138859078,2771489.054787193,5852331.521483268,3381068.8231737586,4347077.692282964,2566171.5248810146
2021-04-09,1345528.6283273038,2886485.693494314,2762124.7483145343,5803507.033652552,3341098.868963435,4344742.655549247,2558909.8041211586
2021-04-12,1323080.900158603,2850830.3603171515,2743835.155626052,5721139.660080648,3290943.3594279587,4318471.703161666,2543653.8746571373
2021-04-13,1321198.2615782444,2847026.3333308343,2741877.5908296956,5695847.780783326,3296554.375144916,4308287.630441416,2541074.354748535
2021-04-14,1328663.1312717544,2865501.2256261543,2754883.8799394197,5742583.488122356,3318413.622964662,4330389.647335985,2553390.0693788184
2021-04-15,1321172.047039523,2859016.958119005,2750907.616544061,5744972.951924164,3303297.800749274,4321863.466955787,2548912.2133688657
2021-04-16,1325431.9849996557,2876034.277350399,2766144.5156805012,5789610.650257835,3329200.9205808486,4341002.51093895,2562264.702902016
2021-04-19,1359068.731119638,2916871.5150621943,2788020.147806111,5883640.278667986,3387516.611348573,4372321.714681883,2581998.7585683875
2021-04-20,1356918.7676800773,2910672.021703963,2783940.7089263676,5852956.200881814,3399049.069158197,4357995.348158406,2576878.4370104484
2021-04-21,1360109.9952637127,2918861.0285047353,2789211.5637442274,5870535.801861429,3409950.5570190996,4367618.749877782,2583917.788617776
2021-04-22,1359028.2829884298,2929555.6126114465,2794548.860288752,5900045.192905757,3410241.620073971,4377623.696330856,2588216.611894988
2021-04-23,1372634.4591290292,2947175.0380278165,2805603.042395999,5925620.2421750175,3445148.922904083,4389001.203397504,2597646.9867570824
2021-04-26,1355529.6733609845,2927375.876049448,2793769.4191402597,5890704.648084332,3398479.7539873905,4378964.287827632,2586226.6547769113
2021-04-27,1358987.834344492,2928468.4631324965,2793583.225637734,5897796.32510362,3410735.2073265435,4371461.884827461,2586151.645770923
2021-04-28,1369122.031179683,2946356.2806624444,2798451.0024939664,5914171.666664361,3438470.690665527,4382209.499080506,2589375.763710503
2021-04-29,1381392.3599586964,2963514.7380203987,2808095.248956419,5940636.827072123,3470137.258843316,4393243.248276331,2599039.462023555
2021-04-30,1369361.9040362888,2958164.214169494,2806552.866804594,5914989.204759994,3453552.62448531,4396945.715691486,2596954.8954454754
2021-05-06,1351456.890163373,2933412.107436979,2796794.5023730756,5841722.376352734,3401539.479734313,4383780.672034887,2590738.876854505
2021-05-07,1335154.435174637,2893386.19688724,2778325.1095948126,5776888.153819568,3366636.7482040985,4361423.98488914,2576879.650539543
2021-05-10,1334874.1587078879,2876039.1153439167,2771680.991714358,5733112.524652193,3347539.150216647,4345314.682280397,2570455.4129304937
2021-05-11,1341803.6500808098,2890636.315529446,2779519.6807211833,5780998.405509431,3380615.3245001137,4363137.471184778,2578366.074026767
2021-05-12,1350068.132198852,2914618.8477427755,2792830.5737281027,5828854.57967905,3411509.6655819467,4383650.6058603795,2589269.7052493244
2021-05-13,1335368.4753606252,2900262.8550922233,2782890.438258585,5800018.845719642,3384933.8165439554,4367975.253606203,2581004.5609614993
2021-05-14,1368999.7843252507,2945274.5828551375,2809199.692408972,5872076.5935421055,3448802.3435648787,4402422.544243356,2603043.89060014
2021-05-17,1385274.2831115641,2977766.7852806,2827606.2060985854,5922730.290240919,3491289.252827313,4429223.541076912,2620203.853816081
2021-05-18,1385794.5704896683,2975279.273291735,2827506.865138063,5918745.397104119,3493975.007846671,4430708.70405345,2620870.5381868077
2021-05-19,1382042.6483490744,2982311.7225035466,2833288.198580852,5923792.29883034,3482818.2361329705,4442577.589659375,2626973.3740189956
2021-05-20,1385767.0746017317,2988850.4096323056,2837753.0424699457,5942592.404399,3497347.531068889,4450344.372892746,2631602.202262311
2021-05-21,1371067.9340217295,2971489.293958854,2831744.380828222,5916220.815735324,3468662.6427891804,4445134.399117504,2627397.1238915357
2021-05-24,1378530.457211367,2988824.2024260038,2842334.602706487,5941340.40259477,3486065.667672128,4459413.311437901,2636834.130346886
2021-05-25,1422305.0817173563,3043223.1748763192,2869345.734701933,6036838.323227923,3571443.550360435,4492830.653980268,2658400.776127137
2021-05-26,1422557.9708123438,3041795.147997624,2872731.285903462,6027592.901480962,3569188.918589939,4498618.131109552,2662892.833724452
2021-05-27,1427616.7938407876,3073198.658374391,2885436.5923922076,6077832.616392349,3588329.046805487,4516888.744394901,2672115.5896029826
2021-05-28,1423597.7213240745,3058191.2581092585,2877050.170436035,6052953.504925746,3572663.7550492585,4500258.765099602,2663200.8195461105
2021-05-31,1425185.546254278,3092483.3549496224,2895930.926525781,6088218.269999069,3586977.765886433,4522539.782179922,2679522.8715038467
2021-06-01,1427307.316907437,3110178.6538987407,2906440.6513775475,6112722.207074794,3596664.335880602,4539918.74375424,2690390.6658997117
2021-06-02,1415812.757818384,3075925.8427895484,2887701.9467574763,6059254.776130534,3566011.135870651,4506875.919766165,2671362.385352726
2021-06-03,1404852.3942989204,3061778.5886737416,2880438.996527321,6045397.623791809,3558170.9118724335,4499553.240385389,2664204.6858337545
2021-06-04,1413648.8200632676,3081151.4856159515,2884939.2568109087,6054123.074177356,3581588.982067823,4499506.239920548,2666594.460611752
2021-06-07,1412032.927418071,3091718.4339807276,2889287.007403974,6059559.195308246,3577613.8595807827,4501526.462406511,2672007.669655362
2021-06-08,1400805.9520625297,3069576.7148359613,2880271.1699452056,6035427.195332093,3529282.724462451,4485963.569717629,2664639.7229172625
2021-06-09,1402927.8370756453,3079911.359217561,2884226.849967871,6040394.152983807,3534441.51412546,4489378.13028916,2668824.099726675
2021-06-10,1411990.902292147,3102851.036856241,2896057.2768564685,6075587.593425864,3563574.4874665276,4505464.639153945,2677487.2588057388
2021-06-11,1398895.4888470445,3084661.0463185715,2888333.398827882,6063768.158700271,3529498.590645311,4499382.576853505,2671932.810085676
2021-06-15,1383130.6884266809,3069896.7029858553,2872812.6056833575,6021174.801400809,3490800.5013474547,4470559.035652696,2657563.7500009565
2021-06-16,1364162.6571298086,3026376.400114769,2852531.9937306484,5968779.699638561,3447063.986607762,4444079.747745153,2640122.4865967175
2021-06-17,1367085.6774351692,3081788.1705269,2871078.208419093,6007847.049991065,3461984.3756920537,4458093.958572369,2656240.077638583
2021-06-18,1368406.8989841465,3087587.4430713155,2874357.5316426484,6017919.834690159,3461491.00257154,4457102.743045001,2655919.5241454486
2021-06-21,1366524.6445698172,3095028.0654084994,2880101.913035794,6040029.913230964,3451056.6048719576,4467448.761647986,2660446.913309164
2021-06-22,1373451.826351417,3102679.617456966,2884904.7054103,6052358.487425342,3469630.3798376857,4474195.6789694205,2664473.5240307613
2021-06-23,1381713.615145701,3126071.7722950513,2895687.6690846505,6060907.877950743,3470661.2468743017,4474694.410461851,2674480.7298540995
2021-06-24,1385170.2084801975,3109789.0231919177,2887605.1757908557,6035545.9382737,3470800.621121386,4461096.557403828,2666366.8383722054
2021-06-25,1406778.8962529954,2805605.484859833,2766964.1869001393,5587003.798657624,2636385.766399266,4089864.4457211546,2539145.99476126
2021-06-28,1409167.40881643,2823761.4154510847,2775215.6592512694,5610072.811461874,2650967.8053901196,4104339.9279467314,2547329.067271849
2021-06-29,1394738.759521641,2806895.2743096664,2766558.0857184855,5591133.248468596,2622034.4815016775,4093639.2768628113,2539787.258847484
2021-06-30,1402999.9279080138,2836022.797869107,2779403.9388740472,5605907.731951856,2632150.782449968,4099388.294710253,2550967.6995362854
2021-07-01,1402452.1432275288,2825806.8443273343,2774319.8558384357,5581499.725264042,2597820.114938104,4088591.7044815104,2551607.4239658075
2021-07-02,1364801.0483987501,2782613.6578446403,2754017.075957057,5547107.222902755,2552002.685247498,4066305.8614299325,2533231.338751063
2021-07-05,1366656.0022201438,2814033.57209439,2770660.314433453,5605223.403015212,2595887.7112448094,4106720.2236150526,2548433.1438147817
2021-07-06,1368510.9191279188,2795170.912386008,2765601.0887060445,5582624.983657199,2577772.0654343315,4090252.994764916,2543639.0789956967
2021-07-07,1382644.2274978359,2825458.8172601806,2782927.9942319267,5627933.716142903,2619963.2359490576,4120001.9042122504,2557932.4421149623
2021-07-08,1370886.0424475493,2838486.3949080626,2792287.591036991,5668432.503721473,2637001.2087509893,4151611.271115753,2566239.0279447176
2021-07-09,1364466.4328434567,2821800.3201920777,2792168.1968330913,5666619.418220628,2628093.7255817014,4147069.245169823,2561526.2559395884
2021-07-12,1382603.0759367335,2845588.8661794253,2807615.1046613986,5701024.636991437,2667300.461144608,4166102.147059065,2571800.66066027
2021-07-13,1386859.948287919,2843142.5886922823,2813198.8866916457,5689888.888521237,2636792.7168125277,4157636.6206192905,2576290.1014807816
2021-07-14,1371632.3681530657,2822580.2136065955,2802140.924162725,5663416.751348661,2609589.5545383953,4140654.0746880146,2569094.695254926
2021-07-15,1389768.4008981655,2841692.088465872,2808611.932759258,5676765.889627408,2635452.0349177397,4148512.475093157,2576655.682647138
2021-07-16,1376142.51663484,2814783.9335102914,2797883.2882864536,5650724.97593047,2610695.501703807,4128253.8273063186,2564185.386145818
2021-07-19,1382000.6905262412,2807025.802573577,2791198.880279858,5630524.141944317,2610009.3602225534,4114328.903204657,2557288.0104382182
2021-07-20,1378517.2990553793,2821235.8343166057,2800203.5601237053,5661840.843994565,2628583.9950950714,4137215.0175901926,2568201.8346687946
2021-07-21,1388912.5632039462,2854499.662497095,2819876.140963316,5721331.868693581,2682438.760172382,4175305.4051864976,2582351.029777212
2021-07-22,1390233.2506461379,2863082.2638305444,2824025.3010582575,5741332.804712675,2708957.9616507054,4186697.87867365,2583194.987248623
2021-07-23,1376341.1462991335,2848368.600402887,2820002.287501302,5740421.433321142,2697643.8365102108,4187019.031386113,2578763.911730596
2021-07-26,1329622.1012732477,2808865.811431227,2801315.2157870084,5728562.051456509,2662280.8938942035,4185727.134631212,2563415.9887352595
2021-07-27,1283437.7697668246,2765989.455678598,2775075.752045559,5690958.903972676,2611896.7871954334,4165213.56437974,2541734.623023051
2021-07-28,1286093.8618900802,2752414.004867559,2767367.1105772466,5664088.283781998,2590786.5398671506,4152196.1273334976,2539401.40691728
2021-07-29,1309299.6475304824,2817168.657163855,2802918.837594619,5772932.694911609,2691652.0142433457,4224458.865424721,2568799.035516533
2021-07-30,1300212.832923637,2813126.148699792,2807088.331689568,5796617.7266992,2703576.2906662268,4240488.872830575,2569790.3923003995
2021-08-02,1332491.7551657353,2836065.252655626,2817105.468156415,5781575.880025378,2719068.9862808394,4229334.524511115,2569541.2615468907
2021-08-03,1333012.2799450848,2808248.752804935,2805740.198153039,5704181.1678289315,2660815.517759481,4214461.544186664,2567478.787674629
2021-08-04,1344741.3059307411,2843497.4274523407,2825131.0282737855,5782452.158387092,2725488.5296654147,4233933.158952803,2573713.0486726877
2021-08-05,1336721.9642156132,2834112.5241859644,2821799.809237597,5775545.01118616,2714913.329400502,4231813.318527395,2571785.929849324
2021-08-06,1332438.878483808,2824333.5364439553,2817401.5562213664,5769192.5732248975,2711090.2045041067,4224184.567498518,2565935.687758669
2021-08-09,1347103.035833848,2817085.354705873,2800969.360796739,5710498.948793112,2700051.1527151447,4176880.107891414,2542519.761001564
2021-08-10,1362300.6212097986,2839077.5614073533,2806086.6926961,5704692.879459501,2711036.0922003477,4169214.8819032433,2542266.5633300347
2021-08-11,1355081.9904024748,2831402.5824858965,2802724.8913055244,5711904.857028852,2717860.3894854616,4165101.7494462454,2536175.3606912894
2021-08-12,1346529.2356492647,2830198.8264470533,2809594.779150224,5733726.962136076,2720395.750784325,4182604.3022776656,2544075.4634461147
2021-08-13,1339310.9050953877,2805823.2208710597,2801027.6302282214,5683636.544760552,2677399.76778296,4175140.6035579504,2542662.67087461
2021-08-16,1338497.0738067972,2809853.07150789,2803204.635055335,5691076.250732386,2677200.9979010983,4185540.9527222845,2549059.442217794
