date,net_value,turnover
2015-11-30,1.1637785,0.0029020086
2015-12-01,1.1660681,0.028484501
2015-12-02,1.1644918,0.01660584
2015-12-03,1.17152,0.008103237
2015-12-04,1.1593825,0.008726902
2015-12-07,1.1569719,0.0042797327
2015-12-08,1.1579409,0.015343018
2015-12-09,1.152998,0.0035106763
2015-12-10,1.1671776,0.0045449734
2015-12-11,1.165318,0.0080972165
2015-12-14,1.165938,0.023890115
2015-12-15,1.1769899,0.004297763
2015-12-16,1.178804,0.0015863851
2015-12-17,1.1950916,0.009455889
2015-12-18,1.1983137,0.004894279
2015-12-21,1.1930454,0.014273234
2015-12-22,1.1921494,0.003082879
2015-12-23,1.1930325,0.0064554065
2015-12-24,1.1791892,0.0060501248
2015-12-25,1.182688,0.0020425767
2015-12-28,1.1868174,0.018112913
2015-12-29,1.1809546,0.005895719
2015-12-30,1.1517084,0.0055646673
2015-12-31,1.148418,0.005502656
2016-01-04,1.1573571,0.06457264
2016-01-05,1.13619,0.007175736
2016-01-06,1.1289092,0.010911927
2016-01-07,1.1057799,0.039065942
2016-01-08,1.1045583,0.016945444
2016-01-11,1.0948561,0.019982368
2016-01-12,1.1063912,0.0022952482
2016-01-13,1.0885247,0.0072361603
2016-01-14,1.0903938,0.012049556
2016-01-15,1.1060358,0.01714795
2016-01-18,1.0967878,0.007681705
2016-01-19,1.0812669,0.01292561
2016-01-20,1.0840075,0.009465903
2016-01-21,1.0876409,0.013881348
2016-01-22,1.0708591,0.0058955923
2016-01-25,1.0600023,0.007586837
2016-01-26,1.0428287,0.026659139
2016-01-27,1.0569606,0.008406296
2016-01-28,1.0534834,0.005738467
2016-01-29,1.0642494,0.007872105
2016-02-01,1.0633425,0.14174196
2016-02-02,1.0720408,0.009149037
2016-02-03,1.0708904,0.0057206675
2016-02-04,1.0741315,0.003836766
2016-02-05,1.0891901,0.005285211
2016-02-15,1.0953084,0.0072737783
2016-02-16,1.0943011,0.010674946
2016-02-17,1.0969319,0.005282305
2016-02-18,1.1058059,0.0043247864
2016-02-19,1.1030844,0.0046292692
2016-02-22,1.1063229,0.010803558
2016-02-23,1.0736688,0.0028821453
2016-02-24,1.0762186,0.007189989
2016-02-25,1.0551448,0.030274428
2016-02-26,1.0684677,0.009064116
2016-02-29,1.0897155,0.009670846
2016-03-01,1.0902994,0.05908963
2016-03-02,1.0878807,0.020875722
2016-03-03,1.0976945,0.0045060217
2016-03-04,1.0971293,0.01275789
2016-03-07,1.0873513,0.009553947
2016-03-08,1.0806508,0.0032144263
2016-03-09,1.0818063,0.012655638
2016-03-10,1.0948302,0.008919306
2016-03-11,1.0882233,0.004121095
2016-03-14,1.0869294,0.0184455
2016-03-15,1.0990163,0.003852062
2016-03-16,1.1117877,0.0038825795
2016-03-17,1.11918,0.0120667
2016-03-18,1.1179878,0.014412209
2016-03-21,1.1198944,0.01417131
2016-03-22,1.1100248,0.00673943
2016-03-23,1.1162148,0.01301983
2016-03-24,1.1152465,0.010799363
2016-03-25,1.1083732,0.0110499635
2016-03-28,1.1263677,0.007402025
2016-03-29,1.1230103,0.014415562
2016-03-30,1.1228026,0.018276721
2016-03-31,1.1290189,0.0038736835
2016-04-01,1.1311257,0.035855584
2016-04-05,1.1248821,0.014777496
