日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2012-04-13,=6181.2200,,=1252268650854.1001,=1021592680002,=506098114992.7401,=33.4061,=0.0831,=57.1755,=50.3323,=39.7706
2012-04-12,=6183.8640,,=1253639032984.3003,=1022552418142,=506477403150.2498,=33.3211,=0.0802,=57.1755,=50.3646,=39.7738
2012-04-11,=6086.2750,,=1234588198439.1003,=1006771229153,=493046379777.6100,=32.2213,=0.0536,=57.2647,=50.3969,=39.7738
2012-04-10,=6098.5070,,=1235855833478.1003,=1007130144225,=493567911820.8699,=32.4656,=0.0566,=57.2647,=50.4020,=39.7874
2012-04-09,=6079.2420,,=1232554423867.8000,=1005600312202,=492406374442.5300,=32.3045,=0.0552,=57.2647,=50.4072,=39.9543
2012-04-06,=6119.3840,,=1238788404454,=1010438947448,=495185260957.6200,=32.7866,=0.0643,=57.2647,=50.4386,=40.2184
2012-04-05,=6032.8880,,=1222754675412.0994,=996463223766,=487961702653.5201,=32.5128,=0.0554,=57.2647,=50.4701,=40.2212
2012-03-30,=5817.3860,,=1180034102240.6001,=960370530271,=470029929637.0500,=31.3646,=0.0360,=57.3598,=50.5281,=40.2212
2012-03-29,=5904.1680,,=1200020906189.6001,=977148121842,=477648312636.4401,=31.7514,=0.0420,=57.3598,=50.5862,=40.4120
2012-03-28,=5958.8920,,=1208482919530.2002,=984307711281,=481535751675.4100,=32.2543,=0.0511,=57.3598,=50.6011,=40.5203
2012-03-27,=6128.3040,,=1236976816538.4998,=1006715334044,=494001082552.8800,=33.4835,=0.0708,=57.3598,=50.6159,=40.7480
2012-03-26,=6308.4550,,=1280177478300.8003,=1043765446047,=512754981139.5798,=33.5983,=0.0769,=57.3598,=50.6201,=40.8750
2012-03-23,=6236.2560,,=1265631383946.2000,=1031000727532,=506157262105.3700,=33.3924,=0.0695,=57.3740,=50.6242,=40.8750
2012-03-22,=6278.8220,,=1268481846168.1001,=1032258327531,=508000092207.0300,=33.9209,=0.0847,=57.3740,=50.6322,=41.0518
2012-03-21,=6290.0370,,=1269239104539.0996,=1033851057636,=508482621719.3700,=34.2059,=0.0879,=57.3740,=50.6401,=41.1329
2012-03-20,=6346.6400,,=1282024127777.3999,=1044395720293,=513186516800.8198,=34.3813,=0.0895,=57.3740,=50.6583,=41.1437
2012-03-19,=6490.2430,,=1305585819605.6006,=1063172391511,=524004965392.8201,=34.7930,=0.0912,=57.3740,=50.6765,=41.3589
2012-03-16,=6509.8350,,=1310063999475.4004,=1067074149982,=525599924952.5299,=34.8081,=0.0913,=57.4550,=50.7104,=41.3589
2012-03-15,=6286.2230,,=1266077602933.6997,=1030687277502,=507176261151.5302,=33.5412,=0.0732,=57.4550,=50.7443,=41.4774
2012-03-14,=6247.3730,,=1255062119958,=1023010282552,=504158856383.4697,=33.8780,=0.0809,=57.4550,=50.7481,=41.5566
