日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),股息率等权,股息率 分位点,股息率 80%分位点值,股息率 50%分位点值,股息率 20%分位点值
2017-08-28,=10158.5839,=11835.6400,=1994381323939,=1792921286081,=864029935203.4620,=0.0140,=0.8290,=0.0132,=0.0101,=0.0054
2017-08-25,=10100.8610,=11768.3900,=1982561785199.7000,=1783589084836,=860281395813.3387,=0.0141,=0.8385,=0.0132,=0.0101,=0.0054
2017-08-24,=10029.8392,=11685.6400,=1970896570055.1001,=1774387554576,=855056117995.2045,=0.0142,=0.8571,=0.0132,=0.0101,=0.0054
2017-08-23,=10124.1567,=11795.5300,=1983958092847.3000,=1786868710487,=862407814736.6978,=0.0141,=0.8475,=0.0132,=0.0101,=0.0054
2017-08-22,=10095.0539,=11761.6200,=1972597278125.6997,=1775255257425,=858728878688.2994,=0.0141,=0.8469,=0.0132,=0.0101,=0.0054
2017-08-21,=10159.8981,=11837.1700,=1984606940530,=1787975761254,=863990500987.0311,=0.0141,=0.8423,=0.0132,=0.0101,=0.0054
2017-08-18,=10134.6104,=11807.7100,=1982188035082.3999,=1785347370100,=861475388220.6478,=0.0141,=0.8467,=0.0132,=0.0101,=0.0054
2017-08-17,=10128.8016,=11800.9400,=1985904526352.2000,=1789042780626,=861943650133.4299,=0.0141,=0.8416,=0.0132,=0.0101,=0.0054
2017-08-16,=10170.1217,=11849.0800,=1996373205636.3003,=1799320578721,=865858452335.6393,=0.0140,=0.8390,=0.0132,=0.0101,=0.0054
2017-08-15,=10219.0996,=11906.1500,=2003759344389.8997,=1806780613891,=869306753570.2494,=0.0140,=0.8333,=0.0132,=0.0101,=0.0054
2017-08-14,=10199.8761,=11883.7500,=2003509201509.3997,=1799381394195,=868826377473.4003,=0.0150,=0.9265,=0.0132,=0.0101,=0.0054
2017-08-11,=10008.8454,=11661.1800,=1963679830575.5000,=1761725302698,=850452718903.0360,=0.0152,=0.9386,=0.0132,=0.0101,=0.0054
2017-08-10,=10228.9325,=11917.6000,=2001912064381.6001,=1797305121195,=868241317652.4630,=0.0150,=0.9229,=0.0132,=0.0101,=0.0054
2017-08-09,=10235.2280,=11924.9400,=2000973332845.6001,=1795051948862,=868506012471.9464,=0.0149,=0.9183,=0.0132,=0.0101,=0.0054
2017-08-08,=9987.6467,=11636.4800,=1959875659194.4995,=1756515441321,=848180770104.7101,=0.0151,=0.9345,=0.0132,=0.0101,=0.0054
2017-08-07,=9929.6830,=11553.3600,=1950400256231.1001,=1750154844230,=843657152705.1570,=0.0153,=0.9405,=0.0132,=0.0101,=0.0054
2017-08-04,=9699.2250,=11285.2100,=1908422590745.2000,=1711129181073,=824799993664.5547,=0.0156,=0.9619,=0.0132,=0.0101,=0.0054
2017-08-03,=9799.5095,=11401.9000,=1925106598104.3999,=1726563003206,=833201546975.2061,=0.0154,=0.9502,=0.0132,=0.0101,=0.0054
2017-08-02,=9866.1528,=11477.3000,=1940518742547.1001,=1741992168236,=839404876319.3156,=0.0154,=0.9476,=0.0132,=0.0101,=0.0054
2017-08-01,=9912.2280,=11530.9000,=1949807992473.6001,=1749177080234,=841743722499.1187,=0.0152,=0.9399,=0.0132,=0.0101,=0.0054
2017-07-31,=9888.6329,=11503.4600,=1947501884629.8003,=1745634235230,=840319158410.9286,=0.0152,=0.9404,=0.0132,=0.0101,=0.0054
2017-07-28,=9833.2929,=11439.0800,=1940512746853.8997,=1740619445767,=836636747594.0752,=0.0154,=0.9495,=0.0132,=0.0101,=0.0054
2017-07-27,=9651.0771,=11225.3100,=1900869045266.2000,=1704250951380,=821016349432.2185,=0.0156,=0.9663,=0.0131,=0.0101,=0.0054
2017-07-26,=9620.7851,=11190.0700,=1891933115955.8000,=1696769059336,=818215242042.8962,=0.0158,=0.9750,=0.0131,=0.0101,=0.0054
2017-07-25,=9770.1787,=11363.8400,=1919617133813.9995,=1722456503463,=830510224540.7853,=0.0156,=0.9648,=0.0131,=0.0101,=0.0054
2017-07-24,=9814.4612,=11415.3400,=1927496387341.6001,=1729370787889,=833690763697.9431,=0.0155,=0.9571,=0.0131,=0.0101,=0.0054
2017-07-21,=9690.6831,=11269.7100,=1904939824627.1001,=1707962437798,=823765206289.5001,=0.0156,=0.9663,=0.0131,=0.0101,=0.0054
2017-07-20,=9623.9153,=11192.0600,=1887873823511.5000,=1692950191967,=817109381063.4003,=0.0158,=0.9729,=0.0131,=0.0101,=0.0054
2017-07-19,=9508.8342,=11058.2300,=1864404284647.8003,=1669735207064,=806142650342.1101,=0.0158,=0.9765,=0.0131,=0.0100,=0.0054
2017-07-18,=9383.6653,=10912.6600,=1839857751613,=1647644527277,=796125079167.5203,=0.0160,=0.9816,=0.0131,=0.0100,=0.0054
2017-07-17,=9345.4223,=10868.1900,=1829920051509.5000,=1638589376297,=792976144900.3698,=0.0161,=0.9836,=0.0131,=0.0100,=0.0054
2017-07-14,=9572.5236,=11132.2900,=1871979665129.1001,=1673818780548,=810925922272.2198,=0.0157,=0.9708,=0.0131,=0.0100,=0.0054
2017-07-13,=9540.1145,=11090.8200,=1868666415397.7000,=1671055416872,=808370473842.4999,=0.0157,=0.9713,=0.0131,=0.0100,=0.0054
2017-07-12,=9561.6471,=11114.7000,=1872966054394.3997,=1675275625918,=810404829441.3501,=0.0157,=0.9708,=0.0131,=0.0100,=0.0054
2017-07-11,=9656.4408,=11224.8900,=1893718387188.3999,=1694610499176,=818560950473.0201,=0.0155,=0.9651,=0.0131,=0.0100,=0.0054
2017-07-10,=9580.1725,=11131.8700,=1876047568750.3000,=1676601122212,=810616370317.7301,=0.0155,=0.9661,=0.0131,=0.0100,=0.0054
2017-07-07,=9502.3276,=11041.4100,=1857266623098.8999,=1659014620582,=802809324431.4701,=0.0156,=0.9682,=0.0131,=0.0100,=0.0054
2017-07-06,=9617.7467,=11151.5900,=1881876007163.1011,=1683306980897,=813900989858.4098,=0.0155,=0.9640,=0.0131,=0.0100,=0.0054
2017-07-05,=9670.7458,=11213.0400,=1892451250438,=1693367936038,=818928663407.2399,=0.0154,=0.9609,=0.0131,=0.0100,=0.0054
2017-07-04,=9572.1947,=11098.7700,=1871303423263.8997,=1672894097933,=809664488651.5701,=0.0155,=0.9660,=0.0131,=0.0100,=0.0054
2017-07-03,=9721.5968,=11270.0100,=1900692442265.8999,=1700741947751,=822613360204.0200,=0.0154,=0.9583,=0.0131,=0.0100,=0.0054
2017-06-30,=9827.4282,=11392.7000,=1926046126724.1001,=1719033508998,=833113090643.7699,=0.0154,=0.9573,=0.0131,=0.0100,=0.0054
2017-06-29,=9784.7604,=11340.4400,=1920441458118.8000,=1715714075584,=830304245163.8199,=0.0154,=0.9603,=0.0131,=0.0100,=0.0054
2017-06-28,=9724.5718,=11269.6700,=1915843403096.6001,=1712393032806,=826244105391.9100,=0.0155,=0.9665,=0.0131,=0.0100,=0.0054
2017-06-27,=9859.5536,=11424.1300,=1942616782841.8999,=1737932466247,=838254142865.1403,=0.0154,=0.9624,=0.0131,=0.0100,=0.0054
2017-06-26,=9822.2395,=11380.8300,=1939115430744.8000,=1734125341511,=835617244785.6100,=0.0155,=0.9639,=0.0131,=0.0100,=0.0054
2017-06-23,=9639.1159,=11168.6500,=1898878058280.1001,=1697267880324,=819522165387.2401,=0.0157,=0.9742,=0.0131,=0.0100,=0.0054
2017-06-22,=9574.6008,=11093.1000,=1890205774148,=1688934114239,=814760337474.9498,=0.0158,=0.9768,=0.0131,=0.0100,=0.0054
2017-06-21,=9632.9788,=11160.7400,=1900605322370.6001,=1697721871963,=819016782025.5901,=0.0157,=0.9721,=0.0131,=0.0100,=0.0054
2017-06-20,=9408.5044,=10900.6600,=1860160963816.8000,=1660639240679,=800975332272.4901,=0.0160,=0.9814,=0.0131,=0.0100,=0.0054
2017-06-19,=9465.2905,=10966.4600,=1871510130861.7000,=1671287442049,=806121949755.7999,=0.0159,=0.9803,=0.0131,=0.0100,=0.0054
2017-06-16,=9367.3938,=10843.1300,=1852327188182,=1652728420229,=797035997050.4600,=0.0160,=0.9819,=0.0131,=0.0100,=0.0054
2017-06-15,=9421.9345,=10887.3100,=1863111917560.9004,=1662052411221,=801208302505.1099,=0.0159,=0.9808,=0.0131,=0.0100,=0.0054
2017-06-14,=9530.7808,=11012.6400,=1889780605050.8997,=1687529361832,=811512624552.7200,=0.0158,=0.9808,=0.0131,=0.0100,=0.0054
2017-06-13,=9617.5874,=11112.9400,=1900319914292.8999,=1697372544755,=817526116937.2600,=0.0157,=0.9756,=0.0131,=0.0100,=0.0054
2017-06-12,=9611.4202,=11105.8100,=1899867573433.1997,=1696991959855,=817018803989.3198,=0.0157,=0.9772,=0.0131,=0.0099,=0.0054
2017-06-09,=9508.7049,=10983.6800,=1915499278943,=1697273678696,=812554467228.2700,=0.0166,=0.9865,=0.0131,=0.0099,=0.0054
