date,net_value,turnover
2021-03-16,4.5775065,0.05721146
2021-03-17,4.473728,0.14956564
2021-03-18,4.517328,0.20623004
2021-03-19,4.485286,0.25071216
2021-03-22,4.422463,0.25169533
2021-03-23,4.423635,0.4733942
2021-03-24,4.5131145,0.27851966
2021-03-25,4.523928,0.1169844
2021-03-26,4.558798,0.20862262
2021-03-29,4.5268073,0.44979817
2021-03-30,4.6131153,0.2516416
2021-03-31,4.6946754,1.3273101
2021-04-01,4.66834,0.3584705
2021-04-02,4.6500072,0.6445761
2021-04-06,4.654555,0.18829575
2021-04-07,4.5950346,0.58560914
2021-04-08,4.520648,0.14325179
2021-04-09,4.52041,0.13396882
2021-04-12,4.5462046,0.20738403
2021-04-13,4.518433,0.40057284
2021-04-14,4.525137,0.23010129
2021-04-15,4.622317,0.52260494
2021-04-16,4.6047187,0.3742189
2021-04-19,4.6169763,0.31604102
2021-04-20,4.6331916,0.25618404
2021-04-21,4.6713705,0.08873087
2021-04-22,4.6366186,0.11616397
2021-04-23,4.625385,0.3018202
2021-04-26,4.6843085,0.06601889
2021-04-27,4.7219687,0.05251154
2021-04-28,4.7125177,0.15585771
2021-04-29,4.641876,0.27004322
2021-04-30,4.5118637,0.48520878
2021-05-06,4.4574947,0.53583115
2021-05-07,4.4756217,0.18134618
2021-05-10,4.528093,0.3309469
2021-05-11,4.5127063,0.664901
2021-05-12,4.605278,0.6409153
2021-05-13,4.6731186,0.9707061
2021-05-14,4.6578417,1.2487048
2021-05-17,4.667049,0.4621318
2021-05-18,4.6676283,0.32333735
2021-05-19,4.630411,0.059943855
2021-05-20,4.660202,0.34654567
2021-05-21,4.7874064,0.15076387
2021-05-24,4.77925,0.25072503
2021-05-25,4.8578725,0.29477632
2021-05-26,4.837267,0.05698444
2021-05-27,4.87947,0.096970394
2021-05-28,4.9038596,0.24480025
2021-05-31,4.856675,0.16610314
2021-06-01,4.819953,0.088895634
2021-06-02,4.862778,0.3718124
2021-06-03,4.9024167,0.21351925
2021-06-04,4.8752995,0.41038343
2021-06-07,4.8790555,1.092361
2021-06-08,4.8968997,0.67520636
2021-06-09,4.8587055,0.51222736
2021-06-10,4.852757,0.36623335
2021-06-11,4.8078284,0.95911276
2021-06-15,4.7809124,0.19233255
2021-06-16,4.7599206,0.10971671
2021-06-17,4.759691,0.11472892
2021-06-18,4.7779784,0.36750177
2021-06-21,4.793655,0.03206595
2021-06-22,4.7844815,0.17768963
2021-06-23,4.8309975,0.99882424
2021-06-24,4.841152,0.4435637
2021-06-25,4.7952366,0.45800844
2021-06-28,4.793208,0.8750378
2021-06-29,4.8175817,0.017118972
2021-06-30,4.7525887,0.003013434
2021-07-01,4.7696347,0.25147396
2021-07-02,4.7882686,0.5079759
2021-07-05,4.8366337,1.1399585
2021-07-06,4.8122325,0.07888247
2021-07-07,4.796931,0.11726236
2021-07-08,4.8528504,0.2532228
2021-07-09,4.8650284,0.14460665
2021-07-12,4.8153925,0.102574214
2021-07-13,4.864648,0.0489606
2021-07-14,4.822366,0.80041844
2021-07-15,4.8275414,0.8349411
2021-07-16,4.8235116,0.30480844
2021-07-19,4.8737,0.2283935
2021-07-20,4.888523,0.042743675
2021-07-21,4.8509445,0.048918378
2021-07-22,4.727568,0.112559676
2021-07-23,4.5918164,0.3421104
2021-07-26,4.6090045,0.97934043
2021-07-27,4.694644,0.7940878
2021-07-28,4.6727314,0.33669585
2021-07-29,4.772611,0.1084135
2021-07-30,4.7628083,0.06319532
2021-08-02,4.815372,0.17607096
2021-08-03,4.792842,0.08483989
2021-08-04,4.7845607,0.09599617
2021-08-05,4.808804,0.2438422
2021-08-06,4.8549175,0.13206492
2021-08-09,4.839897,0.060001582
2021-08-10,4.8373647,0.57445127
2021-08-11,4.825687,0.16302237
2021-08-12,4.827969,0.5466375
2021-08-13,4.7491336,0.12708108
2021-08-16,4.790503,0.358864
2021-08-17,4.7720146,0.017050898
2021-08-18,4.7002187,0.018096333
2021-08-19,4.755893,0.49276406
2021-08-20,4.8010902,0.2936885
2021-08-23,4.812071,0.76856333
2021-08-24,4.740449,0.28822678
2021-08-25,4.757258,0.14662653
2021-08-26,4.745328,0.20229626
2021-08-27,4.737936,0.16289513
2021-08-30,4.781757,0.07165631
2021-08-31,4.7855167,0.07241228
2021-09-01,4.7627335,0.14394356
2021-09-02,4.834144,0.069184974
2021-09-03,4.8998384,0.07542278
2021-09-06,4.8872766,0.10805714
2021-09-07,4.893634,0.06647509
2021-09-08,4.9475727,0.14842771
2021-09-09,4.911374,0.22948511
2021-09-10,4.8626924,0.05311886
2021-09-13,4.8461,1.2149706
2021-09-14,4.791082,0.20125033
2021-09-15,4.809204,1.0259852
2021-09-16,4.84897,1.2824867
2021-09-17,4.8225613,0.10719039
2021-09-22,4.820219,0.57755023
2021-09-23,4.8240676,0.56078714
2021-09-24,4.7855487,0.46545893
2021-09-27,4.7703347,0.4352255
2021-09-28,4.777338,0.11992112
2021-09-29,4.828383,0.33895093
2021-09-30,4.808477,0.0645812
2021-10-08,4.818774,0.13455647
2021-10-11,4.8269014,0.05969111
2021-10-12,4.877678,0.076518595
2021-10-13,4.8750124,0.16791932
2021-10-14,4.8150373,0.08637206
2021-10-15,4.8412867,0.32421115
2021-10-18,4.828459,0.44423628
2021-10-19,4.83828,0.38156235
2021-10-20,4.8596034,0.085962534
2021-10-21,4.877929,0.94076276
2021-10-22,4.874106,0.60244703
2021-10-25,4.836055,1.427944
2021-10-26,4.8674636,0.074090466
2021-10-27,4.8566747,0.2766077
2021-10-28,4.855631,0.7085161
2021-10-29,4.871563,0.32015204
2021-11-01,4.841684,0.34974924
2021-11-02,4.8417974,0.27966237
2021-11-03,4.8828197,0.25059354
2021-11-04,4.917936,0.10668811
2021-11-05,4.9337068,0.09987956
2021-11-08,4.928641,0.10687584
2021-11-09,4.990837,0.1600484
2021-11-10,4.9918633,0.30859536
2021-11-11,4.965566,1.7183855
2021-11-12,4.946685,0.108060114
2021-11-15,4.961802,0.012681289
2021-11-16,4.9390173,0.0028976602
2021-11-17,4.994634,0.23588355
2021-11-18,5.007255,0.7733097
2021-11-19,5.0095897,0.97648007
2021-11-22,5.011045,0.43126184
2021-11-23,5.000406,0.6297898
2021-11-24,5.011389,0.90903026
2021-11-25,4.996692,0.115972206
2021-11-26,4.984988,0.0
2021-11-29,4.967247,0.0
2021-11-30,4.946022,0.0
2021-12-01,4.945708,0.08579769
2021-12-02,4.9705696,0.08431531
2021-12-03,4.9605393,0.5178806
2021-12-06,4.9756866,0.5192956
2021-12-07,4.99079,0.5938495
2021-12-08,4.978954,0.8208949
2021-12-09,4.988465,0.48432055
2021-12-10,4.9752398,0.40616003
2021-12-13,4.928435,0.35460672
2021-12-14,4.949409,0.12930723
2021-12-15,4.940795,0.6858257
2021-12-16,4.8781657,0.94771904
2021-12-17,4.8625517,1.4355698
2021-12-20,4.865591,0.7049099
2021-12-21,4.9083395,0.14089833
2021-12-22,4.90828,0.39903224
2021-12-23,4.8997064,0.93996215
2021-12-24,4.9192142,0.36231905
2021-12-27,4.8652673,0.2783651
2021-12-28,4.9066925,0.202776
2021-12-29,4.9369874,0.35275933
2021-12-30,4.9182825,0.69127995
2021-12-31,4.836465,0.22739491
2022-01-04,4.806445,0.6401668
2022-01-05,4.770529,0.26628476
2022-01-06,4.7808495,1.4867321
2022-01-07,4.7161736,1.5483712
2022-01-10,4.762565,0.8916243
2022-01-11,4.750383,0.75364476
2022-01-12,4.760596,1.3919983
2022-01-13,4.7935205,0.83128864
2022-01-14,4.7996936,0.08146497
2022-01-17,4.76551,0.09375219
2022-01-18,4.7711306,0.058310807
2022-01-19,4.7287474,0.37326112
2022-01-20,4.7261405,1.4201798
2022-01-21,4.588663,0.25263518
2022-01-24,4.5971084,0.5706498
2022-01-25,4.508053,0.8205551
2022-01-26,4.480862,0.582613
2022-01-27,4.5050907,1.4580688
2022-01-28,4.5168138,0.06707588
2022-02-07,4.5417266,1.3029256
2022-02-08,4.5248666,0.32761174
2022-02-09,4.479152,0.2866383
2022-02-10,4.455756,0.83717185
2022-02-11,4.5108194,1.0466467
2022-02-14,4.492432,0.5556923
2022-02-15,4.509033,0.4189103
2022-02-16,4.5229645,0.26654917
2022-02-17,4.528722,0.89514613
2022-02-18,4.4820957,0.293784
2022-02-21,4.561645,0.6562498
2022-02-22,4.5229955,0.34233463
2022-02-23,4.555707,0.86354274
2022-02-24,4.571237,0.3582199
2022-02-25,4.5931196,0.15727247
2022-02-28,4.578545,0.07325668
2022-03-01,4.559439,0.34755576
2022-03-02,4.540573,0.6020125
2022-03-03,4.4909134,0.2763198
2022-03-04,4.4146776,0.34394953
2022-03-07,4.42802,1.1654817
2022-03-08,4.42192,0.5149152
2022-03-09,4.4444513,0.49349678
2022-03-10,4.382465,0.20871317
2022-03-11,4.304615,0.44337258
2022-03-14,4.2921033,0.62400484
2022-03-15,4.3205132,0.044099588
2022-03-16,4.3267016,0.720909
2022-03-17,4.3238926,0.12487933
2022-03-18,4.318824,0.009416301
2022-03-21,4.3148766,0.338419
2022-03-22,4.3145113,0.22272363
2022-03-23,4.3159385,0.032831572
2022-03-24,4.3096614,0.0486008
2022-03-25,4.304649,0.049369283
2022-03-28,4.3190265,0.14065135
2022-03-29,4.30773,0.0729065
2022-03-30,4.3194976,0.27075237
2022-03-31,4.315471,0.2694425
2022-04-01,4.309122,0.004633855
2022-04-06,4.3168964,0.29674026
2022-04-07,4.3019176,0.2052246
2022-04-08,4.3127875,0.06822369
2022-04-11,4.3041706,0.06933834
2022-04-12,4.320008,0.13793391
2022-04-13,4.314254,0.13548058
2022-04-14,4.3157744,0.052588016
2022-04-15,4.3053102,0.14551719
2022-04-18,4.2880626,0.0021631029
