date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合,PPO月度,PPO原生日频
2018-04-10,1056697.562242278,2139837.6668684287,2136059.8946390734,4506402.311659037,2200853.836923974,2986731.799223066,1961615.8738154962,2710221.2506345473,2737203.825276804
2018-04-11,1058032.1625865342,2145392.053491617,2141301.207946621,4511817.8176448485,2208392.300090377,2994436.870679019,1966628.863435644,2716764.5927848634,2743495.4021311626
2018-04-12,1046992.0911871393,2137507.2405213327,2138965.919407702,4506152.347032942,2198465.422455731,2994238.8474131585,1966798.7770941437,2706020.8137184526,2731989.713791879
2018-04-13,1039718.3984867235,2126882.2701465203,2131452.386059421,4501544.426700554,2182731.343648681,2984379.737957533,1960673.7746221113,2693069.936704188,2718955.0111889862
2018-04-16,1023298.5567029462,2117557.6743924315,2129058.6612687767,4501021.325406066,2168180.4932848616,2984288.9559711823,1961496.8770251009,2680035.388073754,2705095.1934731468
2018-04-17,1008224.0728665228,2101311.8150208713,2124351.9301217347,4486791.401354461,2151247.071201038,2984938.2903837557,1961387.9677146997,2659716.88360253,2684153.7325308565
2018-04-18,1010366.0964127699,2106367.017892526,2128981.464880866,4510696.62893691,2149876.5958139,2989039.137389342,1965213.0606168597,2665409.599728158,2690316.6848401753
2018-04-19,1024613.1025215606,2125920.60832222,2143723.652903974,4535882.710909008,2175475.523111291,3008607.834108713,1976917.8141466258,2692042.9786462425,2716344.8049425185
2018-04-20,1008732.0600380532,2106727.7456913856,2133335.695907302,4513030.738494332,2155378.830888593,2999853.7697407226,1970575.1147326024,2668677.5742636034,2692163.27589697
2018-04-23,1013025.9762317151,2100317.9939148715,2128795.602637314,4497979.941143219,2152387.2191543314,2995244.5646300386,1966430.582752526,2661774.2290333025,2685280.774406618
2018-04-24,1034266.3385116537,2127866.3777993945,2141364.0827364805,4529110.846189825,2183517.262373397,3004727.065098027,1972462.659999801,2698304.257606339,2721808.1165127833
2018-04-25,1028069.3091979785,2125310.1482307827,2139002.760762305,4527197.163410585,2179177.2916588658,3001453.115809713,1970681.6051414306,2694896.059855733,2718406.277212957
2018-04-26,1007616.0783082993,2100304.5582694705,2127803.0754871075,4503358.4875684185,2149455.578942017,2992920.7086887793,1965384.889457747,2661974.4637852977,2685483.4168198304
2018-04-27,1009757.9584188259,2097973.2374638417,2125747.4732647077,4509123.548244931,2142346.763502911,2988297.8361896267,1963084.1332998655,2658427.2694324455,2682197.8027167297
2018-05-02,1012975.7234777038,2095234.0838643156,2119130.298907276,4490082.096658666,2143127.064890787,2980899.4750871095,1957085.1580910012,2654796.3904598895,2678522.3988198694
2018-05-03,1018883.2168441273,2108228.9425661466,2124742.0482663955,4512330.339869671,2158200.797841087,2991664.6812845757,1964271.9417146342,2671428.1796239875,2695340.2726506847
2018-05-04,1014031.5307597627,2105358.492881353,2124471.8644250254,4512530.292774674,2153239.5598394815,2989072.7120137364,1963386.0310564598,2667681.4526839517,2691425.952339508
2018-05-07,1030428.877654274,2138818.826809234,2139567.798155221,4556428.845535982,2196310.382206611,3019720.4002657025,1982181.4631083978,2711053.657222574,2734663.5092587117
