date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合
2017-07-06,992338.498479751,2010003.631312368,2021269.861311583,4562719.386950791,2008221.3949184825,2640999.638011757,1785513.1575388974
2017-07-07,991789.6323968851,2007454.9004630614,2017810.5643543338,4543625.182617135,2006831.2127692236,2631675.2744071297,1782015.4157177382
2017-07-10,992857.825423151,1997105.6368723956,2007007.792023833,4528175.283300102,2000027.0887477333,2612522.5339392163,1769054.2192362824
2017-07-11,1000933.1370879508,1995905.011247753,2008338.3085660452,4540132.27555666,1996183.7418953688,2620455.1328379856,1770793.8623024034
2017-07-12,994994.1471483471,1991638.5414082678,2004513.1388385245,4516309.306516365,1988266.05794295,2619094.0495272595,1770894.7033643962
2017-07-13,1005225.277689193,1996488.815684435,2010442.5150386537,4529183.049435675,1992757.9030312132,2626722.904656609,1775581.70968433
2017-07-14,1011952.7400532588,1992526.227363832,2007200.5515116537,4524847.404911238,1989728.8335237904,2620709.758957924,1771067.353019733
2017-07-17,998198.4692170069,1963325.017743739,1983854.6381267232,4464012.21585424,1945906.8315239,2615593.7422228744,1760772.3414391454
2017-07-18,998727.5505090683,1971517.7177366728,1991426.2286946618,4470358.755152843,1953621.3959048763,2624169.3457575245,1768560.0677483315
2017-07-19,1019468.322850919,1998719.8647416001,2016598.5578620962,4542800.953059362,1989338.0126905218,2643801.1997581287,1783444.1507575684
2017-07-20,1024308.9703285531,2006397.7874097368,2023638.6548455192,4567936.561789728,1999789.0755123065,2649809.6752067283,1787272.9889099437
2017-07-21,1019178.6111019463,2010056.182667077,2027135.345381421,4562982.476242051,2000729.5320964956,2657089.7718919683,1793433.8426995024
2017-07-24,1024288.6465834964,2029066.1582172965,2044531.6689656381,4629118.532811397,2025241.2777415025,2675991.933773036,1804382.168298089
2017-07-25,1016463.6018666753,2024137.7230595537,2039609.7185025185,4602335.528206286,2017214.5052780372,2672225.044365528,1803321.9490536533
2017-07-26,1010794.5211793594,2007583.528476481,2022595.988546553,4550766.875784384,2000893.8147821983,2646344.546985372,1788383.9194821226
2017-07-27,1013748.7002629127,2016142.9044110638,2031994.8869513539,4550875.7168965405,2005148.2308845085,2661910.8352897037,1800595.4311689439
2017-07-28,1017511.2327599818,2029251.7783489362,2043610.3484633272,4600870.3286314765,2023524.7511154916,2672894.3351546954,1806549.463286611
2017-07-31,1021273.6906426196,2040796.5000920028,2053742.874889048,4615771.970152504,2037165.3223714002,2680514.717494421,1814546.9488532175
2017-08-01,1029347.5195711275,2045685.2836936284,2059301.4510498312,4641706.690136956,2042946.6690084527,2688867.1666011927,1817930.4177708752
2017-08-02,1029337.3077901793,2043911.3808934372,2057831.9162127299,4646801.389455735,2041346.43952194,2688540.8373928755,1816171.093683769
2017-08-03,1019087.6150382801,2033278.2173905785,2046458.971095948,4606797.918249593,2029933.9674133079,2672155.327262413,1807568.977667017
2017-08-04,1012879.9864948012,2027248.5189826908,2042196.4992158888,4578505.103080668,2017713.0505682155,2673880.9427512004,1808834.8353398226
2017-08-07,1019067.3947700211,2040985.355770852,2052259.161958656,4627292.189910119,2041589.2633779,2674355.614794858,1810114.5002522345
