date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合,PPO月度,SASF硬切换,PPO原生日频
2024-08-29,886621.6775642524,2033988.2231435871,2652579.395213744,2869203.668996856,2141837.2954878965,2963063.7160396683,2573256.3534876117,2253281.566798067,3331735.0585749024,2312032.8117951998
2024-08-30,898533.400235457,2065149.201524499,2668723.1124045067,2908581.955143254,2149639.0259485426,2983942.966886758,2588616.746743167,2284528.853976452,3377937.7541064336,2344609.090625729
2024-09-02,882630.6171056906,2023715.4820863542,2643879.717256903,2879428.9938664334,2134230.3541580015,2960291.708026475,2569129.324317016,2241623.8921589344,3314497.8504651985,2300594.1615046975
2024-09-03,885800.6025678364,2035861.769559285,2653474.910039366,2891462.4003727664,2138955.881402389,2970794.954835966,2580135.5871887137,2254299.252935791,3333239.824172616,2313558.36110572
2024-09-04,880229.0718449279,2024813.2155597704,2646261.8990020785,2883811.890001994,2129957.6019832185,2962853.6955714915,2575644.7487387923,2242344.8309309813,3315563.8410707703,2301279.4572210326
2024-09-05,882074.5685749338,2030766.7223003705,2652409.320931513,2891789.000139856,2137266.5870329454,2971136.839056932,2582309.3371569756,2249150.722575484,3325627.131931074,2308336.7858463377
2024-09-06,874648.9746159175,2013313.534602731,2641171.37901226,2879337.398902028,2133196.898073891,2960562.4051989275,2570612.4073211364,2231506.968505702,3299538.819282824,2290320.156733747
2024-09-09,863780.0286271744,1997663.4253016268,2630022.4964946955,2866494.878256237,2119723.6409897306,2947722.370310988,2563514.9929519338,2214826.279801845,3274874.509160771,2273218.547772438
2024-09-10,863771.4593808587,2004366.188819351,2635476.069053035,2871458.538793583,2125145.5157271647,2951905.68762872,2567748.3833196727,2222441.9825153444,3286135.1985038724,2281032.209665484
2024-09-11,861908.7349862936,2006455.6569589672,2638546.24817227,2874917.5971454103,2128275.8524460318,2954745.7377630733,2572541.6898819543,2225161.576592027,3290156.430055175,2283786.709657233
2024-09-12,858986.5407626504,1992018.0435375231,2628446.772739321,2860360.2000759337,2123864.031844453,2943008.3674297594,2565868.909765514,2210124.9536891636,3267923.0596560943,2268267.2224335247
2024-09-13,855004.9083364456,1981921.6615524702,2625348.0282112127,2854303.586605155,2132168.697395102,2940724.693656162,2562970.2306526746,2201260.4870551815,3254815.929728265,2258609.695737227
2024-09-18,857645.1402351563,1975190.0099894966,2624081.3207189464,2848833.294773214,2135248.047432467,2939425.7422001427,2566132.2348599406,2194439.0136384103,3244729.5994317415,2251421.8212054027
2024-09-19,864788.0891659457,1993078.5630451604,2635487.8793758783,2864346.121665598,2139586.4480928583,2952803.4277462163,2577119.832866383,2212583.025627066,3271557.600750595,2270424.510707884
2024-09-20,867163.3055706352,1989906.6670640148,2637114.635711532,2864914.330110767,2150676.93776117,2956933.9457132746,2576234.2867535315,2210486.0300844726,3268456.952491682,2267654.976392432
