日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2020-08-28,=9277.9135,=9966.4075,=1380013999143.9004,=1052768906467,=676596259766.2400,=96.6388,=0.3625,=117.5855,=101.5046,=92.5371
2020-08-27,=9210.3919,=9893.8753,=1370754544908,=1046819624596,=646827425725.1400,=95.5805,=0.3320,=117.5855,=101.5101,=92.5371
2020-08-26,=8996.1784,=9663.7655,=1336837140922.1001,=1020589846153,=631922092219.7899,=93.4681,=0.2530,=117.5855,=101.5534,=92.5371
2020-08-25,=9334.8853,=10027.6071,=1389298254497.7002,=1059610219429,=650181662082.6979,=98.3940,=0.3911,=117.5855,=101.5968,=92.5371
2020-08-24,=9439.8367,=10140.3467,=1407408108361.7000,=1069995707303,=657214720806.5232,=99.6922,=0.4696,=117.9109,=101.6881,=92.4606
2020-08-21,=9373.8180,=10069.4289,=1396913033722.3999,=1063122230213,=652206864040.5079,=100.6963,=0.4756,=117.9109,=101.7793,=92.4606
2020-08-20,=9435.5672,=10135.7604,=1402936988693.6001,=1070759312673,=654188357723.3628,=109.1194,=0.6408,=117.9109,=101.8963,=92.4606
2020-08-19,=9535.2431,=10242.8330,=1420414451081.2998,=1085244608466,=659624959839.2341,=111.3687,=0.6721,=117.9109,=101.7793,=92.4606
2020-08-18,=9907.4499,=10642.6605,=1466515702622.3999,=1127239172382,=684121946585.8088,=114.7061,=0.7366,=117.9109,=101.6881,=92.4606
2020-08-17,=9955.8448,=10694.6467,=1476032537840.1001,=1133283061652,=687570665923.4470,=115.4505,=0.7438,=118.0905,=101.5968,=92.3740
2020-08-14,=9763.4877,=10488.0152,=1451724475803.8999,=1112089380831,=674247098473.4723,=111.6123,=0.6846,=118.0905,=101.5534,=92.3740
2020-08-13,=9643.2679,=10358.6700,=1433088132551.8999,=1099193199286,=665993093789.4999,=110.1795,=0.6667,=118.0905,=101.5101,=92.3740
2020-08-12,=9719.8219,=10440.9033,=1442084179021.8003,=1107914331695,=671369048876.8086,=110.8711,=0.6778,=118.0905,=101.5046,=92.3740
2020-08-11,=9694.9691,=10413.8771,=1437480921987,=1104529809615,=669869502811.1212,=110.5172,=0.6723,=118.0905,=101.4991,=92.3740
2020-08-10,=9938.2298,=10675.1763,=1471822770295.6001,=1130457086814,=684926819867.1385,=113.3410,=0.7131,=118.5779,=101.4053,=92.2048
2020-08-07,=9932.4096,=10668.9245,=1465237352190.8000,=1127098711800,=684728098423.1763,=112.8339,=0.6949,=118.5779,=101.3114,=92.2048
2020-08-06,=10263.0165,=11024.0468,=1519377354196,=1160884696065,=707843511393.2114,=117.2720,=0.7745,=118.5779,=101.0776,=92.2048
2020-08-05,=10278.7175,=11040.9120,=1529981613033.5000,=1164601505901,=709156659494.0322,=118.0905,=0.7949,=118.5779,=100.8438,=92.2048
2020-08-04,=10083.3756,=10831.0849,=1504243891489.3999,=1143789714092,=695861031568.0646,=116.1039,=0.7554,=118.5779,=100.5022,=92.2048
2020-08-03,=10379.1719,=11148.8153,=1546751701651.8999,=1177049764237,=716044405970.3483,=119.3849,=0.8103,=119.1773,=100.1607,=92.1862
2020-07-31,=9987.1370,=10727.7100,=1496412541048.7002,=1131455487780,=689562451806.3104,=115.4995,=0.7532,=118.5779,=99.9248,=92.1862
2020-07-30,=9742.7283,=10465.1777,=1462141120191.3000,=1103459905652,=673031153500.3633,=112.8543,=0.7130,=118.5779,=99.6890,=92.1862
2020-07-29,=9805.1233,=10532.1994,=1471244653016.3999,=1109587748976,=677309098223.9189,=113.5569,=0.7336,=118.5779,=99.6877,=92.1862
2020-07-28,=9326.9502,=10018.5685,=1398364336333.4998,=1055922872198,=644009094129.7725,=107.9317,=0.6711,=118.5779,=99.6864,=92.1862
2020-07-27,=9338.5920,=10031.0736,=1396878532644.8000,=1056896079039,=644714489132.6487,=107.8170,=0.6608,=119.1773,=99.6808,=92.1041
2020-07-24,=9296.6352,=9986.0056,=1379333622432.6001,=1051857394991,=641979135312.1218,=106.4628,=0.6460,=119.1773,=99.6752,=92.1041
2020-07-23,=9894.9089,=10628.4652,=1466635339837.2000,=1117711823528,=683153515446.9290,=113.2011,=0.7156,=119.1773,=99.5393,=92.1041
2020-07-22,=9935.5730,=10672.1439,=1478040415761.7998,=1122777396441,=686258103436.9430,=114.0814,=0.7321,=119.1773,=99.4034,=92.1041
