日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM正数等权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2022-02-10,=10136.2961,=10912.5009,=1845492337589.6201,=1568584615212,=1038448096667.8199,=5.0234,=0.1550,=6.8848,=6.1725,=5.4058
2022-02-09,=10098.2508,=10871.5422,=1840234139573.1299,=1563022477124,=1034474263051.4200,=5.0160,=0.1519,=6.8848,=6.1735,=5.4060
2022-02-08,=10021.7699,=10789.2047,=1828674243991.2600,=1552465307343,=1027250842239.7200,=4.9846,=0.1472,=6.8848,=6.1745,=5.4215
2022-02-07,=10328.7552,=11119.6979,=1888875440896.0703,=1603083788196,=1059043069172.4602,=4.9826,=0.1441,=6.8926,=6.1781,=5.4215
2022-01-28,=10227.3086,=11010.4829,=1873075093511.8999,=1590098592935,=1049681053738.5900,=4.9112,=0.1393,=6.8926,=6.1817,=5.4387
2022-01-27,=10417.8794,=11215.6470,=1909773137220.5396,=1620669036747,=1069659629916.8900,=4.9253,=0.1395,=6.8926,=6.1827,=5.4757
2022-01-26,=10803.9251,=11631.2548,=1982185223467.0503,=1681900029911,=1109714820073.7400,=5.1181,=0.1549,=6.8926,=6.1837,=5.4758
2022-01-25,=10683.0516,=11501.1252,=1958599576063.5200,=1662576409391,=1097813876414.1500,=5.0908,=0.1535,=6.8926,=6.1839,=5.4809
2022-01-24,=10941.3452,=11779.1981,=2007191738741.3501,=1702649067887,=1124581731334.9602,=5.2333,=0.1639,=6.8965,=6.1841,=5.4809
2022-01-21,=10747.9626,=11571.0069,=1971697753343.4504,=1672671738381,=1104508708034.3501,=5.2102,=0.1624,=6.8965,=6.1851,=5.4971
2022-01-20,=10954.1591,=11792.9932,=2010393898424.8201,=1706465282553,=1126046607910.2200,=5.2611,=0.1627,=6.8965,=6.1862,=5.4995
2022-01-19,=11052.5076,=11898.8729,=2028037161552.5601,=1721316723791,=1135573595507.1499,=5.3220,=0.1749,=6.8965,=6.1862,=5.5091
2022-01-18,=11236.5738,=12097.0343,=2062954049485.7795,=1749652207253,=1154461205376.5801,=5.4047,=0.1820,=6.8965,=6.1863,=5.5125
2022-01-17,=11159.3011,=12013.8443,=2045908383463.9204,=1735676879476,=1145920762393.0498,=5.3743,=0.1789,=6.9004,=6.1869,=5.5125
2022-01-14,=10913.7105,=11749.4472,=1997903531300.8401,=1694241555187,=1119975941462.5698,=5.3037,=0.1706,=6.9004,=6.1875,=5.5232
2022-01-13,=10738.5008,=11560.8205,=1962886882620.5400,=1664524019196,=1101080711370.3101,=5.2771,=0.1658,=6.9004,=6.1883,=5.5340
2022-01-12,=10907.5938,=11742.8621,=1996662356102.7705,=1692736887804,=1118604932963.7200,=5.3472,=0.1747,=6.9004,=6.1891,=5.5457
2022-01-11,=10675.3843,=11492.8707,=1954518764690.3000,=1653589786896,=1094835111652.4398,=5.2845,=0.1664,=6.9004,=6.1913,=5.5482
2022-01-10,=10887.0096,=11720.7016,=1997648035711.8601,=1689218311613,=1116985614571.7200,=5.3447,=0.1718,=6.9061,=6.1936,=5.5482
2022-01-07,=11015.5640,=11859.1003,=2021773536110.9104,=1709933668495,=1130051303525.6797,=5.3853,=0.1721,=6.9061,=6.1946,=5.5598
2022-01-06,=11190.4382,=12047.3658,=2054063878170.6101,=1737183801041,=1147768331778.5598,=5.4757,=0.1793,=6.9061,=6.1956,=5.5604
2022-01-05,=11252.9339,=12114.6472,=2068587650607.0896,=1748997043133,=1154678668861.1101,=5.4971,=0.1831,=6.9061,=6.1969,=5.5655
2022-01-04,=11796.8753,=12700.2419,=2169721341968.5901,=1834251395456,=1211774782352.0701,=5.6223,=0.2163,=6.9061,=6.1982,=5.5706
2021-12-31,=11984.3110,=12902.0309,=2211161650167.7197,=1868283640206,=1230784995603.6799,=5.6371,=0.2253,=6.9112,=6.2003,=5.5655
2021-12-30,=12010.2127,=12929.9161,=2215110885031.1694,=1868660226663,=1233558592346.1299,=5.6358,=0.2240,=6.9112,=6.2025,=5.5655
2021-12-29,=11693.2215,=12588.6507,=2160281494640.7200,=1820985074817,=1201306252220.8201,=5.5655,=0.2000,=6.9112,=6.2030,=5.5655
2021-12-28,=11901.7813,=12813.1814,=2198527103297.4199,=1851451577177,=1222893399402.2600,=5.6286,=0.2213,=6.9112,=6.2034,=5.5706
2021-12-27,=11817.5920,=12722.5451,=2185679986132.0095,=1832589805451,=1214929104182.3003,=5.5855,=0.2077,=6.9112,=6.2073,=5.5706
2021-12-24,=11915.0902,=12827.5094,=2201762282387.1001,=1845877291114,=1224268148298.6201,=5.6090,=0.2115,=6.9448,=6.2111,=5.5604
2021-12-23,=11928.1854,=12841.6074,=2205734417275.3896,=1849707949276,=1225378199364.7100,=5.6573,=0.2312,=6.9448,=6.2119,=5.5604
2021-12-22,=11918.5043,=12831.1849,=2203111603752.3198,=1848520873339,=1223940392725.6499,=5.6823,=0.2544,=6.9448,=6.2127,=5.5604
2021-12-21,=11753.9535,=12654.0334,=2170289084733.1499,=1819189480895,=1205737632606.0801,=5.6479,=0.2285,=6.9448,=6.2135,=5.5604
2021-12-20,=11649.6643,=12541.7581,=2151515807412.9705,=1803417243249,=1195140342361.0500,=5.5869,=0.2095,=6.9448,=6.2142,=5.5604
2021-12-17,=11855.7099,=12763.5820,=2189268566675.5601,=1834737250256,=1216340419413.0500,=5.6783,=0.2434,=6.9507,=6.2147,=5.5598
2021-12-16,=12240.1649,=13177.4773,=2263106974910.1797,=1898136602474,=1256339604457.1299,=5.7916,=0.3127,=6.9507,=6.2151,=5.5598
2021-12-15,=12272.2141,=13211.9808,=2268127861646.2100,=1900092117320,=1259357732267.2700,=5.7882,=0.3097,=6.9507,=6.2158,=5.5598
2021-12-14,=12422.1628,=13373.4121,=2296827891271.1099,=1924058298485,=1274702583743.0205,=5.8148,=0.3156,=6.9507,=6.2165,=5.5598
2021-12-13,=12425.0770,=13376.5495,=2297319101435.2300,=1924999381551,=1275053458214.6899,=5.8162,=0.3179,=6.9507,=6.2174,=5.5598
2021-12-10,=12359.8795,=13306.3594,=2269928628819.5400,=1899865955445,=1261325606438.8098,=5.7198,=0.2705,=6.9515,=6.2183,=5.5482
2021-12-09,=12466.1371,=13420.7538,=2287343824901.3198,=1915767638358,=1271808943284.8899,=5.7600,=0.2995,=6.9515,=6.2200,=5.5482
2021-12-08,=12379.4644,=13327.4440,=2272403517298.8301,=1902479346507,=1264147663074.9795,=5.7350,=0.2804,=6.9515,=6.2217,=5.5482
2021-12-07,=12065.4384,=12989.3709,=2209352924295.4102,=1850412975600,=1230037685451.9700,=5.6465,=0.2290,=6.9515,=6.2246,=5.5482
2021-12-06,=12321.7657,=13265.3270,=2258667707842.3989,=1889322931223,=1255080280896.3799,=5.7385,=0.2814,=6.9515,=6.2275,=5.5482
2021-12-03,=12588.9627,=13552.9850,=2311597840174.1411,=1930981838349,=1284041940571.1001,=5.8369,=0.3196,=6.9545,=6.2301,=5.5457
2021-12-02,=12340.5674,=13285.5684,=2262123106867.8301,=1890184332830,=1255856186755.8604,=5.7384,=0.2806,=6.9545,=6.2328,=5.5457
2021-12-01,=12304.4151,=13246.6477,=2249248153465.8999,=1877886163342,=1247533893709.2195,=5.7953,=0.3063,=6.9545,=6.2329,=5.5457
2021-11-30,=12352.4412,=13298.3514,=2264619696992.3701,=1890382792334,=1253514052827.4600,=5.7707,=0.2996,=6.9545,=6.2330,=5.5457
2021-11-29,=12189.3178,=13122.7366,=2241511060768.5103,=1867031370344,=1239337856068.4800,=5.6717,=0.2441,=6.9545,=6.2333,=5.5457
2021-11-26,=12126.4700,=13055.0761,=2225690448235.7002,=1856838101203,=1232230777582.7798,=5.7230,=0.2717,=6.9550,=6.2336,=5.5340
2021-11-25,=12392.3998,=13341.3700,=2278430462584.7202,=1898520185531,=1259828025080.3899,=5.8504,=0.3176,=6.9550,=6.2345,=5.5340
2021-11-24,=12316.4951,=13259.6528,=2268820329174.8604,=1891631213449,=1252509675226.7400,=5.8377,=0.3145,=6.9550,=6.2353,=5.5340
2021-11-23,=12422.7750,=13374.0713,=2284125784906.6602,=1906805223956,=1262432462867.1602,=5.8537,=0.3188,=6.9550,=6.2401,=5.5340
2021-11-22,=12563.3617,=13525.4237,=2306690218779.8999,=1928138705998,=1274332875978.0198,=5.8791,=0.3248,=6.9550,=6.2449,=5.5340
2021-11-19,=12027.8663,=12948.9218,=2204414075410.2305,=1844295673686,=1219310876445.6101,=5.6806,=0.2541,=6.9565,=6.2475,=5.5232
