日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2020-02-27,=9051.5656,=9702.8904,=1244956421849.7998,=940974017322,=525981540432.5441,=8.5945,=0.9603,=6.7516,=5.9922,=5.4291
2020-02-26,=9460.0387,=10140.7560,=1302868660092.8000,=983252345101,=549780835373.7487,=8.9943,=0.9760,=6.6212,=5.9859,=5.4291
2020-02-25,=10378.4167,=11125.2179,=1427202742212.3003,=1080162135396,=603225131207.2939,=9.8526,=1,=6.6068,=5.9797,=5.4291
2020-02-24,=10042.2271,=10764.8371,=1387910666465.2000,=1045230675406,=583532259136.6410,=9.5814,=1,=6.6011,=5.9762,=5.4291
2020-02-21,=9505.5131,=10189.5027,=1308706177628.5000,=991918626304,=552417527418.1603,=9.0346,=1,=6.6011,=5.9726,=5.4233
2020-02-20,=9289.5458,=9957.9950,=1286680523185.8000,=969703510529,=539968466343.0096,=8.8825,=1,=6.5955,=5.9696,=5.4233
2020-02-19,=8920.8708,=9562.7912,=1234516715380.5000,=931883183691,=518319928092.9134,=8.5224,=1,=6.5646,=5.9666,=5.4233
2020-02-18,=8783.2885,=9415.3088,=1218933572419.6001,=915966261226,=510608725134.8604,=8.4148,=1,=6.5473,=5.9604,=5.4233
2020-02-17,=8395.1778,=8999.2708,=1169709645793.8999,=872085361341,=487905609859.6993,=8.0750,=1,=6.5382,=5.9541,=5.4233
2020-02-14,=8184.7117,=8773.6602,=1141827452597.5000,=848909863293,=475758439984.3495,=7.8825,=0.9915,=6.5382,=5.9507,=5.4036
2020-02-13,=8153.1604,=8739.8386,=1145182344169.8000,=847602869874,=473615243269.0859,=7.9057,=1,=6.5276,=5.9473,=5.4036
2020-02-12,=7937.4522,=8508.6086,=1111256856976.3999,=826358860048,=461118711150.9664,=7.6715,=1,=6.4919,=5.9451,=5.4036
2020-02-11,=7698.8552,=8252.8428,=1084060819894,=802349122015,=447334982659.9223,=7.4838,=0.9737,=6.4791,=5.9429,=5.4036
2020-02-10,=7617.4652,=8165.5962,=1069516619770,=793570215681,=442620850910.8516,=7.3834,=0.9646,=6.4284,=5.9388,=5.4036
2020-02-07,=7828.5899,=8391.9128,=1107508863102.5000,=818294908525,=454728500525.8245,=7.6456,=1,=6.4284,=5.9346,=5.3791
2020-02-06,=7544.4013,=8087.2748,=1075573828254,=789901367289,=437935693770.7014,=7.4252,=0.9820,=6.4278,=5.9318,=5.3791
2020-02-05,=7361.8106,=7891.5454,=1050303084364.1000,=772045166969,=427440982592.9475,=7.2507,=0.9818,=6.4081,=5.9289,=5.3791
2020-02-04,=7365.7646,=7895.7839,=1048476047840.3000,=773174857931,=427789545626.9198,=7.2381,=0.9633,=6.4070,=5.9204,=5.3791
2020-02-03,=6920.0014,=7417.9449,=978001124030.6000,=722698717261,=402004894821.9162,=6.7516,=0.9352,=6.3985,=5.9119,=5.3791
2020-01-23,=7688.8296,=8242.0958,=1086662577198.1000,=798715347236,=446669068547.8558,=7.5017,=0.9907,=6.3985,=5.8927,=5.3625
2020-01-22,=7841.5006,=8405.7526,=1104691734622.8999,=809950483452,=455870136831.0633,=7.6262,=1,=6.3925,=5.8734,=5.3625
2020-01-21,=7423.3879,=7957.5537,=1050235519524.5000,=762756736576,=431514536675.1452,=7.2502,=1,=6.3892,=5.8730,=5.3625
2020-01-20,=7425.3400,=7959.6463,=1049556328976.3000,=762185270855,=431702140596.2512,=7.2456,=1,=6.3409,=5.8725,=5.3625
2020-01-17,=7007.2459,=7511.4674,=987412311147.1000,=716483838138,=407492888600.0160,=6.8165,=1,=6.3362,=5.8315,=5.3625
2020-01-16,=6999.6352,=7503.3090,=984687647874.3000,=714633569133,=407052650400.0048,=6.7977,=1,=6.3362,=5.7904,=5.3623
2020-01-15,=6986.7871,=7489.5363,=982761804170.9000,=711082733080,=406411679138.0021,=6.7844,=1,=6.3005,=5.7891,=5.3623
2020-01-14,=6746.0717,=7231.4997,=948415722902.7000,=688592102103,=392382733308.2702,=6.5473,=0.9500,=6.2868,=5.7878,=5.3623
