date,hs300_pe,hs300_pb,zz500_pe,zz500_pb,kc50_pe,bond_10y_yield,hs300_erp,hs300_pe_quantile,hs300_pb_quantile,zz500_pe_quantile,zz500_pb_quantile
2020-12-30,15.39,1.73,22.99,2.06,,3.1204,3.3773257959714096,0.9957805907172996,0.9848101265822785,0.4029535864978903,0.4059071729957806
2020-12-31,15.66,1.76,23.35,2.09,,3.1429,3.2427960408684546,1.0,0.9877637130801687,0.4308016877637131,0.41729957805907175
2021-01-04,15.79,1.77,23.76,2.13,,3.178,3.1551222292590255,1.0,0.9886075949367089,0.4666666666666667,0.43248945147679324
2021-01-05,16.03,1.8,24.02,2.15,,3.1305,3.107803181534622,1.0,0.9936708860759493,0.47932489451476795,0.4489451476793249
2021-01-06,16.19,1.82,24.02,2.15,,3.1256,3.0510522544780723,1.0,0.9966244725738397,0.479746835443038,0.44936708860759494
2021-01-07,16.45,1.85,24.06,2.15,,3.1256,2.9534273556231008,1.0,1.0,0.48270042194092827,0.44978902953586497
2021-01-08,16.42,1.84,24.11,2.15,,3.1456,2.9445339829476245,0.99915611814346,0.99915611814346,0.48481012658227846,0.450210970464135
2021-01-11,16.26,1.83,23.73,2.12,,3.1632,2.9868615006150057,0.9983122362869198,0.9970464135021097,0.4607594936708861,0.4270042194092827
2021-01-12,16.68,1.87,24.05,2.15,,3.1457,2.8495038369304555,1.0,1.0,0.4835443037974684,0.45147679324894513
2021-01-13,16.66,1.87,23.89,2.13,,3.1157,2.8867009603841534,0.99915611814346,0.9995780590717299,0.47468354430379744,0.4337552742616034
2021-01-14,16.41,1.84,23.7,2.12,,3.1059,2.9879452163315054,0.9966244725738397,0.9970464135021097,0.4582278481012658,0.42742616033755276
2021-01-15,16.34,1.83,23.62,2.11,,3.1508,2.969151040391677,0.9957805907172996,0.9940928270042194,0.45527426160337553,0.42320675105485234
2021-01-18,16.46,1.84,23.99,2.14,,3.1658,2.9095341433778854,0.9983122362869198,0.9966244725738397,0.48185654008438816,0.4443037974683544
2021-01-19,16.28,1.82,23.87,2.13,,3.1609,2.981606142506142,0.9940928270042194,0.989451476793249,0.47468354430379744,0.43586497890295356
2021-01-20,16.35,1.83,24.08,2.15,,3.161,2.9552079510703355,0.9949367088607595,0.9928270042194093,0.490295358649789,0.45611814345991564
