date,year,month,index_code,turnover
2015-03-04,2015,3,995.0,0.0071718646699082
2015-03-04,2015,3,12.0,0.0006443489151406
2015-03-05,2015,3,300.0,0.0622103545875348
2015-03-05,2015,3,905.0,0.0194812887381969
2015-03-05,2015,3,932.0,0.0027428279891188
2015-03-05,2015,3,995.0,0.0076707750651813
2015-03-05,2015,3,12.0,0.0010877178732189
2015-03-06,2015,3,300.0,0.0521825511999356
2015-03-06,2015,3,905.0,0.0178237835613284
2015-03-06,2015,3,932.0,0.0021533769737605
2015-03-06,2015,3,995.0,0.0067002252294435
2015-03-06,2015,3,12.0,0.0007474346825504
2015-03-09,2015,3,300.0,0.066126893081761
2015-03-09,2015,3,905.0,0.0158883558190641
2015-03-09,2015,3,932.0,0.0018990731924458
2015-03-09,2015,3,995.0,0.0066166329982437
2015-03-09,2015,3,12.0,0.0004612255671666
2015-03-10,2015,3,300.0,0.055180099136201
2015-03-10,2015,3,905.0,0.0163969253491404
2015-03-10,2015,3,932.0,0.0020047551997665
2015-03-10,2015,3,995.0,0.006496867418016
2015-03-10,2015,3,12.0,0.000461922064565
2015-03-11,2015,3,300.0,0.0536074966812335
2015-03-11,2015,3,905.0,0.0158812344201368
2015-03-11,2015,3,932.0,0.0020617028520993
2015-03-11,2015,3,995.0,0.006444138156276
2015-03-11,2015,3,12.0,0.0008166649751344
2015-03-12,2015,3,300.0,0.0739427105657802
2015-03-12,2015,3,905.0,0.0162650549021531
2015-03-12,2015,3,932.0,0.0018019827218852
2015-03-12,2015,3,995.0,0.0073613603039714
2015-03-12,2015,3,12.0,0.0006401006711409
2015-03-13,2015,3,300.0,0.0682388540428238
2015-03-13,2015,3,905.0,0.015045213771033
2015-03-13,2015,3,932.0,0.0017263841569936
2015-03-13,2015,3,995.0,0.0071366883064981
2015-03-13,2015,3,12.0,0.001977053548483
2015-03-16,2015,3,300.0,0.0743288608189987
2015-03-16,2015,3,905.0,0.02103164990605
2015-03-16,2015,3,932.0,0.0025087959127483
2015-03-16,2015,3,995.0,0.009769549071618
2015-03-16,2015,3,12.0,0.0012705614239149
2015-03-17,2015,3,300.0,0.0989123227832367
2015-03-17,2015,3,905.0,0.0260776572690401
2015-03-17,2015,3,932.0,0.0028458486006218
2015-03-17,2015,3,995.0,0.0135051052052305
2015-03-17,2015,3,12.0,0.0020373923389986
2015-03-18,2015,3,300.0,0.1079521785309882
2015-03-18,2015,3,905.0,0.0244671058615935
