日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB中位数,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2023-02-09,=8140.2138,=8795.3909,=2069665045244.8210,=1567150304975,=1034585551592.2400,=5.4821,=0.2162,=7.3437,=6.1059,=5.4145
2023-02-08,=7820.8794,=8450.3544,=1991853941549.3303,=1505921912548,=993572507187.4700,=5.2720,=0.1736,=7.3437,=6.1063,=5.4145
2023-02-07,=7900.5786,=8536.4683,=2012475354098.5901,=1501663088666,=1003650618639.3000,=5.3096,=0.1786,=7.3437,=6.1067,=5.4187
2023-02-06,=7947.4157,=8587.0752,=2021062526298.4399,=1511289696664,=1009356022736.1702,=5.3211,=0.1788,=7.3437,=6.1087,=5.4385
2023-02-03,=8056.8652,=8705.3339,=2046827050891.1899,=1503733728907,=1023104707562.2000,=5.4415,=0.2005,=7.3437,=6.1107,=5.4415
2023-02-02,=8061.8600,=8710.7307,=2049262411412.3501,=1505181250472,=1023720896502.2804,=5.4635,=0.2067,=7.3546,=6.1139,=5.4385
2023-02-01,=7945.4948,=8584.9997,=2020713317080.0100,=1481455703867,=1008913210442.3000,=5.4091,=0.1962,=7.3546,=6.1172,=5.4385
2023-01-31,=7809.1836,=8437.7172,=1981243180456.3799,=1456744029357,=991587027241.0500,=5.3791,=0.1868,=7.3546,=6.1182,=5.4464
2023-01-30,=8032.2635,=8678.7520,=2032531229845.2495,=1498221205746,=1020241527505,=5.5912,=0.2650,=7.3546,=6.1193,=5.4493
2023-01-20,=8028.0578,=8674.2078,=2031905380391.8403,=1496335908797,=1020130626664.6700,=5.6300,=0.2881,=7.3546,=6.1198,=5.4493
2023-01-19,=8000.5882,=8644.5273,=2026524619473.8999,=1492041187239,=1016537726689.7198,=5.5732,=0.2512,=7.3610,=6.1202,=5.4464
2023-01-18,=7833.8869,=8464.4088,=1987060774125.7300,=1460944606380,=995508530745.1400,=5.3962,=0.1925,=7.3610,=6.1236,=5.4464
2023-01-17,=7851.6543,=8483.6063,=1990415700249.8604,=1463056698585,=997636910586.9698,=5.4636,=0.2048,=7.3610,=6.1270,=5.4493
2023-01-16,=7679.4086,=8297.4971,=1951613388889.7305,=1432053602261,=975848784998.6902,=5.3008,=0.1797,=7.3610,=6.1290,=5.4493
2023-01-13,=7437.9691,=8036.6250,=1895515390394.2400,=1387140838911,=945267467472.9700,=4.9999,=0.1292,=7.3610,=6.1309,=5.4517
2023-01-12,=7430.3980,=8028.4446,=1891922971723.9104,=1386396353689,=944359678616.8800,=4.9917,=0.1282,=7.3670,=6.1310,=5.4517
2023-01-11,=7457.4043,=8057.6246,=1899296221723.2000,=1390584950726,=947817075748.6899,=4.9519,=0.1247,=7.3670,=6.1312,=5.4546
2023-01-10,=7540.0610,=8146.9341,=1925222873976.8503,=1406266434801,=958324597668.4398,=5.0602,=0.1345,=7.3670,=6.1313,=5.4574
2023-01-09,=7462.6100,=8063.2493,=1907410193865.7000,=1390902716924,=948613618070.1600,=4.9402,=0.1226,=7.3670,=6.1314,=5.4660
2023-01-06,=7424.2515,=8021.8035,=1899616857924.2200,=1383663397876,=943901449654.2802,=4.7912,=0.0996,=7.3670,=6.1322,=5.4692
2023-01-05,=7439.8734,=8038.6828,=1900201134420.7505,=1384687124970,=945950646575.1500,=4.7001,=0.0937,=7.3715,=6.1330,=5.4692
2023-01-04,=7379.8801,=7973.8608,=1888191971529.5000,=1373365150979,=938280426176.5702,=4.6476,=0.0828,=7.3715,=6.1332,=5.4754
2023-01-03,=7423.0012,=8020.4525,=1896453216787.6201,=1381752991001,=943693354895.5400,=4.6603,=0.0829,=7.3715,=6.1335,=5.4837
2022-12-30,=7328.7195,=7918.5824,=1870417713221.8201,=1363863649874,=931703962803.2700,=4.6177,=0.0781,=7.3715,=6.1357,=5.4851
2022-12-29,=7386.8423,=7981.3833,=1881697659411.6599,=1375561661866,=939131903425.7002,=4.6948,=0.0880,=7.3715,=6.1379,=5.4907
2022-12-28,=7389.3720,=7984.1166,=1882014392322.9304,=1375041835340,=939391867494.5500,=4.7066,=0.0906,=7.3748,=6.1381,=5.4907
2022-12-27,=7486.3520,=8088.9022,=1905953852174.3000,=1393177762171,=951639487388.7198,=4.8270,=0.1005,=7.3748,=6.1384,=5.4938
2022-12-26,=7375.5051,=7969.1336,=1882330780444.3003,=1373435796816,=937621001762.6400,=4.8246,=0.0994,=7.3748,=6.1387,=5.4975
2022-12-23,=7192.5592,=7771.4631,=1841475954559.9104,=1340509248549,=914512033947.2500,=4.6936,=0.0872,=7.3748,=6.1391,=5.4985
2022-12-22,=7330.1541,=7920.1325,=1870871941462.4297,=1365181687161,=931865642797.8998,=4.8102,=0.0935,=7.3748,=6.1405,=5.5021
2022-12-21,=7453.4346,=8053.3354,=1900640744025.7200,=1389674819060,=947525854072.8000,=4.8610,=0.1010,=7.3825,=6.1419,=5.5021
2022-12-20,=7560.1355,=8168.6243,=1929679893430.1899,=1410190683414,=961015881952.5198,=4.9150,=0.1060,=7.3825,=6.1422,=5.5025
2022-12-19,=7559.7415,=8168.1985,=1930969370178.0696,=1411094442654,=961016288925.7700,=4.9431,=0.1086,=7.3825,=6.1426,=5.5072
2022-12-16,=7756.0370,=8380.2932,=1980890451719,=1446708225302,=985908927848.8300,=5.0223,=0.1137,=7.3825,=6.1458,=5.5101
2022-12-15,=7898.9172,=8534.6733,=2012722478108.9700,=1474390247176,=1003954099466.2400,=5.0834,=0.1200,=7.3825,=6.1489,=5.5105
2022-12-14,=7787.9187,=8414.7409,=1988696231322.0896,=1453110373052,=989919720120.4304,=5.0103,=0.1115,=7.3908,=6.1500,=5.5105
2022-12-13,=7814.3706,=8443.3218,=1989691651729.8496,=1456872333235,=993449420511.8998,=5.0205,=0.1117,=7.3908,=6.1510,=5.5173
2022-12-12,=7935.7852,=8574.5086,=2015967503445.0908,=1480658613250,=1008518154871,=5.0876,=0.1180,=7.3908,=6.1537,=5.5209
2022-12-09,=7782.6365,=8409.0335,=1996659681498.7200,=1543654207937,=1052859250852.1702,=4.3669,=0.0398,=7.3908,=6.1564,=5.5210
2022-12-08,=7700.8932,=8320.7110,=1977904105193.4399,=1528460012727,=1042662807904.4600,=4.2716,=0.0212,=7.3908,=6.1571,=5.5239
2022-12-07,=7800.0673,=8427.8673,=1999573189057.6899,=1546694083177,=1055560182892.7900,=4.3718,=0.0399,=7.4251,=6.1577,=5.5239
