日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM市值加权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2020-01-23,=7688.8296,=8242.0958,=1086662577198.1000,=798715347236,=446669068547.8558,=7.3246,=0.9907,=5.6109,=4.6456,=4.4028
2020-01-22,=7841.5006,=8405.7526,=1104691734622.8999,=809950483452,=455870136831.0633,=7.4461,=1,=5.6050,=4.6453,=4.4028
2020-01-21,=7423.3879,=7957.5537,=1050235519524.5000,=762756736576,=431514536675.1452,=7.0790,=1,=5.6046,=4.6424,=4.4028
2020-01-20,=7425.3400,=7959.6463,=1049556328976.3000,=762185270855,=431702140596.2512,=7.0745,=1,=5.5933,=4.6394,=4.4028
2020-01-17,=7007.2459,=7511.4674,=987412311147.1000,=716483838138,=407492888600.0160,=6.6556,=1,=5.5898,=4.6391,=4.4028
2020-01-16,=6999.6352,=7503.3090,=984687647874.3000,=714633569133,=407052650400.0048,=6.6372,=1,=5.5898,=4.6387,=4.4017
2020-01-15,=6986.7871,=7489.5363,=982761804170.9000,=711082733080,=406411679138.0021,=6.6242,=1,=5.5871,=4.6364,=4.4017
2020-01-14,=6746.0717,=7231.4997,=948415722902.7000,=688592102103,=392382733308.2702,=6.3927,=0.9900,=5.4292,=4.6340,=4.4017
2020-01-13,=6817.8489,=7308.4417,=957027278607.2000,=693246710550,=396595835657.4739,=6.4508,=1,=5.2784,=4.6218,=4.4017
2020-01-10,=6446.6582,=6910.5412,=900186464832,=653726437795,=375238502487.3115,=6.0676,=1,=5.2623,=4.6095,=4.4017
2020-01-09,=6193.3709,=6639.0281,=860863932733.5000,=625466670238,=360416526915.2805,=5.8026,=0.9691,=5.2623,=4.6093,=4.3915
2020-01-08,=6005.8131,=6437.9742,=832426787470.7000,=607231677692,=349481316866.2008,=5.6109,=0.8958,=5.2333,=4.6091,=4.3915
2020-01-07,=6162.0405,=6605.4432,=850794587675.3000,=623687525345,=358561544285.5196,=5.7347,=0.9158,=5.2122,=4.6021,=4.3915
2020-01-06,=6221.1639,=6668.8210,=858838462685,=628349808373,=362126594493.0101,=5.7889,=0.9468,=5.1435,=4.5950,=4.3915
2020-01-03,=6171.3807,=6615.4556,=856376076263.3000,=624129750715,=359254956993.0518,=5.7723,=0.9462,=5.1340,=4.5946,=4.3915
2020-01-02,=6205.3545,=6651.8741,=864298409820.4001,=626469205800,=361173711035.8219,=5.8257,=0.9891,=5.1340,=4.5942,=4.3906
2019-12-31,=5950.0760,=6378.2265,=828898051421.5999,=599879454150,=346379699064.1894,=5.5871,=0.8901,=5.0961,=4.5912,=4.3906
2019-12-30,=5958.0113,=6386.7328,=829811179186.6000,=600451600286,=346895192681.7957,=5.5933,=0.9111,=5.0467,=4.5881,=4.3906
2019-12-27,=5934.0472,=6361.0443,=829288109587,=597006283515,=345505511253.6826,=5.5898,=0.9101,=4.9568,=4.5848,=4.3906
2019-12-26,=6165.9939,=6609.6812,=862487410798.9000,=619943698178,=359010067320.0381,=5.8135,=0.9886,=4.9139,=4.5814,=4.3906
2019-12-25,=6229.0196,=6677.2421,=874827739978,=625171806153,=362775079621.8371,=5.8967,=1,=4.9139,=4.5746,=4.3622
2019-12-24,=5924.4478,=6350.7541,=831489979957.2999,=594830939946,=345264534508.9478,=5.6046,=0.9419,=4.9014,=4.5677,=4.3622
2019-12-23,=5716.9240,=6128.2975,=805463220453.7000,=574674647730,=333011807326.7340,=5.4292,=0.9412,=4.8992,=4.5667,=4.3622
2019-12-20,=5908.0129,=6333.1366,=831554588890.7000,=595195892047,=343969260391.6085,=5.6050,=0.9524,=4.8945,=4.5658,=4.3622
2019-12-19,=5975.0599,=6405.0081,=838767995280.6000,=603007640816,=347985047741.7482,=5.6537,=0.9639,=4.8250,=4.5611,=4.3622
2019-12-18,=6124.3071,=6564.9947,=859654579810.3999,=619013783493,=356682347335.1114,=5.7944,=0.9878,=4.8250,=4.5564,=4.3583
2019-12-17,=6171.7385,=6615.8391,=859773672796.9000,=624486511793,=359498865528.2855,=5.7952,=1,=4.8027,=4.5528,=4.3583
2019-12-16,=6162.2860,=6605.7064,=855692729373.4999,=623106422277,=358985015695.2224,=5.7677,=1,=4.7476,=4.5493,=4.3583
2019-12-13,=6030.7688,=6464.7257,=796905172722.9000,=565795735824,=335841280797.1226,=5.2623,=0.9873,=4.7470,=4.5464,=4.3583
2019-12-12,=6029.1607,=6463.0019,=799337938525.5999,=565636681451,=335820390917.7741,=5.2784,=1,=4.7294,=4.5434,=4.3583
2019-12-11,=5932.0061,=6358.8563,=789314482124,=557019132255,=330636897127.2286,=5.2122,=0.9870,=4.7294,=4.5432,=4.3517
2019-12-10,=5987.9283,=6418.8026,=792500592976.3000,=560572329156,=333578393133.3904,=5.2333,=1,=4.7200,=4.5430,=4.3517
2019-12-09,=5843.8098,=6264.3138,=771722640397.5999,=548630086381,=325823837907.2794,=5.0961,=0.9733,=4.7061,=4.5414,=4.3517
2019-12-06,=5795.1285,=6212.1296,=764242483120.3000,=540805756381,=322704644966.6376,=5.0467,=0.9730,=4.7003,=4.5398,=4.3517
2019-12-05,=5664.1572,=6071.7339,=744144980788.2999,=529983750571,=315662183465.0430,=4.9139,=0.9589,=4.6928,=4.5336,=4.3517
2019-12-04,=5616.6540,=6020.8125,=741915953043.7000,=526016295397,=313095734404.3816,=4.8992,=0.9444,=4.6928,=4.5274,=4.3476
2019-12-03,=5593.4756,=5995.9663,=742238794949.2001,=523605159112,=311823147889.8501,=4.9014,=0.9577,=4.6807,=4.5254,=4.3476
2019-12-02,=5438.1296,=5829.4420,=716190819294.3000,=510091247289,=303005272877.9887,=4.7294,=0.8857,=4.6702,=4.5234,=4.3476
2019-11-29,=5295.4605,=5676.5068,=693792270398.3999,=498663702895,=295297037302.5601,=4.5814,=0.6377,=4.6551,=4.5206,=4.3476
2019-11-28,=5295.8010,=5676.8718,=695729068818.7999,=498998706644,=295403445044.2304,=4.5942,=0.6618,=4.6551,=4.5179,=4.3476
2019-11-27,=5293.9532,=5674.8910,=695845923607.1000,=497670124065,=295242763474.3582,=4.5950,=0.6716,=4.6702,=4.5130,=4.3425
2019-11-26,=5081.4492,=5447.0958,=664896038246.7000,=478731255793,=283577078321.5882,=4.3906,=0.2727,=4.6702,=4.5080,=4.3425
