日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),股息率中位数,股息率 分位点,股息率 80%分位点值,股息率 50%分位点值,股息率 20%分位点值
2024-02-19,=5916.5203,=6410.2115,=1867777861733.6499,=1324260920255,=904633827697.1100,=0.0019,=0.4771,=0.0029,=0.0020,=0.0014
2024-02-08,=5778.4203,=6260.5881,=1821419529506.3201,=1297113626699,=884076120838.8998,=0.0020,=0.5069,=0.0029,=0.0020,=0.0014
2024-02-07,=5603.6257,=6071.2081,=1772079662955.0002,=1259549627365,=857364791188.0601,=0.0020,=0.5184,=0.0029,=0.0020,=0.0014
2024-02-06,=5533.4514,=5995.1782,=1759027239189.4795,=1240654088992,=846455597835.8900,=0.0021,=0.5345,=0.0029,=0.0020,=0.0014
2024-02-05,=5193.2244,=5626.5617,=1652295750177.5503,=1166877944756,=794498570726.9600,=0.0023,=0.6151,=0.0029,=0.0020,=0.0014
2024-02-02,=5221.1194,=5656.7844,=1652642390315.6602,=1172085663934,=798522911876.4601,=0.0022,=0.5751,=0.0029,=0.0020,=0.0014
2024-02-01,=5411.9289,=5863.5155,=1706417924456.2195,=1215878244713,=827478115073.2100,=0.0021,=0.5351,=0.0029,=0.0020,=0.0014
2024-01-31,=5347.6110,=5793.8308,=1690656775978.2500,=1201749516532,=817794748783.2100,=0.0022,=0.5439,=0.0029,=0.0020,=0.0014
2024-01-30,=5460.1429,=5915.7527,=1718981826477.1194,=1228956630153,=834851555457.9799,=0.0021,=0.5287,=0.0029,=0.0020,=0.0014
2024-01-29,=5697.8640,=6173.3099,=1798594905998.9998,=1282750408772,=871075453693.2699,=0.0020,=0.5143,=0.0029,=0.0019,=0.0014
2024-01-26,=5837.3943,=6324.4830,=1840378930799.4800,=1314503845927,=892458601289.2200,=0.0020,=0.5019,=0.0029,=0.0019,=0.0014
2024-01-25,=6042.2340,=6546.4151,=1900819089819.7900,=1358772632087,=923598506929.3696,=0.0019,=0.4829,=0.0029,=0.0019,=0.0014
2024-01-24,=5912.7635,=6406.1412,=1858316477913.1101,=1330675456699,=903971429369.6500,=0.0019,=0.4991,=0.0029,=0.0019,=0.0014
2024-01-23,=5944.4626,=6440.4854,=1860819312424.4800,=1336482220961,=908944143141.5100,=0.0019,=0.4986,=0.0029,=0.0019,=0.0014
2024-01-22,=5919.3735,=6413.3028,=1849066134404.6899,=1331329051458,=905130466318.5300,=0.0020,=0.5019,=0.0029,=0.0020,=0.0014
2024-01-19,=6090.2899,=6598.4810,=1901030852846.5896,=1369780109715,=931399544902.5800,=0.0019,=0.4781,=0.0029,=0.0019,=0.0014
2024-01-18,=6095.7493,=6604.3959,=1903996540880.7195,=1372637275676,=932160426861.9000,=0.0019,=0.4655,=0.0029,=0.0020,=0.0014
2024-01-17,=5960.3196,=6457.6655,=1861663310147.8999,=1342828046683,=911746457849.1802,=0.0019,=0.4949,=0.0029,=0.0020,=0.0014
2024-01-16,=6098.4383,=6607.3092,=1906324457477.3899,=1373692425921,=933068783228.1899,=0.0019,=0.4739,=0.0029,=0.0020,=0.0014
2024-01-15,=6087.1511,=6595.0802,=1900318065732.3601,=1369740601366,=931297103512.5902,=0.0019,=0.4874,=0.0029,=0.0020,=0.0014
2024-01-12,=6065.3683,=6571.4797,=1893722538526.0500,=1363503558086,=928108518170.1300,=0.0019,=0.4841,=0.0029,=0.0020,=0.0014
2024-01-11,=6182.7760,=6698.6842,=1935184584633.5400,=1387378490064,=946218149798.6400,=0.0019,=0.4743,=0.0029,=0.0020,=0.0014
2024-01-10,=6105.8036,=6615.2890,=1914828161312.7000,=1370294596617,=934580475452.9500,=0.0019,=0.4906,=0.0029,=0.0020,=0.0014
2024-01-09,=6172.0354,=6687.0474,=1936673609932.1299,=1383800857129,=944746982113.5601,=0.0019,=0.4817,=0.0029,=0.0020,=0.0014
2024-01-08,=6169.5680,=6684.3741,=1943209859695.0105,=1382589820974,=944521147416.6804,=0.0019,=0.4803,=0.0029,=0.0020,=0.0014
2024-01-05,=6373.8507,=6905.7027,=2005981181686.7705,=1429040599531,=975734458338.7196,=0.0018,=0.4526,=0.0029,=0.0020,=0.0014
2024-01-04,=6468.7885,=7008.5624,=2039844278258.7600,=1448646209724,=990139700966.2300,=0.0018,=0.4352,=0.0029,=0.0020,=0.0014
2024-01-03,=6573.6982,=7122.2260,=2066552960140.3401,=1473372913945,=1006257448835.2598,=0.0018,=0.4309,=0.0029,=0.0020,=0.0014
2024-01-02,=6704.4698,=7263.9096,=2100798174973.8899,=1501565710134,=1026204765480.3800,=0.0017,=0.4218,=0.0029,=0.0020,=0.0014
2023-12-29,=6829.0608,=7398.8969,=2130869374158.1899,=1522765802373,=1044997503904.2900,=0.0017,=0.4232,=0.0029,=0.0020,=0.0014
2023-12-28,=6814.6461,=7383.2794,=2127149446544.5400,=1520081324922,=1042807673996.1100,=0.0018,=0.4255,=0.0029,=0.0020,=0.0014
2023-12-27,=6667.0848,=7223.4052,=2082126567881.0696,=1483967358396,=1020083155293.9700,=0.0018,=0.4400,=0.0029,=0.0020,=0.0014
2023-12-26,=6569.7562,=7117.9552,=2056532185990.7896,=1461267407427,=1005067119246.2400,=0.0019,=0.4679,=0.0029,=0.0020,=0.0014
2023-12-25,=6711.1808,=7271.1807,=2102316352110.6101,=1493259488616,=1026719309891.1400,=0.0018,=0.4503,=0.0029,=0.0020,=0.0014
2023-12-22,=6771.7610,=7336.8159,=2129132581248.9800,=1503116406199,=1036051662275.6600,=0.0018,=0.4413,=0.0029,=0.0020,=0.0014
2023-12-21,=6841.3984,=7412.2641,=2149579817752.1001,=1519448410953,=1046858155281.1504,=0.0018,=0.4313,=0.0029,=0.0020,=0.0014
2023-12-20,=6770.8922,=7335.8747,=2127489954014.5601,=1503549828245,=1036135329631.8300,=0.0018,=0.4440,=0.0029,=0.0020,=0.0014
2023-12-19,=6849.7481,=7421.3105,=2150132832166.9905,=1519937867056,=1048106104411.9000,=0.0018,=0.4359,=0.0029,=0.0020,=0.0014
2023-12-18,=6761.2465,=7325.4241,=2120980416760.7700,=1500378164161,=1034580547302.3800,=0.0019,=0.4601,=0.0029,=0.0020,=0.0014
2023-12-15,=6841.6727,=7412.5613,=2139578026928.1299,=1520139765968,=1046916223492.5000,=0.0018,=0.4462,=0.0029,=0.0020,=0.0014
2023-12-14,=6890.4786,=7465.4397,=2151282363347,=1529900550627,=1054309357527.6100,=0.0018,=0.4419,=0.0029,=0.0020,=0.0014
2023-12-13,=6905.1220,=7481.3050,=2162275252657.7600,=1532513675960,=1056611376468.5698,=0.0018,=0.4404,=0.0029,=0.0020,=0.0014
2023-12-12,=6987.9063,=7570.9971,=2191391782529.9497,=1551235683268,=1069103550727.4000,=0.0018,=0.4303,=0.0029,=0.0020,=0.0014
2023-12-11,=7004.8747,=7589.3813,=2194679027121.8601,=1554788452638,=1071282879588.2600,=0.0017,=0.4193,=0.0029,=0.0020,=0.0014
2023-12-08,=6913.7918,=7490.6982,=1953786677046.4397,=1452770731100,=985168845462.7800,=0.0029,=0.7868,=0.0029,=0.0020,=0.0014
2023-12-07,=6770.9720,=7335.9611,=1919210048752.1299,=1422778072443,=964957895594.9000,=0.0029,=0.8000,=0.0029,=0.0020,=0.0014
2023-12-06,=6852.5530,=7424.3495,=1931781943058.9604,=1440074115968,=976339398852.8900,=0.0029,=0.7864,=0.0029,=0.0020,=0.0014
2023-12-05,=6865.8776,=7438.7859,=1936011586747.7400,=1442774001393,=977803909796.2000,=0.0028,=0.7804,=0.0029,=0.0020,=0.0014
2023-12-04,=7061.8518,=7651.1128,=1984819268999.2097,=1483109745559,=1005229265617.5298,=0.0027,=0.7505,=0.0029,=0.0020,=0.0014
2023-12-01,=7155.3182,=7752.3784,=2011334920747.3501,=1501982382912,=1018615280473.9602,=0.0027,=0.7426,=0.0029,=0.0020,=0.0014
2023-11-30,=7129.6052,=7724.5198,=1998115173563.5105,=1497409174245,=1014780252477.0498,=0.0027,=0.7548,=0.0029,=0.0020,=0.0014
2023-11-29,=7137.8694,=7733.4735,=2000404533978.2800,=1500657252236,=1015899666733.4700,=0.0027,=0.7411,=0.0029,=0.0020,=0.0014
2023-11-28,=7137.1120,=7732.6530,=2005172099122.5801,=1500759291691,=1016030275081.2400,=0.0028,=0.7697,=0.0029,=0.0020,=0.0014
2023-11-27,=7152.3136,=7749.1231,=2010439832172.4497,=1504447543137,=1017974939403.5402,=0.0028,=0.7743,=0.0029,=0.0020,=0.0014
2023-11-24,=7068.0138,=7656.6062,=1984469866475.2495,=1485777747207,=1005800876586.0400,=0.0028,=0.7770,=0.0029,=0.0020,=0.0014
2023-11-23,=7163.5647,=7760.1141,=2003869669147.6499,=1506640557744,=1019263486409.9900,=0.0028,=0.7643,=0.0029,=0.0020,=0.0014
2023-11-22,=7099.1734,=7690.3606,=1984995799417.1704,=1494176093601,=1009931506707.2198,=0.0028,=0.7669,=0.0029,=0.0020,=0.0014
2023-11-21,=7208.3974,=7808.6802,=2017683959624.7695,=1517482093491,=1025539799049.1500,=0.0027,=0.7502,=0.0029,=0.0020,=0.0014
2023-11-20,=7275.5271,=7881.4001,=2037693556674.0500,=1531955947448,=1035216445969.7300,=0.0027,=0.7384,=0.0029,=0.0020,=0.0014
2023-11-17,=7327.2240,=7937.4021,=2042868567694.1101,=1540612062976,=1042403763095.7100,=0.0027,=0.7420,=0.0029,=0.0020,=0.0014
2023-11-16,=7301.4788,=7909.5130,=2035308526396.7400,=1534841655410,=1038723079944.8098,=0.0027,=0.7350,=0.0029,=0.0020,=0.0014
2023-11-15,=7431.5114,=8050.3741,=2071511148623.9800,=1562591602119,=1057053979678.9399,=0.0026,=0.7104,=0.0029,=0.0020,=0.0014
2023-11-14,=7453.7816,=8074.4989,=2080678901609.9104,=1568077915237,=1060654898622.1801,=0.0026,=0.7033,=0.0029,=0.0020,=0.0014
2023-11-13,=7387.2238,=8002.3985,=2060796895317.7000,=1555742089954,=1051174522336.7600,=0.0026,=0.7118,=0.0029,=0.0020,=0.0014
2023-11-10,=7376.3065,=7990.5720,=2056069749064.2505,=1552194502918,=1049095218575.5304,=0.0027,=0.7203,=0.0029,=0.0020,=0.0014
2023-11-09,=7415.7497,=8033.2998,=2074185086042.2700,=1554930177652,=1053734664422.7500,=0.0027,=0.7220,=0.0029,=0.0020,=0.0014
2023-11-08,=7515.7978,=8141.6795,=2105591118078.4304,=1574761622050,=1068053550393.5100,=0.0026,=0.7090,=0.0029,=0.0020,=0.0014
2023-11-07,=7502.7948,=8127.5936,=2099235592743.1404,=1574088840660,=1066430077310.1200,=0.0026,=0.7009,=0.0029,=0.0020,=0.0014
2023-11-06,=7481.7293,=8104.7739,=2092787678343.9597,=1569779067031,=1063659269219.6600,=0.0026,=0.6908,=0.0029,=0.0020,=0.0014
2023-11-03,=7326.7619,=7936.9015,=2057545676667.6899,=1535901683367,=1041833811237.4398,=0.0027,=0.7238,=0.0029,=0.0020,=0.0014
2023-11-02,=7161.9791,=7758.3963,=2015893425986.7500,=1500772449676,=1018838489413.4000,=0.0027,=0.7598,=0.0029,=0.0020,=0.0014
2023-11-01,=7247.3502,=7850.8767,=2041092902006.2000,=1517833155153,=1030795374595.3298,=0.0027,=0.7586,=0.0029,=0.0020,=0.0014
2023-10-31,=7296.8478,=7904.4962,=2047691098684.3799,=1528456807258,=1037402901956.4100,=0.0027,=0.7289,=0.0029,=0.0020,=0.0014
2023-10-30,=7309.1741,=7917.8489,=2057138644411.2900,=1532191685520,=1028372764193.8101,=0.0027,=0.7365,=0.0029,=0.0019,=0.0014
2023-10-27,=6995.6312,=7578.1956,=1980054384774.2195,=1468819962062,=983111744675.2000,=0.0023,=0.5955,=0.0029,=0.0019,=0.0014
2023-10-26,=6832.0961,=7401.0421,=1935143284202.2805,=1438240363694,=959454165939.0898,=0.0023,=0.6158,=0.0029,=0.0019,=0.0014
2023-10-25,=6836.0022,=7405.2735,=1929156735131.5105,=1436427862272,=959433840140.0400,=0.0023,=0.6016,=0.0029,=0.0019,=0.0014
2023-10-24,=6818.5925,=7386.4140,=1926525835879.3799,=1430989876408,=956618327510.4000,=0.0023,=0.6012,=0.0029,=0.0019,=0.0014
2023-10-23,=6714.4033,=7273.5484,=1908576911791.2500,=1406722879862,=941884982906.3700,=0.0024,=0.6314,=0.0029,=0.0019,=0.0014
2023-10-20,=6870.9006,=7443.0781,=1949454528335.8899,=1438802801338,=963700073885.7900,=0.0024,=0.6261,=0.0029,=0.0019,=0.0014
2023-10-19,=6999.0938,=7581.9466,=1975165390919.9199,=1467504061008,=982090070613.7998,=0.0023,=0.6198,=0.0029,=0.0019,=0.0014
2023-10-18,=6946.1495,=7524.5933,=1953332365788.1299,=1458501218140,=974602687735.6500,=0.0023,=0.6194,=0.0029,=0.0019,=0.0014
2023-10-17,=7033.4943,=7619.2117,=1972254297729.7495,=1477206374965,=986915453039.2700,=0.0023,=0.6151,=0.0029,=0.0019,=0.0014
2023-10-16,=6959.1260,=7538.6503,=1950285809580.1399,=1463002392184,=976451095127.4698,=0.0023,=0.6087,=0.0029,=0.0019,=0.0014
2023-10-13,=7158.5469,=7754.6780,=2003448629093.5205,=1504812318746,=1004359588071.0402,=0.0023,=0.5984,=0.0029,=0.0019,=0.0014
2023-10-12,=7173.8707,=7771.2779,=2004591020593.4199,=1507705956615,=1006420570762.4399,=0.0023,=0.5900,=0.0029,=0.0019,=0.0014
2023-10-11,=7140.0602,=7734.6518,=1996544002570.8501,=1497515708924,=1001553031442.5699,=0.0023,=0.6036,=0.0029,=0.0019,=0.0014
2023-10-10,=7055.4431,=7642.9882,=1961093649552.6799,=1482866023319,=989276138729.0800,=0.0024,=0.6311,=0.0029,=0.0019,=0.0014
2023-10-09,=6985.3256,=7567.0317,=1945575716756.5901,=1469296743387,=979164335783.9100,=0.0024,=0.6307,=0.0029,=0.0019,=0.0014
2023-09-28,=6929.1540,=7506.1824,=1936887330904.0095,=1457543364479,=971601594764.2000,=0.0024,=0.6324,=0.0029,=0.0019,=0.0014
2023-09-27,=6849.1484,=7419.5142,=1909562527183.5500,=1440452108095,=959993540053.1400,=0.0024,=0.6470,=0.0029,=0.0019,=0.0014
2023-09-26,=6835.5773,=7404.8129,=1903423217414.4600,=1438452575926,=957975421125,=0.0024,=0.6476,=0.0029,=0.0019,=0.0014
2023-09-25,=6909.2839,=7483.9867,=1927082665864.6599,=1453894519296,=968085704949.4200,=0.0024,=0.6433,=0.0029,=0.0019,=0.0014
2023-09-22,=6973.6746,=7553.7333,=1942560874081.6011,=1467258404156,=977252964198.0702,=0.0024,=0.6339,=0.0029,=0.0019,=0.0014
