日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM平均值,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2022-05-24,=8462.0170,=9114.6434,=1539697970808.4895,=1354817044390,=888953785288.1843,=9.5610,=0.0284,=16.6220,=14.2020,=12.3141
2022-05-23,=8832.1639,=9513.3376,=1606750118638.4602,=1413032813918,=928109338151.6165,=9.9835,=0.0570,=16.6246,=14.2055,=12.3141
2022-05-20,=8754.4737,=9429.6556,=1592246609433.2900,=1399675378444,=919631185582.6814,=9.9066,=0.0526,=16.6246,=14.2091,=12.3302
2022-05-19,=8732.9827,=9405.1284,=1590021438600.4902,=1398049447116,=917141454189.5564,=9.8928,=0.0496,=16.6246,=14.2227,=12.3450
2022-05-18,=8572.2693,=9232.0455,=1560910418189.1499,=1372580656695,=900612639999.3149,=9.6963,=0.0361,=16.6246,=14.2363,=12.3628
2022-05-17,=8515.6859,=9171.1071,=1551135341921.0095,=1363788556814,=894717275972.8188,=9.6561,=0.0332,=16.6246,=14.2376,=12.3786
2022-05-16,=8181.5128,=8811.0834,=1486933208491.3999,=1308216010161,=858682473746.0105,=9.3058,=0.0136,=16.6296,=14.2390,=12.3786
2022-05-13,=8303.1337,=8942.0630,=1509989912294.2405,=1326948837607,=871370943276.5186,=9.4460,=0.0212,=16.6296,=14.2474,=12.3817
2022-05-12,=8323.7099,=8964.2226,=1511663664597.1499,=1328801948175,=873536743692.8864,=9.4443,=0.0182,=16.6296,=14.2559,=12.3914
2022-05-11,=8273.1240,=8909.7441,=1502265932936.6802,=1315237075222,=868818581293.8663,=9.4222,=0.0152,=16.6296,=14.2559,=12.3958
2022-05-10,=7970.9123,=8584.2771,=1445526047307.7102,=1268569279997,=836466730495.7941,=8.3363,=0.0015,=16.6296,=14.2559,=12.4058
2022-05-09,=7667.4100,=8257.2591,=1387159980733.3899,=1220062642943,=804525301847.4032,=8.0361,=0,=16.6363,=14.2585,=12.4058
2022-05-06,=7739.4840,=8334.8777,=1402451274823.6299,=1225086362251,=812413859182.6354,=8.7807,=0.0015,=16.6363,=14.2610,=12.4260
2022-05-05,=7984.7468,=8599.0085,=1446799619182.9297,=1263064956208,=838111008679.1664,=8.9872,=0.0031,=16.6363,=14.2678,=12.4625
2022-04-29,=7949.1082,=8560.6283,=1444061390281.6902,=1243697062039,=833998495564.0746,=8.9883,=0.0031,=16.6363,=14.2746,=12.4644
2022-04-28,=7677.1621,=8266.2415,=1395614703942.7500,=1201086302712,=804727168306.9486,=8.7420,=0,=16.6363,=14.2763,=12.5037
2022-04-27,=7752.1314,=8345.7645,=1408715552285.8701,=1212700035676,=803466120663.9001,=9.3788,=0.0046,=16.6473,=14.2781,=12.5037
2022-04-26,=7215.5627,=7768.1071,=1311008664399.1899,=1128816460598,=746928853186.2101,=8.8669,=0,=16.6473,=14.2803,=12.5143
2022-04-25,=7422.8815,=7991.3017,=1346226843646.3301,=1159653461934,=766557764127.0200,=9.1631,=0.0015,=16.6473,=14.2826,=12.5176
2022-04-22,=8047.4514,=8663.6992,=1461778135588.7800,=1259197875132,=830173056772.9199,=9.4374,=0.0015,=16.6473,=14.2963,=12.5369
2022-04-21,=8251.5322,=8883.4079,=1501092188194.4197,=1292044039048,=851744767448.1600,=9.8266,=0.0154,=16.6473,=14.3099,=12.5627
2022-04-20,=8458.5487,=9106.2770,=1537423864822.1204,=1323506216478,=872117786101.6901,=10.9971,=0.0896,=16.6474,=14.3100,=12.5627
2022-04-19,=8592.4992,=9250.4850,=1561463536031.4302,=1344900933409,=886156761733.0900,=10.2612,=0.0464,=16.6474,=14.3101,=12.5676
2022-04-18,=8791.4989,=9464.7234,=1600955387286.2400,=1378011294834,=907145158598.5898,=10.4802,=0.0574,=16.6474,=14.3175,=12.5729
2022-04-15,=8464.7294,=9112.9310,=1540954697218.8401,=1322045118904,=873222854892.6399,=10.0648,=0.0295,=16.6474,=14.3248,=12.5795
2022-04-14,=8499.0451,=9149.8744,=1546096279768.0500,=1328458758432,=876622028215.4401,=10.1077,=0.0342,=16.6474,=14.3353,=12.5983
2022-04-13,=8291.2545,=8926.1719,=1505913088483.4202,=1294729453957,=855516004656.9100,=9.8348,=0.0156,=16.6517,=14.3458,=12.5983
2022-04-12,=8502.5869,=9153.6874,=1544908026494.0300,=1326927175276,=877227653745.2700,=10.1046,=0.0312,=16.6517,=14.3458,=12.6032
