日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2023-11-17,=7327.2240,=7937.4021,=2042868567694.1101,=1540612062976,=1042403763095.7100,=60.4644,=0.5674,=79.6333,=58.4302,=41.6005
2023-11-16,=7301.4788,=7909.5130,=2035308526396.7400,=1534841655410,=1038723079944.8098,=60.3472,=0.5631,=79.6333,=58.4217,=41.6005
2023-11-15,=7431.5114,=8050.3741,=2071511148623.9800,=1562591602119,=1057053979678.9399,=61.5992,=0.5996,=79.6333,=58.4180,=41.6005
2023-11-14,=7453.7816,=8074.4989,=2080678901609.9104,=1568077915237,=1060654898622.1801,=61.7189,=0.6021,=79.6333,=58.4142,=41.6005
2023-11-13,=7387.2238,=8002.3985,=2060796895317.7000,=1555742089954,=1051174522336.7600,=61.4234,=0.5979,=79.6647,=58.3939,=41.5913
2023-11-10,=7376.3065,=7990.5720,=2056069749064.2505,=1552194502918,=1049095218575.5304,=61.0681,=0.5867,=79.6647,=58.3737,=41.5913
2023-11-09,=7415.7497,=8033.2998,=2074185086042.2700,=1554930177652,=1053734664422.7500,=60.5084,=0.5698,=79.6647,=58.3710,=41.5913
2023-11-08,=7515.7978,=8141.6795,=2105591118078.4304,=1574761622050,=1068053550393.5100,=61.1507,=0.5898,=79.6647,=58.3684,=41.5913
2023-11-07,=7502.7948,=8127.5936,=2099235592743.1404,=1574088840660,=1066430077310.1200,=61.2953,=0.5934,=79.6647,=58.3606,=41.5913
2023-11-06,=7481.7293,=8104.7739,=2092787678343.9597,=1569779067031,=1063659269219.6600,=60.9519,=0.5822,=79.7023,=58.3529,=41.5895
2023-11-03,=7326.7619,=7936.9015,=2057545676667.6899,=1535901683367,=1041833811237.4398,=59.2922,=0.5397,=79.7023,=58.3434,=41.5895
2023-11-02,=7161.9791,=7758.3963,=2015893425986.7500,=1500772449676,=1018838489413.4000,=57.4889,=0.4588,=79.7023,=58.3340,=41.5895
2023-11-01,=7247.3502,=7850.8767,=2041092902006.2000,=1517833155153,=1030795374595.3298,=58.4217,=0.5044,=79.7023,=58.3434,=41.5895
2023-10-31,=7296.8478,=7904.4962,=2047691098684.3799,=1528456807258,=1037402901956.4100,=58.8122,=0.5246,=79.7023,=58.3340,=41.5895
2023-10-30,=7309.1741,=7917.8489,=2057138644411.2900,=1532191685520,=1028372764193.8101,=58.1602,=0.4946,=79.7512,=58.3221,=41.5573
2023-10-27,=6995.6312,=7578.1956,=1980054384774.2195,=1468819962062,=983111744675.2000,=52.7760,=0.3278,=79.7512,=58.3340,=41.5573
2023-10-26,=6832.0961,=7401.0421,=1935143284202.2805,=1438240363694,=959454165939.0898,=50.4025,=0.2897,=79.7512,=58.3434,=41.5573
2023-10-25,=6836.0022,=7405.2735,=1929156735131.5105,=1436427862272,=959433840140.0400,=50.6924,=0.2919,=79.7512,=58.3529,=41.5573
